-1.3, 3.1, -2.5, -3.1, 2.4, 0.8, 3.9, 1.8, 2.1, 1.0
parameter ends

state | action | reward
[-0.06] | [0.51] | 9.312425575397796
-0.034250107347630315 | [-2.63] | 9.334844600535352
-0.03323290099460509 | [2.71] | 9.275522653756312
-0.030824420765063726 | [-2.85] | 9.34520436244781
-0.02671368315852454 | [2.46] | 9.18743535605437
-0.020638701978745806 | [-3.61] | 9.253837983695803
-0.011973412228160212 | [1.9] | 9.00218106890722
-0.0012569693363532145 | [-5.63] | 8.908765873084945
0.011853298016718522 | [0.53] | -1.385914209016939
Total reward: 72.23430326486267
