5.4, -1.3, -0.9, -0.5, -2.8, 2.2, -3.2, 1.9, -3.0, -4.2
parameter ends

state | action | reward
[0.] | 0 | 1.0
0.0025897619780153036 | 1 | 1.0
-0.001976452535018325 | 0 | 1.0
-0.0026411074213683605 | 1 | 1.0
-0.007210972718894482 | 0 | 1.0
-0.007881448604166508 | 1 | 1.0
-0.012459256686270237 | 0 | 1.0
-0.0131399380043149 | 1 | 1.0
-0.017730120569467545 | 0 | 1.0
-0.018425585702061653 | 1 | 1.0
-0.023032816126942635 | 0 | 1.0
-0.02374795265495777 | 1 | 1.0
-0.02837725728750229 | 0 | 1.0
-0.029117371886968613 | 1 | 1.0
-0.033774234354496 | 1 | 1.0
-0.0345451720058918 | 0 | 1.0
-0.031433120369911194 | 1 | 1.0
-0.032241422683000565 | 0 | 1.0
-0.029167024418711662 | 1 | 1.0
-0.0300134290009737 | 0 | 1.0
-0.02697794698178768 | 1 | 1.0
-0.027864113450050354 | 0 | 1.0
-0.024869753047823906 | 1 | 1.0
-0.025798294693231583 | 0 | 1.0
-0.02284824289381504 | 1 | 1.0
-0.023822752758860588 | 1 | 1.0
-0.020921234041452408 | 0 | 1.0
-0.014146476052701473 | 1 | 1.0
-0.011298890225589275 | 0 | 1.0
-0.004577898420393467 | 1 | 1.0
-0.0017842851812019944 | 0 | 1.0
0.004882114473730326 | 1 | 1.0
0.007620407268404961 | 0 | 1.0
0.014230078086256981 | 1 | 1.0
0.01691039651632309 | 0 | 1.0
0.023459864780306816 | 1 | 1.0
0.026078229770064354 | 1 | 1.0
0.03256264328956604 | 0 | 1.0
0.04290974140167236 | 1 | 1.0
0.04932268336415291 | 0 | 1.0
0.059597618877887726 | 1 | 1.0
0.06593760848045349 | 0 | 1.0
0.07613783329725266 | 1 | 1.0
0.08240172266960144 | 1 | 1.0
0.09252297133207321 | 0 | 1.0
0.106498122215271 | 1 | 1.0
0.11653424799442291 | 0 | 1.0
0.13042353093624115 | 1 | 1.0
0.14037297666072845 | 0 | 1.0
0.15417353808879852 | 1 | 1.0
0.16403283178806305 | 1 | 1.0
0.17773985862731934 | 0 | 1.0
0.19529062509536743 | 1 | 1.0
0.2088971585035324 | 0 | 1.0
0.22634582221508026 | 1 | 1.0
0.23984913527965546 | 0 | 1.0
0.2571914494037628 | 1 | 1.0
Total reward: 57.0
5.4, -1.3, -0.9, -0.5, -2.8, 2.2, -3.2, 1.9, -3.0, -4.2
parameter ends

state | action | reward
[-0.] | 0 | 1.0
-0.003898452967405319 | 1 | 1.0
-0.007757809944450855 | 0 | 1.0
-0.007715900428593159 | 1 | 1.0
-0.011579129844903946 | 0 | 1.0
-0.011542534455657005 | 1 | 1.0
-0.015412497334182262 | 0 | 1.0
-0.015384149737656116 | 1 | 1.0
-0.01926383748650551 | 0 | 1.0
-0.019246840849518776 | 1 | 1.0
-0.02313944883644581 | 0 | 1.0
-0.023137148469686508 | 1 | 1.0
-0.027046147733926773 | 0 | 1.0
-0.02706221677362919 | 1 | 1.0
-0.030991431325674057 | 0 | 1.0
-0.031029948964715004 | 1 | 1.0
-0.03498364984989166 | 0 | 1.0
-0.0350492000579834 | 1 | 1.0
-0.039032191038131714 | 1 | 1.0
-0.03912995010614395 | 0 | 1.0
-0.03534524887800217 | 1 | 1.0
-0.035481151193380356 | 0 | 1.0
-0.03173454478383064 | 1 | 1.0
-0.03190874680876732 | 0 | 1.0
-0.028200924396514893 | 1 | 1.0
-0.028414510190486908 | 0 | 1.0
-0.024747109040617943 | 1 | 1.0
-0.02500212751328945 | 0 | 1.0
-0.02137775532901287 | 1 | 1.0
-0.021677227690815926 | 0 | 1.0
-0.01809951663017273 | 1 | 1.0
-0.01844748668372631 | 1 | 1.0
-0.014921145513653755 | 0 | 1.0
-0.00752350315451622 | 1 | 1.0
-0.0040544746443629265 | 0 | 1.0
0.0032856541220098734 | 1 | 1.0
0.0066967071034014225 | 0 | 1.0
0.013977819122374058 | 1 | 1.0
0.01732885092496872 | 0 | 1.0
0.024548044428229332 | 1 | 1.0
0.027835622429847717 | 1 | 1.0
0.034988563507795334 | 0 | 1.0
0.04600366950035095 | 1 | 1.0
0.053084421902894974 | 0 | 1.0
0.06402692943811417 | 1 | 1.0
0.07103446125984192 | 0 | 1.0
0.08190226554870605 | 1 | 1.0
0.08883385360240936 | 0 | 1.0
0.09962311387062073 | 1 | 1.0
0.1064743623137474 | 1 | 1.0
0.1171795204281807 | 0 | 1.0
0.13173450529575348 | 1 | 1.0
0.142348051071167 | 0 | 1.0
0.15680964291095734 | 1 | 1.0
0.16732855141162872 | 1 | 1.0
0.18169233202934265 | 0 | 1.0
0.19989702105522156 | 1 | 1.0
0.21415628492832184 | 0 | 1.0
0.2322549670934677 | 1 | 1.0
Total reward: 59.0
5.4, -1.3, -0.9, -0.5, -2.8, 2.2, -3.2, 1.9, -3.0, -4.2
parameter ends

state | action | reward
[-0.05] | 0 | 1.0
-0.04784940183162689 | 1 | 1.0
-0.05156392976641655 | 0 | 1.0
-0.05138703063130379 | 1 | 1.0
-0.05512426421046257 | 0 | 1.0
-0.054971665143966675 | 1 | 1.0
-0.05873468890786171 | 0 | 1.0
-0.05860980227589607 | 1 | 1.0
-0.062402285635471344 | 0 | 1.0
-0.06230916455388069 | 1 | 1.0
-0.06613544374704361 | 1 | 1.0
-0.06607886403799057 | 0 | 1.0
-0.06214216351509094 | 1 | 1.0
-0.062127772718667984 | 0 | 1.0
-0.05823309347033501 | 1 | 1.0
-0.05826086178421974 | 0 | 1.0
-0.05440877750515938 | 1 | 1.0
-0.05447971075773239 | 0 | 1.0
-0.05067183077335358 | 1 | 1.0
-0.05078798532485962 | 0 | 1.0
-0.04702698439359665 | 1 | 1.0
-0.04719146713614464 | 1 | 1.0
-0.04348112642765045 | 0 | 1.0
-0.035898640751838684 | 1 | 1.0
-0.03224397823214531 | 0 | 1.0
-0.024716801941394806 | 1 | 1.0
-0.021117528900504112 | 0 | 1.0
-0.013646183535456657 | 1 | 1.0
-0.010103356093168259 | 0 | 1.0
-0.0026897070929408073 | 1 | 1.0
0.0007942812517285347 | 1 | 1.0
0.008147002197802067 | 0 | 1.0
0.01936577446758747 | 1 | 1.0
0.026652837172150612 | 0 | 1.0
0.037806376814842224 | 1 | 1.0
0.045028094202280045 | 0 | 1.0
0.056115735322237015 | 1 | 1.0
0.06327085942029953 | 0 | 1.0
0.07429038733243942 | 1 | 1.0
0.08137612044811249 | 0 | 1.0
0.09232373535633087 | 1 | 1.0
0.09933573007583618 | 1 | 1.0
0.11020602285861969 | 0 | 1.0
0.12493076175451279 | 1 | 1.0
0.1357165277004242 | 0 | 1.0
0.1503552943468094 | 1 | 1.0
0.16105392575263977 | 0 | 1.0
0.17560283839702606 | 1 | 1.0
0.18620990216732025 | 1 | 1.0
0.20066316425800323 | 0 | 1.0
0.21895813941955566 | 1 | 1.0
0.23330780863761902 | 0 | 1.0
0.251496821641922 | 1 | 1.0
Total reward: 53.0
5.4, -1.3, -0.9, -0.5, -2.8, 2.2, -3.2, 1.9, -3.0, -4.2
parameter ends

state | action | reward
[0.02] | 0 | 1.0
0.01697947457432747 | 1 | 1.0
0.012408432550728321 | 0 | 1.0
0.011742074973881245 | 1 | 1.0
0.007173884194344282 | 0 | 1.0
0.0065087522380054 | 1 | 1.0
0.001940156682394445 | 0 | 1.0
0.0012730024755001068 | 1 | 1.0
-0.003299222094938159 | 0 | 1.0
-0.003971656318753958 | 1 | 1.0
-0.00855078361928463 | 0 | 1.0
-0.00923184584826231 | 1 | 1.0
-0.013821277767419815 | 0 | 1.0
-0.014514490030705929 | 1 | 1.0
-0.01911783777177334 | 0 | 1.0
-0.01982698030769825 | 1 | 1.0
-0.024448152631521225 | 0 | 1.0
-0.025177348405122757 | 1 | 1.0
-0.02982063591480255 | 0 | 1.0
-0.030574457719922066 | 1 | 1.0
-0.03524462506175041 | 0 | 1.0
-0.0360281839966774 | 1 | 1.0
-0.04073058068752289 | 1 | 1.0
-0.041549649089574814 | 0 | 1.0
-0.03848840668797493 | 1 | 1.0
-0.039349570870399475 | 0 | 1.0
-0.036330800503492355 | 1 | 1.0
-0.03723495826125145 | 0 | 1.0
-0.034260157495737076 | 1 | 1.0
-0.03520924970507622 | 0 | 1.0
-0.03228097781538963 | 1 | 1.0
-0.03327800706028938 | 1 | 1.0
-0.030399922281503677 | 0 | 1.0
-0.02364935353398323 | 1 | 1.0
-0.020826347172260284 | 0 | 1.0
-0.01413040328770876 | 1 | 1.0
-0.011362044140696526 | 0 | 1.0
-0.004721096251159906 | 1 | 1.0
-0.0020082828123122454 | 0 | 1.0
0.004575973376631737 | 1 | 1.0
0.00723101943731308 | 0 | 1.0
0.013755541294813156 | 1 | 1.0
0.01634926348924637 | 1 | 1.0
0.022809628397226334 | 0 | 1.0
0.033133454620838165 | 1 | 1.0
0.039523687213659286 | 0 | 1.0
0.04977698624134064 | 1 | 1.0
0.05609607324004173 | 0 | 1.0
0.06627677381038666 | 1 | 1.0
0.07252204418182373 | 1 | 1.0
0.08262640237808228 | 0 | 1.0
0.096586674451828 | 1 | 1.0
0.10660910606384277 | 0 | 1.0
0.12048711627721786 | 1 | 1.0
0.13042668998241425 | 0 | 1.0
0.1442202478647232 | 1 | 1.0
0.15407414734363556 | 0 | 1.0
0.16777920722961426 | 1 | 1.0
0.1775427907705307 | 1 | 1.0
0.1911533623933792 | 0 | 1.0
0.20860637724399567 | 1 | 1.0
0.22211436927318573 | 0 | 1.0
0.23946237564086914 | 1 | 1.0
Total reward: 63.0
5.4, -1.3, -0.9, -0.5, -2.8, 2.2, -3.2, 1.9, -3.0, -4.2
parameter ends

state | action | reward
[-0.01] | 0 | 1.0
-0.014456036500632763 | 1 | 1.0
-0.018530841916799545 | 0 | 1.0
-0.018694935366511345 | 1 | 1.0
-0.02275458350777626 | 0 | 1.0
-0.022905390709638596 | 1 | 1.0
-0.026953725144267082 | 0 | 1.0
-0.027094947174191475 | 1 | 1.0
-0.03113548830151558 | 0 | 1.0
-0.03127054125070572 | 1 | 1.0
-0.03530656918883324 | 0 | 1.0
-0.035438671708106995 | 1 | 1.0
-0.03947332501411438 | 0 | 1.0
-0.039605580270290375 | 1 | 1.0
-0.043641917407512665 | 0 | 1.0
-0.04377739876508713 | 1 | 1.0
-0.04781848192214966 | 0 | 1.0
-0.04796029254794121 | 1 | 1.0
-0.05200926586985588 | 0 | 1.0
-0.05216064304113388 | 1 | 1.0
-0.056220803409814835 | 0 | 1.0
-0.05638517066836357 | 1 | 1.0
-0.06046004593372345 | 0 | 1.0
-0.06064111366868019 | 1 | 1.0
-0.0647345557808876 | 0 | 1.0
-0.06493639945983887 | 1 | 1.0
-0.06905264407396317 | 0 | 1.0
-0.06927980482578278 | 1 | 1.0
-0.0734236016869545 | 1 | 1.0
-0.07368116825819016 | 0 | 1.0
-0.07005519419908524 | 1 | 1.0
-0.07034897059202194 | 0 | 1.0
-0.06675907224416733 | 1 | 1.0
-0.0670890286564827 | 0 | 1.0
-0.06353568285703659 | 1 | 1.0
-0.06390269100666046 | 0 | 1.0
-0.0603872686624527 | 1 | 1.0
-0.06079309806227684 | 0 | 1.0
-0.05731790140271187 | 1 | 1.0
-0.05776524171233177 | 1 | 1.0
-0.05433352291584015 | 0 | 1.0
-0.04702511057257652 | 1 | 1.0
-0.04364119470119476 | 0 | 1.0
-0.036379728466272354 | 1 | 1.0
-0.033042438328266144 | 0 | 1.0
-0.025827424600720406 | 1 | 1.0
-0.022536737844347954 | 0 | 1.0
-0.015368820168077946 | 1 | 1.0
-0.012125859037041664 | 0 | 1.0
-0.005006830673664808 | 1 | 1.0
-0.0018138574669137597 | 0 | 1.0
0.005253321025520563 | 1 | 1.0
0.008392877876758575 | 1 | 1.0
0.015404034405946732 | 0 | 1.0
0.0262838713824749 | 1 | 1.0
0.03323347494006157 | 0 | 1.0
0.044051747769117355 | 1 | 1.0
0.05093942582607269 | 0 | 1.0
0.061694856733083725 | 1 | 1.0
