1.0, 1.0, 2.3, -4.6, -3.4, 2.3, -1.8, 5.3, 2.9, -1.1
parameter ends

state | action | reward
[0.02] | 0 | 1.0
0.015072966925799847 | 1 | 1.0
0.010335130617022514 | 0 | 1.0
0.009496371261775494 | 1 | 1.0
0.004750000312924385 | 0 | 1.0
0.003900471143424511 | 1 | 1.0
-0.000858810031786561 | 0 | 1.0
-0.0017236407147720456 | 1 | 1.0
-0.0065004643984138966 | 0 | 1.0
-0.007385447155684233 | 1 | 1.0
-0.0121848089620471 | 0 | 1.0
-0.01309522520750761 | 1 | 1.0
-0.017922593280673027 | 0 | 1.0
-0.018864277750253677 | 1 | 1.0
-0.023725705221295357 | 0 | 1.0
-0.02470516227185726 | 1 | 1.0
-0.029607411473989487 | 0 | 1.0
-0.030631955713033676 | 1 | 1.0
-0.035582609474658966 | 0 | 1.0
-0.036660488694906235 | 1 | 1.0
-0.04166807606816292 | 0 | 1.0
-0.04280860349535942 | 1 | 1.0
-0.047882698476314545 | 1 | 1.0
-0.04909638315439224 | 0 | 1.0
-0.04645540192723274 | 1 | 1.0
-0.047754231840372086 | 0 | 1.0
-0.04520295932888985 | 1 | 1.0
-0.04659406468272209 | 0 | 1.0
-0.04414094239473343 | 1 | 1.0
Total reward: 29.0
1.0, 1.0, 2.3, -4.6, -3.4, 2.3, -1.8, 5.3, 2.9, -1.1
parameter ends

state | action | reward
[0.] | 0 | 1.0
-0.00017211318481713533 | 0 | 1.0
-0.004761658143252134 | 1 | 1.0
-0.013248751871287823 | 0 | 1.0
-0.01783052459359169 | 1 | 1.0
-0.026315251365303993 | 0 | 1.0
-0.03089982643723488 | 1 | 1.0
-0.03939249739050865 | 1 | 1.0
-0.043990377336740494 | 0 | 1.0
-0.04469733685255051 | 1 | 1.0
-0.04931921511888504 | 0 | 1.0
-0.05005253851413727 | 1 | 1.0
-0.054702892899513245 | 0 | 1.0
-0.055467426776885986 | 1 | 1.0
-0.0601513646543026 | 0 | 1.0
-0.060952648520469666 | 1 | 1.0
-0.06567598879337311 | 0 | 1.0
-0.06652037054300308 | 1 | 1.0
-0.07128976285457611 | 0 | 1.0
-0.07218453288078308 | 1 | 1.0
-0.07700755447149277 | 0 | 1.0
-0.0779610276222229 | 1 | 1.0
-0.08284632116556168 | 1 | 1.0
-0.08386798202991486 | 0 | 1.0
-0.08103121072053909 | 1 | 1.0
-0.0821320116519928 | 0 | 1.0
-0.07937809079885483 | 1 | 1.0
-0.08056404441595078 | 0 | 1.0
-0.07790020853281021 | 1 | 1.0
-0.07917897403240204 | 0 | 1.0
