-2.8, -2.8, 3.8, -3.8, 5.8, -4.8, 4.8, 3.8, 5.8, 4.8
parameter ends

state | action | reward
[0.04] | 0 | 1.0
0.037416040897369385 | 0 | 1.0
0.03336333855986595 | 1 | 1.0
0.025398297235369682 | 0 | 1.0
0.02132345736026764 | 1 | 1.0
0.013331666588783264 | 0 | 1.0
0.009224465116858482 | 1 | 1.0
0.0011956688249483705 | 0 | 1.0
-0.002954688621684909 | 1 | 1.0
-0.011031359434127808 | 0 | 1.0
-0.015236426144838333 | 0 | 1.0
-0.023372599855065346 | 1 | 1.0
-0.03544079139828682 | 0 | 1.0
-0.04364870488643646 | 1 | 1.0
-0.0557950958609581 | 0 | 1.0
Total reward: 15.0
-2.8, -2.8, 3.8, -3.8, 5.8, -4.8, 4.8, 3.8, 5.8, 4.8
parameter ends

state | action | reward
[-0.05] | 0 | 1.0
-0.046647809445858 | 1 | 1.0
-0.05016973242163658 | 0 | 1.0
-0.049789391458034515 | 0 | 1.0
-0.053313255310058594 | 1 | 1.0
-0.06074124202132225 | 0 | 1.0
-0.06427006423473358 | 1 | 1.0
-0.07170775532722473 | 0 | 1.0
-0.07525131106376648 | 1 | 1.0
-0.08270837366580963 | 0 | 1.0
-0.08627663552761078 | 1 | 1.0
-0.09376303851604462 | 0 | 1.0
-0.09736640006303787 | 1 | 1.0
-0.10489258170127869 | 0 | 1.0
-0.1085420548915863 | 0 | 1.0
-0.11611910164356232 | 1 | 1.0
-0.1276247799396515 | 0 | 1.0
-0.1352643519639969 | 1 | 1.0
-0.14683932065963745 | 0 | 1.0
-0.1545601189136505 | 1 | 1.0
Total reward: 20.0
-2.8, -2.8, 3.8, -3.8, 5.8, -4.8, 4.8, 3.8, 5.8, 4.8
parameter ends

state | action | reward
[-0.01] | 0 | 1.0
-0.0045994967222213745 | 0 | 1.0
-0.008104749955236912 | 1 | 1.0
-0.015516099520027637 | 0 | 1.0
-0.019030166789889336 | 1 | 1.0
-0.02645471692085266 | 0 | 1.0
-0.029986776411533356 | 1 | 1.0
-0.03743366524577141 | 0 | 1.0
-0.040993187576532364 | 1 | 1.0
-0.04847192019224167 | 0 | 1.0
-0.052068859338760376 | 1 | 1.0
-0.059589482843875885 | 0 | 1.0
-0.06323448568582535 | 0 | 1.0
