-0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, 6.0, 6.0, 6.0
parameter ends

state | action | reward
[1.25] | [4.99 4.99 4.99] | 0.9711963560517177
1.2517425004352842 | [2.97 2.97 2.97] | 1.0447195763987223
1.2504052819160174 | [2.32 2.32 2.32] | 1.0720073438918676
1.2482056100091947 | [1.46 1.46 1.46] | 1.1028897230085386
1.2451432310793016 | [0.48 0.48 0.48] | 1.1218363826775009
1.2412846471019396 | [0.12 0.12 0.12] | 1.1222119366483554
1.2367414193335606 | [0.15 0.15 0.15] | 1.190099273692912
1.2329050942454693 | [0.19 0.19 0.19] | 1.3238241281720735
1.231163172529163 | [0.06 0.06 0.06] | 1.423413867560323
1.2311769739872471 | [0.23 0.23 0.23] | 1.5092017781458573
1.2326062120947745 | [-0.11 -0.11 -0.11] | 1.5635311386592965
1.2351201578889772 | [0.64 0.64 0.64] | 1.6506098230233537
1.238445870848373 | [-1.03 -1.03 -1.03] | 1.6190289851689847
1.2423195468807788 | [3.57 3.57 3.57] | 1.6052050184403877
1.246397338660214 | [-0.69 -0.69 -0.69] | 1.703422950322828
1.2505846043129976 | [2.48 2.48 2.48] | 1.7423064842466978
1.2546819110952423 | [-1.8 -1.8 -1.8] | 1.7774836405871854
1.2587625631320218 | [2.76 2.76 2.76] | 1.7786659292699525
1.262626460375585 | [-1.57 -1.57 -1.57] | 1.8149472507825797
1.2662977304247862 | [2.99 2.99 2.99] | 1.8043083127669912
1.2696290474516005 | [-1.37 -1.37 -1.37] | 1.8423332767490779
1.272649720960511 | [3.18 3.18 3.18] | 1.822722298309595
1.2752695340951274 | [-1.2 -1.2 -1.2] | 1.8679582497247993
1.277469743235758 | [3.39 3.39 3.39] | 1.8328885896662275
1.2790523131524252 | [-0.27 -0.27 -0.27] | 1.9190978658529585
1.2800924468754884 | [2.08 2.08 2.08] | 1.958016459230266
1.280570922799585 | [-0.79 -0.79 -0.79] | 1.9779692546167889
1.2804574195846123 | [2.87 2.87 2.87] | 1.968342958594727
1.2796687480764177 | [-0.81 -0.81 -0.81] | 2.0011763637300937
