-2.0, 4.0, -1.0, 3.0, -3.0, 2.0, -4.0, 1.0, 3.5, 0.5, -2.5, 4.5, -1.5, 2.5, -3.5, 6.0, -6.0, -6.0, 1.0, -1.0, 0.0, 2.0, -2.0, 1.0, -3.0, 3.0, -1.0, 0.5, -0.5, 0.0, 1.5, -1.5, 0.0, 6.0, 6.0, 6.0
parameter ends

state | action | reward
[1.25] | [ 3.49 11.01  4.72] | 0.8674201393559722
1.2513526636756336 | [5.92 8.58 4.57] | 0.925958960716532
1.250067332758638 | [8.19 6.32 4.38] | 0.9582431398351
1.2479163183902042 | [10.4   4.14  4.15] | 0.9695360116869846
1.2449014781344894 | [12.55  2.02  3.88] | 0.9612037384969156
1.2410261643048348 | [14.64 -0.03  3.58] | 0.9339598955978238
1.2363823620821472 | [16.57 -1.91  3.08] | 0.9351401286784312
1.2334473756447712 | [15.97 -1.22  2.09] | 0.9732819944809088
1.2330394275743701 | [15.11 -0.25  1.13] | 1.0425289823633253
1.2347282721567727 | [15.7  -0.69  0.04] | 1.0466521817404995
1.2379581779911195 | [13.84  1.33 -0.69] | 1.15397723997797
1.2421470075807717 | [14.43  0.9  -1.44] | 1.267816083218982
1.2469874619014008 | [14.16  1.3  -1.91] | 1.3850699013479895
1.2521299072137475 | [14.25  1.31 -2.24] | 1.4914276181817063
1.2573342203599573 | [14.41  1.2  -2.41] | 1.5900732781560845
1.2623952322469585 | [14.63  1.01 -2.45] | 1.6835656305719164
1.2671562569708674 | [14.88  0.76 -2.38] | 1.7614462168279716
1.2714939958756062 | [14.54  1.05 -2.19] | 1.855264629190688
1.2752783969137067 | [14.83  0.69 -1.92] | 1.9268769495758666
1.2783391057220077 | [14.35  1.06 -1.52] | 2.0179364885416695
1.280474854374599 | [14.63  0.64 -1.05] | 1.9529714495881738
1.2817420920020606 | [ 6.61  8.51 -0.27] | 1.7238651983468003
1.2829016290096016 | [ 0.95 14.09  0.25] | 1.4630183259783134
1.2838236049761467 | [-1.   15.98  0.52] | 1.2925420648607877
