5.0, 1.2, -0.5, -6.0, -3.3, 4.0, 3.5, 1.0, 3.5, -0.8, 5.0, -2.0, 0.5, -1.5, 6.0, 6.0, 5.0, 5.0, -1.0, 2.1, 2.1, 0.1, -4.0, 3.1, -0.5, 2.1, 5.5, 0.0, -0.6, 1.5, 2.0, -1.0, -3.9, 6.0, 5.0, 6.0
parameter ends

state | action | reward
[1.25] | [12.27  6.47  5.38] | 0.8406466096786589
1.2498110016057224 | [15.76  3.38  2.5 ] | 0.820661824895044
1.2484659687905135 | [18.67  2.5  -4.32] | 0.6847258174931175
1.2465210257466741 | [15.51  4.28  0.29] | 0.7737563643665613
1.2440502641589228 | [16.39  3.88 -1.7 ] | 0.7283861870384469
1.2410462157528126 | [13.34  5.31  3.43] | 0.7943125770132976
1.2374180001703066 | [16.46  3.65 -2.11] | 0.7226976446246842
1.2331638804461706 | [13.42  4.98  3.2 ] | 0.796453051889736
1.2282823556704046 | [16.55  3.28 -2.25] | 0.7268957898852719
1.2229164180718335 | [13.27  4.97  3.89] | 0.8608017437239042
1.2184743392886068 | [15.64  4.34  1.85] | 0.9329305975390296
1.2153905249565282 | [1.80e+01 3.77e+00 1.77e-03] | 0.9566255460834026
1.213581721965665 | [17.34  4.54  2.49] | 1.0523183642602025
1.212892615448347 | [19.73  3.88  0.32] | 1.0696332142105007
1.2132866304580638 | [20.13  4.11  1.14] | 1.1415709977460766
1.2146357907929723 | [22.6   3.33 -1.19] | 1.0905132323638027
1.2166982089272493 | [19.22  5.22  5.01] | 1.227042815021905
1.219140326963622 | [21.88  4.19  1.89] | 1.2452111670045627
1.2220918710086177 | [24.53  3.13 -0.97] | 1.1704631947401962
1.2253514804997727 | [21.37  4.77  4.63] | 1.3087552602290025
1.228656700600848 | [24.15  3.53  1.2 ] | 1.303506946542197
1.2321652771839133 | [26.91  2.29 -1.88] | 1.200352742773663
1.2357470680081515 | [23.73  3.84  3.68] | 1.3645105006051779
1.2391963848903909 | [26.58  2.47  0.13] | 1.303368727614606
1.2425814336215402 | [26.81  2.34  0.57] | 1.3385962406376375
1.2458512854160857 | [28.38  1.55 -0.88] | 1.270492842970155
1.2489401369644533 | [25.6   2.83  3.94] | 1.4222707793517242
1.2517352010695846 | [28.5   1.34  0.26] | 1.3491097174481164
1.254298754490992 | [29.15  0.94  0.08] | 1.3464562009633636
1.256608420599771 | [29.27  0.78  0.63] | 1.3853009322842293
1.2586519562048488 | [31.04 -0.18 -1.1 ] | 1.2871068264318843
1.2604581343422543 | [27.84  1.53  3.77] | 1.4769928948627826
1.2619221329439527 | [30.81 -0.25  0.42] | 1.355491311316567
1.2631130840110758 | [27.24  1.9   5.92] | 1.4886052445148672
1.264338869409587 | [21.87  3.7  16.99] | 0.437300200918758
Total reward: 38.27386410904313
5.0, 1.2, -0.5, -6.0, -3.3, 4.0, 3.5, 1.0, 3.5, -0.8, 5.0, -2.0, 0.5, -1.5, 6.0, 6.0, 5.0, 5.0, -1.0, 2.1, 2.1, 0.1, -4.0, 3.1, -0.5, 2.1, 5.5, 0.0, -0.6, 1.5, 2.0, -1.0, -3.9, 6.0, 5.0, 6.0
parameter ends

state | action | reward
[1.25] | [12.24  6.51  5.44] | 0.8488915944108677
1.2480480757723296 | [15.8   3.12  3.04] | 0.8326037030621793
1.2467149747879893 | [18.68  2.4  -4.1 ] | 0.6961559198906027
1.2447888053451437 | [15.49  4.27  0.35] | 0.7815300078755005
1.2423341257358036 | [16.55  3.82 -2.06] | 0.7287436777690224
1.239341579362709 | [13.49  5.28  3.04] | 0.7987984012904616
1.235726019193538 | [16.61  3.63 -2.51] | 0.7215598370338483
1.2314850572009168 | [13.58  4.96  2.82] | 0.800324105419554
1.2266168723939703 | [16.7   3.26 -2.63] | 0.7284041096606468
1.2213238802817339 | [13.39  5.    3.74] | 0.8729790263444537
1.2170058097672551 | [15.78  4.34  1.76] | 0.9466498422078372
