0.5, -0.0, -3.1, -3.1, -1.3, 1.0, 1.4, -7.6, 3.5, 0.3, -5.0, 3.2, 1.3, 2.6, 1.0, 5.1, -2.8, 2.6, 1.6, -1.9, -2.5, 0.7, 0.9, 5.0, -2.7, -3.2, -1.1, 0.7, -7.5, 2.8, -2.4, 4.1, 4.1, 2.7, -1.8, -0.5
parameter ends

state | action | reward
[1.25] | [ 3.29 -1.78 -4.37] | 0.8912386018517452
1.2543833541847136 | [  4.33   1.89 -16.78] | 0.5978633054635465
1.2538107395678662 | [  9.74 -14.52 -15.54] | 0.3302081551717245
1.2528376028218362 | [ 10.78 -10.74 -28.06] | -0.28870029697163335
1.2515348138645088 | [ 11.81  -6.94 -40.6 ] | -1.2541101587381256
1.2498214643640513 | [ 12.59  -3.15 -52.87] | -2.6972183146571824
1.249726656125282 | [  8.99   1.29 -58.97] | -3.552391568261597
1.252639842073792 | [ 11.37 -13.78 -52.58] | -3.281696784980949
1.258119194854131 | [  9.24  -8.81 -60.34] | -4.3300074138371265
1.2657293056313974 | [  7.46  -3.89 -68.8 ] | -5.64209065031563
1.2749105463814114 | [  5.96   0.91 -77.93] | -7.102211329304895
1.285286501739895 | [  9.72 -13.53 -75.16] | -8.056294079613188
Total reward: -34.38541053419331
