-0.7, 4.2, 1.7, 0.1, -7.6, 3.0, -2.2, 6.2, -3.2, -5.7, 1.0, 1.2, 1.8, 3.0, 0.8, -5.4, 1.1, 2.2, 1.1, 3.4, -2.2, 3.9, 5.0, 1.4, -0.9, -1.8, 0.2, -2.5, 1.7, -1.5, -1.8, 0.2, -0.1, 3.2, -0.0, -0.8
parameter ends

state | action | reward
[1.25] | [2.33 5.23 1.31] | 1.0268785450801923
1.2498967571253037 | [0.57 7.67 2.24] | 1.0125959579259478
1.2485368998214017 | [-2.67  6.61  2.04] | 0.9962065059955673
1.2463411189390896 | [-8.34  2.93  0.1 ] | 0.9056401041790482
1.2434154643705544 | [-11.6   -0.95  -1.85] | 0.7057961004052246
1.2399732137712727 | [-10.52  -9.31  -2.96] | 0.4382441528851318
1.2360256928203783 | [ -9.32 -17.97  -3.96] | 0.019560549510777736
1.23129458298079 | [ -8.12 -26.74  -4.89] | -0.5541152096698041
1.2253907858513708 | [ -6.98 -35.7   -5.7 ] | -2.290564485821939
Total reward: 2.260242220490147
