3.4, 0.3, 0.9, 4.5, 2.5, -0.5, -1.5, -2.5, 3.2, -4.2, 0.2, 4.5, -5.5, 3.0, 4.5, -0.2, -4.8, -3.8, -1.5, 2.5, -2.5, -2.5, -1.0, -4.5, 2.2, -3.0, -0.5, 5.3, 1.8, 3.2, 6.0, 2.0, -4.0, 5.0, 2.0, 0.0
parameter ends

state | action | reward
[1.25] | [9.26 2.39 1.05] | 0.98976579675667
1.2489436164898156 | [19.57  1.95 -7.63] | 0.6249733119922639
1.2478664807719042 | [10.17  0.82  0.35] | 0.9204152582998574
1.2462688233824963 | [12.67  2.39 -0.61] | 0.8357167418828664
1.2440909829166105 | [7.37 1.05 3.68] | 0.9309875930784034
1.2412445776472538 | [15.86  3.65 -1.91] | 0.7280131869522872
1.2377737144282948 | [7.38 0.9  4.35] | 0.9215453406927102
1.2336758497468503 | [15.97  3.3  -1.45] | 0.7284668930591321
1.228950180577316 | [7.54 0.46 4.71] | 0.9170892553729475
1.223596949506818 | [16.07  2.8  -1.14] | 0.7299798516796636
1.217615479173312 | [ 7.71 -0.03  5.02] | 0.9200695826590642
1.2113574880017284 | [13.17  1.64 -0.66] | 0.8930071119692334
1.20618607479675 | [ 5.72 -0.69  4.31] | 1.0155550420255948
1.2023738243624678 | [ 8.9   1.2  -2.62] | 1.0001453719655284
1.200198210436668 | [7.05 0.72 3.47] | 1.1548072999792764
1.1992003689982575 | [15.01  2.78 -1.42] | 1.0378328956749023
1.1991283084381128 | [7.21 1.12 3.39] | 1.1410780323688627
1.1997046897902852 | [12.12  2.71 -2.52] | 1.0108322258137676
1.2007165556630732 | [5.02 1.09 2.49] | 1.1103948124234222
1.201981115453135 | [11.64  3.   -3.25] | 0.9805014246747014
1.2033685365816298 | [4.86 1.24 2.14] | 1.0945701227723923
1.2047976549403687 | [12.12  3.28 -3.59] | 0.9560884635875786
1.2061807422146533 | [5.17 1.33 2.03] | 1.0888962860056817
1.207483195937397 | [12.66  3.41 -3.72] | 0.9511988260323067
1.2085262886271857 | [4.49 0.72 2.45] | 1.1240786173856434
1.2092179721664111 | [12.03  2.84 -3.24] | 1.0040022626499485
1.2096242420605072 | [3.74 0.09 3.04] | 1.1551750297506402
1.2097032784178765 | [11.12  2.18 -2.65] | 1.0479371372261588
1.209645282991537 | [4.32 0.28 3.01] | 1.1436516567371644
1.2096207832362311 | [11.69  2.34 -2.72] | 1.0153371083292944
1.2096645414663503 | [5.51 0.82 2.52] | 1.1161227572561514
1.209773757246065 | [12.88  2.87 -3.24] | 0.966427640771348
1.2099047841700938 | [6.37 1.19 2.1 ] | 1.0958711977093385
1.210064803397864 | [13.69  3.23 -3.66] | 0.9308460748080984
1.2102097571778336 | [6.92 1.42 1.8 ] | 1.0821652483260205
1.2103574105412445 | [14.19  3.45 -3.95] | 0.9254134150890947
1.210259794749864 | [5.78 0.68 2.32] | 1.1300404128764008
1.2098985493646253 | [12.95  2.72 -3.34] | 0.9828614854900506
