3.5, 0.3, 0.9, 4.5, 2.5, -0.5, -1.4, -2.5, 3.2, -4.2, 0.2, 4.5, -5.5, 3.0, 4.5, -0.2, 4.8, -0.4, -1.5, 2.5, -2.5, -2.5, -1.0, -4.5, 2.2, -3.0, -0.5, 5.3, 1.8, 3.2, 6.0, 1.8, -5.0, 4.8, 1.5, -0.2
parameter ends

state | action | reward
[1.25] | [9.16 1.86 0.91] | 0.9623776457413086
1.248993587278494 | [ 16.94  -0.78 -11.12] | 0.607444415643062
1.2479626104883745 | [ 5.08 -2.35 -1.62] | 0.8271206431887687
1.246650356165034 | [-7.87 -5.74  5.82] | 0.5718828479244125
1.2447771436567534 | [-3.96 -0.59  2.59] | 0.5433518522134955
1.241949730007685 | [1.95 5.6  0.42] | 0.5751174054331065
1.2381157474350315 | [10.11  3.6  -6.55] | 0.6320039361008221
1.233698644166083 | [ 6.54 -1.94 -3.08] | 0.7797996705628094
1.2289156712756295 | [ -7.12 -12.89  -4.26] | 0.4417393361234755
1.2238703860990052 | [-14.59 -11.54   5.04] | -0.007059731096269506
1.2196891726824397 | [-4.7  -4.89 -0.92] | 0.015791839307349897
1.2161603966819343 | [-8.74 -2.62  6.03] | -0.33439488622697766
1.2127477255467138 | [-1.42  3.15  1.29] | -1.2817475472556745
Total reward: 4.3334274276596885
3.5, 0.3, 0.9, 4.5, 2.5, -0.5, -1.4, -2.5, 3.2, -4.2, 0.2, 4.5, -5.5, 3.0, 4.5, -0.2, 4.8, -0.4, -1.5, 2.5, -2.5, -2.5, -1.0, -4.5, 2.2, -3.0, -0.5, 5.3, 1.8, 3.2, 6.0, 1.8, -5.0, 4.8, 1.5, -0.2
parameter ends

state | action | reward
[1.25] | [9.17 1.84 0.9 ] | 0.9287994083432292
1.2508177289693745 | [17.21  3.9  -5.63] | 0.6769319467116989
1.2497617304808284 | [8.75 1.09 1.93] | 0.9371324645958923
1.2480791869893768 | [17.28  3.52 -5.14] | 0.6793559603779067
1.2457708952016293 | [8.77 0.74 2.45] | 0.9309035758942192
1.2428369041092735 | [17.27  3.15 -4.62] | 0.6832439802051808
1.2392770462596703 | [8.8  0.38 2.96] | 0.9242416717729152
1.2350914816125487 | [17.27  2.78 -4.13] | 0.6868640887706167
1.2302795589981517 | [8.85 0.02 3.46] | 0.9175108441257623
1.2248417402698013 | [17.27  2.38 -3.66] | 0.6901853768984836
1.2187772186078094 | [ 8.92 -0.35  3.94] | 0.9157923257682999
1.2131008851239067 | [11.28  0.94 -2.65] | 0.9619278642504681
1.2086024810247589 | [4.95 0.15 7.51] | 1.1282758647245175
1.2050876847120333 | [9.51 2.3  1.45] | 1.2006457051399844
1.2027002425712803 | [14.07  4.54 -4.45] | 1.1014661641519607
1.2011992373965914 | [4.08 1.67 3.86] | 1.3392801895293758
1.2002703213942938 | [ 9.83  4.06 -2.26] | 1.2588451854221363
1.2001789357564743 | [3.37 2.03 3.64] | 1.3395078060392482
1.2006551296039143 | [ 9.88  4.46 -2.79] | 1.2434153877625758
1.2015248602356772 | [3.55 2.33 3.2 ] | 1.329518049592305
1.2026207260687607 | [10.55  4.76 -3.45] | 1.2110171036983268
1.203841048586007 | [4.02 2.54 2.76] | 1.3166696055860845
1.2051061152673617 | [11.34  4.96 -4.03] | 1.1771740180955548
1.20634712791245 | [4.54 2.65 2.4 ] | 1.3040958459067324
1.2075208207691137 | [12.05  5.08 -4.47] | 1.162928660584209
1.208382645195022 | [3.7  2.3  3.03] | 1.3380436137300848
1.2088640629514256 | [11.32  4.73 -3.77] | 1.1997685656629171
1.2092369283014888 | [4.52 2.42 2.69] | 1.3183010368486696
1.2095602916667616 | [12.09  4.84 -4.17] | 1.158394106156417
1.2098571654742372 | [5.58 2.64 2.02] | 1.2908780771751711
1.21012744352478 | [13.1   5.06 -4.86] | 1.11465024312359
1.2102676063668165 | [6.05 2.69 1.72] | 1.2834918575114738
1.2103116388991397 | [13.51  5.12 -5.12] | 1.1091980593617607
1.210106160355548 | [5.91 2.59 1.88] | 1.2979515923820295
1.209796570888935 | [13.28  5.02 -4.88] | 1.1131703023509463
1.2095344635990775 | [6.86 2.86 1.23] | 1.2724408430795735
1.2093331186936138 | [14.13  5.29 -5.55] | 1.0709664486711916
1.2091483190488128 | [7.48 3.07 0.72] | 1.2496287293925847
1.2089667971763154 | [12.65  4.77 -4.07] | 1.106114455198782
1.2088130275909001 | [6.22 2.62 1.99] | 1.2472147613840299
1.2087044331271366 | [13.55  5.05 -4.83] | 1.0647759570822646
1.2085995798912637 | [6.92 2.84 1.4 ] | 1.2336560115353323
1.2085161358797012 | [14.21  5.27 -5.4 ] | 1.0525021222135171
1.2081854981139377 | [5.96 2.55 2.08] | 1.2800874870709815
1.207619468882933 | [13.2   4.99 -4.61] | 1.104318676194511
1.207163920952603 | [6.87 2.88 1.41] | 1.2606435737384332
1.2068257106460114 | [14.02  5.32 -5.31] | 1.0683475591126201
1.2065514710954093 | [7.42 3.13 0.89] | 1.2497377569215153
1.2063409160562848 | [13.76  5.29 -5.07] | 1.0736832965108647
1.2061661827895664 | [7.1  3.09 1.17] | 1.253146821606227
1.206042456944575 | [14.28  5.52 -5.58] | 1.0717932293367898
1.2056945333529787 | [5.87 2.76 2.05] | 1.310772149566618
1.2050975977395775 | [13.03  5.21 -4.62] | 1.1401339440841936
1.2046319839831527 | [6.69 3.12 1.39] | 1.2981064677182708
1.2042941867450878 | [13.81  5.56 -5.32] | 1.1104431859601278
1.2040273939750155 | [7.2  3.38 0.87] | 1.2916647390462992
1.2038225963825482 | [13.39  5.49 -4.96] | 1.1266336047110626
1.203609811011333 | [6.5  3.23 1.45] | 1.3080144960755113
1.203399481866741 | [13.71  5.67 -5.3 ] | 1.1357858637229168
1.2029911604795551 | [5.91 3.11 1.85] | 1.3456020114007896
1.2024868932124422 | [13.11  5.55 -4.86] | 1.1711239760600458
1.2020785682765385 | [6.7  3.46 1.16] | 1.3373963628330947
1.20176526549611 | [13.89  5.9  -5.59] | 1.1441988175359654
1.2014884091445992 | [7.24 3.73 0.62] | 1.3254755108993366
1.201220443317596 | [11.63  5.17 -3.45] | 1.209545676823314
1.201003926669497 | [5.35 3.13 2.4 ] | 1.33427260209116
1.2008378501723875 | [12.78  5.55 -4.45] | 1.1685005101595143
1.2006738638485082 | [6.28 3.44 1.58] | 1.3260261746687536
