3.5, 0.3, 0.9, 4.5, 2.5, -1.0, -2.0, -2.5, 3.2, -4.2, 0.2, 4.5, -5.5, 3.0, 4.5, -0.4, -5.0, -4.0, -1.5, 2.5, -2.5, -2.5, -1.0, -4.5, 2.2, -3.0, -0.5, 5.3, 1.8, 3.2, 7.0, 2.0, -4.5, 2.5, 5.5, 0.2
parameter ends

state | action | reward
[1.25] | [6.95 5.88 1.27] | 0.9727890709087242
1.2478713303394262 | [ 16.95   3.48 -10.32] | 0.657653727427325
1.2467972525681221 | [ 7.12  3.44 -0.4 ] | 0.9534800164861912
1.24528058874442 | [3.29 3.66 4.03] | 0.9708483794842171
1.243071989322293 | [13.34  6.78 -1.71] | 0.7776367894903737
1.24024082248861 | [3.47 4.3  5.54] | 0.9404026603609373
1.2367837891488787 | [13.5   6.8  -0.87] | 0.7734924518289019
1.232684221565238 | [4.9  4.33 5.17] | 0.9355466152464438
1.2279410605196759 | [14.91  6.67 -1.39] | 0.7369085260371442
1.2225702079391723 | [5.02 3.8  5.45] | 0.9370990057681862
1.2165711313049632 | [15.03  6.13 -1.13] | 0.7547935965759658
1.2103151402677172 | [3.24 2.94 6.27] | 1.023619897572973
1.2052334426046947 | [9.63 4.73 0.1 ] | 1.0261451173944098
1.20184648471223 | [ 9.55  5.19 -0.81] | 0.9976745998833416
1.200063018426786 | [3.7  4.44 3.25] | 1.0782608803042342
1.1993652438108586 | [10.71  6.19 -2.82] | 0.9701890490883142
1.1994849947425372 | [3.2  4.81 2.76] | 1.0849347798427587
1.2001644841765637 | [10.81  6.64 -3.4 ] | 0.9580583534318438
1.2012128438317837 | [3.1  5.01 2.49] | 1.0828733054137283
1.2024720112072267 | [11.19  6.95 -3.79] | 0.9398342709748859
1.2038223068128497 | [3.09 5.07 2.37] | 1.0815913270688404
1.2051931082604166 | [11.51  7.07 -3.97] | 0.9293051676818552
1.2065010003708159 | [3.07 5.02 2.4 ] | 1.0834840812867303
1.2077215946164377 | [11.66  7.06 -3.99] | 0.939771741137002
1.2086791349049675 | [1.84 4.29 2.98] | 1.1242257853494242
1.209314052499878 | [10.54  6.38 -3.34] | 1.0071232750965962
1.2096931472608385 | [0.74 3.62 3.66] | 1.1550280847619638
1.2097701126884732 | [ 9.43  5.76 -2.58] | 1.0679997507319992
1.209610839744626 | [-0.35  2.99  4.41] | 1.1649287357690032
1.2091780259720077 | [8.4  7.36 0.59] | 1.1364244910652304
1.2086908004877503 | [12.5   4.87 -6.55] | 1.0486750093952153
