0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 2.0, 0.5
parameter ends

state | action | reward
[1.25] | [4.  2.  0.5] | 1.0386441509800113
1.251938241642273 | [4.17 2.17 0.67] | 1.0499212470266774
1.250713092880511 | [4.13 2.13 0.63] | 1.0414634627973614
1.2487310833821508 | [4.13 2.13 0.63] | 1.0449598469049393
1.2459862048033705 | [4.14 2.14 0.64] | 1.0553937115854028
1.2424707362720928 | [4.17 2.17 0.67] | 1.0696682264935933
1.2381772412904477 | [4.2 2.2 0.7] | 1.0858465262028374
1.2330996041262217 | [4.25 2.25 0.75] | 1.2059576628936928
1.2290816934915234 | [4.65 2.65 1.15] | 1.3909956913992154
1.2275631002179566 | [5.02 3.02 1.52] | 1.5606438225912147
1.2283551928859036 | [5.36 3.36 1.86] | 1.716607276321377
1.2312085787243687 | [5.68 3.68 2.18] | 1.8631677328086598
1.2358385083462686 | [5.98 3.98 2.48] | 2.002709127082816
1.241935072606704 | [6.26 4.26 2.76] | 2.136617397561922
1.2491692658515041 | [6.54 4.54 3.04] | 2.2656441615880856
1.2571951400678316 | [6.81 4.81 3.31] | 2.382309671833279
1.2656746845200102 | [6.92 4.92 3.42] | 2.276011166308309
1.274936358879206 | [6.55 4.55 3.05] | 2.138815074139109
1.2846952648294105 | [6.32 4.32 2.82] | 2.0630832870662967
1.294413615577955 | [6.23 4.23 2.73] | 2.044081675930152
1.3035962742222804 | [6.21 4.21 2.71] | 2.0380695721470197
1.3121082464791902 | [6.2 4.2 2.7] | 2.036146955544524
1.3199038762762305 | [6.2 4.2 2.7] | 2.036013373007747
1.3269610111619394 | [6.2 4.2 2.7] | 1.036424960603475
Total reward: 39.57919578081772
