3.5, 0.3, 0.9, 4.5, 2.5, 2.0, 0.5, -2.5, 3.2, -4.2, 0.2, 4.5, -5.5, 3.0, 4.5, 0.0, -5.0, -4.0, -1.5, 2.5, -2.5, -2.5, -1.0, -4.5, 2.2, -3.0, -0.5, 5.3, 1.8, 3.2, 6.0, 2.0, -4.0, 6.0, 2.0, 0.5
parameter ends

state | action | reward
[1.25] | [10.38  2.41  1.68] | 0.8960918079721403
1.2501652217205108 | [18.91  4.68 -4.22] | 0.6152198351488356
1.249120766261949 | [10.42  1.85  1.97] | 0.8966137536190726
1.2474491140804531 | [19.    4.26 -3.78] | 0.6187688084272672
1.2451506755577546 | [10.53  1.5   2.47] | 0.8927691508549125
1.2422249456597636 | [19.12  3.93 -3.24] | 0.6202518527580463
1.2386723975179894 | [10.64  1.17  3.01] | 0.8876958364171166
1.234492553943121 | [19.23  3.61 -2.7 ] | 0.6211571538107544
1.229685898737407 | [10.75  0.84  3.54] | 0.8818646873870649
1.22425233106418 | [19.3   3.26 -2.19] | 0.6242278240582877
1.218250211103474 | [10.2   0.37  4.23] | 0.9454559988626071
1.2130770027330045 | [14.71  1.8  -0.99] | 0.9111887474535413
1.2090507141648905 | [ 4.68 -1.24  5.81] | 1.0420499347731849
1.2058432769002083 | [ 5.07 -0.43 -0.69] | 1.0096370030948154
1.2032866947439445 | [-3.69 -2.9   3.71] | 0.882646455303371
1.201227003162083 | [0.33 4.86 2.55] | 0.9054546792065178
1.1999501512734776 | [ 9.92  5.93 -3.63] | 0.9851790162279028
1.1995272079203008 | [ 6.74 -0.87 -3.53] | 1.0922396592901822
1.200003695193767 | [-2.07 -9.13 -7.31] | 0.7942369616774574
1.201460581455032 | [-9.02 -4.6   1.76] | 0.5761336774816342
1.2032306094153398 | [-3.07  3.31  0.21] | 0.5889032921509372
1.204447970378312 | [ 5.05 11.65  6.84] | 0.5416034271233067
1.2051474334341703 | [17.58  9.34 -4.19] | 0.5274667645884703
1.2056127330296922 | [13.96  2.1  -3.74] | 0.8949213043262403
1.2063387090383968 | [10.92 -4.86 -3.58] | 0.9605732034351212
1.2074420309996812 | [ 1.07 -8.23 -1.15] | 0.7779377058479453
1.2091332269874309 | [-6.66 -4.08  8.3 ] | 0.4761187975041177
1.2108771452977218 | [-1.23  3.56  6.96] | 0.48827314737411454
1.2118375276380537 | [12.78 13.69  9.33] | 0.2547944326102059
1.2121480236476156 | [25.63 11.6  -1.54] | 0.0852106616220738
1.212238727701725 | [21.88  4.31 -0.54] | 0.5345328440676945
1.2121614758751607 | [22.44  2.31  2.65] | 0.6230716249608403
1.211450445380468 | [35.62  7.89  0.68] | 0.0011921605554416903
1.2110995560560727 | [39.35  9.53 -1.53] | -0.10623073745890976
1.2118370729258086 | [32.22  7.18  6.54] | 0.5949279622039885
1.2132085177847258 | [39.29  9.02  2.12] | -0.013529805032781006
1.215033759606351 | [30.82  8.43 -6.26] | 0.25485487756741443
1.2171890793767912 | [14.18  4.42 -1.34] | 0.8927557157569095
1.2194085465499829 | [1.93 1.09 4.26] | 1.0116219625876424
1.2213524825831437 | [ 8.64  3.2  -1.59] | 0.9194240820718242
1.2229498294955048 | [-0.08  0.37  4.58] | 0.9763055042533231
1.2240889164591415 | [ 8.21  3.28 -0.41] | 0.9385272189455885
1.2247341386924775 | [5.42 1.73 1.98] | 1.0198746182465455
1.2249854552714259 | [13.25  3.63 -3.85] | 0.8834392038845484
1.224988479598721 | [5.38 0.87 2.47] | 1.0776046393749992
1.2247322586882785 | [12.94  2.9  -3.17] | 0.9538507813864272
1.224293464502624 | [4.96 0.24 3.27] | 1.1253216934307773
1.223651129684692 | [12.17  2.25 -2.34] | 1.025571155128579
1.2228864541824258 | [ 4.12 -0.39  4.14] | 1.1323821375346157
1.2219386136010961 | [ 8.99  1.26 -2.02] | 1.0994263962700883
1.2208681024363157 | [ 3.98 -0.85  5.2 ] | 1.1501189729341337
1.2196295003417037 | [ 6.71  0.41 -1.48] | 1.1272792805190477
1.2182770821533129 | [ 0.59 -1.9   5.44] | 1.1090319500213341
1.2167186198381843 | [ 2.82 -0.65 -1.31] | 1.0333950598700785
1.2150053304651078 | [-8.34 -3.97  4.3 ] | 0.8001459071879671
1.212891578689967 | [-4.72  3.1   3.8 ] | 0.8291876679181568
1.2104714181233984 | [ 6.77 12.58  6.54] | 0.8236612688083882
1.2083324709426955 | [15.81  9.44 -4.29] | 0.9505230861657217
1.2067796127473698 | [10.26  1.6  -3.09] | 1.3836942334656792
1.2056412924720101 | [ 5.2  -6.14 -1.94] | 1.4900118484709435
1.2044848099477443 | [ -8.01 -16.46  -4.21] | 0.994353659072136
1.2041036967932637 | [-12.64 -10.83   3.85] | 0.772312411372047
1.204683112973395 | [-4.91 -2.03  1.41] | 0.822047885668419
1.2050273565801812 | [ 1.33  6.04 -0.34] | 0.7968950538397399
1.2052093099287884 | [ 4.75  1.15 -4.56] | 0.9427669962497853
