4.6, -1.0, 1.2, 2.5, -5.2, 4.1, 5.3, -3.1, -0.4, 3.1
parameter ends

state | action | reward
[0.08] | [1.22] | 9.164146111186335
0.136208849083816 | [-29.54] | 9.272534968177595
0.19359052951212388 | [-10.18] | 9.290085231728881
0.15389756949575178 | [2.12] | 9.11804345036993
0.11753737478747954 | [-22.81] | 9.078790276371754
0.08388329235854537 | [-10.74] | -1.032229654895499
[0.1] | [0.63] | 9.275708615751427
0.13434730601833333 | [-19.49] | 9.3438945903236
0.15229589489500261 | [6.49] | 9.195483255905126
0.17167564550175987 | [-25.16] | 9.271145620197675
0.19325188908718294 | [-6.4] | 9.2531737554454
0.11474005248178604 | [10.48] | 9.080835645239043
0.03811475567251666 | [-18.17] | 9.031534544426092
-0.03777682754253135 | [4.72] | -1.3641523208547248
[-0.08] | [0.12] | 9.358907415947412
-0.07446273741934076 | [-3.07] | 9.207585652109728
-0.11429904767373587 | [28.06] | 9.33270617042757
-0.1554109453194228 | [3.76] | 9.296385100993344
-0.09490254220345533 | [-18.16] | 9.27781661294454
-0.03605567210822239 | [14.94] | 9.2779209729258
0.02230293760289799 | [-11.8] | 9.128436075215374
0.08079411961959612 | [21.41] | 9.12434763401801
0.14006120768971436 | [-7.88] | -1.185261533837747
[0.01] | [-0.38] | 9.325836060404482
-0.01041937012473984 | [12.13] | 9.303017352164527
-0.0027208481035176646 | [-15.88] | 9.309999421686687
0.003262062914856913 | [16.12] | 9.317983869515517
0.007688291250229904 | [-12.46] | 9.289843090382254
0.010412787745328143 | [19.59] | 9.332984065127784
0.011182117544948435 | [-7.21] | 9.244222574736149
0.009709754693884467 | [24.85] | 9.32318790160168
0.005250557344764755 | [4.35] | 9.296770721896833
0.09928072816353875 | [-15.15] | 9.30272746684805
0.19067106364359224 | [17.58] | 9.316969776285678
0.28071482790407226 | [-7.25] | 9.193728948230236
0.36985993116005816 | [25.91] | 9.224026143968063
0.45886319242406026 | [-0.52] | 9.063617058815566
0.5735340139040158 | [17.19] | -1.1178254534673742
[0.02] | [0.85] | 9.221988406443288
0.07588382477196007 | [-25.78] | 9.312599610858562
0.12292990364734913 | [-3.98] | 9.302383380234097
0.0725544033440696 | [13.68] | 9.278023033580528
0.025864313966615364 | [-17.95] | 9.328189230352917
-0.017699540323079334 | [0.73] | 9.214075812010407
-0.07202736205566686 | [-22.43] | 9.239766282123764
-0.13742760965869466 | [-6.63] | 9.158862651290919
-0.3037552793907993 | [15.41] | 9.008314229386434
-0.46967558307054746 | [-12.1] | -1.2439464913456288
[-0.09] | [0.01] | 9.359858590659217
-0.08537245674576066 | [-0.41] | 9.332417360246158
-0.10495415185015802 | [12.28] | 9.309767166851955
-0.09377982634641398 | [-17.12] | 9.325076284137387
-0.08307817550521858 | [14.16] | 9.314189249318934
-0.07249057733269834 | [-16.27] | 9.32444240457092
-0.06187288024449765 | [14.33] | 9.310188009185795
-0.05091708521513715 | [-16.75] | 9.330088020745835
-0.039429785932117024 | [12.91] | 9.293670605632158
-0.027049586126885287 | [-18.89] | 9.342320671562234
-0.013368821597450207 | [8.48] | 9.246470808321643
0.0020404585558556777 | [-23.59] | 9.328408403438829
0.01998452480633557 | [-2.48] | 9.297122113912796
-0.06172520052894007 | [17.46] | 9.288708931679327
-0.14122425514706816 | [-15.25] | 9.292237812642254
-0.21980904998245276 | [10.41] | 9.145566832238439
-0.29804735258463855 | [-22.42] | 9.1489191522433
-0.3766883171893148 | [6.25] | 8.835045634261299
-0.4562562028512569 | [-24.97] | -1.2547333860220855
[0.1] | [1.23] | 9.16708389079776
0.15548078729011236 | [-29.48] | 9.27157470615032
0.215661153257301 | [-10.13] | 9.28421112953031
0.17844106053146983 | [1.93] | 9.106700283280977
0.14449670504675993 | [-22.81] | 9.059387689414216
0.11324747066972284 | [-10.93] | -1.06086661717828
[-0.09] | [0.47] | 9.31771010185833
-0.0634454368956855 | [-14.34] | 9.329878134482867
-0.06283128533262565 | [13.95] | 9.288744904357678
-0.06131009088755661 | [-18.4] | 9.343337739381102
-0.058840927953911146 | [8.43] | 9.220024010557589
-0.05515681125910009 | [-24.01] | 9.304149550249141
-0.049862531386089384 | [-1.95] | 9.22903459091568
-0.1472382156404191 | [21.5] | 9.180761398247215
-0.24413403432761638 | [-10.74] | 9.05265248569742
-0.3415663994995004 | [21.29] | -1.1048165168619937
[-0.1] | [-0.55] | 9.302274508356419
-0.12028552658234787 | [17.93] | 9.341216973715776
-0.12250893958540293 | [-6.31] | 9.229011928023919
-0.12683398494824363 | [25.52] | 9.29670728699026
-0.133955969128117 | [8.27] | 9.293516155660289
-0.04252908220139176 | [-7.06] | 9.168360731929134
0.04635751652755571 | [22.73] | 9.159438669426336
0.13380409892177805 | [3.56] | 8.904155893146914
0.3253864015517708 | [-27.51] | -1.1853271285872644
[-0.07] | [0.62] | 9.282502977274596
-0.036682724176574484 | [-19.41] | 9.342462080788456
-0.01940921068620961 | [4.79] | 9.204985104235972
0.00023327512610831456 | [-25.9] | 9.26673269352526
0.023049949658158063 | [-10.29] | 9.275247647718038
-0.05046117508902383 | [1.35] | 9.102002593241114
-0.12086481541665348 | [-23.26] | 9.052664158416112
-0.18907583599016314 | [-8.95] | -1.1061479828501177
[0.07] | [-0.13] | 9.354195221118804
0.06318295545663037 | [4.06] | 9.227572412681614
0.10336418992308252 | [-26.45] | 9.345964333270125
0.14406514690021643 | [0.28] | 9.301610869974382
0.14870015447604515 | [-12.12] | 9.321773335393278
0.11821038420094428 | [7.84] | 9.178723595470407
0.08999941477688182 | [-23.2] | 9.215101029567927
0.06385607277183243 | [-5.03] | 9.127017164320321
-0.06433324276643772 | [17.11] | 8.944353226697471
-0.19213233020191667 | [-11.15] | -1.2820615676458487
[-0.03] | [-0.36] | 9.32732015567797
-0.05577124292139066 | [11.05] | 9.292282605164942
-0.04642432558499984 | [-18.05] | 9.322246217164528
-0.03843448131386376 | [13.25] | 9.290254162557666
-0.03137345992952729 | [-17.5] | 9.324237348555009
-0.025124257172258767 | [12.71] | 9.263241537426062
-0.019350037658293552 | [-19.29] | 9.322606936776262
-0.013896951453592581 | [9.11] | 9.180628144024935
-0.008354684899558292 | [-23.73] | 9.262530561690228
-0.0024063415011194205 | [1.05] | 8.980682530760198
0.004281690871850117 | [-28.66] | 8.994321760458517
0.01200206722415673 | [-8.03] | -1.160580195352992
[-0.08] | [0.1] | 9.344411232579754
-0.07199734684799805 | [-3.12] | 9.199362062043614
-0.11178597704281043 | [27.48] | 9.32822506733514
-0.15139263084018673 | [0.36] | 9.3145048439922
-0.12050182862757869 | [-5.53] | 9.121440590340963
-0.12424862552695433 | [27.26] | 9.19083963490923
-0.12885196046268216 | [5.67] | 9.076254687349795
-0.029485682933206803 | [-19.08] | -1.0962286144729305
[-0.01] | [0.61] | 9.295729555907656
0.020884145473440165 | [-17.99] | 9.34262930312855
0.036166140113068804 | [10.3] | 9.25281474392796
0.052432832192440174 | [-22.07] | 9.336451529670377
0.07029411123075709 | [1.43] | 9.142122537187529
0.09002759623306923 | [-28.03] | 9.18144697651675
0.11233182345483148 | [-13.11] | 9.140386492685884
0.03678444401579445 | [-0.73] | 9.009066044640095
-0.12555590033100322 | [16.44] | -1.2440161216831245
[-0.08] | [1.31] | 9.186158581840127
-0.023176779034523278 | [-29.39] | 9.273783386466839
0.03391384009647104 | [-11.09] | 9.288797676531535
-0.004932711267076612 | [-0.59] | 9.28658314352063
-0.11976588866905694 | [5.64] | 9.136019644428671
-0.21150446133479614 | [-21.73] | 9.11015406247547
-0.30176853952137217 | [-2.61] | -1.1400390067577029
[0.08] | [1.22] | 9.182791575332534
0.12447511864405723 | [-29.66] | 9.314053960003259
0.17360353493338335 | [-5.85] | 9.304700348208295
0.12154334591037229 | [13.01] | 9.208684939717664
0.07169404277113203 | [-18.81] | 9.231957529560397
0.02327783846117236 | [2.46] | 8.947936986619291
-0.023991403328236172 | [-26.25] | -1.09226125637218
[-0.09] | [-0.27] | 9.342163974931722
-0.10618030588986384 | [8.71] | 9.282799211429047
-0.08083398806249387 | [-20.86] | 9.335874127132112
-0.05500827058651021 | [9.41] | 9.26220140307933
-0.027983110902454943 | [-22.3] | 9.333289816610531
0.0012193491139900533 | [2.83] | 9.188126131987673
0.032844940153409524 | [-27.13] | 9.238548110660545
0.06801161474566267 | [-13.1] | 9.2500872613848
0.01046782655186686 | [-6.23] | 9.261746663058391
-0.14064276434293152 | [5.3] | 9.148545172386017
-0.2894932156561528 | [-18.34] | 9.086466842082567
-0.43756979131109863 | [2.29] | -1.2424914151623403
[0.09] | [0.56] | 9.29158903602387
0.11583885590133892 | [-17.1] | 9.334157941770133
0.12354397378523253 | [9.99] | 9.249542799585972
0.1333893164196748 | [-22.09] | 9.329844238865896
0.14603865439417651 | [-0.62] | 9.331469721929297
0.07906256433756259 | [9.46] | 9.23593155349002
0.03450503668177803 | [-22.32] | 9.295773550463556
-0.007670749379957705 | [-2.99] | 9.212148131961705
-0.15171946537137201 | [20.61] | 9.153553336265752
-0.2953529355058979 | [-10.36] | 8.953411584198772
-0.439246118340333 | [23.4] | -1.199602171277
[0.03] | [1.25] | 9.188875104887023
0.0805302822460651 | [-29.68] | 9.295469241366764
0.13538184980783458 | [-9.02] | 9.308067254815464
0.09214548267177115 | [4.53] | 9.169837427523804
0.052302267636430894 | [-22.93] | 9.163291834600669
0.01540146070097813 | [-10.36] | 9.09398988138716
-0.12030394484595477 | [6.32] | -1.1804459129209581
[-0.01] | [0.32] | 9.33405917567049
0.003130524560116395 | [-10.4] | 9.299160587139928
-0.016891757111813524 | [18.18] | 9.327272112366778
-0.03576577047659301 | [-13.35] | 9.305006129548483
-0.05400995407409356 | [17.03] | 9.33023453940825
-0.0718355592754927 | [-13.38] | 9.294117319154122
-0.0896514619646532 | [18.14] | 9.340769871920699
-0.1077284422052593 | [-10.47] | 9.252463823429931
-0.12652883102839826 | [22.04] | 9.335416616735774
