6.0, -6.0, 6.0
parameter ends

state | action | reward
[-0.41] | [3.57] | -1.2737899315054624
-0.40453314781188965 | [3.57] | -1.27378985621894
-0.4032769501209259 | [3.57] | -1.2764908407884312
-0.4014037251472473 | [3.58] | -1.2818821727047103
-0.3989265561103821 | [3.59] | -1.2899430170189354
-0.39586278796195984 | [3.61] | -1.3006414096955263
-0.3922337591648102 | [3.62] | -1.313934380552565
-0.3880646526813507 | [3.65] | -1.3297673394631646
-0.3833842873573303 | [3.67] | -1.3480735171627467
-0.37822479009628296 | [3.7] | -1.368773769345448
-0.3726213574409485 | [3.73] | -1.391775896535568
-0.36661192774772644 | [3.76] | -1.4169743063771756
-0.36023685336112976 | [3.8] | -1.4442496712236013
-0.35353854298591614 | [3.84] | -1.4734687859601132
-0.346561074256897 | [3.88] | -1.5044846802851635
-0.3393498361110687 | [3.92] | -1.537136744643857
-0.33195117115974426 | [3.96] | -1.571251071772269
-0.32441195845603943 | [4.01] | -1.606641298329771
-0.31677931547164917 | [4.05] | -1.643109162999302
-0.3091002106666565 | [4.1] | -1.6804457631677296
-0.30142107605934143 | [4.15] | -1.7184331120551097
-0.2937875986099243 | [4.19] | -1.7568451169717698
-0.28624439239501953 | [4.24] | -1.795449405641271
-0.27883467078208923 | [4.28] | -1.8340094473813018
-0.2716000974178314 | [4.33] | -1.8722859965417378
-0.2645805776119232 | [4.37] | -1.9100390464825427
-0.2578139901161194 | [4.41] | -1.9470302831457211
-0.2513361871242523 | [4.45] | -1.983024283669461
-0.24518077075481415 | [4.49] | -2.0177909818134747
-0.23937901854515076 | [4.53] | -2.0511074301027667
-0.2339598387479782 | [4.56] | -2.0827594344481457
-0.22894974052906036 | [4.6] | -2.1125431031436848
-0.2243727594614029 | [4.63] | -2.1402666223944693
-0.22025048732757568 | [4.65] | -2.16575140295291
-0.21660204231739044 | [4.68] | -2.1888334798962807
-0.21344409883022308 | [4.7] | -2.209364493738075
-0.21079090237617493 | [4.72] | -2.227212643341225
-0.2086542695760727 | [4.74] | -2.2422636005029792
-0.2070436328649521 | [4.75] | -2.2544210494725063
-0.205966055393219 | [4.76] | -2.2636072553914093
-0.20542621612548828 | [4.76] | -2.2697636706560247
-0.20542646944522858 | [4.77] | -2.272850976505893
-0.2059668004512787 | [4.77] | -2.272849577948985
-0.20704488456249237 | [4.76] | -2.269759367201641
-0.20865601301193237 | [4.76] | -2.2636001157445156
-0.2107931226491928 | [4.75] | -2.25441113781644
-0.21344679594039917 | [4.74] | -2.2422509908661903
-0.21660520136356354 | [4.72] | -2.2271973954576896
-0.2202540934085846 | [4.7] | -2.209346689729653
-0.22437679767608643 | [4.68] | -2.1888132516887517
-0.22895418107509613 | [4.65] | -2.1657289061467213
-0.23396466672420502 | [4.63] | -2.1402419756696003
-0.23938420414924622 | [4.6] | -2.112516492555385
-0.24518629908561707 | [4.56] | -2.082731012782448
-0.2513420283794403 | [4.53] | -2.051077443608406
-0.25782009959220886 | [4.49] | -2.017759595757497
-0.2645869255065918 | [4.45] | -1.9829916239146037
-0.2716066837310791 | [4.41] | -1.946996557641425
-0.27884143590927124 | [4.37] | -1.9100045390455618
-0.2862513065338135 | [4.33] | -1.8722507994065767
-0.2937946319580078 | [4.28] | -1.8339738748334433
-0.3014281690120697 | [4.24] | -1.7954136336777506
-0.30910730361938477 | [4.19] | -1.756809441243724
-0.31678640842437744 | [4.15] | -1.7183977358391136
-0.3244189918041229 | [4.1] | -1.6804108671935325
-0.3319580852985382 | [4.05] | -1.6430749309412809
-0.33935660123825073 | [4.01] | -1.606608019430848
-0.34656763076782227 | [3.96] | -1.5712189920582604
-0.35354486107826233 | [3.92] | -1.5371059242761878
-0.36024290323257446 | [3.88] | -1.5044552380475396
-0.3666176497936249 | [3.84] | -1.4734409078765678
-0.37262672185897827 | [3.8] | -1.4442234852426084
-0.3782297670841217 | [3.76] | -1.4169499905896918
-0.38338884711265564 | [3.73] | -1.3917535657059545
-0.3880687654018402 | [3.7] | -1.3687534968366162
-0.3922373652458191 | [3.67] | -1.3480554542930872
-0.39586588740348816 | [3.65] | -1.3297514903175252
-0.3989291191101074 | [3.62] | -1.3139209280437865
-0.4014057219028473 | [3.61] | -1.3006303872775558
-0.4032784104347229 | [3.59] | -1.289934336972978
-0.4045340120792389 | [3.58] | -1.2818759906422281
-0.4051637351512909 | [3.57] | -1.2764870879488002
-0.40516313910484314 | [3.57] | -1.2737887129030243
-0.404532253742218 | [3.57] | -1.2737911999091913
-0.4032754898071289 | [3.57] | -1.276494640550417
-0.40140169858932495 | [3.58] | -1.28188845731668
-0.39892399311065674 | [3.59] | -1.2899516950871397
-0.3958596885204315 | [3.61] | -1.300652522847097
-0.39223015308380127 | [3.62] | -1.313947847308977
