2.0, 0.0, 4.0
parameter ends

state | action | reward
[-0.54] | [2.92] | -0.8548208358173511
-0.5365250110626221 | [2.93] | -0.8567036172981034
-0.5333191156387329 | [2.93] | -0.8604611266202995
-0.528540313243866 | [2.94] | -0.8660774438993841
-0.522224485874176 | [2.96] | -0.8735281880599374
-0.5144189596176147 | [2.97] | -0.8827804110174441
-0.5051822662353516 | [2.99] | -0.8937920228709118
-0.4945836067199707 | [3.01] | -0.9065114068625008
-0.4827022850513458 | [3.03] | -0.920876942315363
-0.46962693333625793 | [3.06] | -0.9368166892679146
-0.45545458793640137 | [3.09] | -0.9542482119706848
-0.44028976559638977 | [3.12] | -0.973078406121346
-0.424243301153183 | [3.15] | -0.9932036695842474
-0.4074310064315796 | [3.19] | -1.0145103997102127
-0.389972448348999 | [3.22] | -1.0368754868301266
-0.3719894587993622 | [3.26] | -1.0601673289041575
-0.3536047339439392 | [3.29] | -1.084246948836723
-0.3349404036998749 | [3.33] | -1.1089693836924543
-0.31611669063568115 | [3.37] | -1.1341851998222923
-0.29725053906440735 | [3.41] | -1.1597422906865806
-0.2784545123577118 | [3.44] | -1.1854875464086096
-0.25983574986457825 | [3.48] | -1.21126864697975
-0.24149513244628906 | [3.52] | -1.236935747684038
-0.22352661192417145 | [3.55] | -1.2623430794166453
-0.20601674914360046 | [3.59] | -1.2873503617413182
-0.18904441595077515 | [3.62] | -1.3118240509596277
-0.17268069088459015 | [3.65] | -1.3356383429864076
-0.1569889485836029 | [3.69] | -1.3586758942571895
-0.14202502369880676 | [3.72] | -1.3808284050245678
-0.12783758342266083 | [3.74] | -1.401996845617881
-0.1144685372710228 | [3.77] | -1.4220915587763505
-0.10195352137088776 | [3.8] | -1.4410321740145493
-0.09032247960567474 | [3.82] | -1.4587472927597676
-0.07960021495819092 | [3.84] | -1.4751741337554507
-0.0698070079088211 | [3.86] | -1.490257994687159
-0.06095917895436287 | [3.88] | -1.5039517222725356
-0.05306966230273247 | [3.89] | -1.5162150959383984
-0.046148527413606644 | [3.91] | -1.5270142307712071
-0.04020347446203232 | [3.92] | -1.536320968604276
-0.035240259021520615 | [3.93] | -1.5441123359079287
-0.0312630832195282 | [3.94] | -1.5503700189977114
-0.02827492170035839 | [3.94] | -1.5550799137582914
-0.026277771219611168 | [3.95] | -1.5582317745527303
-0.025272855535149574 | [3.95] | -1.559818918034521
-0.02526075765490532 | [3.95] | -1.5598380301030714
-0.026241485029459 | [3.95] | -1.5582890701674863
-0.0282144695520401 | [3.94] | -1.5551752712335771
-0.03117850422859192 | [3.94] | -1.550503232884626
-0.03513161092996597 | [3.93] | -1.5442831145466682
-0.04007084667682648 | [3.92] | -1.5365289144184366
-0.045992039144039154 | [3.91] | -1.527258844435388
-0.05288947373628616 | [3.89] | -1.5164957605947826
-0.06075550243258476 | [3.88] | -1.5042676885381987
-0.06958012282848358 | [3.86] | -1.490608360871557
-0.07935047149658203 | [3.84] | -1.4755578445361608
-0.09005031734704971 | [3.82] | -1.4591631161064422
-0.10165949165821075 | [3.8] | -1.4414786742445453
-0.11415330320596695 | [3.77] | -1.4225671055235862
-0.1275019347667694 | [3.74] | -1.4024996017208768
-0.14166989922523499 | [3.72] | -1.3813563053782194
-0.1566154509782791 | [3.69] | -1.3592266382288054
-0.17229010164737701 | [3.66] | -1.3362093890144622
-0.18863818049430847 | [3.62] | -1.312412656465188
-0.20559650659561157 | [3.59] | -1.2879535588567492
-0.223094180226326 | [3.55] | -1.262957716938221
-0.2410525232553482 | [3.52] | -1.237558490378551
-0.2593851685523987 | [3.48] | -1.2118959965821448
-0.27799832820892334 | [3.44] | -1.1861159030605053
-0.29679128527641296 | [3.41] | -1.1603679703641494
-0.3156570494174957 | [3.37] | -1.1348044700707907
-0.33448317646980286 | [3.33] | -1.1095785157848472
-0.3531528115272522 | [3.29] | -1.0848422648722378
-0.37154579162597656 | [3.26] | -1.060745243508427
-0.38954004645347595 | [3.22] | -1.037432504790829
-0.40701285004615784 | [3.19] | -1.015043223967226
-0.42384231090545654 | [3.15] | -0.9937092243567407
-0.43990883231163025 | [3.12] | -0.9735537805997044
-0.45509645342826843 | [3.09] | -0.9546907872839658
-0.4692942500114441 | [3.06] | -0.937224037219211
-0.48239752650260925 | [3.04] | -0.9212469070261595
-0.49430903792381287 | [3.01] | -0.9068421093111656
-0.5049399137496948 | [2.99] | -0.894081864599508
-0.5142106413841248 | [2.97] | -0.8830280072704696
