-1.0, 1.0, 0.0
parameter ends

state | action | reward
[-0.46] | [0.46] | -0.020739943865287904
-0.45523601770401 | [0.46] | -0.02073994408795868
-0.4548867642879486 | [0.46] | -0.02072398313115395
-0.4543663561344147 | [0.45] | -0.020692196880096183
-0.4536791443824768 | [0.45] | -0.02064487938385179
-0.4528309404850006 | [0.45] | -0.020582477175165828
-0.4518289864063263 | [0.45] | -0.020505585538888427
-0.4506819248199463 | [0.45] | -0.02041494410573401
-0.4493996500968933 | [0.45] | -0.020311420995131946
-0.4479932487010956 | [0.45] | -0.020196004644891626
-0.44647493958473206 | [0.45] | -0.020069795161190757
-0.4448579251766205 | [0.45] | -0.019933987489973465
-0.44315627217292786 | [0.44] | -0.01978985718316462
-0.44138482213020325 | [0.44] | -0.01963874887888314
-0.4395590126514435 | [0.44] | -0.019482057096986295
-0.4376947581768036 | [0.44] | -0.019321212672888277
-0.43580833077430725 | [0.44] | -0.019157669674955677
-0.43391621112823486 | [0.44] | -0.018992890279580055
-0.4320349097251892 | [0.43] | -0.0188283277269593
-0.4301808476448059 | [0.43] | -0.01866541521562463
-0.42837023735046387 | [0.43] | -0.018505555517005036
-0.42661890387535095 | [0.43] | -0.01835010621427094
-0.42494213581085205 | [0.43] | -0.018200368209137927
-0.4233546257019043 | [0.42] | -0.018057582620795504
-0.42187023162841797 | [0.42] | -0.017922912924620664
-0.4205020070075989 | [0.42] | -0.017797450431758198
-0.4192619323730469 | [0.42] | -0.017682194866705175
-0.41816091537475586 | [0.42] | -0.017578057867505433
-0.41720864176750183 | [0.42] | -0.017485853965849427
-0.4164135754108429 | [0.42] | -0.017406304027447653
-0.4157828092575073 | [0.42] | -0.017340026040550363
-0.41532203555107117 | [0.42] | -0.017287535483241166
-0.4150354564189911 | [0.42] | -0.017249240281173025
-0.41492578387260437 | [0.42] | -0.01722544258028717
-0.4149942398071289 | [0.41] | -0.01721633985446494
-0.4152405261993408 | [0.41] | -0.017222022798660336
-0.4156627655029297 | [0.42] | -0.017242469955319233
-0.4162575900554657 | [0.42] | -0.01727755383999257
-0.41702014207839966 | [0.42] | -0.017327038903218604
-0.417944073677063 | [0.42] | -0.017390578690784794
-0.41902169585227966 | [0.42] | -0.017467724706750506
-0.42024391889572144 | [0.42] | -0.01755791733997888
-0.42160043120384216 | [0.42] | -0.017660496115340006
-0.4230796694755554 | [0.42] | -0.017774692202068166
-0.4246690273284912 | [0.42] | -0.017899640613250976
-0.42635488510131836 | [0.42] | -0.018034377456542197
-0.42812278866767883 | [0.43] | -0.018177849807587524
-0.42995747923851013 | [0.43] | -0.01832891327426812
-0.4318430721759796 | [0.43] | -0.018486342564423
-0.4337632358074188 | [0.43] | -0.018648842792629544
-0.43570128083229065 | [0.43] | -0.01881505390824936
-0.43764030933380127 | [0.44] | -0.018983560946657076
-0.4395633637905121 | [0.44] | -0.0191529053294587
-0.4414535462856293 | [0.44] | -0.019321594454385707
-0.4432942569255829 | [0.44] | -0.019488122808061087
-0.44506925344467163 | [0.44] | -0.019650978511521908
-0.4467628598213196 | [0.45] | -0.01980866387037852
-0.44836005568504333 | [0.45] | -0.01995970635257728
-0.4498465955257416 | [0.45] | -0.020102672982544298
-0.45120924711227417 | [0.45] | -0.020236196107717125
-0.45243579149246216 | [0.45] | -0.020358978509984665
-0.4535152018070221 | [0.45] | -0.020469814805693362
-0.4544377326965332 | [0.45] | -0.020567605136350153
-0.45519497990608215 | [0.45] | -0.020651366146873528
-0.4557799994945526 | [0.46] | -0.020720247259324875
