-2.7, -0.5, 0.9
parameter ends

state | action | reward
[-0.49] | [2.24] | -0.5000911250689456
-0.4936303198337555 | [2.23] | -0.4982535110368307
-0.49106964468955994 | [2.22] | -0.49488794222869575
-0.48725253343582153 | [2.21] | -0.49003494395200553
-0.4822074770927429 | [2.2] | -0.48375260529074887
-0.47597208619117737 | [2.18] | -0.4761154245824183
-0.46859267354011536 | [2.16] | -0.4672127683420968
-0.4601239264011383 | [2.14] | -0.4571472595696451
-0.4506283700466156 | [2.11] | -0.4460327832140714
-0.44017574191093445 | [2.08] | -0.4339923003772542
-0.4288422763347626 | [2.05] | -0.4211555251978081
-0.41670992970466614 | [2.02] | -0.4076565504402222
-0.40386560559272766 | [1.98] | -0.3936315394786774
-0.39040008187294006 | [1.95] | -0.3792162132282011
-0.3764071762561798 | [1.91] | -0.36454376520944554
-0.36198267340660095 | [1.87] | -0.3497427247794707
-0.3472233712673187 | [1.83] | -0.33493518318490767
-0.3322260081768036 | [1.79] | -0.3202351555364227
-0.3170863687992096 | [1.75] | -0.3057473904557209
-0.30189839005470276 | [1.71] | -0.29156643812054733
-0.28675326704978943 | [1.67] | -0.27777597369505175
-0.271738737821579 | [1.63] | -0.2644485219591601
-0.25693848729133606 | [1.59] | -0.25164548887234445
-0.24243159592151642 | [1.55] | -0.23941739936724946
-0.22829213738441467 | [1.51] | -0.2278043970951405
-0.214588925242424 | [1.47] | -0.2168369606553469
-0.20138530433177948 | [1.44] | -0.20653671111980265
-0.18873915076255798 | [1.4] | -0.19691740670355434
-0.1767028272151947 | [1.37] | -0.18798589241218766
-0.1653233915567398 | [1.34] | -0.17974320808657918
-0.154642716050148 | [1.31] | -0.17218557137631785
-0.14469780027866364 | [1.29] | -0.16530543257459293
-0.13552100956439972 | [1.26] | -0.15909239366448946
-0.12714043259620667 | [1.24] | -0.15353412571341163
-0.11958020180463791 | [1.22] | -0.14861717219666606
-0.11286082118749619 | [1.2] | -0.1443276724809773
-0.10699950158596039 | [1.19] | -0.14065200883521314
-0.10201048851013184 | [1.17] | -0.13757737278175336
-0.09790531545877457 | [1.16] | -0.13509221491056841
-0.09469307959079742 | [1.15] | -0.13318664799118182
-0.09238064289093018 | [1.15] | -0.13185274802059108
-0.09097281098365784 | [1.14] | -0.1310847929557205
-0.09047245234251022 | [1.14] | -0.13087942100217737
-0.09088057279586792 | [1.15] | -0.13123572165154365
-0.09219635277986526 | [1.15] | -0.13215526635724842
-0.09441711008548737 | [1.16] | -0.1336420565319062
-0.09753824770450592 | [1.16] | -0.13570242487879333
-0.10155311971902847 | [1.18] | -0.13834484585586787
-0.10645285993814468 | [1.19] | -0.14157967878264674
-0.11222619563341141 | [1.21] | -0.14541885292575493
-0.1188591718673706 | [1.22] | -0.14987544033803393
-0.12633489072322845 | [1.24] | -0.15496317675701674
-0.13463319838047028 | [1.27] | -0.16069588017623776
-0.14373034238815308 | [1.29] | -0.16708677454397458
-0.15359865128993988 | [1.32] | -0.17414774824313617
-0.16420620679855347 | [1.35] | -0.18188852491978227
-0.1755165159702301 | [1.38] | -0.19031574999701684
-0.18748818337917328 | [1.41] | -0.19943199405435677
-0.2000747174024582 | [1.45] | -0.20923477885090624
-0.21322426199913025 | [1.48] | -0.21971548372389835
-0.2268795371055603 | [1.52] | -0.23085836215248434
-0.24097774922847748 | [1.56] | -0.24263951022952424
-0.25545063614845276 | [1.6] | -0.25502593837493287
-0.2702246308326721 | [1.64] | -0.26797477148766885
-0.2852211594581604 | [1.68] | -0.2814326288510208
-0.30035698413848877 | [1.72] | -0.29533514188215976
-0.3155447244644165 | [1.76] | -0.3096067668917612
-0.3306935131549835 | [1.8] | -0.32416089537966997
-0.3457096815109253 | [1.84] | -0.3389001973740551
-0.3604975640773773 | [1.88] | -0.35371730474571494
-0.3749604821205139 | [1.92] | -0.3684959222072808
-0.38900160789489746 | [1.96] | -0.3831120782437809
-0.40252500772476196 | [1.99] | -0.39743581020663954
-0.41543662548065186 | [2.03] | -0.4113330344360733
-0.4276452958583832 | [2.06] | -0.42466766876499007
-0.4390637278556824 | [2.09] | -0.4373039131403239
-0.4496093988418579 | [2.12] | -0.449108581188743
-0.4592054486274719 | [2.14] | -0.4599535330871217
-0.4677814245223999 | [2.17] | -0.46971799302040607
-0.47527408599853516 | [2.19] | -0.4782909359806937
-0.4816279113292694 | [2.2] | -0.48557307788473153
-0.48679569363594055 | [2.22] | -0.4914788664065153
-0.4907389283180237 | [2.23] | -0.4959380812762475
-0.49342823028564453 | [2.23] | -0.4988972843690654
-0.4948434829711914 | [2.24] | -0.5003207300708477
-0.49497413635253906 | [2.24] | -0.5001912119507734
-0.4938192069530487 | [2.23] | -0.49851029041100914
-0.49138733744621277 | [2.23] | -0.4952983237786887
-0.48769667744636536 | [2.21] | -0.49059401594221974
-0.4827747642993927 | [2.2] | -0.48445370588474357
-0.47665825486183167 | [2.18] | -0.47695023749914506
-0.46939265727996826 | [2.16] | -0.4681716142961668
-0.46103182435035706 | [2.14] | -0.458219191446734
-0.45163747668266296 | [2.11] | -0.44720576559832115
-0.4412786662578583 | [2.09] | -0.43525349866874896
-0.4300310015678406 | [2.06] | -0.4224915263885236
-0.41797590255737305 | [2.02] | -0.40905361377370747
-0.40519979596138 | [1.99] | -0.3950758054556362
-0.3917931318283081 | [1.95] | -0.3806939952978592
-0.37784942984580994 | [1.91] | -0.3660416941666091
-0.36346435546875 | [1.87] | -0.35124802882116724
-0.34873461723327637 | [1.83] | -0.3364357873341941
-0.33375704288482666 | [1.79] | -0.3217199065773464
-0.3186275362968445 | [1.75] | -0.3072061041957619
-0.30344024300575256 | [1.71] | -0.2929899826168278
-0.2882866859436035 | [1.67] | -0.27915635416390977
-0.27325499057769775 | [1.63] | -0.265778885768191
-0.25842928886413574 | [1.59] | -0.2529201129818605
-0.24388913810253143 | [1.55] | -0.24063163651632027
-0.22970913350582123 | [1.51] | -0.22895462410185471
-0.2159586399793625 | [1.48] | -0.21792050583003864
-0.20270156860351562 | [1.44] | -0.20755176497852507
-0.18999631702899933 | [1.41] | -0.19786288678746522
-0.17789584398269653 | [1.37] | -0.18886140184840008
-0.166447713971138 | [1.34] | -0.1805488734047518
-0.15569432079792023 | [1.31] | -0.17292196611920604
-0.14567314088344574 | [1.29] | -0.16597346463240925
-0.13641700148582458 | [1.26] | -0.1596932222331705
-0.1279544085264206 | [1.24] | -0.1540690662694908
-0.12030988186597824 | [1.22] | -0.14908762099563486
-0.11350427567958832 | [1.2] | -0.14473503387995734
-0.10755512863397598 | [1.19] | -0.14099764093007902
-0.10247696936130524 | [1.17] | -0.13786252570061894
-0.09828159213066101 | [1.16] | -0.13531799028522548
-0.09497833251953125 | [1.15] | -0.13335396424553658
-0.09257427603006363 | [1.15] | -0.13196231548584877
-0.09107442200183868 | [1.15] | -0.1311370844245995
-0.09048183262348175 | [1.14] | -0.13087466508498452
-0.09079770743846893 | [1.15] | -0.13117389989417122
-0.0920214056968689 | [1.15] | -0.13203610491399762
-0.09415044635534286 | [1.16] | -0.13346504467502593
-0.09718042612075806 | [1.16] | -0.13546681883831987
-0.10110490769147873 | [1.17] | -0.13804969075720738
-0.10591527074575424 | [1.19] | -0.14122384945627578
-0.11160048842430115 | [1.2] | -0.14500107616929975
-0.11814689636230469 | [1.22] | -0.14939435184675773
-0.1255379021167755 | [1.24] | -0.15441736513373383
-0.133753702044487 | [1.27] | -0.16008395775025666
-0.142770916223526 | [1.29] | -0.1664074412406622
-0.15256230533123016 | [1.32] | -0.17339988934565115
-0.1630963832139969 | [1.35] | -0.18107127607609874
-0.17433713376522064 | [1.38] | -0.1894286015680805
-0.1862436830997467 | [1.41] | -0.1984749043010986
-0.19877004623413086 | [1.44] | -0.2082082502284752
-0.21186494827270508 | [1.48] | -0.21862071245280534
-0.2254716455936432 | [1.52] | -0.22969730089085735
-0.2395278960466385 | [1.55] | -0.24141497664585146
-0.25396600365638733 | [1.59] | -0.2537417251047057
-0.2687129080295563 | [1.63] | -0.2666356889018783
-0.28369054198265076 | [1.67] | -0.28004458923559217
-0.29881611466407776 | [1.71] | -0.2939051817389679
-0.31400266289711 | [1.76] | -0.3081430800240158
-0.32915961742401123 | [1.8] | -0.3226727643132335
-0.34419357776641846 | [1.84] | -0.3373979858459535
-0.3590090572834015 | [1.88] | -0.35221237103600317
-0.37350940704345703 | [1.92] | -0.3670004454858633
