1.5, 2.5, 1.5
parameter ends

state | action | reward
[-0.46] | [0.81] | -0.06556625655924933
-0.4594382345676422 | [0.81] | -0.06604767310159625
-0.45795559883117676 | [0.82] | -0.06671184076565619
-0.4557369649410248 | [0.82] | -0.06755872513892165
-0.45279085636138916 | [0.83] | -0.06858803784349353
-0.449129581451416 | [0.84] | -0.06979914910533622
-0.4447689950466156 | [0.84] | -0.07119106701906669
-0.4397284984588623 | [0.85] | -0.07276234507413808
-0.4340309202671051 | [0.86] | -0.07451100825829925
-0.42770224809646606 | [0.87] | -0.07643451135418193
-0.4207715094089508 | [0.89] | -0.07852965332615101
-0.4132705330848694 | [0.9] | -0.08079252236748591
-0.4052337408065796 | [0.91] | -0.0832184337441203
-0.3966977894306183 | [0.93] | -0.0858019120615837
-0.3877013325691223 | [0.94] | -0.08853665152101381
-0.3782846927642822 | [0.96] | -0.0914155079256784
-0.368489533662796 | [0.97] | -0.09443050356864992
-0.3583585321903229 | [0.99] | -0.09757284790869498
-0.3479350209236145 | [1.] | -0.10083297960058075
-0.3372688293457031 | [1.02] | -0.10419554784587509
-0.32642847299575806 | [1.04] | -0.10763194684527577
-0.31548216938972473 | [1.05] | -0.11112164796059448
-0.30449727177619934 | [1.07] | -0.11464334330812638
-0.2935398519039154 | [1.09] | -0.11817511674619403
-0.282674103975296 | [1.1] | -0.12169469875617807
-0.2719620168209076 | [1.12] | -0.1251796590727366
-0.2614629864692688 | [1.13] | -0.12860763404510048
-0.2512335181236267 | [1.15] | -0.13195654191371492
-0.2413269579410553 | [1.16] | -0.13520479522268392
-0.2317933291196823 | [1.18] | -0.13833148711866214
-0.2226792275905609 | [1.19] | -0.14131655722669956
-0.21402771770954132 | [1.2] | -0.14414095756080644
-0.205878347158432 | [1.21] | -0.14678677519836922
-0.1982671022415161 | [1.22] | -0.14923736882323302
-0.19122649729251862 | [1.23] | -0.1514774505655907
-0.1847856640815735 | [1.24] | -0.15349316195744325
-0.17897044122219086 | [1.25] | -0.15527213794333175
-0.173803448677063 | [1.25] | -0.15680357030782283
-0.1693042367696762 | [1.26] | -0.15807823111431532
-0.16548943519592285 | [1.26] | -0.1590884877890103
-0.16237281262874603 | [1.26] | -0.15982834193064166
-0.1599653959274292 | [1.27] | -0.16029343479979613
-0.15827558934688568 | [1.27] | -0.16048104334530913
-0.15730921924114227 | [1.27] | -0.16039009427067127
-0.15706957876682281 | [1.26] | -0.16002116768166907
-0.15755748748779297 | [1.26] | -0.15937648392290674
-0.15877129137516022 | [1.26] | -0.15845990190857404
-0.16070681810379028 | [1.25] | -0.1572769222496806
-0.16335737705230713 | [1.25] | -0.15583466078619335
-0.166713684797287 | [1.24] | -0.1541418363706229
-0.1707637757062912 | [1.23] | -0.15220875004461
-0.17549292743206024 | [1.22] | -0.15004724383924234
-0.180883526802063 | [1.22] | -0.1476706647651801
-0.18691499531269073 | [1.2] | -0.14509379229582967
-0.19356361031532288 | [1.19] | -0.14233278679493436
-0.20080243051052094 | [1.18] | -0.1394050834870698
-0.2086011916399002 | [1.17] | -0.13632928429189597
-0.2169261872768402 | [1.15] | -0.13312503931431136
-0.2257402092218399 | [1.14] | -0.1298128986486629
-0.2350025177001953 | [1.12] | -0.126414142639623
-0.2446688413619995 | [1.11] | -0.12295059925252189
-0.2546914219856262 | [1.09] | -0.11944444838514988
-0.2650190591812134 | [1.08] | -0.11591802594918475
-0.27559730410575867 | [1.06] | -0.11239359345013791
-0.28636863827705383 | [1.04] | -0.10889312727478578
-0.29727277159690857 | [1.03] | -0.10543809378735364
-0.3082468807697296 | [1.01] | -0.10204926812896216
-0.31922611594200134 | [0.99] | -0.09874650568748199
-0.33015331625938416 | [0.98] | -0.09554124289584562
-0.34098511934280396 | [0.96] | -0.09243723369272672
-0.3516768515110016 | [0.95] | -0.08944532180489564
-0.36218297481536865 | [0.93] | -0.0865756295037333
-0.37245726585388184 | [0.92] | -0.08383753825392108
-0.38245320320129395 | [0.9] | -0.08123963401719457
-0.39212438464164734 | [0.89] | -0.07878966604680193
-0.4014248251914978 | [0.87] | -0.07649455939285789
-0.4103092551231384 | [0.86] | -0.07436044307126448
-0.4187336266040802 | [0.85] | -0.07239264202504918
-0.4266553223133087 | [0.84] | -0.07059575658415033
-0.4340335428714752 | [0.83] | -0.06897370648759872
-0.44082969427108765 | [0.82] | -0.06752978009427515
-0.4470076262950897 | [0.81] | -0.0662667229278238
-0.45253387093544006 | [0.81] | -0.06518682259185972
-0.45737800002098083 | [0.8] | -0.06429195889578576
-0.46151280403137207 | [0.8] | -0.06358368837769036
-0.464914470911026 | [0.79] | -0.06306331512971358
-0.46756279468536377 | [0.79] | -0.06273193863492414
-0.46944138407707214 | [0.79] | -0.06259048405996125
-0.47053763270378113 | [0.79] | -0.06263976892055155
-0.47084298729896545 | [0.79] | -0.0628804773712721
-0.4703529179096222 | [0.8] | -0.06331318331620257
-0.46906694769859314 | [0.8] | -0.06393833680069076
-0.4669887125492096 | [0.8] | -0.06475622111477734
-0.46412596106529236 | [0.81] | -0.065766902806664
-0.4604904353618622 | [0.82] | -0.06697019069514372
-0.45609787106513977 | [0.83] | -0.06836554780111193
-0.45096784830093384 | [0.84] | -0.06995202436942603
-0.44512370228767395 | [0.85] | -0.07172816286188695
-0.4385923147201538 | [0.86] | -0.07369192381657604
-0.4314039349555969 | [0.87] | -0.07584059726284438
-0.4235919415950775 | [0.88] | -0.07817072676012407
-0.415192574262619 | [0.9] | -0.0806780429086424
-0.4062446653842926 | [0.91] | -0.08335740102801732
-0.3967893421649933 | [0.93] | -0.0862027338622904
-0.3868696391582489 | [0.94] | -0.08920704161252116
-0.37653014063835144 | [0.96] | -0.09236238575164851
-0.3658166527748108 | [0.98] | -0.09565989362973926
-0.35477572679519653 | [1.] | -0.09908982037552311
-0.34345439076423645 | [1.01] | -0.10264157213123289
-0.3319193124771118 | [1.03] | -0.10628758727780029
-0.3202438950538635 | [1.05] | -0.11000289994778377
-0.3085007965564728 | [1.07] | -0.11376495702755213
-0.29676127433776855 | [1.08] | -0.11755045890840975
-0.2850947380065918 | [1.1] | -0.12133556787234273
-0.27356821298599243 | [1.12] | -0.1250961750673988
-0.26224595308303833 | [1.13] | -0.12880814115554706
-0.25118908286094666 | [1.15] | -0.13244754157352392
-0.24045534431934357 | [1.17] | -0.1359908935029844
-0.23009885847568512 | [1.18] | -0.1394153820926193
-0.2201700210571289 | [1.19] | -0.14269904599587757
-0.2107153832912445 | [1.21] | -0.1458209653573718
-0.2017776519060135 | [1.22] | -0.1487614076292836
-0.1933957040309906 | [1.23] | -0.15150196020764473
