-4.0, -4.0, 6.0
parameter ends

state | action | reward
[-0.58] | [8.33] | -6.934084123346344
-0.57984459400177 | [8.31] | -6.908338985634671
-0.575990617275238 | [8.29] | -6.870000375858336
-0.5702453255653381 | [8.26] | -6.819456534448571
-0.5626513361930847 | [8.22] | -6.757216958717388
-0.5532650947570801 | [8.18] | -6.68390524555862
-0.5421566367149353 | [8.12] | -6.600250829445016
-0.5294091105461121 | [8.07] | -6.507078133141393
-0.5151180028915405 | [8.] | -6.405293086378413
-0.49939048290252686 | [7.93] | -6.295869941577946
-0.4823443591594696 | [7.86] | -6.179835423181203
-0.46410685777664185 | [7.78] | -6.0582520370508215
-0.44481316208839417 | [7.7] | -5.93220041363939
-0.4246048927307129 | [7.62] | -5.8027623418279255
-0.4036282002925873 | [7.53] | -5.6710027312641635
-0.38203197717666626 | [7.44] | -5.537953978514486
-0.35996589064598083 | [7.35] | -5.404601071083057
-0.33757835626602173 | [7.26] | -5.271868286858758
-0.31501466035842896 | [7.17] | -5.140608778672534
-0.29241523146629333 | [7.08] | -5.0115968128105575
-0.26991400122642517 | [6.99] | -4.885522165038719
-0.24763697385787964 | [6.9] | -4.762987111919485
-0.2257011979818344 | [6.82] | -4.644506612167009
-0.20421390235424042 | [6.73] | -4.53051014280707
-0.18327194452285767 | [6.65] | -4.421345545721111
-0.16296152770519257 | [6.57] | -4.317284304732936
-0.1433582603931427 | [6.5] | -4.218528444089247
-0.12452732771635056 | [6.42] | -4.125217470439551
-0.10652396082878113 | [6.35] | -4.037436293268865
-0.08939401805400848 | [6.29] | -3.955222925233297
-0.07317471504211426 | [6.23] | -3.8785762388001306
-0.057895414531230927 | [6.17] | -3.807463151181673
-0.04357849806547165 | [6.12] | -3.741825575930966
-0.030240247026085854 | [6.07] | -3.681586664685496
-0.017891714349389076 | [6.02] | -3.6266564394966814
-0.006539582274854183 | [5.98] | -3.5769368179784515
0.0038130308967083693 | [5.94] | -3.532325972120257
0.013165808282792568 | [5.91] | -3.4927221286110433
0.02152053453028202 | [5.88] | -3.458026793815848
0.028880469501018524 | [5.86] | -3.428147443420446
0.03524978086352348 | [5.83] | -3.402999788935943
0.04063306003808975 | [5.82] | -3.3825095816717154
0.04503488913178444 | [5.8] | -3.366614132930441
0.0484595000743866 | [5.79] | -3.3552634025222305
0.05091048404574394 | [5.79] | -3.3484208697038778
0.05239056795835495 | [5.78] | -3.346064138890016
0.05290146917104721 | [5.79] | -3.3481852346790983
0.05244378745555878 | [5.79] | -3.354790779672837
0.05101698264479637 | [5.8] | -3.365901838713937
0.04861940070986748 | [5.82] | -3.381553591664483
0.0452483668923378 | [5.83] | -3.4017947388816547
0.0409003309905529 | [5.85] | -3.4266866960159237
0.03557109087705612 | [5.88] | -3.4563024275950838
0.029256071895360947 | [5.91] | -3.490725013068465
0.021950675174593925 | [5.94] | -3.530045835897864
0.013650697655975819 | [5.98] | -3.5743623516702643
0.004352816380560398 | [6.02] | -3.623775437362207
-0.005944851785898209 | [6.06] | -3.6783862068983577
-0.017242122441530228 | [6.11] | -3.738292281999746
-0.02953604981303215 | [6.17] | -3.803583481076766
-0.04282016679644585 | [6.22] | -3.8743368764719524
-0.05708368495106697 | [6.29] | -3.950611261698869
-0.07231063395738602 | [6.35] | -4.032440933178051
-0.08847898989915848 | [6.42] | -4.119828976787395
-0.10555979609489441 | [6.49] | -4.212740019379976
-0.12351628392934799 | [6.57] | -4.31109258649104
-0.14230309426784515 | [6.64] | -4.41475148379704
-0.16186553239822388 | [6.73] | -4.5235200220994045
-0.18213896453380585 | [6.81] | -4.637132729039438
-0.20304837822914124 | [6.9] | -4.75524871851262
-0.224508136510849 | [6.98] | -4.877446181807046
-0.2464219629764557 | [7.07] | -5.0032183111343835
-0.26868319511413574 | [7.16] | -5.131971085057215
-0.29117530584335327 | [7.25] | -5.263023218319837
-0.3137727379798889 | [7.35] | -5.395608653655102
-0.3363419771194458 | [7.44] | -5.528881466973615
-0.35874292254447937 | [7.52] | -5.661923659261337
-0.3808304965496063 | [7.61] | -5.793755549901377
-0.4024564027786255 | [7.7] | -5.923348370937903
-0.42347100377082825 | [7.78] | -6.049638850589115
-0.4437253177165985 | [7.86] | -6.17154563656037
-0.4630729854106903 | [7.93] | -6.287986562473339
-0.48137208819389343 | [8.] | -6.397895842913893
-0.49848705530166626 | [8.06] | -6.500242396357786
-0.5142901539802551 | [8.12] | -6.594045940489429
-0.5286630988121033 | [8.17] | -6.678393931408334
-0.541498064994812 | [8.22] | -6.752454602331444
-0.5526988506317139 | [8.26] | -6.815490610725554
-0.5621816515922546 | [8.29] | -6.866869716961069
-0.5698757171630859 | [8.31] | -6.90607393578977
-0.5757238268852234 | [8.33] | -6.932706726412704
-0.5796825885772705 | [8.33] | -6.946498014539625
-0.5817226767539978 | [8.34] | -6.947307767413637
-0.5818290710449219 | [8.33] | -6.935128404042897
-0.5800009369850159 | [8.31] | -6.910083597848682
-0.5762518048286438 | [8.29] | -6.8724277884834635
-0.570609450340271 | [8.26] | -6.822542401884395
-0.563115656375885 | [8.22] | -6.760929995147937
