0.7, 5.0, 0.4
parameter ends

state | action | reward
[-0.5] | [0.05] | -0.0002608766395121093
-0.49857446551322937 | [0.05] | -0.0002544116532985274
-0.49879804253578186 | [0.05] | -0.00024724260570602364
-0.4991328716278076 | [0.05] | -0.00023944259812095338
-0.4995776116847992 | [0.05] | -0.00023109078436816426
-0.5001302361488342 | [0.05] | -0.00022227067244914075
-0.5007880330085754 | [0.05] | -0.00021306885037708403
-0.5015475153923035 | [0.05] | -0.00020357425611568995
-0.5024046301841736 | [0.04] | -0.000193875524025756
-0.503354549407959 | [0.04] | -0.00018406111835901187
-0.5043918490409851 | [0.04] | -0.00017421700438319536
-0.5055105090141296 | [0.04] | -0.00016442564598548152
-0.5067039132118225 | [0.04] | -0.000154765080078761
-0.5079649686813354 | [0.04] | -0.00014530748988118795
-0.5092860460281372 | [0.04] | -0.0001361189855103588
-0.5106590986251831 | [0.04] | -0.00012725853621429906
-0.512075662612915 | [0.03] | -0.00011877778673748215
-0.513526976108551 | [0.03] | -0.00011072046144399678
-0.5150038599967957 | [0.03] | -0.00010312313244515914
-0.5164970755577087 | [0.03] | -9.601391315350177e-05
-0.5179970264434814 | [0.03] | -8.94144464181029e-05
-0.5194941759109497 | [0.03] | -8.333877087257299e-05
-0.5209788084030151 | [0.03] | -7.779529134234396e-05
-0.5224412083625793 | [0.03] | -7.278701209961139e-05
-0.5238718390464783 | [0.03] | -6.831198206035618e-05
-0.5252612233161926 | [0.03] | -6.436498940994186e-05
-0.5266000628471375 | [0.02] | -6.093831306576544e-05
-0.5278793573379517 | [0.02] | -5.802254678977331e-05
-0.5290904641151428 | [0.02] | -5.5607637115041075e-05
-0.5302249789237976 | [0.02] | -5.3684426437444346e-05
-0.5312750339508057 | [0.02] | -5.2244711852969566e-05
-0.5322332382202148 | [0.02] | -5.128241811346125e-05
-0.533092737197876 | [0.02] | -5.079420947598974e-05
-0.5338472127914429 | [0.02] | -5.078012124180614e-05
-0.5344910621643066 | [0.02] | -5.124344285662295e-05
-0.5350192785263062 | [0.02] | -5.2191361483145374e-05
-0.5354275703430176 | [0.02] | -5.3634624216883994e-05
-0.5357124209403992 | [0.02] | -5.55871873985898e-05
-0.5358710885047913 | [0.02] | -5.806585000106213e-05
-0.5359016060829163 | [0.02] | -6.108968961527562e-05
-0.5358027815818787 | [0.03] | -6.467932139230549e-05
-0.5355743169784546 | [0.03] | -6.885556411317673e-05
-0.5352166891098022 | [0.03] | -7.363881180553561e-05
-0.5347312092781067 | [0.03] | -7.904765689558735e-05
-0.5341200828552246 | [0.03] | -8.509739613480813e-05
-0.5333863496780396 | [0.03] | -9.179894508724577e-05
-0.5325337648391724 | [0.03] | -9.915803500958027e-05
-0.5315669178962708 | [0.03] | -0.0001071734350921865
-0.5304912328720093 | [0.03] | -0.0001158356766982026
-0.529312789440155 | [0.04] | -0.00012512675155673702
-0.5280384421348572 | [0.04] | -0.0001350185265205767
-0.5266757011413574 | [0.04] | -0.00014547248225024747
-0.5252326726913452 | [0.04] | -0.00015643934972860398
-0.5237180590629578 | [0.04] | -0.00016785866512797261
-0.5221410393714905 | [0.04] | -0.00017965920031184316
-0.5205113887786865 | [0.04] | -0.00019175826277533932
-0.5188392400741577 | [0.05] | -0.0002040633073175542
-0.5171350240707397 | [0.05] | -0.0002164728392338764
-0.5154094696044922 | [0.05] | -0.00022887712345111277
-0.5136736035346985 | [0.05] | -0.0002411590800684864
-0.5119384527206421 | [0.05] | -0.0002531974243754922
-0.5102152824401855 | [0.05] | -0.0002648663003376054
-0.5085152387619019 | [0.05] | -0.00027603923359250916
-0.506849467754364 | [0.05] | -0.0002865897945270483
-0.5052289962768555 | [0.05] | -0.0002963940368140007
-0.5036645531654358 | [0.06] | -0.0003053334999814851
-0.5021666288375854 | [0.06] | -0.0003132962988900596
-0.500745415687561 | [0.06] | -0.0003201791086002803
-0.49941056966781616 | [0.06] | -0.00032589046499976906
-0.4981713593006134 | [0.06] | -0.00033035081975392905
-0.4970364570617676 | [0.06] | -0.0003334953049521643
-0.49601393938064575 | [0.06] | -0.0003352745773309257
-0.4951111972332001 | [0.06] | -0.000335656153178553
-0.49433496594429016 | [0.06] | -0.0003346244884700276
-0.4936911463737488 | [0.06] | -0.000332182512773565
-0.493184894323349 | [0.06] | -0.0003283506109295215
-0.49282047152519226 | [0.06] | -0.00032316731676099327
-0.49260127544403076 | [0.06] | -0.000316688190518633
-0.49252980947494507 | [0.06] | -0.0003089849339502602
-0.49260765314102173 | [0.05] | -0.00030014423318542775
-0.4928354322910309 | [0.05] | -0.00029026635152737385
-0.4932127892971039 | [0.05] | -0.000279463495358825
-0.49373841285705566 | [0.05] | -0.00026785754349918834
-0.49441006779670715 | [0.05] | -0.0002555776952677126
-0.4952245354652405 | [0.05] | -0.00024275868379061103
-0.49617764353752136 | [0.05] | -0.0002295382603614537
-0.4972642958164215 | [0.05] | -0.00021605473080118498
-0.4984785318374634 | [0.04] | -0.00020244437560168122
-0.4998134970664978 | [0.04] | -0.0001888396067087825
-0.5012615323066711 | [0.04] | -0.0001753664776065038
-0.5028141736984253 | [0.04] | -0.00016214303119337482
-0.5044621825218201 | [0.04] | -0.00014927765462953652
-0.5061956644058228 | [0.04] | -0.00013686725588700867
-0.5080041289329529 | [0.04] | -0.0001249961630218412
-0.5098764896392822 | [0.03] | -0.00011373566657902667
-0.5118011236190796 | [0.03] | -0.00010314355435576245
-0.5137660503387451 | [0.03] | -9.326349059619253e-05
-0.5157589316368103 | [0.03] | -8.412566126614949e-05
-0.517767071723938 | [0.03] | -7.574765742226198e-05
-0.5197776556015015 | [0.03] | -6.813469138079977e-05
-0.5217777490615845 | [0.02] | -6.128119314970532e-05
-0.523754358291626 | [0.02] | -5.517230973652865e-05
-0.5256946086883545 | [0.02] | -4.9785263526590495e-05
-0.5275856256484985 | [0.02] | -4.5091832564513085e-05
-0.5294148921966553 | [0.02] | -4.1059386309366983e-05
-0.5311701893806458 | [0.02] | -3.7653363628155575e-05
-0.5328395962715149 | [0.02] | -3.4839442215925204e-05
-0.5344116687774658 | [0.02] | -3.258513208920062e-05
-0.5358756184577942 | [0.02] | -3.086130169551434e-05
-0.5372211337089539 | [0.02] | -2.9644428242139567e-05
-0.5384386777877808 | [0.02] | -2.8917357753109365e-05
-0.5395194888114929 | [0.02] | -2.86705753107264e-05
-0.5404555201530457 | [0.02] | -2.8903259064584578e-05
-0.5412396788597107 | [0.02] | -2.9623274504688685e-05
-0.5418657660484314 | [0.02] | -3.0847522977567764e-05
-0.5423285961151123 | [0.02] | -3.260147016751092e-05
-0.5426239371299744 | [0.02] | -3.491873845399803e-05
-0.5427486300468445 | [0.02] | -3.783988470220905e-05
-0.5427005887031555 | [0.02] | -4.1411125630322985e-05
-0.5424788594245911 | [0.02] | -4.568257815318105e-05
-0.5420835614204407 | [0.02] | -5.0706561647796974e-05
-0.5415158867835999 | [0.02] | -5.653552283199994e-05
-0.5407782196998596 | [0.03] | -6.321937697642483e-05
-0.5398740768432617 | [0.03] | -7.08032695792473e-05
-0.5388079881668091 | [0.03] | -7.932556233106945e-05
-0.5375856161117554 | [0.03] | -8.881495596870458e-05
-0.5362136960029602 | [0.03] | -9.928831784397018e-05
-0.5346999168395996 | [0.03] | -0.00011074895948478205
-0.5330529808998108 | [0.04] | -0.0001231843613359319
-0.5312824845314026 | [0.04] | -0.0001365649435071077
-0.5293989181518555 | [0.04] | -0.00015084263345860265
-0.5274136066436768 | [0.04] | -0.00016595003475104015
-0.5253385901451111 | [0.04] | -0.00018180039686683267
-0.5231865644454956 | [0.04] | -0.00019828767516362838
-0.5209708213806152 | [0.05] | -0.00021528707192044994
-0.5187051892280579 | [0.05] | -0.00023265598378184073
-0.5164039134979248 | [0.05] | -0.00025023579566876977
-0.514081597328186 | [0.05] | -0.00026785371843701867
-0.5117530226707458 | [0.05] | -0.0002853258562188381
-0.5094330906867981 | [0.05] | -0.000302459861449685
-0.507136881351471 | [0.06] | -0.0003190568420784476
-0.504879355430603 | [0.06] | -0.0003349162914642606
-0.5026753544807434 | [0.06] | -0.000349838928890805
-0.5005394816398621 | [0.06] | -0.0003636305306045376
-0.4984859526157379 | [0.06] | -0.00037610604500969006
-0.49652859568595886 | [0.06] | -0.00038709241511084475
-0.4946807324886322 | [0.06] | -0.00039643223620459647
-0.4929550290107727 | [0.06] | -0.0004039875152866095
-0.4913634955883026 | [0.06] | -0.000409641770974755
-0.4899173378944397 | [0.06] | -0.0004133031591935083
-0.4886269271373749 | [0.06] | -0.0004149061026197329
-0.48750171065330505 | [0.06] | -0.0004144129860885451
-0.48655012249946594 | [0.06] | -0.00041181539392826333
-0.4857795834541321 | [0.06] | -0.00040713398851038906
-0.4851963520050049 | [0.06] | -0.00040041923360312215
-0.4848055839538574 | [0.06] | -0.00039174966273229807
-0.48461124300956726 | [0.06] | -0.00038123102146538036
-0.4846160113811493 | [0.06] | -0.0003689948770145586
-0.4848213791847229 | [0.06] | -0.00035519519380262633
-0.4852275252342224 | [0.06] | -0.000340006362389077
-0.4858333468437195 | [0.06] | -0.00032361954682143154
-0.4866364598274231 | [0.06] | -0.0003062390579323369
-0.48763322830200195 | [0.05] | -0.0002880782959142709
-0.4888187050819397 | [0.05] | -0.0002693562917365957
-0.4901866912841797 | [0.05] | -0.0002502932383451458
-0.49172982573509216 | [0.05] | -0.00023110599269196786
-0.4934394955635071 | [0.05] | -0.00021200500329767209
-0.49530598521232605 | [0.04] | -0.00019318976823542913
-0.49731847643852234 | [0.04] | -0.00017484572586578623
-0.4994651675224304 | [0.04] | -0.00015714082869668707
-0.5017332434654236 | [0.04] | -0.00014022348721004453
-0.5041090250015259 | [0.04] | -0.00012422000603739883
-0.5065780282020569 | [0.03] | -0.0001092331810147838
-0.5091250538825989 | [0.03] | -9.534139891308564e-05
-0.5117342472076416 | [0.03] | -8.259849115097624e-05
-0.5143893361091614 | [0.03] | -7.103352079820244e-05
-0.5170735120773315 | [0.02] | -6.0652716843960826e-05
-0.5197696685791016 | [0.02] | -5.1440458431777466e-05
-0.5224605202674866 | [0.02] | -4.336143056923868e-05
-0.5251286625862122 | [0.02] | -3.636343499162839e-05
-0.5277567505836487 | [0.02] | -3.0380234031812556e-05
-0.5303274989128113 | [0.02] | -2.5335240214471294e-05
-0.532823920249939 | [0.01] | -2.114476590902339e-05
-0.5352293252944946 | [0.01] | -1.772203791484751e-05
-0.5375275611877441 | [0.01] | -1.498065798266836e-05
-0.5397030115127563 | [0.01] | -1.2838496646646263e-05
-0.5417407155036926 | [0.01] | -1.1221103553184685e-05
-0.5436265468597412 | [0.01] | -1.006475104388138e-05
-0.5453472137451172 | [0.01] | -9.319370573109515e-06
-0.546890377998352 | [0.01] | -8.950794907194397e-06
-0.548244833946228 | [0.01] | -8.942399530455335e-06
-0.5494003891944885 | [0.01] | -9.296519364536316e-06
-0.550348162651062 | [0.01] | -1.0034655820624467e-05
-0.5510805249214172 | [0.01] | -1.1197480446973522e-05
-0.551591157913208 | [0.01] | -1.2843992472525303e-05
-0.5518750548362732 | [0.01] | -1.5050101741991535e-05
-0.5519287586212158 | [0.01] | -1.7906163347980525e-05
-0.5517501831054688 | [0.01] | -2.1514583735039168e-05
-0.5513386726379395 | [0.02] | -2.5986535852228124e-05
-0.5506951808929443 | [0.02] | -3.143788772849714e-05
-0.5498220920562744 | [0.02] | -3.798551015621841e-05
-0.5487233400344849 | [0.02] | -4.574265541108677e-05
-0.5474042296409607 | [0.02] | -5.481496456323487e-05
-0.5458716154098511 | [0.03] | -6.529540703762238e-05
-0.544133722782135 | [0.03] | -7.72603625934042e-05
-0.5422002673149109 | [0.03] | -9.07648719678008e-05
-0.5400821566581726 | [0.03] | -0.0001058398321399036
-0.5377916693687439 | [0.03] | -0.00012248773699584313
-0.535342276096344 | [0.04] | -0.0001406803735083783
