-4.5, -4.5, 2.0
parameter ends

state | action | reward
[-0.51] | [4.31] | -1.858474994554836
-0.5121315717697144 | [4.3] | -1.8474359524896842
-0.5092928409576416 | [4.28] | -1.831021420610415
-0.5050613880157471 | [4.25] | -1.8094259303334184
-0.4994688928127289 | [4.22] | -1.782903192493989
-0.49255722761154175 | [4.19] | -1.7517615114368525
-0.48437803983688354 | [4.14] | -1.7163577364826623
-0.4749923348426819 | [4.1] | -1.6770906949653897
-0.46446987986564636 | [4.04] | -1.6343935835965508
-0.4528885781764984 | [3.99] | -1.5887260782726174
-0.44033363461494446 | [3.93] | -1.5405656800891852
-0.42689669132232666 | [3.86] | -1.490399200251968
-0.4126748740673065 | [3.79] | -1.4387143351624743
-0.3977697193622589 | [3.72] | -1.3859914229589727
-0.38228604197502136 | [3.65] | -1.3326957865996307
-0.36633074283599854 | [3.58] | -1.2792707755349078
-0.3500116765499115 | [3.5] | -1.226131989587913
-0.3334364593029022 | [3.43] | -1.1736623667890869
-0.31671133637428284 | [3.35] | -1.1222084788497346
-0.29994016885757446 | [3.27] | -1.0720781696706148
-0.28322336077690125 | [3.2] | -1.0235389558582773
-0.26665714383125305 | [3.13] | -0.9768182433684779
-0.2503327429294586 | [3.05] | -0.9321038215303314
-0.23433586955070496 | [2.98] | -0.8895458055401058
-0.21874624490737915 | [2.91] | -0.8492589491704747
-0.20363734662532806 | [2.85] | -0.8113257402456626
-0.1890762597322464 | [2.79] | -0.7757998025245748
-0.1751236617565155 | [2.73] | -0.7427095389165829
-0.16183391213417053 | [2.67] | -0.7120618519760344
-0.14925526082515717 | [2.62] | -0.6838458985045314
-0.13743014633655548 | [2.57] | -0.6580367295785852
-0.1263955533504486 | [2.52] | -0.6345987242300581
-0.11618337035179138 | [2.48] | -0.6134886696474334
-0.10682085901498795 | [2.44] | -0.5946587401673396
-0.09833107143640518 | [2.4] | -0.5780590139521528
-0.09073329716920853 | [2.37] | -0.5636397574492522
-0.0840434730052948 | [2.35] | -0.5513533384558804
-0.07827460765838623 | [2.33] | -0.5411559334382948
-0.07343713194131851 | [2.31] | -0.5330088566278031
-0.06953923404216766 | [2.3] | -0.5268796879700812
-0.06658712774515152 | [2.29] | -0.522743106873122
-0.06458530575037003 | [2.28] | -0.5205815753395517
-0.06353670358657837 | [2.28] | -0.5203857298994563
-0.06344282627105713 | [2.29] | -0.5221546109383769
-0.06430380046367645 | [2.29] | -0.525895656215312
-0.06611840426921844 | [2.31] | -0.531624570664317
-0.0688839852809906 | [2.32] | -0.5393648839688941
-0.07259637862443924 | [2.34] | -0.5491474167250545
-0.07724971324205399 | [2.37] | -0.5610094073760278
-0.08283621072769165 | [2.4] | -0.5749934948474924
-0.08934590965509415 | [2.43] | -0.5911464023602221
-0.09676634520292282 | [2.47] | -0.6095173397724104
-0.10508216917514801 | [2.51] | -0.6301560834026279
-0.11427479982376099 | [2.56] | -0.6531108863586144
-0.12432195246219635 | [2.6] | -0.6784258740359618
-0.1351972371339798 | [2.66] | -0.7061383142256701
-0.1468696892261505 | [2.71] | -0.7362754612361626
-0.15930336713790894 | [2.77] | -0.7688512536626884
-0.17245694994926453 | [2.84] | -0.8038627638239325
-0.18628333508968353 | [2.9] | -0.8412863868850913
-0.2007293850183487 | [2.97] | -0.8810742202570481
-0.21573567390441895 | [3.04] | -0.9231502937826245
-0.23123639822006226 | [3.11] | -0.9674072003873738
-0.24715931713581085 | [3.18] | -1.013702851980353
-0.26342591643333435 | [3.26] | -1.0618580216857905
-0.27995163202285767 | [3.33] | -1.1116543314380127
-0.29664626717567444 | [3.41] | -1.1628332522282114
-0.3134145438671112 | [3.49] | -1.2150960311127088
-0.3301568031311035 | [3.56] | -1.26810474109764
-0.3467698097229004 | [3.64] | -1.321484406813928
-0.36314770579338074 | [3.71] | -1.374826440356955
-0.3791830539703369 | [3.78] | -1.4276932216233922
-0.3947679400444031 | [3.85] | -1.4796237358852127
-0.40979519486427307 | [3.91] | -1.5301404701141215
-0.4241594970226288 | [3.97] | -1.578756621518071
-0.43775856494903564 | [4.03] | -1.6249842743986993
-0.45049434900283813 | [4.08] | -1.6683430989023547
-0.4622740149497986 | [4.13] | -1.7083686380980823
-0.4730110466480255 | [4.18] | -1.7446212317071774
-0.4826260209083557 | [4.22] | -1.7766937335512827
