-0.4, 5.9, -0.2
parameter ends

state | action | reward
[-0.48] | [-0.01] | -5.5986808374655e-06
-0.4816215932369232 | [-0.01] | -8.620287563915236e-06
-0.48227718472480774 | [-0.01] | -1.2005731239490831e-05
-0.48325833678245544 | [-0.01] | -1.55884628115666e-05
-0.4845600128173828 | [-0.01] | -1.919862873750636e-05
-0.486174613237381 | [-0.02] | -2.266896236117566e-05
-0.4880918860435486 | [-0.02] | -2.5840871365442854e-05
-0.4902990460395813 | [-0.02] | -2.857014907135684e-05
-0.4927808940410614 | [-0.02] | -3.073226295957357e-05
-0.49551984667778015 | [-0.02] | -3.222719374337924e-05
-0.49849608540534973 | [-0.02] | -3.298341703667716e-05
-0.5016876459121704 | [-0.02] | -3.29610768356865e-05
-0.505070686340332 | [-0.02] | -3.215391542707937e-05
-0.508619487285614 | [-0.02] | -3.0590471865836264e-05
-0.512306809425354 | [-0.02] | -2.8333648541420343e-05
-0.5161041021347046 | [-0.02] | -2.5479268383980988e-05
-0.5199815034866333 | [-0.01] | -2.215377279956359e-05
-0.5239083766937256 | [-0.01] | -1.8510090283663586e-05
-0.5278533101081848 | [-0.01] | -1.4723182600317172e-05
-0.5317845344543457 | [-0.01] | -1.0984192784329125e-05
-0.5356701016426086 | [-0.01] | -7.494178423940148e-06
-0.5394781827926636 | [-0.01] | -4.457209983069385e-06
-0.5431771874427795 | [-0.] | -2.0732708417270314e-06
-0.5467362999916077 | [-0.] | -5.308983516967907e-07
-0.5501254796981812 | [5.42e-05] | -2.934427281676571e-10
-0.5533158183097839 | [0.] | -6.266775583579788e-07
-0.5562798380851746 | [0.01] | -2.5244124896903795e-06
-0.5589916110038757 | [0.01] | -5.7719712212365006e-06
-0.5614269971847534 | [0.01] | -1.0407942652790536e-05
-0.5635640025138855 | [0.01] | -1.6428394849578173e-05
-0.5653827786445618 | [0.02] | -2.378535448689538e-05
-0.566865861415863 | [0.02] | -3.238677941801688e-05
-0.5679983496665955 | [0.02] | -4.209795809764223e-05
-0.5687680244445801 | [0.02] | -5.2744247865907956e-05
-0.5691655278205872 | [0.03] | -6.411528029452478e-05
-0.5691843628883362 | [0.03] | -7.597010499714312e-05
-0.5688210129737854 | [0.03] | -8.804361966432007e-05
-0.5680750608444214 | [0.03] | -0.00010005400226489055
-0.5669490694999695 | [0.03] | -0.00011171033166372884
-0.5654487013816833 | [0.04] | -0.0001227212342349951
-0.563582718372345 | [0.04] | -0.000132803576348562
-0.5613629221916199 | [0.04] | -0.00014169103909393357
-0.5588040351867676 | [0.04] | -0.00014914223341905625
-0.5559237003326416 | [0.04] | -0.0001549486625121851
-0.5527422428131104 | [0.04] | -0.00015894127856085283
-0.5492826700210571 | [0.04] | -0.00016099669639382528
-0.5455704927444458 | [0.04] | -0.000161041781774649
-0.5416334867477417 | [0.04] | -0.00015905662001383235
-0.5375014543533325 | [0.04] | -0.0001550760063776534
-0.5332061052322388 | [0.04] | -0.00014918965027413487
-0.5287807583808899 | [0.04] | -0.00014154025468932064
-0.5242601037025452 | [0.04] | -0.0001323200401527725
-0.5196799635887146 | [0.03] | -0.00012176578824957526
-0.5150768756866455 | [0.03] | -0.00011015187808431993
-0.5104878544807434 | [0.03] | -9.778253652387544e-05
-0.5059502720832825 | [0.03] | -8.49833269316767e-05
-0.5015012621879578 | [0.03] | -7.209069251200962e-05
-0.4971775710582733 | [0.02] | -5.94421160138317e-05
-0.49301525950431824 | [0.02] | -4.7365795320572364e-05
-0.48904937505722046 | [0.02] | -3.617040160374957e-05
-0.48531362414360046 | [0.02] | -2.6135428671016306e-05
-0.4818401038646698 | [0.01] | -1.7502561427271012e-05
-0.47865912318229675 | [0.01] | -1.0468204339720687e-05
-0.4757988154888153 | [0.01] | -5.1772169586216e-06
-0.4732849895954132 | [0.] | -1.718540879877129e-06
-0.47114086151123047 | [0.] | -1.2246183320593905e-07
-0.46938690543174744 | [-0.] | -3.5980669375946135e-07
-0.4680405855178833 | [-0.] | -2.3430309975413946e-06
