-1.5, 5.5, 0.0
parameter ends

state | action | reward
[-0.41] | [0.61] | -0.03737387652043687
-0.40749698877334595 | [0.61] | -0.03740528381419638
-0.40736865997314453 | [0.61] | -0.0374248875942624
-0.4071768522262573 | [0.61] | -0.03743239717912728
-0.406922847032547 | [0.61] | -0.03742764335466864
-0.4066084623336792 | [0.61] | -0.03741056626006231
-0.4062361419200897 | [0.61] | -0.03738123527136985
-0.40580886602401733 | [0.61] | -0.03733983644039928
-0.4053301513195038 | [0.61] | -0.037286675459280404
-0.4048040211200714 | [0.61] | -0.03722217495046523
-0.40423494577407837 | [0.61] | -0.03714686581223945
-0.403627872467041 | [0.61] | -0.03706139454235849
-0.40298810601234436 | [0.61] | -0.03696650307156476
-0.40232130885124207 | [0.61] | -0.03686302981014183
-0.40163344144821167 | [0.61] | -0.036751899494861164
-0.4009306728839874 | [0.61] | -0.03663410755773388
-0.4002194106578827 | [0.6] | -0.036510725374319146
-0.399506151676178 | [0.6] | -0.03638287346493204
-0.3987974524497986 | [0.6] | -0.03625171575718484
-0.3980999290943146 | [0.6] | -0.036118458929229616
-0.39742007851600647 | [0.6] | -0.035984320026753495
-0.3967643082141876 | [0.6] | -0.03585053077983146
-0.39613887667655945 | [0.6] | -0.03571832630480988
-0.39554980397224426 | [0.6] | -0.035588928500495276
-0.3950028121471405 | [0.6] | -0.0354635344774415
-0.39450326561927795 | [0.59] | -0.035343305203979235
-0.39405617117881775 | [0.59] | -0.035229364484357144
-0.3936660587787628 | [0.59] | -0.035122777018501576
-0.3933369815349579 | [0.59] | -0.03502454732008148
-0.3930724561214447 | [0.59] | -0.03493560805266787
-0.39287546277046204 | [0.59] | -0.03485681876778667
-0.3927483558654785 | [0.59] | -0.03478894882051137
-0.392692893743515 | [0.59] | -0.03473268084791103
-0.3927101790904999 | [0.59] | -0.03468859847168773
-0.39280062913894653 | [0.59] | -0.03465717879378738
-0.39296403527259827 | [0.59] | -0.03463880024902288
-0.39319947361946106 | [0.59] | -0.034633724235261315
-0.39350539445877075 | [0.59] | -0.03464210738126228
-0.39387959241867065 | [0.59] | -0.034663993040017355
-0.3943191468715668 | [0.59] | -0.034699296829480274
-0.39482060074806213 | [0.59] | -0.034747833606681267
-0.39537984132766724 | [0.59] | -0.03480929237556077
-0.3959921896457672 | [0.59] | -0.03488324709981544
-0.3966524302959442 | [0.59] | -0.03496915691312955
-0.3973549008369446 | [0.59] | -0.03506637710272932
-0.39809349179267883 | [0.59] | -0.035174154170767476
-0.39886167645454407 | [0.59] | -0.03529162634059559
-0.3996526002883911 | [0.6] | -0.03541783436250102
-0.4004591405391693 | [0.6] | -0.03555172785015776
-0.4012739956378937 | [0.6] | -0.035692177119781364
-0.4020896852016449 | [0.6] | -0.03583796987777311
-0.4028986692428589 | [0.6] | -0.03598782941296071
-0.40369340777397156 | [0.6] | -0.03614042298293712
-0.4044664204120636 | [0.6] | -0.03629437122363239
-0.40521034598350525 | [0.6] | -0.036448257893513435
-0.40591806173324585 | [0.6] | -0.03660065157001767
-0.40658268332481384 | [0.61] | -0.03675010680230586
-0.4071976840496063 | [0.61] | -0.036895187240163364
-0.4077569246292114 | [0.61] | -0.03703447391320197
-0.4082547426223755 | [0.61] | -0.03716658489422467
-0.4086860418319702 | [0.61] | -0.037290195915184225
-0.4090462327003479 | [0.61] | -0.03740403460985964
-0.409331351518631 | [0.61] | -0.03750690740674002
-0.4095381498336792 | [0.61] | -0.03759772185542053
-0.4096640646457672 | [0.61] | -0.03767548782342908
-0.409707248210907 | [0.61] | -0.03773932935335732
-0.40966659784317017 | [0.61] | -0.03778849668632352
-0.4095418155193329 | [0.61] | -0.037822383778988666
-0.40933334827423096 | [0.62] | -0.03784052397724373
-0.40904247760772705 | [0.62] | -0.0378426124784102
-0.40867123007774353 | [0.62] | -0.03782849598442426
-0.40822237730026245 | [0.61] | -0.03779817786360812
-0.40769946575164795 | [0.61] | -0.03775182838818556
-0.40710675716400146 | [0.61] | -0.0376897781341363
-0.40644919872283936 | [0.61] | -0.03761251613680729
-0.40573233366012573 | [0.61] | -0.037520676374772494
-0.40496236085891724 | [0.61] | -0.03741505089140427
-0.4041459560394287 | [0.61] | -0.037296558964537374
-0.403290331363678 | [0.61] | -0.03716625887129279
-0.4024031162261963 | [0.61] | -0.037025326876196266
-0.40149223804473877 | [0.61] | -0.03687503560281429
-0.4005659520626068 | [0.61] | -0.03671675904149063
-0.39963269233703613 | [0.6] | -0.03655194496575511
-0.398701012134552 | [0.6] | -0.03638210325427871
-0.39777952432632446 | [0.6] | -0.03620879405111557
-0.39687684178352356 | [0.6] | -0.03603361591294379
-0.3960014283657074 | [0.6] | -0.035858178058636274
-0.39516156911849976 | [0.6] | -0.03568409374109501
-0.3943652808666229 | [0.6] | -0.035512963214353495
-0.39362025260925293 | [0.59] | -0.03534636216702932
-0.39293375611305237 | [0.59] | -0.035185824962841165
-0.39231255650520325 | [0.59] | -0.035032827967691395
-0.39176294207572937 | [0.59] | -0.03488879404109847
-0.3912905156612396 | [0.59] | -0.034755055193470136
-0.39090022444725037 | [0.59] | -0.0346328568069249
-0.3905963599681854 | [0.59] | -0.03452335688000534
-0.39038240909576416 | [0.59] | -0.03442759900428399
-0.39026105403900146 | [0.59] | -0.03434651097534291
-0.39023420214653015 | [0.59] | -0.03428090837848195
-0.3903028666973114 | [0.59] | -0.0342314719831751
-0.39046719670295715 | [0.58] | -0.03419875030704074
-0.3907264769077301 | [0.58] | -0.03418315666739085
-0.3910791277885437 | [0.58] | -0.034184965726875634
-0.39152267575263977 | [0.58] | -0.034204304179442174
-0.3920538127422333 | [0.59] | -0.034241156392105135
