-1.5, 5.5, -0.6
parameter ends

state | action | reward
[-0.44] | [0.06] | -0.000376488082467436
-0.4414275586605072 | [0.06] | -0.0003513091738768847
-0.442470520734787 | [0.06] | -0.000336045535122845
-0.4440290033817291 | [0.06] | -0.0003303008670577625
-0.4460923969745636 | [0.06] | -0.0003339669134086657
-0.4486452043056488 | [0.06] | -0.0003472443233330663
-0.45166704058647156 | [0.06] | -0.0003706435406005609
-0.4551328718662262 | [0.06] | -0.0004049706413401359
-0.4590131342411041 | [0.07] | -0.00045129244100458555
-0.4632740020751953 | [0.07] | -0.0005108862442259665
-0.4678776264190674 | [0.08] | -0.00058517279287786
-0.4727824628353119 | [0.08] | -0.0006756368571606914
-0.47794365882873535 | [0.09] | -0.0007837382012791888
-0.4833133816719055 | [0.1] | -0.0009108134734014017
-0.48884135484695435 | [0.1] | -0.001057979461599222
-0.49447524547576904 | [0.11] | -0.0012260335223650953
-0.5001612305641174 | [0.12] | -0.0014153635047025194
-0.5058443546295166 | [0.13] | -0.0016258603534018202
-0.511469304561615 | [0.14] | -0.0018568581127079435
-0.5169808268547058 | [0.15] | -0.0021070796880520402
-0.52232426404953 | [0.15] | -0.002374606135666764
-0.5274460911750793 | [0.16] | -0.002656868835559606
-0.5322945713996887 | [0.17] | -0.0029506721265667273
-0.5368201732635498 | [0.18] | -0.0032522304165460677
-0.5409761667251587 | [0.19] | -0.0035572391034953167
-0.5447189211845398 | [0.2] | -0.0038609527414399133
-0.5480086803436279 | [0.2] | -0.0041583122302193505
-0.5508096218109131 | [0.21] | -0.004444050081127226
-0.553090512752533 | [0.22] | -0.004712844593741786
-0.5548248887062073 | [0.22] | -0.0049594568991574725
-0.5559913516044617 | [0.23] | -0.005178880190759462
-0.5565738677978516 | [0.23] | -0.005366490191028402
-0.5565620064735413 | [0.23] | -0.005518188339184319
-0.555950939655304 | [0.24] | -0.005630519423617877
-0.5547416806221008 | [0.24] | -0.005700792242324461
-0.552941083908081 | [0.24] | -0.005727166830091502
-0.5505617260932922 | [0.24] | -0.00570871230975792
-0.5476219654083252 | [0.24] | -0.005645454459990272
-0.5441457629203796 | [0.24] | -0.0055383813960342716
-0.5401625633239746 | [0.23] | -0.005389428286527713
-0.5357069373130798 | [0.23] | -0.005201419530767412
-0.5308184623718262 | [0.22] | -0.004978003228044537
-0.5255411863327026 | [0.22] | -0.004723535488925892
-0.5199233293533325 | [0.21] | -0.004442961235390698
-0.51401686668396 | [0.2] | -0.004141672333256248
-0.507876992225647 | [0.2] | -0.0038253471260302494
-0.5015615820884705 | [0.19] | -0.00349978502361486
-0.495130717754364 | [0.18] | -0.0031707443629069593
-0.488646000623703 | [0.17] | -0.002843773868059607
-0.4821699857711792 | [0.16] | -0.0025240624076066243
-0.475765585899353 | [0.15] | -0.002216303384733832
-0.46949541568756104 | [0.14] | -0.001924577190122806
-0.46342113614082336 | [0.13] | -0.0016522595716252138
-0.45760291814804077 | [0.12] | -0.0014019629104912534
-0.4520988464355469 | [0.11] | -0.0011755040953181817
-0.446964293718338 | [0.1] | -0.0009739025481843926
-0.44225141406059265 | [0.09] | -0.0007974123231757892
-0.4380086660385132 | [0.08] | -0.0006455827111197221
-0.43428027629852295 | [0.07] | -0.0005173425142934641
-0.43110591173171997 | [0.06] | -0.00041111071847968554
-0.42852020263671875 | [0.06] | -0.0003249201409821858
-0.4265524446964264 | [0.05] | -0.0002565561182691492
-0.4252263009548187 | [0.05] | -0.0002037003870405213
