2.0, -2.0, 0.0
parameter ends

state | action | reward
[-0.42] | [-0.84] | -0.07012172298836994
-0.4207235276699066 | [-0.84] | -0.07012172618586794
-0.42476892471313477 | [-0.84] | -0.07080331344015045
-0.4308069050312042 | [-0.85] | -0.07217145481134857
-0.4388061761856079 | [-0.86] | -0.07423783448512139
-0.44872698187828064 | [-0.88] | -0.07702034475732607
-0.46052104234695435 | [-0.9] | -0.0805423650495129
-0.4741315245628357 | [-0.92] | -0.0848318466878916
-0.4894932210445404 | [-0.95] | -0.08992027820766746
-0.5065326690673828 | [-0.98] | -0.0958414468382272
-0.5251685380935669 | [-1.01] | -0.10263014019738821
-0.5452926158905029 | [-1.05] | -0.11032079188339904
-0.5667541027069092 | [-1.09] | -0.11893760827748859
-0.5893928408622742 | [-1.13] | -0.12848408432951608
-0.613041341304779 | [-1.18] | -0.13895357712651868
-0.6375270485877991 | [-1.23] | -0.1503278863350415
-0.6626747846603394 | [-1.28] | -0.1625762827225669
-0.6883094906806946 | [-1.33] | -0.17565515598954998
-0.7142584919929504 | [-1.38] | -0.18950797070217532
-0.7403542995452881 | [-1.43] | -0.20406609331853917
-0.7664365768432617 | [-1.48] | -0.21924979223243604
-0.7923544645309448 | [-1.53] | -0.23497001509760485
-0.8179680705070496 | [-1.58] | -0.2511302366234478
-0.8431499004364014 | [-1.64] | -0.2676287118419473
-0.8677856922149658 | [-1.69] | -0.28436071314988687
-0.8917749524116516 | [-1.74] | -0.30122081856242056
-0.9150310754776001 | [-1.78] | -0.31810503825915565
-0.937481164932251 | [-1.83] | -0.33491276945191867
-0.9590654373168945 | [-1.87] | -0.35154837942891537
-0.9797365665435791 | [-1.92] | -0.3679225980767442
-0.9994587302207947 | [-1.96] | -0.3839534973889617
-1.0182064771652222 | [-2.] | -0.3995670939192775
-1.0359636545181274 | [-2.04] | -0.41469774929779696
-1.0527223348617554 | [-2.07] | -0.4292883237042071
-1.0684813261032104 | [-2.11] | -0.44328974611953537
-1.0832453966140747 | [-2.14] | -0.45666094565331633
-1.0970240831375122 | [-2.17] | -0.4693682534700095
-1.109830617904663 | [-2.19] | -0.48138472742001337
-1.1216812133789062 | [-2.22] | -0.49268964317364833
-1.1325938701629639 | [-2.24] | -0.5032674585001424
-1.1425881385803223 | [-2.27] | -0.5131075271083874
-1.151684045791626 | [-2.29] | -0.5222030089895205
-1.1599018573760986 | [-2.3] | -0.530550482274532
-1.1672612428665161 | [-2.32] | -0.5381489810778528
-1.1737810373306274 | [-2.33] | -0.5449995614702811
-1.1794788837432861 | [-2.35] | -0.5511047558834927
-1.184370994567871 | [-2.36] | -0.5564681406060942
-1.1884719133377075 | [-2.37] | -0.5610939140549859
-1.1917939186096191 | [-2.38] | -0.5649861488079371
-1.1943475008010864 | [-2.38] | -0.5681490757970461
-1.1961407661437988 | [-2.39] | -0.5705863743939837
-1.1971794366836548 | [-2.39] | -0.5723010471873224
-1.1974669694900513 | [-2.39] | -0.5732954330850755
-1.1970043182373047 | [-2.39] | -0.5735709006181265
-1.1957899332046509 | [-2.39] | -0.5731277918946779
-1.1938197612762451 | [-2.39] | -0.5719653894359172
-1.1910876035690308 | [-2.39] | -0.5700822465194396
-1.1875847578048706 | [-2.38] | -0.5674758526705943
-1.1833003759384155 | [-2.38] | -0.56414300420697
-1.178221583366394 | [-2.37] | -0.5600799630127934
-1.1723333597183228 | [-2.36] | -0.5552824064461132
-1.1656192541122437 | [-2.34] | -0.5497461824338827
-1.1580612659454346 | [-2.33] | -0.54346728128802
-1.1496403217315674 | [-2.32] | -0.5364423807066522
-1.140336513519287 | [-2.3] | -0.5286691691541446
-1.1301296949386597 | [-2.28] | -0.5201469949039113
-1.1189998388290405 | [-2.26] | -0.5108772871593861
-1.106927752494812 | [-2.24] | -0.5008642857336825
-1.093895673751831 | [-2.21] | -0.4901156304187172
-1.079888105392456 | [-2.19] | -0.4786431241016946
-1.0648925304412842 | [-2.16] | -0.46646333691761604
-1.0489004850387573 | [-2.13] | -0.453598456423992
-1.0319085121154785 | [-2.1] | -0.4400769394583066
-1.0139191150665283 | [-2.06] | -0.4259340740258793
-0.9949421882629395 | [-2.03] | -0.4112128099109181
-0.9749959111213684 | [-1.99] | -0.3959639980199727
-0.9541080594062805 | [-1.95] | -0.3802468310213549
-0.9323170185089111 | [-1.91] | -0.3641288599705578
-0.9096730351448059 | [-1.86] | -0.34768603003944776
-0.8862388134002686 | [-1.82] | -0.33100202590301
-0.8620904088020325 | [-1.77] | -0.31416768846845144
-0.837317705154419 | [-1.72] | -0.29727996331014533
