0.0, 5.8, -0.5
parameter ends

state | action | reward
[-0.43] | [-0.5] | -0.025
-0.4304841160774231 | [-0.51] | -0.025847929993619085
-0.43338578939437866 | [-0.52] | -0.026711300563512327
-0.4377310872077942 | [-0.53] | -0.027583789627114913
-0.4435010850429535 | [-0.53] | -0.028458602891811027
-0.45066624879837036 | [-0.54] | -0.029328509195503963
-0.4591864049434662 | [-0.55] | -0.030185891839812653
-0.46901077032089233 | [-0.56] | -0.03102282260291572
-0.48007819056510925 | [-0.56] | -0.03183115632719522
-0.4923173785209656 | [-0.57] | -0.03260264978430923
-0.5056473016738892 | [-0.58] | -0.03332910335171809
-0.5199778079986572 | [-0.58] | -0.03400251728590074
-0.535210132598877 | [-0.59] | -0.03461526650356143
-0.5512378811836243 | [-0.59] | -0.03516027809856672
-0.567948043346405 | [-0.6] | -0.03563121312982591
-0.5852219462394714 | [-0.6] | -0.036022629597489586
-0.6029365658760071 | [-0.6] | -0.03633013256337466
-0.6209658980369568 | [-0.6] | -0.03655048942064456
-0.6391821503639221 | [-0.61] | -0.03668170999775457
-0.6574572920799255 | [-0.61] | -0.03672308314758006
-0.6756642460823059 | [-0.61] | -0.036675172433362956
-0.6936782598495483 | [-0.6] | -0.036539756544575995
-0.7113780379295349 | [-0.6] | -0.03631974330406116
-0.7286467552185059 | [-0.6] | -0.03601903493423456
-0.745373010635376 | [-0.6] | -0.03564237802588515
-0.7614515423774719 | [-0.59] | -0.03519519027819897
-0.7767835855484009 | [-0.59] | -0.03468338417678956
-0.7912775278091431 | [-0.58] | -0.03411319054754219
-0.8048489093780518 | [-0.58] | -0.03349099652263359
-0.8174205422401428 | [-0.57] | -0.03282319755285422
-0.8289223313331604 | [-0.57] | -0.03211607368173571
-0.8392913341522217 | [-0.56] | -0.03137569288427637
-0.8484712243080139 | [-0.55] | -0.030607836204194806
-0.8564122915267944 | [-0.55] | -0.029817949952890457
-0.8630708456039429 | [-0.54] | -0.029011123949694725
-0.8684091567993164 | [-0.53] | -0.028192087167173932
-0.8723949790000916 | [-0.52] | -0.027365222542853552
-0.8750014305114746 | [-0.52] | -0.026534595511616896
-0.8762067556381226 | [-0.51] | -0.025703993006496062
-0.8759943842887878 | [-0.5] | -0.02487696955316439
-0.8743526935577393 | [-0.49] | -0.024056896121832264
-0.8712753653526306 | [-0.48] | -0.02324701045571164
-0.8667614459991455 | [-0.47] | -0.022450464474321585
-0.8608156442642212 | [-0.47] | -0.02167036804052314
-0.8534488677978516 | [-0.46] | -0.020909825473891225
-0.844678521156311 | [-0.45] | -0.02017196458680907
-0.8345292806625366 | [-0.44] | -0.019459955862906247
-0.8230335116386414 | [-0.43] | -0.01877702315744284
-0.8102320432662964 | [-0.43] | -0.01812644360406491
-0.7961747646331787 | [-0.42] | -0.017511536756086122
-0.780921220779419 | [-0.41] | -0.016935648018961608
-0.7645410895347595 | [-0.4] | -0.0164021213440099
-0.7471147179603577 | [-0.4] | -0.01591426923131084
-0.7287331819534302 | [-0.39] | -0.015475338649160453
-0.7094985246658325 | [-0.39] | -0.01508847548685615
-0.6895233988761902 | [-0.38] | -0.014756689519733458
-0.6689308285713196 | [-0.38] | -0.01448282753916983
-0.6478533148765564 | [-0.38] | -0.014269540472689671
-0.626431941986084 | [-0.38] | -0.014119265635064483
-0.6048151254653931 | [-0.37] | -0.014034206351744126
-0.5831571221351624 | [-0.37] | -0.014016317064572757
-0.5616164207458496 | [-0.38] | -0.014067288010880242
-0.5403537750244141 | [-0.38] | -0.014188534297679595
-0.5195305347442627 | [-0.38] | -0.014381179811925236
-0.49930664896965027 | [-0.38] | -0.014646042594300591
-0.47983884811401367 | [-0.39] | -0.014983615592531266
-0.4612789452075958 | [-0.39] | -0.015394048294008415
-0.44377222657203674 | [-0.4] | -0.01587712542197325
-0.42745620012283325 | [-0.41] | -0.01643224687407584
-0.4124593436717987 | [-0.41] | -0.01705840559848337
-0.39890021085739136 | [-0.42] | -0.017754170093711268
-0.38688668608665466 | [-0.43] | -0.01851766185974849
-0.3765154778957367 | [-0.44] | -0.019346536254939997
-0.3678717017173767 | [-0.45] | -0.02023795597392955
-0.36102867126464844 | [-0.46] | -0.02118856435973429
-0.3560476005077362 | [-0.47] | -0.022194448221711648
-0.35297757387161255 | [-0.48] | -0.023251096585752466
-0.3518553674221039 | [-0.49] | -0.024353350239387207
-0.3527052104473114 | [-0.5] | -0.025495346695285553
-0.3555387556552887 | [-0.52] | -0.026670461519703814
-0.3603546619415283 | [-0.53] | -0.02787125158903272
-0.36713844537734985 | [-0.54] | -0.02908940676249172
-0.37586209177970886 | [-0.55] | -0.030315719089269295
-0.38648372888565063 | [-0.56] | -0.03154007625911629
-0.3989473879337311 | [-0.57] | -0.032751493561755766
-0.41318273544311523 | [-0.58] | -0.03393819344114437
-0.4291049838066101 | [-0.59] | -0.03508773601936721
-0.4466150104999542 | [-0.6] | -0.036187214864374144
-0.4655996263027191 | [-0.61] | -0.037223514050825385
-0.48593220114707947 | [-0.62] | -0.03818362210001952
-0.5074735879898071 | [-0.62] | -0.03905499636843676
-0.5300732851028442 | [-0.63] | -0.03982595854845141
-0.5535710453987122 | [-0.64] | -0.04048609800087137
-0.5777987241744995 | [-0.64] | -0.04102665443505846
-0.6025824546813965 | [-0.64] | -0.04144085702621743
-0.6277449727058411 | [-0.65] | -0.041724183440553904
-0.6531079411506653 | [-0.65] | -0.04187452457334984
-0.6784945130348206 | [-0.65] | -0.04189223579255691
-0.7037315964698792 | [-0.65] | -0.041780070721883965
-0.7286520600318909 | [-0.64] | -0.04154299958420415
-0.7530965805053711 | [-0.64] | -0.04118793652572247
-0.7769153714179993 | [-0.64] | -0.04072339231591683
-0.7999691367149353 | [-0.63] | -0.04015907493063554
-0.8221301436424255 | [-0.63] | -0.039505482899231475
-0.8432825207710266 | [-0.62] | -0.038773499139037104
-0.8633223176002502 | [-0.62] | -0.03797402390956761
-0.8821572661399841 | [-0.61] | -0.037117655089470916
-0.8997063040733337 | [-0.6] | -0.03621443451426898
-0.9158987402915955 | [-0.59] | -0.03527365107106283
-0.9306735396385193 | [-0.59] | -0.03430371369004618
-0.9439780712127686 | [-0.58] | -0.0333120856029601
-0.9557672739028931 | [-0.57] | -0.032305267530693155
-0.9660024642944336 | [-0.56] | -0.03128882615768449
-0.974650502204895 | [-0.55] | -0.03026745664645299
-0.9816827774047852 | [-0.54] | -0.02924507068164314
-0.9870743751525879 | [-0.53] | -0.028224901271575533
-0.9908034205436707 | [-0.52] | -0.027209620297365417
-0.9928506016731262 | [-0.51] | -0.026201458435873383
-0.9931987524032593 | [-0.5] | -0.025202327475750748
-0.9918326735496521 | [-0.49] | -0.024213938974784063
-0.9887390732765198 | [-0.48] | -0.023237916826998738
-0.9839069247245789 | [-0.47] | -0.02227590183991837
-0.9773276448249817 | [-0.46] | -0.02132964559780895
-0.9689958691596985 | [-0.45] | -0.02040109146035025
-0.9589101076126099 | [-0.44] | -0.019492442588595303
-0.947073757648468 | [-0.43] | -0.01860621066391106
-0.933496356010437 | [-0.42] | -0.017745250535518377
-0.9181948900222778 | [-0.41] | -0.016912771847659807
-0.9011951684951782 | [-0.4] | -0.016112330867701707
-0.8825335502624512 | [-0.39] | -0.015347800517697983
-0.8622584939002991 | [-0.38] | -0.014623323485840396
-0.8404320478439331 | [-0.37] | -0.01394324178565701
-0.8171314001083374 | [-0.36] | -0.01331201964035525
-0.7924502491950989 | [-0.36] | -0.012734150993412567
-0.7664996385574341 | [-0.35] | -0.01221407165749761
-0.7394084930419922 | [-0.34] | -0.011756073713918591
-0.7113237977027893 | [-0.34] | -0.011364234266166411
-0.6824100613594055 | [-0.33] | -0.011042360931073027
-0.6528482437133789 | [-0.33] | -0.010793958877849001
-0.6228340268135071 | [-0.33] | -0.010622215262482512
-0.5925753712654114 | [-0.32] | -0.010530001361545777
-0.5622897744178772 | [-0.32] | -0.010519881492265617
-0.5322011709213257 | [-0.33] | -0.010594125033967082
-0.5025362968444824 | [-0.33] | -0.010754709736447638
-0.4735212028026581 | [-0.33] | -0.011003315967571389
-0.4453778564929962 | [-0.34] | -0.011341305505040028
-0.4183209538459778 | [-0.34] | -0.011769695616747379
-0.3925551772117615 | [-0.35] | -0.012289121333589434
-0.36827293038368225 | [-0.36] | -0.012899804562816612
-0.34565266966819763 | [-0.37] | -0.01360152830130878
-0.3248577117919922 | [-0.38] | -0.014393622329622078
-0.3060356378555298 | [-0.39] | -0.015274967191038625
-0.28931814432144165 | [-0.4] | -0.016244001917035573
-0.2748211622238159 | [-0.42] | -0.01729874104350079
-0.2626454532146454 | [-0.43] | -0.018436789109726136
-0.2528770864009857 | [-0.44] | -0.019655339627458385
-0.24558816850185394 | [-0.46] | -0.020951153773387476
-0.2408374547958374 | [-0.47] | -0.022320510642039094
-0.23867078125476837 | [-0.49] | -0.023759120635967707
-0.23912133276462555 | [-0.5] | -0.025262000482720117
-0.24220965802669525 | [-0.52] | -0.026823310855246238
-0.24794338643550873 | [-0.53] | -0.028436159879616507
-0.2563166916370392 | [-0.55] | -0.030092383481747115
-0.2673094570636749 | [-0.56] | -0.03178231575244725
-0.280886173248291 | [-0.58] | -0.03349456966213657
-0.29699471592903137 | [-0.59] | -0.035215855097111
-0.3155650198459625 | [-0.61] | -0.036930864608466854
-0.33650779724121094 | [-0.62] | -0.0386222596942482
-0.35971343517303467 | [-0.63] | -0.040270789489909996
-0.3850511908531189 | [-0.65] | -0.04185558277621059
-0.4123688042163849 | [-0.66] | -0.04335461743696635
-0.4414929151535034 | [-0.67] | -0.044745381475404945
-0.4722299873828888 | [-0.68] | -0.046005708923672936
-0.504368245601654 | [-0.69] | -0.04711474168147072
-0.5376802086830139 | [-0.69] | -0.04805394923082043
-0.5719264149665833 | [-0.7] | -0.04880812585567655
-0.6068593859672546 | [-0.7] | -0.049366263414358166
-0.6422283053398132 | [-0.71] | -0.04972220421539168
-0.6777838468551636 | [-0.71] | -0.049874995628656826
-0.7132831811904907 | [-0.71] | -0.04982892067389379
-0.7484942674636841 | [-0.7] | -0.049593174352446236
-0.7832000255584717 | [-0.7] | -0.049181258013160305
-0.8172016739845276 | [-0.7] | -0.04861011416413335
-0.8503209948539734 | [-0.69] | -0.047899145086608
-0.8824020028114319 | [-0.69] | -0.04706916559164434
-0.9133114218711853 | [-0.68] | -0.046141418514978626
-0.9429387450218201 | [-0.67] | -0.04513668919657852
-0.9711951017379761 | [-0.66] | -0.04407458608355196
-0.9980120062828064 | [-0.66] | -0.04297301018975003
-1.0233393907546997 | [-0.65] | -0.04184780262871462
-1.0471434593200684 | [-0.64] | -0.04071255682765009
-1.0694047212600708 | [-0.63] | -0.039578578586951414
