3.0, 3.0, 1.0, -1.0, 3.0, -3.0, 1.0, -1.0, 0.0
parameter ends

state | action | reward
[-0.45] | 0 | -1.0
-0.4504376947879791 | 0 | -1.0
-0.4535377025604248 | 0 | -1.0
-0.45815932750701904 | 0 | -1.0
-0.4642685651779175 | 0 | -1.0
-0.4718204736709595 | 0 | -1.0
-0.4807591140270233 | 0 | -1.0
-0.4910182058811188 | 2 | -1.0
-0.5005212426185608 | 2 | -1.0
-0.5091972351074219 | 2 | -1.0
-0.5169811844825745 | 2 | -1.0
-0.5238147974014282 | 2 | -1.0
-0.5296467542648315 | 2 | -1.0
-0.5344333648681641 | 2 | -1.0
-0.538138747215271 | 2 | -1.0
-0.540735125541687 | 2 | -1.0
-0.5422030091285706 | 2 | -1.0
-0.542531430721283 | 2 | -1.0
-0.5417179465293884 | 2 | -1.0
-0.539768636226654 | 2 | -1.0
-0.536698043346405 | 2 | -1.0
-0.5325292944908142 | 2 | -1.0
-0.5272935628890991 | 2 | -1.0
-0.5210301280021667 | 2 | -1.0
-0.5137859582901001 | 2 | -1.0
-0.5056153535842896 | 0 | -1.0
-0.49857959151268005 | 0 | -1.0
-0.4927312731742859 | 0 | -1.0
-0.4881141185760498 | 0 | -1.0
-0.48476260900497437 | 0 | -1.0
-0.48270171880722046 | 0 | -1.0
-0.48194679617881775 | 0 | -1.0
-0.4825034439563751 | 0 | -1.0
-0.4843675196170807 | 0 | -1.0
-0.4875251352787018 | 0 | -1.0
-0.4919528067111969 | 0 | -1.0
-0.4976174533367157 | 2 | -1.0
-0.5024767518043518 | 2 | -1.0
-0.506494402885437 | 2 | -1.0
-0.5096402168273926 | 2 | -1.0
-0.511890709400177 | 2 | -1.0
-0.5132290124893188 | 2 | -1.0
-0.5136450529098511 | 2 | -1.0
-0.5131357908248901 | 2 | -1.0
-0.5117049217224121 | 2 | -1.0
-0.5093632936477661 | 2 | -1.0
-0.5061283707618713 | 2 | -1.0
-0.5020244121551514 | 0 | -1.0
-0.49908211827278137 | 0 | -1.0
-0.49732357263565063 | 0 | -1.0
-0.49676188826560974 | 0 | -1.0
-0.49740126729011536 | 0 | -1.0
-0.49923691153526306 | 2 | -1.0
-0.5002551078796387 | 2 | -1.0
-0.5004482269287109 | 2 | -1.0
-0.49981486797332764 | 0 | -1.0
-0.5003597140312195 | 2 | -1.0
-0.5000787377357483 | 0 | -1.0
-0.5009739398956299 | 2 | -1.0
-0.5010387897491455 | 2 | -1.0
-0.5002726912498474 | 0 | -1.0
-0.5006813406944275 | 2 | -1.0
-0.5002617835998535 | 0 | -1.0
-0.5010170936584473 | 2 | -1.0
-0.5009416341781616 | 2 | -1.0
-0.5000360012054443 | 0 | -1.0
-0.5003069043159485 | 2 | -1.0
-0.49975237250328064 | 0 | -1.0
-0.5003765225410461 | 2 | -1.0
-0.5001747012138367 | 0 | -1.0
-0.5011484622955322 | 2 | -1.0
-0.5012904405593872 | 2 | -1.0
-0.5005995631217957 | 0 | -1.0
-0.501081109046936 | 2 | -1.0
-0.5007314085960388 | 2 | -1.0
-0.49955302476882935 | 0 | -1.0
-0.4995548725128174 | 0 | -1.0
-0.5007368922233582 | 2 | -1.0
-0.5010901689529419 | 2 | -1.0
-0.500612199306488 | 2 | -1.0
-0.49930649995803833 | 0 | -1.0
-0.4991828203201294 | 0 | -1.0
-0.5002420544624329 | 2 | -1.0
-0.5004763603210449 | 2 | -1.0
-0.4998839795589447 | 0 | -1.0
-0.5004692673683167 | 2 | -1.0
-0.5002278685569763 | 0 | -1.0
-0.5011616349220276 | 2 | -1.0
-0.5012635588645935 | 2 | -1.0
-0.500532865524292 | 0 | -1.0
-0.5009750127792358 | 2 | -1.0
-0.500586748123169 | 2 | -1.0
-0.49937087297439575 | 0 | -1.0
-0.4993366003036499 | 0 | -1.0
-0.5004841089248657 | 2 | -1.0
-0.5008048415184021 | 2 | -1.0
-0.500296413898468 | 0 | -1.0
-0.5009625554084778 | 2 | -1.0
-0.5007984042167664 | 2 | -1.0
-0.4998050928115845 | 0 | -1.0
-0.4999901056289673 | 2 | -1.0
-0.49935200810432434 | 0 | -1.0
-0.4998956024646759 | 2 | -1.0
-0.4996168315410614 | 0 | -1.0
-0.5005177855491638 | 2 | -1.0
-0.5005916953086853 | 2 | -1.0
-0.4998379945755005 | 0 | -1.0
-0.5002623796463013 | 2 | -1.0
-0.49986162781715393 | 0 | -1.0
-0.5006387829780579 | 2 | -1.0
-0.5005879402160645 | 2 | -1.0
-0.4997096061706543 | 0 | -1.0
-0.5000102519989014 | 2 | -1.0
-0.49948766827583313 | 0 | -1.0
-0.5001457929611206 | 2 | -1.0
-0.4999796450138092 | 0 | -1.0
-0.5009904503822327 | 2 | -1.0
-0.5011707544326782 | 2 | -1.0
-0.5005190968513489 | 0 | -1.0
-0.5010404586791992 | 2 | -1.0
-0.5007308125495911 | 2 | -1.0
-0.4995925724506378 | 0 | -1.0
-0.4996342360973358 | 0 | -1.0
-0.5008554458618164 | 2 | -1.0
-0.5012471079826355 | 2 | -1.0
-0.5008062720298767 | 2 | -1.0
-0.49953627586364746 | 0 | -1.0
-0.4994466006755829 | 0 | -1.0
-0.5005378723144531 | 2 | -1.0
-0.5008019804954529 | 2 | -1.0
-0.5002369284629822 | 0 | -1.0
-0.5008469223976135 | 2 | -1.0
-0.5006274580955505 | 2 | -1.0
-0.49958014488220215 | 0 | -1.0
-0.4997127950191498 | 0 | -1.0
-0.5010244250297546 | 2 | -1.0
-0.5015052556991577 | 2 | -1.0
-0.5011516809463501 | 2 | -1.0
-0.4999663233757019 | 0 | -1.0
-0.4999580383300781 | 0 | -1.0
-0.5011269450187683 | 2 | -1.0
-0.5014641880989075 | 2 | -1.0
-0.5009673833847046 | 2 | -1.0
-0.49964019656181335 | 0 | -1.0
-0.49949249625205994 | 0 | -1.0
-0.5005254745483398 | 2 | -1.0
-0.500731348991394 | 2 | -1.0
-0.5001085996627808 | 0 | -1.0
-0.5006618499755859 | 2 | -1.0
-0.5003870129585266 | 2 | -1.0
-0.49928614497184753 | 0 | -1.0
-0.49936744570732117 | 0 | -1.0
-0.5006303191184998 | 2 | -1.0
-0.5010653138160706 | 2 | -1.0
-0.5006691813468933 | 2 | -1.0
-0.4994448721408844 | 0 | -1.0
-0.49940159916877747 | 0 | -1.0
-0.5005396008491516 | 2 | -1.0
-0.5008504390716553 | 2 | -1.0
-0.5003317594528198 | 0 | -1.0
-0.5009874105453491 | 2 | -1.0
-0.5008125305175781 | 2 | -1.0
-0.4998084306716919 | 0 | -1.0
-0.4999825954437256 | 2 | -1.0
-0.4993337392807007 | 0 | -1.0
-0.49986669421195984 | 2 | -1.0
-0.49957749247550964 | 0 | -1.0
-0.5004683136940002 | 2 | -1.0
-0.5005324482917786 | 2 | -1.0
-0.4997694790363312 | 0 | -1.0
-0.5001850724220276 | 2 | -1.0
