-1.0, 1.0, 2.0
parameter ends

state | action | reward
[-0.53] | [2.53] | -0.6406032599257263
-0.5294585824012756 | [2.53] | -0.640603284676228
-0.5263590216636658 | [2.53] | -0.6398160702415407
-0.5217387676239014 | [2.53] | -0.6382489929869947
-0.5156324505805969 | [2.52] | -0.6359166369863374
-0.5080859065055847 | [2.52] | -0.632840674121454
-0.4991556406021118 | [2.51] | -0.6290494895725245
-0.4889085292816162 | [2.5] | -0.6245778874057991
-0.4774211347103119 | [2.49] | -0.6194665671766733
-0.46477895975112915 | [2.48] | -0.6137615455636548
-0.45107564330101013 | [2.46] | -0.6075135274521773
-0.43641197681427 | [2.45] | -0.6007771800052493
-0.4208947718143463 | [2.44] | -0.5936103266305968
-0.4046357274055481 | [2.42] | -0.5860731496198036
-0.3877500891685486 | [2.4] | -0.5782272999431143
-0.3703553378582001 | [2.39] | -0.5701350470534288
-0.3525698482990265 | [2.37] | -0.5618584392391816
-0.33451154828071594 | [2.35] | -0.5534584934945733
-0.3162965476512909 | [2.33] | -0.5449944151662559
-0.2980380058288574 | [2.32] | -0.5365229653516904
-0.2798449993133545 | [2.3] | -0.528097868479473
-0.2618215084075928 | [2.28] | -0.5197693195414856
-0.24406567215919495 | [2.26] | -0.5115836535895198
-0.2266691029071808 | [2.24] | -0.5035830732603503
-0.20971645414829254 | [2.23] | -0.4958055285546481
-0.19328512251377106 | [2.21] | -0.4882846783038198
-0.1774451583623886 | [2.19] | -0.48104996613227435
-0.16225925087928772 | [2.18] | -0.47412674338990385
-0.14778295159339905 | [2.16] | -0.4675365068013059
-0.1340649574995041 | [2.15] | -0.4612971627158041
-0.12114746868610382 | [2.13] | -0.455423324282736
-0.1090666800737381 | [2.12] | -0.44992665997172465
-0.09785325080156326 | [2.11] | -0.44481622531403736
-0.08753287047147751 | [2.1] | -0.4400988250176019
-0.07812678813934326 | [2.09] | -0.4357793477522221
-0.06965235620737076 | [2.08] | -0.43186109591947813
-0.06212354078888893 | [2.07] | -0.4283460875554722
-0.0555514320731163 | [2.06] | -0.4252353491714198
-0.0499446876347065 | [2.06] | -0.42252916879834584
-0.04530993476510048 | [2.05] | -0.4202273228089234
-0.041652120649814606 | [2.05] | -0.41832927321060853
-0.0389748141169548 | [2.04] | -0.4168343383655322
-0.03728043660521507 | [2.04] | -0.415741828928012
-0.03657044097781181 | [2.04] | -0.415051157879736
-0.03684541583061218 | [2.04] | -0.4147619166991759
-0.038105130195617676 | [2.04] | -0.41487392408765794
-0.04034852981567383 | [2.04] | -0.4153872524576896
-0.043573636561632156 | [2.04] | -0.4163022125021204
-0.047777414321899414 | [2.04] | -0.4176193211856187
-0.05295555666089058 | [2.05] | -0.41933923462354494
-0.05910221487283707 | [2.05] | -0.4214626515712864
-0.06620968133211136 | [2.06] | -0.42399019389649767
-0.07426799088716507 | [2.07] | -0.4269222447230545
-0.08326450735330582 | [2.07] | -0.43025877096099524
-0.09318342804908752 | [2.08] | -0.4339990999837247
-0.10400529950857162 | [2.09] | -0.438141686345933
-0.11570646613836288 | [2.1] | -0.4426838316036215
-0.12825852632522583 | [2.12] | -0.4476213874504542
-0.14162778854370117 | [2.13] | -0.4529484358840213
-0.1557747721672058 | [2.14] | -0.45865696085971397
-0.17065368592739105 | [2.16] | -0.4647364840204464
-0.18621206283569336 | [2.17] | -0.4711737391884909
-0.2023903876543045 | [2.19] | -0.47795231592554743
-0.21912188827991486 | [2.2] | -0.4850523452450253
-0.23633238673210144 | [2.22] | -0.49245019302423954
-0.2539404332637787 | [2.24] | -0.5001182560608872
-0.27185744047164917 | [2.25] | -0.508024754387397
-0.28998807072639465 | [2.27] | -0.5161336272143036
-0.30823081731796265 | [2.29] | -0.5244045321414843
-0.3264787793159485 | [2.31] | -0.532792953181284
-0.3446204662322998 | [2.33] | -0.5412503527941044
-0.3625409007072449 | [2.34] | -0.5497245078269016
-0.3801228404045105 | [2.36] | -0.5581599577923806
-0.39724791049957275 | [2.38] | -0.5664984717681939
-0.41379809379577637 | [2.4] | -0.5746797580116345
-0.4296569526195526 | [2.41] | -0.5826421192651631
-0.4447110891342163 | [2.43] | -0.5903232880258998
-0.4588513672351837 | [2.44] | -0.5976612241031368
-0.4719742238521576 | [2.46] | -0.6045950078214105
-0.48398271203041077 | [2.47] | -0.6110656563389477
-0.49478763341903687 | [2.48] | -0.6170170173814074
-0.5043083429336548 | [2.49] | -0.6223965266156998
-0.5124736428260803 | [2.5] | -0.627156016920044
-0.5192223787307739 | [2.51] | -0.6312523763777134
-0.5245039463043213 | [2.52] | -0.6346481400536566
-0.5282787084579468 | [2.52] | -0.6373120097318884
-0.5305184125900269 | [2.53] | -0.6392193353615188
-0.5312061905860901 | [2.53] | -0.6403523397571123
-0.5303369164466858 | [2.53] | -0.6407004732997971
-0.5279171466827393 | [2.53] | -0.6402605052126518
-0.5239649415016174 | [2.53] | -0.6390364996903125
-0.5185099840164185 | [2.52] | -0.6370398891943609
-0.511593222618103 | [2.52] | -0.6342892565391378
-0.503266453742981 | [2.51] | -0.6308100394267808
-0.49359211325645447 | [2.5] | -0.626634297107384
-0.4826425015926361 | [2.49] | -0.6218001571558665
-0.47049930691719055 | [2.48] | -0.6163513823084117
-0.4572526812553406 | [2.47] | -0.6103366885299946
-0.44300034642219543 | [2.46] | -0.6038090670881715
-0.42784664034843445 | [2.44] | -0.5968250692618967
-0.41190123558044434 | [2.43] | -0.5894439290962313
-0.3952779769897461 | [2.41] | -0.5817267570194474
-0.37809354066848755 | [2.4] | -0.5737356640590726
-0.3604660630226135 | [2.38] | -0.5655328932464627
-0.3425137996673584 | [2.36] | -0.5571799973127528
-0.3243538737297058 | [2.34] | -0.5487370953991269
-0.30610087513923645 | [2.32] | -0.5402620973616754
-0.2878657877445221 | [2.31] | -0.5318101229136162
-0.26975497603416443 | [2.29] | -0.5234329879777792
-0.25186923146247864 | [2.27] | -0.5151787625865362
-0.23430313169956207 | [2.25] | -0.5070915043996281
-0.2171444445848465 | [2.23] | -0.4992110500969326
-0.20047378540039062 | [2.22] | -0.49157294551154207
-0.1843644678592682 | [2.2] | -0.4842084896629132
-0.16888239979743958 | [2.18] | -0.47714481040339285
-0.15408627688884735 | [2.17] | -0.47040508601112424
-0.14002777636051178 | [2.15] | -0.4640087700317751
-0.12675191462039948 | [2.14] | -0.4579718899538966
-0.11429747194051743 | [2.13] | -0.4523073698418767
-0.10269749909639359 | [2.11] | -0.4470253811668621
-0.09197980910539627 | [2.1] | -0.44213367766228073
-0.08216754347085953 | [2.09] | -0.43763795256012666
-0.07327970862388611 | [2.08] | -0.43354216868401524
-0.06533170491456985 | [2.07] | -0.4298488757915115
-0.058335836976766586 | [2.07] | -0.4265595059019284
-0.05230177938938141 | [2.06] | -0.4236746413948897
-0.04723701253533363 | [2.05] | -0.42119425975075314
-0.04314718395471573 | [2.05] | -0.41911793835879596
-0.04003643989562988 | [2.04] | -0.41744504105450125
-0.037907686084508896 | [2.04] | -0.41617486770520024
-0.0367627814412117 | [2.04] | -0.415306772941052
-0.0366026908159256 | [2.04] | -0.4148402632547072
-0.03742754086852074 | [2.04] | -0.41477505159710176
-0.0392366498708725 | [2.04] | -0.4151110986661426
-0.042028456926345825 | [2.04] | -0.4158486106579831
-0.04580042138695717 | [2.04] | -0.4169880223651461
-0.050548821687698364 | [2.05] | -0.41852993584311515
-0.05626853182911873 | [2.05] | -0.4204750466305363
-0.06295270472764969 | [2.06] | -0.4228240259670285
-0.07059242576360703 | [2.06] | -0.42557738465729306
-0.07917629927396774 | [2.07] | -0.4287353001343177
-0.08868997544050217 | [2.08] | -0.4322974075717057
-0.09911568462848663 | [2.09] | -0.43626258212866226
-0.11043168604373932 | [2.1] | -0.4406286661363228
-0.12261173874139786 | [2.11] | -0.44539218896644645
-0.13562455773353577 | [2.12] | -0.45054805657670727
-0.14943328499794006 | [2.14] | -0.45608922317050066
-0.16399498283863068 | [2.15] | -0.46200634586679307
-0.17926016449928284 | [2.16] | -0.4682874261566237
-0.1951724737882614 | [2.18] | -0.47491748808101947
-0.21166834235191345 | [2.2] | -0.4818782181500021
-0.22867688536643982 | [2.21] | -0.48914768565616606
-0.24611984193325043 | [2.23] | -0.49670006427617186
-0.26391172409057617 | [2.25] | -0.504505428575411
-0.2819601595401764 | [2.26] | -0.5125296345077136
-0.3001662790775299 | [2.28] | -0.520734223773634
-0.31842541694641113 | [2.3] | -0.5290764842855072
-0.3366280198097229 | [2.32] | -0.537509637939591
-0.3546605408191681 | [2.34] | -0.5459830563892231
-0.372406542301178 | [2.35] | -0.5544426288806199
-0.3897480070590973 | [2.37] | -0.562831285498085
-0.4065665900707245 | [2.39] | -0.5710895590657958
-0.4227449893951416 | [2.41] | -0.5791562788305272
-0.4381682872772217 | [2.42] | -0.5869693238512123
-0.4527253210544586 | [2.44] | -0.5944664547128475
-0.46630993485450745 | [2.45] | -0.6015861573638608
-0.47882208228111267 | [2.47] | -0.6082684667198883
-0.49016904830932617 | [2.48] | -0.6144558901752974
-0.5002663135528564 | [2.49] | -0.6200941856689667
-0.5090384483337402 | [2.5] | -0.6251331699229608
-0.5164197683334351 | [2.51] | -0.6295274084767329
-0.5223549008369446 | [2.52] | -0.6332368469208087
-0.5267993807792664 | [2.52] | -0.6362274358534205
-0.5297198295593262 | [2.53] | -0.6384715087173831
-0.5310943722724915 | [2.53] | -0.6399482388971838
-0.5309126973152161 | [2.53] | -0.6406438666764053
-0.5291761755943298 | [2.53] | -0.640551904312857
-0.5258978605270386 | [2.53] | -0.6396732267344953
-0.521102249622345 | [2.53] | -0.6380159874784084
-0.5148254036903381 | [2.52] | -0.635595663288147
-0.5071143507957458 | [2.51] | -0.6324346893020252
-0.49802687764167786 | [2.51] | -0.6285622433344076
-0.4876309931278229 | [2.5] | -0.6240138286073168
-0.47600433230400085 | [2.49] | -0.6188307907000807
-0.46323344111442566 | [2.48] | -0.6130597518155025
-0.4494127929210663 | [2.46] | -0.6067518921190598
-0.4346439838409424 | [2.45] | -0.5999623093998795
-0.4190344214439392 | [2.43] | -0.592749127816924
-0.40269631147384644 | [2.42] | -0.5851727568177035
-0.38574519753456116 | [2.4] | -0.5772949502514838
-0.3682987689971924 | [2.39] | -0.5691780103121256
-0.3504754304885864 | [2.37] | -0.560883912099182
-0.3323929011821747 | [2.35] | -0.5524734696793286
-0.3141670823097229 | [2.33] | -0.5440056706306886
-0.29591065645217896 | [2.31] | -0.5355369241741176
-0.27773216366767883 | [2.3] | -0.527120570819894
-0.25973495841026306 | [2.28] | -0.5188063792435819
-0.24201643466949463 | [2.26] | -0.5106402065425096
-0.22466742992401123 | [2.24] | -0.5026637726736761
-0.20777174830436707 | [2.22] | -0.4949145198627302
-0.19140593707561493 | [2.21] | -0.4874256125509285
-0.17563916742801666 | [2.19] | -0.48022600055411235
-0.16053329408168793 | [2.18] | -0.473340578279443
-0.14614306390285492 | [2.16] | -0.4667904134957004
-0.13251638412475586 | [2.15] | -0.4605930074723352
-0.11969473212957382 | [2.13] | -0.4547626136504766
-0.10771362483501434 | [2.12] | -0.4493105753469627
-0.09660312533378601 | [2.11] | -0.4442456724315156
-0.08638837188482285 | [2.1] | -0.43957446651593995
-0.07709012925624847 | [2.09] | -0.43530164383362024
-0.06872532516717911 | [2.08] | -0.43143033973159756
-0.061307575553655624 | [2.07] | -0.42796244729147015
-0.05484766140580177 | [2.06] | -0.4248988926794117
-0.04935397952795029 | [2.05] | -0.42223989134986184
-0.04483294486999512 | [2.05] | -0.4199851735315656
-0.04128933325409889 | [2.04] | -0.4181341780043293
-0.0387265644967556 | [2.04] | -0.4166862139205316
-0.03714694455265999 | [2.04] | -0.41564060100062017
-0.036551814526319504 | [2.04] | -0.4149967669431447
-0.03694166988134384 | [2.04] | -0.4147543291946472
-0.038316190242767334 | [2.04] | -0.4149131373612934
-0.04067420959472656 | [2.04] | -0.41547328876091294
-0.04401364177465439 | [2.04] | -0.4164351232555851
-0.04833131283521652 | [2.04] | -0.4177991773471794
-0.05362274870276451 | [2.05] | -0.4195661163325928
-0.05988190695643425 | [2.05] | -0.42173663939894984
-0.06710083037614822 | [2.06] | -0.4243113461014404
-0.07526927441358566 | [2.07] | -0.4272905846792037
-0.08437424898147583 | [2.08] | -0.430674254972862
-0.09439956396818161 | [2.08] | -0.43446160098170916
-0.10532529652118683 | [2.09] | -0.43865095374512325
-0.11712726205587387 | [2.11] | -0.4432394604172023
-0.1297764778137207 | [2.12] | -0.44822278674009425
-0.1432386040687561 | [2.13] | -0.4535947873217743
-0.15747343003749847 | [2.14] | -0.4593471694010125
-0.17243443429470062 | [2.16] | -0.46546916013177686
-0.18806833028793335 | [2.17] | -0.4719471379402285
-0.20431475341320038 | [2.19] | -0.4787642993555456
-0.22110608220100403 | [2.2] | -0.4859003556750236
-0.23836728930473328 | [2.22] | -0.49333122283902936
-0.2560160756111145 | [2.24] | -0.5010288180199395
-0.27396300435066223 | [2.26] | -0.5089608466181256
-0.2921120524406433 | [2.27] | -0.517090777904018
-0.31036102771759033 | [2.29] | -0.525377769509879
-0.3286024034023285 | [2.31] | -0.5337768052575984
-0.346724271774292 | [2.33] | -0.542238920517942
-0.36461129784584045 | [2.35] | -0.5507114764023435
-0.38214603066444397 | [2.36] | -0.5591386545855873
-0.399210125207901 | [2.38] | -0.5674619773529666
-0.41568562388420105 | [2.4] | -0.5756209242775621
-0.43145641684532166 | [2.42] | -0.5835537096434713
-0.4464094936847687 | [2.43] | -0.5911980288902529
-0.4604363441467285 | [2.45] | -0.5984919460915686
-0.47343406081199646 | [2.46] | -0.6053746944020162
-0.48530662059783936 | [2.47] | -0.6117876122291873
-0.49596571922302246 | [2.49] | -0.6176748961353499
-0.505331814289093 | [2.5] | -0.6229844764607236
-0.5133348703384399 | [2.51] | -0.6276687527688344
-0.5199148654937744 | [2.51] | -0.631685205810432
-0.5250225067138672 | [2.52] | -0.6349970903521118
-0.5286194682121277 | [2.53] | -0.6375738624137425
-0.5306788086891174 | [2.53] | -0.6393916545721686
-0.5311850309371948 | [2.53] | -0.6404335252487027
-0.530134379863739 | [2.53] | -0.6406897775171992
-0.5275346636772156 | [2.53] | -0.6401579835251635
-0.5234054327011108 | [2.53] | -0.6388431348976592
-0.517777681350708 | [2.52] | -0.636757499893642
-0.5106936097145081 | [2.52] | -0.633920459339954
-0.5022062659263611 | [2.51] | -0.6303582359772486
-0.4923792779445648 | [2.5] | -0.6261036267151979
-0.48128607869148254 | [2.49] | -0.6211954460485053
-0.4690093696117401 | [2.48] | -0.6156780581199377
-0.4556402564048767 | [2.47] | -0.6096007258032786
-0.44127732515335083 | [2.46] | -0.6030169142059991
-0.42602553963661194 | [2.44] | -0.5959835010138533
-0.4099951386451721 | [2.43] | -0.5885599909931465
-0.3933003544807434 | [2.41] | -0.5808076505447842
-0.3760581314563751 | [2.39] | -0.5727886622420607
-0.35838666558265686 | [2.38] | -0.5645652190950923
-0.3404041826725006 | [2.36] | -0.5561987629255384
-0.3222275376319885 | [2.34] | -0.5477491738270935
-0.30397096276283264 | [2.32] | -0.5392740684630499
-0.2857449948787689 | [2.3] | -0.5308282240169098
-0.2676553428173065 | [2.29] | -0.5224630181613343
-0.2498021274805069 | [2.27] | -0.5142260736912527
-0.23227915167808533 | [2.25] | -0.5061609621196981
-0.2151733636856079 | [2.23] | -0.49830702110166325
-0.1985645443201065 | [2.22] | -0.4906993039434375
-0.1825251281261444 | [2.2] | -0.4833686080112351
-0.16712017357349396 | [2.18] | -0.4763415906445154
-0.15240754187107086 | [2.17] | -0.4696409814416604
-0.1384381204843521 | [2.15] | -0.4632858218285123
-0.12525618076324463 | [2.14] | -0.4572917619039557
-0.11289980262517929 | [2.13] | -0.4516713845748168
-0.10140138864517212 | [2.11] | -0.4464345568062356
-0.09078819304704666 | [2.1] | -0.4415887807942353
-0.08108283579349518 | [2.09] | -0.4371395256501745
-0.0723038837313652 | [2.08] | -0.43309057733106143
-0.06446634978055954 | [2.07] | -0.42944433942480337
-0.05758220702409744 | [2.06] | -0.42620213151443204
-0.05166085436940193 | [2.06] | -0.42336445405784284
-0.046709537506103516 | [2.05] | -0.4209312265173301
-0.04273371398448944 | [2.05] | -0.41890199271061546
-0.03973737359046936 | [2.04] | -0.41727610205415344
-0.03772329166531563 | [2.04] | -0.41605285551214
-0.03669321537017822 | [2.04] | -0.4152316206278663
-0.03664800897240639 | [2.04] | -0.41481192526161437
-0.03758770972490311 | [2.04] | -0.41479351179044993
-0.039511531591415405 | [2.04] | -0.4151763674821976
-0.04241780936717987 | [2.04] | -0.415960728084631
-0.046303875744342804 | [2.04] | -0.41714705137266794
-0.0511658601462841 | [2.05] | -0.41873595576036254
-0.05699845030903816 | [2.05] | -0.4207281391560537
-0.0637945756316185 | [2.06] | -0.4231242611163681
-0.0715450569987297 | [2.06] | -0.42592480407961997
-0.08023817837238312 | [2.07] | -0.4291298930892977
-0.08985921740531921 | [2.08] | -0.43273908787580506
-0.10038996487855911 | [2.09] | -0.43675115485739735
-0.11180818825960159 | [2.1] | -0.44116380084748363
-0.12408708781003952 | [2.11] | -0.44597338279338505
-0.13719475269317627 | [2.12] | -0.45117459486884937
-0.15109364688396454 | [2.14] | -0.45676014427859307
-0.16574007272720337 | [2.15] | -0.4627203881671279
-0.1810837835073471 | [2.17] | -0.46904300908544694
-0.19706757366657257 | [2.18] | -0.47571264869290647
-0.21362704038619995 | [2.2] | -0.482710593962655
-0.23069041967391968 | [2.21] | -0.49001446409433536
-0.2481786161661148 | [2.23] | -0.49759797234951003
-0.26600533723831177 | [2.25] | -0.5054307148812412
-0.28407737612724304 | [2.27] | -0.5134780230600153
-0.30229517817497253 | [2.28] | -0.5217009511189419
-0.3205534815788269 | [2.3] | -0.5300563130331318
-0.3387421667575836 | [2.32] | -0.5384968434933409
-0.3567472994327545 | [2.34] | -0.5469714913857463
-0.3744522035121918 | [2.36] | -0.5554257780706174
-0.39173877239227295 | [2.37] | -0.5638023302145999
-0.4084886908531189 | [2.39] | -0.5720414346454576
-0.42458486557006836 | [2.41] | -0.5800817702188814
-0.4399127960205078 | [2.42] | -0.5878611815512839
-0.45436179637908936 | [2.44] | -0.5953174488542147
-0.46782633662223816 | [2.45] | -0.602389180923877
-0.480207234621048 | [2.47] | -0.6090166873693184
-0.4914126396179199 | [2.48] | -0.6151427917427095
-0.5013590455055237 | [2.49] | -0.6207136829473109
-0.5099721550941467 | [2.5] | -0.6256797111805459
-0.5171874165534973 | [2.51] | -0.6299960160908112
-0.5229507684707642 | [2.52] | -0.6336232473645076
-0.5272189974784851 | [2.52] | -0.6365280650617651
-0.529960036277771 | [2.53] | -0.6386835734118731
-0.5311533808708191 | [2.53] | -0.6400697720366876
-0.5307900905609131 | [2.53] | -0.6406737472853582
-0.5288728475570679 | [2.53] | -0.6404898406468648
-0.5254160761833191 | [2.53] | -0.6395197932103311
-0.5204456448554993 | [2.53] | -0.6377726259062119
-0.5139988660812378 | [2.52] | -0.635264617355592
-0.5061240792274475 | [2.51] | -0.6320190237782808
-0.49688029289245605 | [2.51] | -0.6280657839799364
-0.48633667826652527 | [2.5] | -0.6234411122621886
-0.47457197308540344 | [2.49] | -0.6181870128636211
-0.46167364716529846 | [2.47] | -0.612350651450928
-0.44773706793785095 | [2.46] | -0.6059837085540185
-0.43286457657814026 | [2.45] | -0.599141681302744
-0.4171642065048218 | [2.43] | -0.5918830047968734
-0.400748610496521 | [2.42] | -0.5842682846231277
-0.3837336599826813 | [2.4] | -0.5763593872914006
-0.36623719334602356 | [2.38] | -0.5682186179494629
-0.3483775854110718 | [2.37] | -0.5599078463988988
-0.3302724361419678 | [2.35] | -0.5514877248667583
-0.31203731894493103 | [2.33] | -0.5430169670047728
-0.293784499168396 | [2.31] | -0.5345516555581055
-0.2756219506263733 | [2.29] | -0.5261447337170223
-0.2576523721218109 | [2.28] | -0.5178455304559342
-0.23997241258621216 | [2.26] | -0.5096994258578471
-0.22267210483551025 | [2.24] | -0.5017476442525486
-0.20583441853523254 | [2.22] | -0.4940271277333819
-0.18953505158424377 | [2.21] | -0.4865705490212041
-0.17384231090545654 | [2.19] | -0.479406372580271
-0.15881721675395966 | [2.17] | -0.4725590368388195
-0.14451369643211365 | [2.16] | -0.46604917673110924
-0.13097888231277466 | [2.14] | -0.459893897021812
-0.11825354397296906 | [2.13] | -0.4541070992893745
-0.10637252777814865 | [2.12] | -0.4486998064717379
-0.09536529332399368 | [2.11] | -0.4436805214008234
-0.08525644242763519 | [2.1] | -0.43905557046609023
-0.0760662630200386 | [2.09] | -0.4348294419033679
-0.0678112730383873 | [2.08] | -0.43100511207160386
-0.0605047307908535 | [2.07] | -0.42758434589788363
-0.05415711924433708 | [2.06] | -0.4245679751368472
-0.04877658188343048 | [2.05] | -0.42195614667160286
-0.044369328767061234 | [2.05] | -0.4197485486290097
-0.04093996062874794 | [2.04] | -0.41794459543074525
-0.038491759449243546 | [2.04] | -0.41654359209905023
-0.03702690824866295 | [2.04] | -0.415544865002011
-0.036546651273965836 | [2.04] | -0.41494786299090713
-0.03705138340592384 | [2.04] | -0.4147522268742336
-0.038540687412023544 | [2.04] | -0.4149578344801732
-0.04101329669356346 | [2.04] | -0.4155648129487938
-0.044467005878686905 | [2.04] | -0.41657352706269823
-0.04889850318431854 | [2.04] | -0.417984533051033
-0.05430315062403679 | [2.05] | -0.41979850744427555
-0.060674697160720825 | [2.05] | -0.4220161432750625
-0.06800494343042374 | [2.06] | -0.42463802113567345
-0.07628334313631058 | [2.07] | -0.4276644453756589
-0.08549655973911285 | [2.08] | -0.4310952517117915
-0.09562799334526062 | [2.09] | -0.4349295900683675
-0.1066572517156601 | [2.1] | -0.4391656682588873
-0.11855962127447128 | [2.11] | -0.44380047722822236
-0.1313055157661438 | [2.12] | -0.44882948610023815
-0.1448599398136139 | [2.13] | -0.4542463181685859
-0.15918198227882385 | [2.14] | -0.4600424145436808
-0.1742243468761444 | [2.16] | -0.46620668527064607
-0.1899329274892807 | [2.17] | -0.4727251510548997
-0.2062465250492096 | [2.19] | -0.4795806194269228
-0.22309665381908417 | [2.21] | -0.4867523721072804
-0.24040743708610535 | [2.22] | -0.49421587156582486
-0.25809571146965027 | [2.24] | -0.5019425434073723
-0.27607131004333496 | [2.26] | -0.509899630104206
-0.2942373752593994 | [2.28] | -0.5180500599923357
-0.3124910891056061 | [2.29] | -0.5263525134037138
-0.3307243585586548 | [2.31] | -0.5347614985504628
-0.3488248288631439 | [2.33] | -0.5432276078991778
-0.36667686700820923 | [2.35] | -0.5516978129184303
-0.3841628134250641 | [2.37] | -0.5601159384015235
-0.40116429328918457 | [2.38] | -0.5684232294273821
-0.4175635278224945 | [2.4] | -0.5765589954421916
-0.4332446753978729 | [2.42] | -0.5844613366026915
-0.4480952322483063 | [2.43] | -0.5920679709271628
-0.46200722455978394 | [2.45] | -0.5993170270716822
-0.4748785197734833 | [2.46] | -0.6061479532511959
-0.486613929271698 | [2.47] | -0.612502370607547
-0.49712616205215454 | [2.49] | -0.6183248879564828
-0.5063367486000061 | [2.5] | -0.6235639204091862
-0.5141767263412476 | [2.51] | -0.6281723953403843
-0.5205873250961304 | [2.51] | -0.6321084491859007
-0.5255205035209656 | [2.52] | -0.6353360313196554
-0.5289393067359924 | [2.53] | -0.6378253853690055
-0.5308180451393127 | [2.53] | -0.639553399360174
