0.5, 6.0, -0.2
parameter ends

state | action | reward
[-0.59] | [-0.49] | -0.024486896362944266
-0.5899345874786377 | [-0.5] | -0.024647893739479784
-0.5904349088668823 | [-0.5] | -0.02482225338725301
-0.5911846160888672 | [-0.5] | -0.025009068567653697
-0.5921810269355774 | [-0.5] | -0.02520734135244031
-0.5934198498725891 | [-0.5] | -0.02541598547286665
-0.5948950052261353 | [-0.51] | -0.0256338202620579
-0.5965989828109741 | [-0.51] | -0.025859592922533217
-0.5985226035118103 | [-0.51] | -0.026091969422448954
-0.600655198097229 | [-0.51] | -0.026329548011624744
-0.6029847264289856 | [-0.52] | -0.02657086985225193
-0.6054976582527161 | [-0.52] | -0.026814417383219293
-0.6081792712211609 | [-0.52] | -0.02705863538812713
-0.6110135316848755 | [-0.52] | -0.027301929999147257
-0.6139834523200989 | [-0.52] | -0.02754269316759634
-0.6170709729194641 | [-0.53] | -0.027779302362344
-0.6202571988105774 | [-0.53] | -0.02801013915235422
-0.6235224604606628 | [-0.53] | -0.028233598674890704
-0.6268465518951416 | [-0.53] | -0.028448107979764988
-0.6302086114883423 | [-0.54] | -0.02865212573273326
-0.6335875988006592 | [-0.54] | -0.028844173488131626
-0.6369621753692627 | [-0.54] | -0.02902283405879466
-0.6403108835220337 | [-0.54] | -0.02918676593580445
-0.6436123847961426 | [-0.54] | -0.029334720802125104
-0.6468455791473389 | [-0.54] | -0.02946555254231233
-0.6499895453453064 | [-0.54] | -0.029578217288160624
-0.653023898601532 | [-0.54] | -0.02967179449743215
-0.6559288501739502 | [-0.55] | -0.02974549143518193
-0.6586853265762329 | [-0.55] | -0.029798649694454567
-0.6612749695777893 | [-0.55] | -0.029830744556691543
-0.663680374622345 | [-0.55] | -0.029841396349961136
-0.6658852696418762 | [-0.55] | -0.029830378267878904
-0.6678743958473206 | [-0.55] | -0.029797605873827473
-0.669633686542511 | [-0.55] | -0.02974314320796529
-0.6711505055427551 | [-0.54] | -0.02966721091495697
-0.6724134683609009 | [-0.54] | -0.029570170617042008
-0.6734127402305603 | [-0.54] | -0.02945253500455123
-0.6741399168968201 | [-0.54] | -0.02931495413886373
-0.674588143825531 | [-0.54] | -0.0291582144835582
-0.6747522354125977 | [-0.54] | -0.028983237319477884
-0.6746286749839783 | [-0.54] | -0.028791069768067487
-0.6742156147956848 | [-0.53] | -0.028582875572692956
-0.6735129356384277 | [-0.53] | -0.028359928827095787
-0.672522246837616 | [-0.53] | -0.028123604089446516
-0.6712468862533569 | [-0.53] | -0.02787536610412571
