-1.3, 5.0, -1.1
parameter ends

state | action | reward
[-0.56] | [-0.37] | -0.01394452207964202
-0.5592007040977478 | [-0.37] | -0.01402639245176459
-0.5597918033599854 | [-0.38] | -0.014079468541427135
-0.5606748461723328 | [-0.38] | -0.014102867416648908
-0.5618436932563782 | [-0.38] | -0.014096074393083633
-0.5632895231246948 | [-0.37] | -0.014058947355677238
-0.5650007724761963 | [-0.37] | -0.01399173379696867
-0.5669633746147156 | [-0.37] | -0.013895054419731696
-0.5691608190536499 | [-0.37] | -0.013769898941405862
-0.5715742111206055 | [-0.37] | -0.01361761731267784
-0.5741825699806213 | [-0.37] | -0.013439883970856934
-0.5769628882408142 | [-0.36] | -0.013238680270207262
-0.5798904895782471 | [-0.36] | -0.013016246042709326
-0.582939088344574 | [-0.36] | -0.012775055993721016
-0.5860810875892639 | [-0.35] | -0.01251777253329079
-0.5892879366874695 | [-0.35] | -0.012247192091578934
-0.5925302505493164 | [-0.35] | -0.011966213095920258
-0.5957781076431274 | [-0.34] | -0.011677789025811446
-0.5990014672279358 | [-0.34] | -0.011384872743250932
-0.6021702289581299 | [-0.33] | -0.011090394786439702
-0.6052546501159668 | [-0.33] | -0.010797213945080215
-0.6082256436347961 | [-0.32] | -0.010508082330741025
-0.6110550165176392 | [-0.32] | -0.010225619549973062
-0.6137155890464783 | [-0.32] | -0.009952301447336553
-0.6161817312240601 | [-0.31] | -0.009690419100094336
-0.6184293031692505 | [-0.31] | -0.009442090657806672
-0.6204361319541931 | [-0.3] | -0.009209234308557922
-0.6221820712089539 | [-0.3] | -0.008993578120121824
-0.6236491799354553 | [-0.3] | -0.008796663025727744
-0.6248220205307007 | [-0.29] | -0.008619839180885668
-0.6256877183914185 | [-0.29] | -0.00846428168621139
-0.6262360215187073 | [-0.29] | -0.00833100670935912
-0.6264596581459045 | [-0.29] | -0.008220864595401315
-0.6263540983200073 | [-0.29] | -0.008134575731047557
-0.6259177923202515 | [-0.28] | -0.008072728688219163
-0.6251522898674011 | [-0.28] | -0.00803578376055305
-0.6240620613098145 | [-0.28] | -0.008024094085274968
-0.6226546168327332 | [-0.28] | -0.008037900520087547
-0.6209404468536377 | [-0.28] | -0.00807733408874793
-0.618932843208313 | [-0.29] | -0.008142421944456099
-0.6166479587554932 | [-0.29] | -0.00823307039736462
-0.6141046285629272 | [-0.29] | -0.008349059963519385
-0.6113242506980896 | [-0.29] | -0.00849003080455099
-0.6083305478096008 | [-0.29] | -0.00865547293691534
-0.605149507522583 | [-0.3] | -0.008844698844519272
-0.601809024810791 | [-0.3] | -0.009056836160723489
-0.5983387231826782 | [-0.3] | -0.009290804838893106
-0.5947697758674622 | [-0.31] | -0.009545293635153454
-0.5911345481872559 | [-0.31] | -0.009818750909361863
-0.5874662399291992 | [-0.32] | -0.010109377848958863
-0.5837988257408142 | [-0.32] | -0.010415101112138947
-0.5801663994789124 | [-0.33] | -0.010733597496066791
-0.5766032338142395 | [-0.33] | -0.011062266340982958
-0.5731430649757385 | [-0.34] | -0.011398272106336583
-0.5698190927505493 | [-0.34] | -0.011738535126059262
-0.5666635036468506 | [-0.35] | -0.012079769325625458
-0.563707172870636 | [-0.35] | -0.012418513591402745
-0.5609793663024902 | [-0.36] | -0.012751170957942821
-0.5585074424743652 | [-0.36] | -0.013074056039018954
-0.5563165545463562 | [-0.37] | -0.013383449161011148
-0.5544294118881226 | [-0.37] | -0.013675652200194134
-0.5528661012649536 | [-0.37] | -0.013947043569286853
-0.5516437292098999 | [-0.38] | -0.014194154767879478
-0.5507764220237732 | [-0.38] | -0.014413715676438494
-0.5502749681472778 | [-0.38] | -0.014602735544969653
