0.0, -1.0, 1.0
parameter ends

state | action | reward
[-0.54] | [1.] | -0.1
-0.5420163869857788 | [1.] | -0.09967018847809389
-0.5387303829193115 | [1.] | -0.09934387864408725
-0.5338358879089355 | [1.] | -0.09902349067477455
-0.5273719429969788 | [0.99] | -0.09871138844321883
-0.5193893909454346 | [0.99] | -0.09840986188819438
-0.5099503993988037 | [0.99] | -0.09812110801020738
-0.49912789463996887 | [0.99] | -0.09784720968242322
-0.48700496554374695 | [0.99] | -0.09759011366584594
-0.47367414832115173 | [0.99] | -0.09735160560266717
-0.45923635363578796 | [0.99] | -0.09713328605446492
-0.4437999427318573 | [0.98] | -0.0969365455472056
-0.42747947573661804 | [0.98] | -0.09676254199879725
-0.41039443016052246 | [0.98] | -0.09661218149534333
-0.39266782999038696 | [0.98] | -0.09648610137170532
-0.3744247257709503 | [0.98] | -0.09638466206993353
-0.3557908236980438 | [0.98] | -0.09630794254723969
-0.33689093589782715 | [0.98] | -0.09625574484328413
-0.3178476393222809 | [0.98] | -0.09622760430303262
-0.2987799048423767 | [0.98] | -0.09622280912671007
-0.2798019349575043 | [0.98] | -0.09624042418441657
-0.2610222101211548 | [0.98] | -0.0962793217426239
-0.24254253506660461 | [0.98] | -0.09633821446245733
-0.22445745766162872 | [0.98] | -0.09641569261885467
-0.20685382187366486 | [0.98] | -0.09651026164170276
-0.18981046974658966 | [0.98] | -0.0966203775259376
-0.1733981966972351 | [0.98] | -0.09674448312645367
-0.15767985582351685 | [0.98] | -0.0968810384492386
-0.14271056652069092 | [0.99] | -0.09702854918427666
-0.1285380870103836 | [0.99] | -0.09718558946461149
-0.11520328372716904 | [0.99] | -0.09735082085743657
-0.10274065285921097 | [0.99] | -0.09752300591110984
-0.09117890149354935 | [0.99] | -0.09770101768866474
-0.08054155111312866 | [0.99] | -0.09788384487766115
-0.0708475336432457 | [0.99] | -0.09807059335011746
-0.06211179867386818 | [0.99] | -0.09826048431267002
-0.05434589087963104 | [0.99] | -0.09845284955835744
-0.04755847901105881 | [0.99] | -0.09864712470727319
-0.04175584763288498 | [0.99] | -0.09884284068486449
-0.03694232925772667 | [1.] | -0.09903961359893504
-0.03312069550156593 | [1.] | -0.09923713364444814
-0.030292462557554245 | [1.] | -0.09943515334779066
-0.028458155691623688 | [1.] | -0.09963347514146244
-0.027617495507001877 | [1.] | -0.09983193854097627
-0.02776952087879181 | [1.] | -0.10003040722834478
-0.028912875801324844 | [1.] | -0.10022880157069639
-0.031046831980347633 | [1.] | -0.10042724651937096
-0.03416995331645012 | [1.] | -0.10062559932892759
-0.038279950618743896 | [1.] | -0.10082368838769616
-0.043373480439186096 | [1.01] | -0.10102130018147835
-0.049445874989032745 | [1.01] | -0.10121816630752623
-0.05649081617593765 | [1.01] | -0.10141395107564857
-0.06449993699789047 | [1.01] | -0.10160823951704996
-0.07346240431070328 | [1.01] | -0.10180052604459588
-0.08336440473794937 | [1.01] | -0.10199020485858644
-0.0941886305809021 | [1.01] | -0.10217656099025843
-0.10591371357440948 | [1.01] | -0.10235876397892499
-0.11851365119218826 | [1.01] | -0.10253586393218726
-0.13195723295211792 | [1.01] | -0.10270679028488242
-0.14620746672153473 | [1.01] | -0.10287035461472581
-0.16122104227542877 | [1.02] | -0.10302525717929714
-0.17694786190986633 | [1.02] | -0.10317009834763212
-0.19333063066005707 | [1.02] | -0.10330339477575873
-0.21030457317829132 | [1.02] | -0.10342360035496041
-0.2277972400188446 | [1.02] | -0.10352913270743012
