2.0, 0.0, 2.0
parameter ends

state | action | reward
[-0.53] | [0.94] | -0.08774584538514318
-0.5301708579063416 | [0.94] | -0.08829576910418524
-0.5272467136383057 | [0.95] | -0.08939826790631288
-0.5228769779205322 | [0.95] | -0.09105855127929773
-0.5170812606811523 | [0.97] | -0.09328420351412206
-0.5098856687545776 | [0.98] | -0.09608482307685905
-0.5013225674629211 | [1.] | -0.09947167268870914
-0.4914303719997406 | [1.02] | -0.10345722660972889
-0.4802790582180023 | [1.04] | -0.10804394293070665
-0.4679517149925232 | [1.06] | -0.11323015103175892
-0.45453980565071106 | [1.09] | -0.11901072944782563
-0.44014212489128113 | [1.12] | -0.12537633612849994
-0.42486387491226196 | [1.15] | -0.1323126249523753
-0.4088153541088104 | [1.18] | -0.13979971421499648
-0.39211079478263855 | [1.22] | -0.14781171432791815
-0.3748670220375061 | [1.25] | -0.15631649605450237
-0.35720208287239075 | [1.29] | -0.16527566490543713
-0.339233934879303 | [1.32] | -0.1746447171260357
-0.3210790753364563 | [1.36] | -0.18437344877840048
-0.3028513789176941 | [1.39] | -0.19440647995078422
-0.2846609055995941 | [1.43] | -0.20468400799103714
-0.2666128873825073 | [1.47] | -0.21514266278136918
-0.2488069385290146 | [1.5] | -0.22571640624086067
-0.2313362956047058 | [1.54] | -0.2363375561818785
-0.21428737044334412 | [1.57] | -0.2469377344979339
-0.1977394074201584 | [1.6] | -0.2574488233626235
-0.18176430463790894 | [1.64] | -0.2678038612658739
-0.1664266437292099 | [1.67] | -0.27793781611381985
-0.1517838090658188 | [1.7] | -0.28778828262515654
-0.13788624107837677 | [1.72] | -0.2972960533287883
-0.12477780878543854 | [1.75] | -0.3064055535977674
-0.1124962568283081 | [1.78] | -0.3150651576575058
-0.10107367485761642 | [1.8] | -0.3232274152135961
-0.09053704142570496 | [1.82] | -0.330849149207484
-0.08090876042842865 | [1.84] | -0.33789148266288305
-0.07220719009637833 | [1.86] | -0.34431979924354317
-0.06444719433784485 | [1.87] | -0.3501036208729321
-0.057640619575977325 | [1.88] | -0.35521648074925916
-0.05179676041007042 | [1.9] | -0.35963575342753495
-0.04692278057336807 | [1.91] | -0.36334247447600015
-0.04302407056093216 | [1.91] | -0.3663211718103071
-0.040104564279317856 | [1.92] | -0.3685596990069593
-0.03816698491573334 | [1.92] | -0.3700490995624365
-0.037213034927845 | [1.93] | -0.37078349604514044
-0.037243522703647614 | [1.93] | -0.3707600138304328
-0.038258422166109085 | [1.92] | -0.3699787450137688
-0.04025687277317047 | [1.92] | -0.36844274810365374
-0.0432371161878109 | [1.91] | -0.3661580863362466
-0.04719635471701622 | [1.91] | -0.3631339145858168
-0.052130576223134995 | [1.9] | -0.35938257781243443
-0.05803428962826729 | [1.88] | -0.35491975980644924
-0.06490020453929901 | [1.87] | -0.34976465098825793
