3.0, 5.1, 0.2, -3.0, 1.3, 6.4, 6.0, -0.2, 2.3, -2.1, 1.1, -7.9, 1.8, -2.2, -0.4, -1.1, -1.9, -0.1
parameter ends

state | action | reward
[4.35] | 0 | 5.0
4.392594919002589 | 0 | 5.0
4.445954800782642 | 0 | 5.0
4.4736882461571295 | 0 | 5.0
4.498499501429341 | 0 | 5.0
4.5221695116132565 | 0 | -200.0
Total reward: -175.0
3.0, 5.1, 0.2, -3.0, 1.3, 6.4, 6.0, -0.2, 2.3, -2.1, 1.1, -7.9, 1.8, -2.2, -0.4, -1.1, -1.9, -0.1
parameter ends

state | action | reward
[3.02] | 0 | 5.0
2.867824181431554 | 0 | 5.0
2.517896347759705 | 0 | 5.0
2.076274910575031 | 0 | 5.0
1.6588901627550046 | 0 | 5.0
1.3677784391789827 | 0 | 5.0
0.9299004450650833 | 0 | 5.0
0.5999511719767795 | 0 | 5.0
0.5166359186289042 | 0 | 5.0
0.6584558349023156 | 0 | 5.0
0.732423206095584 | 0 | 5.0
0.8788444012765252 | 0 | 5.0
1.0114036445523689 | 0 | 5.0
1.1405227614212385 | 2 | -0.5
1.0470083583935947 | 0 | 5.0
1.1440177368522941 | 0 | 5.0
1.2127748731038643 | 0 | 5.0
1.2237430354064858 | 0 | 5.0
1.3638831508850875 | 0 | 5.0
1.4275740883029269 | 0 | 5.0
1.4725893054726054 | 0 | 5.0
1.5638958931942162 | 0 | 5.0
1.708216598753814 | 0 | 5.0
1.7668585904462506 | 2 | -0.5
1.6471795967659493 | 0 | 5.0
1.6931483677114734 | 0 | 5.0
1.7487292021629872 | 0 | 5.0
1.7690679607134974 | 0 | 5.0
1.8340528073892761 | 0 | 5.0
1.859620118034666 | 0 | 5.0
1.9359388776263546 | 0 | 5.0
1.9909447724242213 | 2 | -0.5
1.9282256126032256 | 0 | 5.0
1.9230592924943062 | 0 | 5.0
1.9274971759489197 | 0 | 5.0
1.966313451524791 | 0 | 5.0
1.9656549324792063 | 1 | -0.5
2.023080811956545 | 2 | -0.5
1.9528448747412008 | 1 | -0.5
2.097053507471909 | 2 | -0.5
1.9751582789628042 | 1 | -0.5
2.074572021740392 | 2 | -0.5
1.9745519557915514 | 1 | -0.5
2.0275474415103494 | 2 | -0.5
2.0196736667817854 | 1 | -0.5
2.051154238833465 | 1 | -0.5
2.226980908482033 | 2 | -0.5
2.1033651281043313 | 1 | -0.5
2.279967590585045 | 2 | -0.5
2.1287201668128017 | 1 | -0.5
2.28440735227576 | 1 | -0.5
2.585108427014641 | 2 | -0.5
2.3172202307359013 | 1 | -0.5
2.590032673518411 | 2 | -0.5
2.3730885398533776 | 1 | -0.5
2.6727515868919984 | 1 | -0.5
3.1887784220213904 | 0 | 5.0
3.3659307027445404 | 1 | -0.5
3.501722836792156 | 0 | 5.0
3.3837019202978893 | 0 | 5.0
3.2232422537243264 | 0 | 5.0
3.138471063365803 | 0 | 5.0
3.0145372468134752 | 1 | -0.5
2.6154229106083866 | 0 | 5.0
2.5011743600813134 | 0 | 5.0
2.395325686604692 | 0 | 5.0
2.249760099227024 | 0 | 5.0
2.207159529411849 | 0 | 5.0
2.1304847212718796 | 0 | 5.0
1.9938171137014387 | 0 | 5.0
1.9633861736256215 | 1 | -0.5
1.7728904958366345 | 0 | 5.0
1.6646431089917657 | 0 | 5.0
1.5985552840664967 | 0 | 5.0
1.521526023338687 | 0 | 5.0
1.492637585315153 | 0 | 5.0
1.404322988288308 | 0 | 5.0
1.361609064824441 | 0 | 5.0
1.3106380758330496 | 0 | 5.0
1.2568816195296457 | 0 | 5.0
1.1891014472353922 | 0 | 5.0
1.083973336002758 | 0 | 5.0
1.047267261681796 | 0 | 5.0
1.0243308854129498 | 0 | 5.0
0.9617849066848155 | 0 | 5.0
0.8977337215421906 | 0 | 5.0
0.7968477534422094 | 0 | 5.0
0.7437272193028192 | 0 | 5.0
0.7202715382461347 | 0 | 5.0
0.6341454354237166 | 0 | 5.0
0.543642199169116 | 0 | 5.0
0.5072267503321657 | 0 | 5.0
0.4263533515501463 | 0 | -200.0
Total reward: 117.0
3.0, 5.1, 0.2, -3.0, 1.3, 6.4, 6.0, -0.2, 2.3, -2.1, 1.1, -7.9, 1.8, -2.2, -0.4, -1.1, -1.9, -0.1
parameter ends

state | action | reward
[3.34] | 2 | -0.5
2.4804161730658523 | 2 | -0.5
1.9975124965022975 | 2 | -0.5
1.8102539320710989 | 2 | -0.5
1.6846238078805216 | 0 | 5.0
1.7215452775557516 | 0 | 5.0
1.777537215502682 | 2 | -0.5
