0.1, 0.6, 3.3, -0.8, -2.9, -1.3, 5.5, -2.8, 4.0, 1.1, -3.0, 3.3, 2.9, -0.5, 2.1, 1.0, 0.0, -0.2
parameter ends

state | action | reward
[2.4] | 2 | -0.5
1.9766485184294509 | 2 | -0.5
1.7405020081724976 | 0 | 5.0
1.8119152691354354 | 0 | 5.0
1.8683646082647274 | 0 | 5.0
1.9621263481123883 | 2 | -0.5
1.8786897147952535 | 0 | 5.0
1.9381802991543615 | 0 | 5.0
2.051000169936542 | 0 | 5.0
2.1269890559002866 | 0 | 5.0
2.132596681042925 | 0 | 5.0
2.182403593163253 | 2 | -0.5
2.151048215387817 | 0 | 5.0
2.151941326741872 | 0 | 5.0
2.1637007482601174 | 0 | 5.0
2.1829558316949265 | 2 | -0.5
2.2098284952284235 | 2 | -0.5
2.29769973340111 | 2 | -0.5
2.52103065568114 | 2 | -0.5
2.8696073652414986 | 2 | -0.5
3.4364068716901333 | 2 | -0.5
4.451637419339666 | 2 | -0.5
8.67739953072099 | 2 | -0.5
8.301172120031024 | 2 | -0.5
8.273746146822008 | 2 | -0.5
3.1112391962638823 | 2 | -0.5
2.054302986724206 | 2 | -0.5
1.6280414476347742 | 0 | 5.0
1.8071843280698674 | 0 | 5.0
1.9572783628265646 | 0 | 5.0
2.314527245099406 | 0 | 5.0
2.5426465176890747 | 0 | 5.0
2.7005146339606183 | 0 | 5.0
2.928142574653814 | 2 | -0.5
2.5091634419061624 | 2 | -0.5
2.239894604600206 | 2 | -0.5
2.0875500580557347 | 0 | 5.0
2.1442547749058702 | 0 | 5.0
2.193160932065762 | 0 | 5.0
2.243640927684141 | 0 | 5.0
2.2332522206362904 | 0 | 5.0
2.286946067147573 | 0 | 5.0
2.3340771236386333 | 0 | 5.0
2.3927775870071 | 0 | 5.0
2.404825445693252 | 0 | 5.0
2.4567559738711346 | 0 | 5.0
2.4783008219108305 | 0 | 5.0
2.443863953802607 | 0 | 5.0
2.5565045106861994 | 0 | 5.0
2.5700865824659593 | 0 | 5.0
2.6052013997933408 | 0 | -200.0
Total reward: -54.5
0.1, 0.6, 3.3, -0.8, -2.9, -1.3, 5.5, -2.8, 4.0, 1.1, -3.0, 3.3, 2.9, -0.5, 2.1, 1.0, 0.0, -0.2
parameter ends

state | action | reward
[4.4] | 2 | -0.5
4.31615686183366 | 2 | -0.5
4.460880878635749 | 2 | -0.5
4.7503336839027845 | 2 | -0.5
