0.2, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2
parameter ends

state | action | reward
[1.] | [ 0.4 -0.2] | -0.3758354615743253
0.9995044619498064 | [ 0.4 -0.2] | -0.3780210038384758
0.9998778447477489 | [ 0.4 -0.2] | -0.3814310338608973
0.9956358632873319 | [ 0.4 -0.2] | -0.38463560575189926
0.9797944958813917 | [ 0.4  -0.19] | -0.38538825629978657
0.9432227798790273 | [ 0.39 -0.18] | -0.381024278068313
0.875585504367937 | [ 0.38 -0.15] | -0.36939715494960346
0.7669972012776143 | [ 0.35 -0.11] | -0.35044025926126376
0.6104557592017114 | [ 0.32 -0.04] | -0.3279459641647158
0.4047482639413269 | [0.28 0.04] | -0.310425420495855
0.1570100484730078 | [0.23 0.14] | -0.309519622322631
-0.11625607508545008 | [0.18 0.25] | -0.33527724339142506
-0.3907239543082316 | [0.12 0.36] | -0.38993117311792097
-0.6384507618147172 | [0.07 0.46] | -0.4640245851848761
-0.8335259835362374 | [0.03 0.53] | -0.5382623249791079
-0.9570933550038794 | [0.01 0.58] | -0.5907520857190214
-0.999976983231068 | [4.6e-06 6.0e-01] | -0.605452073917313
-0.9624088781837771 | [0.01 0.58] | -0.5772581218745674
-0.8516869090182717 | [0.03 0.54] | -0.5121728256222554
-0.6792062428047597 | [0.06 0.47] | -0.4242001744513938
-0.4581068314976231 | [0.11 0.38] | -0.33158385936019186
-0.20218451258629347 | [0.16 0.28] | -0.25388574076855647
0.07384256652487625 | [0.21 0.17] | -0.20916617559573647
0.35298028799020204 | [0.27 0.06] | -0.208155485525011
0.6140435022358081 | [ 0.32 -0.05] | -0.24621207658682198
0.830045124918382 | [ 0.37 -0.13] | -0.30272136704930896
0.968275731974829 | [ 0.39 -0.19] | -0.348112719453986
0.9939663512425557 | [ 0.4 -0.2] | -0.35361189568376694
0.8791972380977068 | [ 0.38 -0.15] | -0.3062001116348893
0.6165928692360215 | [ 0.32 -0.05] | -0.2243344157952044
0.23288626923884423 | [0.25 0.11] | -0.15765734641092052
-0.20689318346418992 | [0.16 0.28] | -0.1606975445704864
-0.6124155253875597 | [0.08 0.44] | -0.25445398641156985
-0.8958077514676289 | [0.02 0.56] | -0.36143488405420515
-0.9998953491161316 | [2.09e-05 6.00e-01] | -0.4083628513434812
-0.9116118686809275 | [0.02 0.56] | -0.3698999220272514
-0.657188410888575 | [0.07 0.46] | -0.2752038059901263
-0.2879347642382353 | [0.14 0.32] | -0.18276727875818333
0.13250163044253369 | [0.23 0.15] | -0.14278303950080531
0.5346209001891675 | [ 0.31 -0.01] | -0.16970819378433763
0.845670592687315 | [ 0.37 -0.14] | -0.2344807727658249
0.994881142464281 | [ 0.4 -0.2] | -0.2800394901135074
0.92799560983552 | [ 0.39 -0.17] | -0.26088315542219337
0.6322659984034097 | [ 0.33 -0.05] | -0.19040789211322057
0.1610537246541364 | [0.23 0.14] | -0.14585055425848503
-0.3641447668124129 | [0.13 0.35] | -0.19476965876674462
-0.7900067243039108 | [0.04 0.52] | -0.3090931613418245
-0.9920931412954952 | [0.  0.6] | -0.3907039702249269
-0.9212729236429308 | [0.02 0.57] | -0.37357675874014434
-0.6097573564221929 | [0.08 0.44] | -0.26426696443675424
Total reward: -16.302419747334113
0.2, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2
parameter ends

state | action | reward
[1.] | [ 0.4 -0.2] | -0.5503123786975781
0.999254246595377 | [ 0.4 -0.2] | -0.5531579026409479
0.9999640382346778 | [ 0.4 -0.2] | -0.5574082578721471
0.996278609679141 | [ 0.4 -0.2] | -0.5612042212366428
0.9812025797668987 | [ 0.4  -0.19] | -0.5617427650705026
0.9455751506812602 | [ 0.39 -0.18] | -0.5557025952591003
0.8789997984413228 | [ 0.38 -0.15] | -0.5402156044879496
0.7714878743153123 | [ 0.35 -0.11] | -0.5144802326317292
0.6158917919705169 | [ 0.32 -0.05] | -0.48161723252701927
0.4108285396159084 | [0.28 0.04] | -0.44962514471591397
0.16327794456104822 | [0.23 0.13] | -0.4298701117343756
-0.11034553183946645 | [0.18 0.24] | -0.4323647779641231
-0.385692861141261 | [0.12 0.35] | -0.4594307665210789
-0.6346774792033569 | [0.07 0.45] | -0.501647991721001
-0.8311607924678607 | [0.03 0.53] | -0.5396149468238258
-0.9560422872245149 | [0.01 0.58] | -0.5513329120920887
-0.9999528122038595 | [9.44e-06 6.00e-01] | -0.5210863802406982
-0.9630199737324296 | [0.01 0.59] | -0.4454499418113807
-0.8525274298694195 | [0.03 0.54] | -0.33930853670693334
-0.6799234128191844 | [0.06 0.47] | -0.2853191540131
-0.45843954752507704 | [0.11 0.38] | -0.2847782163840003
-0.2019807829400261 | [0.16 0.28] | -0.29884940685309735
0.07461739534213782 | [0.21 0.17] | -0.32845196843408864
0.3542350218800223 | [0.27 0.06] | -0.372559411596438
0.6155496370366974 | [ 0.32 -0.05] | -0.42401852954471475
0.8314299064774331 | [ 0.37 -0.13] | -0.4682053863221573
0.9690398885659444 | [ 0.39 -0.19] | -0.4842168423144527
0.9935570995718015 | [ 0.4 -0.2] | -0.45216634587981663
0.877162016571413 | [ 0.38 -0.15] | -0.368809670256192
0.6127997249338575 | [ 0.32 -0.05] | -0.2656966918060305
0.2277223638901819 | [0.25 0.11] | -0.2103240383624393
-0.21249015773989402 | [0.16 0.28] | -0.2583011719901467
-0.6171867905039166 | [0.08 0.45] | -0.374708437997334
-0.8985848015647508 | [0.02 0.56] | -0.4862801690956902
-0.9999679645923399 | [6.41e-06 6.00e-01] | -0.5372003397331855
-0.9088742758007436 | [0.02 0.56] | -0.5004757912590632
-0.652064368502248 | [0.07 0.46] | -0.4043141604287942
-0.2812203352127008 | [0.14 0.31] | -0.307854427721845
0.13975256909048067 | [0.23 0.14] | -0.26189977792035435
0.5411445605562322 | [ 0.31 -0.02] | -0.2811703050933733
0.8500493796577728 | [ 0.37 -0.14] | -0.33693335684356207
0.9957369190668304 | [ 0.4 -0.2] | -0.37199657697069044
0.9244216405208443 | [ 0.38 -0.17] | -0.341020264865887
0.6244307275273486 | [ 0.32 -0.05] | -0.2603258420641484
0.15062130057168915 | [0.23 0.14] | -0.21399521270973182
-0.37427139275170274 | [0.13 0.35] | -0.2776606780597135
-0.7967405069276148 | [0.04 0.52] | -0.4224916499085364
-0.9934240953459651 | [0.  0.6] | -0.5276435411400323
-0.9169167752154016 | [0.02 0.57] | -0.5048896881913447
-0.6009655547395563 | [0.08 0.44] | -0.38631738202777244
Total reward: -20.844447136542776
0.2, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2
parameter ends

state | action | reward
[1.] | [ 0.4 -0.2] | -0.3280001657537593
0.9995404349633907 | [ 0.4 -0.2] | -0.328488441429296
0.9969899838137696 | [ 0.4 -0.2] | -0.32894949459643047
0.9879206375329995 | [ 0.4 -0.2] | -0.32839499438537356
0.9654694059090414 | [ 0.39 -0.19] | -0.3252235749362718
0.9207984192405296 | [ 0.38 -0.17] | -0.3176482091774129
0.8441441967029558 | [ 0.37 -0.14] | -0.3046172755736447
0.726549841141799 | [ 0.35 -0.09] | -0.28725632899239517
0.5622850569849664 | [ 0.31 -0.02] | -0.2703569601601431
0.3515812644222489 | [0.27 0.06] | -0.2627812385646726
0.1028434487401043 | [0.22 0.16] | -0.27544566159429446
-0.16677243096080052 | [0.17 0.27] | -0.31657573648533643
-0.4332496113707793 | [0.11 0.37] | -0.38612869186395865
-0.6699578237115186 | [0.07 0.47] | -0.47298777117865987
-0.8529605917539284 | [0.03 0.54] | -0.5575595382992258
-0.965453884826735 | [0.01 0.59] | -0.6188306526793954
-0.9998434093790983 | [3.13e-05 6.00e-01] | -0.6418356661620661
-0.957180843552497 | [0.01 0.58] | -0.6216897932271483
-0.844832104816742 | [0.03 0.54] | -0.5632368481106602
-0.67371007451771 | [0.07 0.47] | -0.47802272748171293
-0.45616077597950616 | [0.11 0.38] | -0.3808977338705223
-0.20504465458428134 | [0.16 0.28] | -0.28755993795489593
0.06592846791709912 | [0.21 0.17] | -0.2132818296590529
0.3408558929838228 | [0.27 0.06] | -0.17322162572235425
0.5997570720464522 | [ 0.32 -0.04] | -0.18367232324925453
0.8169252542530723 | [ 0.36 -0.13] | -0.2416282531640253
0.960791373335808 | [ 0.39 -0.18] | -0.30527270346340474
0.9970987557929322 | [ 0.4 -0.2] | -0.3337317947947993
0.897089663984421 | [ 0.38 -0.16] | -0.30767911104649087
0.6505824894688608 | [ 0.33 -0.06] | -0.24008223273041507
0.279681175899438 | [0.26 0.09] | -0.17673207077694114
-0.1555952533774758 | [0.17 0.26] | -0.1772516923269598
-0.5679673103412641 | [0.09 0.43] | -0.2666926712004795
-0.8689435451369367 | [0.03 0.55] | -0.3742321292949077
-0.9973262641530289 | [5.35e-04 5.99e-01] | -0.42809009240586016
-0.9345864552252924 | [0.01 0.57] | -0.3957934783786706
-0.7021107852329084 | [0.06 0.48] | -0.3013659837395993
-0.3478009168152736 | [0.13 0.34] | -0.2025020271683231
0.06701430553813008 | [0.21 0.17] | -0.15251015509889349
0.47469589354118796 | [0.29 0.01] | -0.171712374325797
0.8039130913118113 | [ 0.36 -0.12] | -0.23691107901582517
0.9837633100810665 | [ 0.4  -0.19] | -0.29348973934063616
0.9562148690096666 | [ 0.39 -0.18] | -0.2912584976307515
0.6994137577646524 | [ 0.34 -0.08] | -0.23163432267909417
0.25351770011291036 | [0.25 0.1 ] | -0.18289150192795178
-0.27160073287538117 | [0.15 0.31] | -0.2197715313711807
-0.7253798503896184 | [0.05 0.49] | -0.33117211979189665
-0.9747114040260859 | [0.01 0.59] | -0.41784301161814585
-0.9552556802764416 | [0.01 0.58] | -0.40366810321133106
-0.6850875951021522 | [0.06 0.47] | -0.300753054483788
Total reward: -16.237332952094107
0.2, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2
parameter ends

state | action | reward
[1.] | [ 0.4 -0.2] | -0.3827742111904159
0.9967800598770578 | [ 0.4 -0.2] | -0.3777082874683131
0.9918959987208844 | [ 0.4 -0.2] | -0.36830843880968567
0.9790297439860637 | [ 0.4  -0.19] | -0.3532378432735809
0.9514776251759772 | [ 0.39 -0.18] | -0.33060964268073156
0.900705234591974 | [ 0.38 -0.16] | -0.2986781232991126
0.817466630169097 | [ 0.36 -0.13] | -0.25712432933642804
0.6935745568666906 | [ 0.34 -0.08] | -0.20906263502513128
0.524279899834309 | [ 0.3  -0.01] | -0.16373319353427424
0.3108477875331034 | [0.26 0.08] | -0.13859630563575887
0.06249514687828596 | [0.21 0.18] | -0.15189529991521772
-0.20334214533917558 | [0.16 0.28] | -0.20741353011358366
-0.46310023577545184 | [0.11 0.39] | -0.2973497739964846
-0.6912916833308345 | [0.06 0.48] | -0.4065952441938807
-0.8655066391942998 | [0.03 0.55] | -0.5145329610449185
-0.9704135378830937 | [0.01 0.59] | -0.6006025546953264
-0.9994674087420249 | [1.07e-04 6.00e-01] | -0.6504456287044729
-0.9541831531544874 | [0.01 0.58] | -0.6589288195178512
-0.8418507838284023 | [0.03 0.54] | -0.6293426075346991
-0.6729310138446997 | [0.07 0.47] | -0.5704762372792038
-0.4591104699936532 | [0.11 0.38] | -0.4936436096937344
-0.21248990030013937 | [0.16 0.28] | -0.41067304509927116
0.05405201744388292 | [0.21 0.18] | -0.33263836054887275
0.3255418219718997 | [0.27 0.07] | -0.2684990104504114
0.5830593536019346 | [ 0.32 -0.03] | -0.22317974813602126
0.8020542265926828 | [ 0.36 -0.12] | -0.197959677945528
0.952007793792534 | [ 0.39 -0.18] | -0.22943636303287346
0.9991510564508428 | [ 0.4 -0.2] | -0.2924526226115572
0.9139666289062608 | [ 0.38 -0.17] | -0.3044050749025169
0.6836548901809727 | [ 0.34 -0.07] | -0.26685957704564667
0.325918710837042 | [0.27 0.07] | -0.2244522577320734
-0.10409987295922143 | [0.18 0.24] | -0.24059432985156012
-0.5222629864262592 | [0.1  0.41] | -0.3263980005011853
-0.8397202206155459 | [0.03 0.54] | -0.43551688016550927
-0.9914873602542807 | [0.  0.6] | -0.49781774749364394
-0.9537162258007863 | [0.01 0.58] | -0.4731369230504152
-0.7430049082817378 | [0.05 0.5 ] | -0.3777078466856495
-0.4039206205842383 | [0.12 0.36] | -0.26704817027747085
0.004366677284595893 | [0.2 0.2] | -0.19859778981956117
0.4158690305872052 | [0.28 0.03] | -0.20062736353463514
0.7605767487840273 | [ 0.35 -0.1 ] | -0.25785815051228766
0.9677267349624009 | [ 0.39 -0.19] | -0.3188456305221998
0.9764009204971202 | [ 0.4  -0.19] | -0.3296817136152899
0.7570644326266883 | [ 0.35 -0.1 ] | -0.2820789338102889
0.33794333764519996 | [0.27 0.06] | -0.23595984678708704
-0.18263327063799106 | [0.16 0.27] | -0.27017276176941096
-0.6583691582534449 | [0.07 0.46] | -0.3879682984258936
-0.949679249537207 | [0.01 0.58] | -0.49302032587381284
-0.9785467948672151 | [0.   0.59] | -0.4874079720602491
-0.7493170490983185 | [0.05 0.5 ] | -0.3783321053533934
Total reward: -17.27038580455712
0.2, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2
parameter ends

state | action | reward
[1.] | [ 0.4 -0.2] | -0.5442430745730596
0.9944618067636838 | [ 0.4 -0.2] | -0.5420107551808832
0.9884212566070552 | [ 0.4 -0.2] | -0.536938279716149
0.9736802081960432 | [ 0.39 -0.19] | -0.5273867602609451
0.9436276874079763 | [ 0.39 -0.18] | -0.5110488660855219
0.8898968193131013 | [ 0.38 -0.16] | -0.485593051841558
0.803514882192166 | [ 0.36 -0.12] | -0.4497847228977292
0.676686282144023 | [ 0.34 -0.07] | -0.40498214501414953
0.5051444732909796 | [ 0.3 -0. ] | -0.35641287583637943
0.2906435153800317 | [0.26 0.08] | -0.31312087569309016
0.04276011771277219 | [0.21 0.18] | -0.2855242926799132
-0.22098324804094285 | [0.16 0.29] | -0.2807294151908035
-0.4772917887125411 | [0.1  0.39] | -0.29782334485657713
-0.7012651163625182 | [0.06 0.48] | -0.32688185841023654
-0.8712402926142457 | [0.03 0.55] | -0.3567758950323704
-0.9725824354031628 | [0.01 0.59] | -0.40131235175530006
-0.9992253634698195 | [1.55e-04 6.00e-01] | -0.4573517055607311
-0.9528784429331117 | [0.01 0.58] | -0.4911327772343059
-0.8407723951278596 | [0.03 0.54] | -0.4984289538499713
-0.6731353079539655 | [0.07 0.47] | -0.4855193195645059
-0.4613267342251257 | [0.11 0.38] | -0.46087639494440535
-0.21707265846318585 | [0.16 0.29] | -0.4324225502837876
0.04716208133306344 | [0.21 0.18] | -0.40647881113329737
0.31687461523087473 | [0.26 0.07] | -0.38705145440362404
0.5736915109785358 | [ 0.31 -0.03] | -0.3746029270955384
0.793668765658067 | [ 0.36 -0.12] | -0.364517583663465
0.9468510147290153 | [ 0.39 -0.18] | -0.3476121877056295
0.9997534981796922 | [ 0.4 -0.2] | -0.3179161995242041
0.9225038798907917 | [ 0.38 -0.17] | -0.2847064813623961
0.7009722270711531 | [ 0.34 -0.08] | -0.25432439990667616
0.35055982657992946 | [0.27 0.06] | -0.22533086252885215
-0.07621857480224477 | [0.18 0.23] | -0.23944870655107225
-0.4970073044245786 | [0.1 0.4] | -0.3256522251977009
-0.8229020727596716 | [0.04 0.53] | -0.44263319333767315
-0.9870028761220064 | [0.   0.59] | -0.5185492820034148
-0.9626353927699574 | [0.01 0.59] | -0.5078691550512311
-0.7637924530664932 | [0.05 0.51] | -0.4212716944085687
-0.4332131756281211 | [0.11 0.37] | -0.3111559806706051
-0.028906404174000803 | [0.19 0.21] | -0.23498468205082626
0.384000254634299 | [0.28 0.05] | -0.22371706932125057
0.7362048125247791 | [ 0.35 -0.09] | -0.26706913977485525
0.9571235740247057 | [ 0.39 -0.18] | -0.31784196801824327
0.9845660607840562 | [ 0.4  -0.19] | -0.32117365651486707
0.7852837150956377 | [ 0.36 -0.11] | -0.26445863478420356
0.38141037904781033 | [0.28 0.05] | -0.20739552078206525
-0.1350274728968377 | [0.17 0.25] | -0.2368643334640385
-0.620631926428338 | [0.08 0.45] | -0.36638851356005986
-0.9330941064195463 | [0.01 0.57] | -0.500220822272959
-0.9874699017857612 | [0.   0.59] | -0.5240694609582156
-0.7806899845823023 | [0.04 0.51] | -0.4223937779636073
Total reward: -19.06199899047151
0.2, -0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2
parameter ends

state | action | reward
[1.] | [ 0.4 -0.2] | -0.47152785292318644
0.9999953556120247 | [ 0.4 -0.2] | -0.4738455902721094
0.9990251010583036 | [ 0.4 -0.2] | -0.4770640286364273
0.9925576474783114 | [ 0.4 -0.2] | -0.47946378760386993
0.973656915774378 | [ 0.39 -0.19] | -0.4784744257789787
0.9333169729733265 | [ 0.39 -0.17] | -0.47115145371538003
0.8614556979357263 | [ 0.37 -0.14] | -0.4551880131419708
0.7486081968736175 | [ 0.35 -0.1 ] | -0.4305065710928049
0.5883588036460647 | [ 0.32 -0.04] | -0.4009723410272648
0.3801725978126996 | [0.28 0.05] | -0.3750755567191304
0.1317956532053789 | [0.23 0.15] | -0.36413163253571457
-0.13993400017691457 | [0.17 0.26] | -0.3774930642537311
-0.4108004542066386 | [0.12 0.36] | -0.416558517539011
-0.6534472250000425 | [0.07 0.46] | -0.4713718253710273
-0.842875498251377 | [0.03 0.54] | -0.5229053958901511
-0.961194913027457 | [0.01 0.58] | -0.5504637117570697
-0.9999874045221832 | [2.52e-06 6.00e-01] | -0.5401515654508199
-0.9598901644451835 | [0.01 0.58] | -0.4903684692704099
-0.8482521275020349 | [0.03 0.54] | -0.41355342454781324
-0.6762572740847919 | [0.06 0.47] | -0.33501594277304725
-0.4566846822288727 | [0.11 0.38] | -0.28092383814416433
-0.20290154008587932 | [0.16 0.28] | -0.2590638848207023
0.07083604424227866 | [0.21 0.17] | -0.2661492511781544
0.3480323642298999 | [0.27 0.06] | -0.29727019788827513
0.608050145970679 | [ 0.32 -0.04] | -0.34372135280932664
0.8244825345670962 | [ 0.36 -0.13] | -0.3900380389731649
0.965135096494301 | [ 0.39 -0.19] | -0.4141620032369116
