0.1, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[1.] | [0.2 0. ] | -0.19324598247093672
0.9992792243869107 | [0.2 0. ] | -0.19703531794550933
0.9980777660595639 | [0.21 0.  ] | -0.2037067869362995
0.9948251443559528 | [0.21 0.  ] | -0.21319067107011913
0.987671899585588 | [0.21 0.  ] | -0.22537646070658668
0.9740617994459355 | [0.22 0.  ] | -0.24007891348114235
0.9507647463058662 | [0.23 0.  ] | -0.2569988270221859
0.9139584392678839 | [0.23 0.  ] | -0.2756819823790274
0.8594016830454985 | [0.24 0.  ] | -0.2954824182064837
0.7827488214161967 | [0.24 0.  ] | -0.3155409117958243
0.6800519017980027 | [0.24 0.  ] | -0.33479490075770196
0.548475258809924 | [0.24 0.  ] | -0.3520387522256465
0.38719574234222565 | [0.23 0.  ] | -0.36604795184442995
0.19837591172122315 | [0.22 0.  ] | -0.3757620020659269
-0.012011082990300301 | [0.2 0. ] | -0.38048817216629827
-0.23381809317257357 | [0.17 0.  ] | -0.3800534285478667
-0.4531442383175932 | [0.14 0.  ] | -0.3748207915884973
-0.653722066081951 | [0.11 0.  ] | -0.3655259089890434
-0.819158300627445 | [0.08 0.  ] | -0.3529788189994843
-0.9355553629376945 | [0.04 0.  ] | -0.33776564385694735
-0.9938009803431945 | [0.01 0.  ] | -0.32010259458353574
-0.9908575974699534 | [-0.01  0.  ] | -0.29991023624897617
-0.9297271177864617 | [-0.03  0.  ] | -0.2770447521056032
-0.8182401314221593 | [-0.04  0.  ] | -0.25154334236506104
-0.6671795153336888 | [-0.04  0.  ] | -0.22376399368775376
-0.4883463471682177 | [-0.04  0.  ] | -0.1943911543218498
-0.2930316195480224 | [-0.03  0.  ] | -0.16436724122497615
-0.09110421072506718 | [-0.01  0.  ] | -0.13486005363593148
0.10929959988189057 | [0.01 0.  ] | -0.10742090036420505
0.301628738844887 | [0.03 0.  ] | -0.08461673339804221
0.48049043359236626 | [0.06 0.  ] | -0.07143852110767408
0.6411001394447179 | [0.09 0.  ] | -0.07492141735058284
0.7787258529373045 | [0.11 0.  ] | -0.09607985092899478
0.8882154552417669 | [0.14 0.  ] | -0.12860381593771147
0.963688413145953 | [0.17 0.  ] | -0.1671707427579219
0.9984874975003931 | [0.19 0.  ] | -0.20866407217747568
0.9855121677940867 | [0.22 0.  ] | -0.2507065997346626
0.9180707531304068 | [0.23 0.  ] | -0.2908875101530564
0.791355833271524 | [0.24 0.  ] | -0.3265822343451751
0.6045164050062295 | [0.24 0.  ] | -0.35515697488100983
0.3630328377871775 | [0.23 0.  ] | -0.37445124324750867
0.08072249579312556 | [0.21 0.  ] | -0.383362783167922
-0.21962693491443513 | [0.18 0.  ] | -0.38222882130343566
-0.5079865814132728 | [0.14 0.  ] | -0.3726805801102338
-0.7515336704936044 | [0.09 0.  ] | -0.35689291981086546
-0.9209732720419419 | [0.05 0.  ] | -0.3365869149519517
-0.9967260836660915 | [0.01 0.  ] | -0.3124124943560002
-0.9727003618468738 | [-0.02  0.  ] | -0.28411240349725314
-0.856360887271384 | [-0.04  0.  ] | -0.25128922402278164
-0.6654986180334111 | [-0.04  0.  ] | -0.21420533914372064
Total reward: -13.33307010797783
0.1, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[1.] | [0.21 0.  ] | -0.3408679945075954
0.9952941889210639 | [0.21 0.  ] | -0.34200619361257345
0.9925957247641233 | [0.21 0.  ] | -0.3442020315682751
0.9868048919563075 | [0.21 0.  ] | -0.3472796182239707
0.9759958591707639 | [0.22 0.  ] | -0.3509837456850968
0.9575202620610751 | [0.22 0.  ] | -0.35496194624270805
0.9280659902123094 | [0.23 0.  ] | -0.3587428358819228
0.8837762052915666 | [0.24 0.  ] | -0.36171624735822316
0.8204731268551599 | [0.24 0.  ] | -0.36312427600263836
0.7340346534596132 | [0.24 0.  ] | -0.3620767165744347
0.6209630244232691 | [0.24 0.  ] | -0.3576075572400131
0.4791537136188101 | [0.24 0.  ] | -0.348787477879682
0.30881084546004794 | [0.23 0.  ] | -0.33489566570745644
0.1133628104777306 | [0.21 0.  ] | -0.3156294580845862
-0.09987131808795234 | [0.19 0.  ] | -0.2912968033272715
-0.31957957276807025 | [0.16 0.  ] | -0.2629121158452955
-0.53119569326402 | [0.13 0.  ] | -0.23212891777911265
-0.7185642924459016 | [0.1 0. ] | -0.20101140716699997
-0.8662989805987222 | [0.06 0.  ] | -0.1717512045235787
-0.9622775353789628 | [0.03 0.  ] | -0.14650007196220466
-0.9995735767137418 | [0. 0.] | -0.12739693588155304
-0.9772739743811822 | [-0.02  0.  ] | -0.11650544176932434
-0.9000251263774084 | [-0.03  0.  ] | -0.1150255058470372
-0.7765886410384387 | [-0.04  0.  ] | -0.12210511711024245
-0.6179537248546796 | [-0.04  0.  ] | -0.13513716155698333
-0.4355612286949441 | [-0.03  0.  ] | -0.15143653540779137
-0.24000773871051842 | [-0.02  0.  ] | -0.1692426225571093
-0.040354953574447225 | [-0.  0.] | -0.18769848006568685
0.15601850162941924 | [0.02 0.  ] | -0.20650557484801707
0.34317759962152555 | [0.04 0.  ] | -0.22562609334535594
0.5161704637780338 | [0.07 0.  ] | -0.24508948556028595
0.670484075023698 | [0.09 0.  ] | -0.26487012899331563
0.8015167614017907 | [0.12 0.  ] | -0.2847979598153265
0.9041454484849334 | [0.15 0.  ] | -0.3044768672901683
0.9724646456991958 | [0.17 0.  ] | -0.3232011925203347
0.9997927889791769 | [0.2 0. ] | -0.3398783434194385
0.9790686653508089 | [0.22 0.  ] | -0.35298720278309753
0.9037729217908738 | [0.23 0.  ] | -0.360625994685948
0.7694684604454322 | [0.24 0.  ] | -0.36071868890526987
0.5759096930684635 | [0.24 0.  ] | -0.3514320206378291
0.3293907484922276 | [0.23 0.  ] | -0.33177667833240565
0.04462496768994552 | [0.2 0. ] | -0.30222335311438486
-0.2548546590634601 | [0.17 0.  ] | -0.2650295815214761
-0.5387116327818935 | [0.13 0.  ] | -0.22400375241345574
-0.7744759237172716 | [0.09 0.  ] | -0.18375501662489632
-0.9338899707641471 | [0.04 0.  ] | -0.1489657151055126
-0.9988650248326979 | [0. 0.] | -0.12431614014187455
-0.9648481162539154 | [-0.02  0.  ] | -0.11432142088716941
-0.8404962116698853 | [-0.04  0.  ] | -0.1203779443228376
-0.6442271846088278 | [-0.04  0.  ] | -0.1380785728854439
Total reward: -12.886087813523211
0.1, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[1.] | [0.21 0.  ] | -0.2328300792891951
0.9955546702185718 | [0.21 0.  ] | -0.23705197348622586
0.9929429623321863 | [0.21 0.  ] | -0.24439214403448456
0.9872982734485244 | [0.21 0.  ] | -0.25470400391091014
0.9767040097302011 | [0.22 0.  ] | -0.267779799627547
