0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5, -0.5, -0.5, -0.5, 0.0, 0.0
parameter ends

state | action | reward
[1.] | [-0.12 -0.12] | -0.41730930699133567
0.9999658693269987 | [-0.12 -0.12] | -0.4182355655071447
0.9997475868439203 | [-0.12 -0.12] | -0.4191236247345558
0.998949789187824 | [-0.11 -0.11] | -0.419785824821459
0.9969654069214458 | [-0.11 -0.11] | -0.4199976403103705
0.9930246514191835 | [-0.1 -0.1] | -0.41953323741688203
0.9862666746361959 | [-0.09 -0.09] | -0.41820431735639363
0.9758256370471396 | [-0.08 -0.08] | -0.41589443595227776
0.9609262288728333 | [-0.07 -0.07] | -0.41257995539936027
0.9409800616927121 | [-0.05 -0.05] | -0.4083308553777582
0.915671177258446 | [-0.04 -0.04] | -0.4032902146407699
0.8850176698194198 | [-0.02 -0.02] | -0.39763877088903876
0.8493982753185314 | [-0.01 -0.01] | -0.3915570747171956
0.8095379959462693 | [0.01 0.01] | -0.38519870612307244
0.7664543274452145 | [0.02 0.02] | -0.37868266773193354
0.7213732740605194 | [0.03 0.03] | -0.3721040822827291
0.675629679843808 | [0.05 0.05] | -0.3655546512524644
0.6305679158615498 | [0.06 0.06] | -0.35914181619681
0.58745655726926 | [0.06 0.06] | -0.35299854136158093
0.5474256316745342 | [0.07 0.07] | -0.3472813510290987
0.5114292105272307 | [0.07 0.07] | -0.3421592632728687
0.48023120892198745 | [0.08 0.08] | -0.33779858507627347
0.4544091655666272 | [0.08 0.08] | -0.3343481898057615
0.43436959739908215 | [0.08 0.08] | -0.3319280871600169
0.42036882811060894 | [0.08 0.08] | -0.3306221149228824
0.41253435436631714 | [0.08 0.08] | -0.3304742085532578
0.41088328795481743 | [0.08 0.08] | -0.3314871361940534
0.41533583685705 | [0.08 0.08] | -0.333622664104452
0.4257229987567864 | [0.08 0.08] | -0.33680256691424043
0.44178861427237515 | [0.08 0.08] | -0.3409104700795028
0.46318671678500356 | [0.08 0.08] | -0.3457950250609477
0.48947579082588427 | [0.08 0.08] | -0.351275236863034
0.5201121549040238 | [0.07 0.07] | -0.357148778669145
0.5544452050028299 | [0.07 0.07] | -0.36320375090476004
0.5917176080473969 | [0.06 0.06] | -0.3692335408518592
0.6310735685007803 | [0.06 0.06] | -0.3750533094824129
0.6715778161924217 | [0.05 0.05] | -0.38051546597296027
0.7122468171533153 | [0.04 0.04] | -0.38552077546172203
0.7520918513653673 | [0.03 0.03] | -0.39002202463552865
0.7901712107060013 | [0.01 0.01] | -0.39401874280926247
0.8256462925935746 | [0. 0.] | -0.39754407325756147
0.8578344541824335 | [-0.01 -0.01] | -0.40064756656532163
0.8862508234379082 | [-0.02 -0.02] | -0.40337914560762944
0.9106322627195503 | [-0.04 -0.04] | -0.4057788715319943
0.9309392926582257 | [-0.05 -0.05] | -0.4078745534411923
0.9473354186332225 | [-0.06 -0.06] | -0.40968590668454286
0.960147016947431 | [-0.07 -0.07] | -0.4112314928719293
0.9698097906322813 | [-0.08 -0.08] | -0.4125341304919483
0.9768091987806466 | [-0.08 -0.08] | -0.4136218143505488
0.9816221183877011 | [-0.09 -0.09] | -0.41452349906743047
Total reward: -19.061203630757273
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5, -0.5, -0.5, -0.5, 0.0, 0.0
parameter ends

state | action | reward
[1.] | [-0.22 -0.22] | -0.4212707723434066
0.9998984373081768 | [-0.21 -0.21] | -0.41733064348426724
0.9999364202863262 | [-0.21 -0.21] | -0.40901966900547415
0.998588944688285 | [-0.2 -0.2] | -0.39589747458340413
