0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6, 0.0, 0.0, -0.6, 0.0, 0.0
parameter ends

state | action | reward
[1.] | [-0.15  0.06] | -0.28680674797606237
0.9970124582017073 | [-0.15  0.06] | -0.2882079818491468
0.998208071958631 | [-0.15  0.06] | -0.29058778520543
0.9995155019469956 | [-0.15  0.06] | -0.2938739841450977
0.9999620960799197 | [-0.15  0.06] | -0.2979719069130656
0.998234401339373 | [-0.15  0.07] | -0.3027632324755801
0.9927076013245382 | [-0.15  0.08] | -0.3081046461836158
0.9814883023326577 | [-0.15  0.08] | -0.3138266416353488
0.9624783543976781 | [-0.15  0.09] | -0.3197328705315976
0.9334669462680425 | [-0.14  0.1 ] | -0.32560045378922303
0.8922562573725126 | [-0.14  0.11] | -0.3311816536540154
0.8368220839505056 | [-0.14  0.12] | -0.3362072569418822
0.7655049213511524 | [-0.13  0.13] | -0.3403919239743405
0.6772193183059086 | [-0.12  0.14] | -0.34344161217710456
0.5716609826741825 | [-0.12  0.14] | -0.3450629941241999
0.4494839581369612 | [-0.11  0.15] | -0.34497457717883606
0.31241659440121766 | [-0.1   0.16] | -0.3429190290573746
0.16328729800341182 | [-0.09  0.16] | -0.3386760610628321
0.00594046921734386 | [-0.08  0.17] | -0.33207515527366754
-0.15496099704308536 | [-0.07  0.17] | -0.323007465038218
-0.3142306246046406 | [-0.06  0.17] | -0.3114363690925209
-0.4665160229923937 | [-0.05  0.16] | -0.29740640132004115
-0.6066720954688988 | [-0.04  0.16] | -0.28105059731936916
-0.7300997900118594 | [-0.03  0.15] | -0.2625967178107187
-0.8330082240414297 | [-0.03  0.14] | -0.24237341848029614
-0.9125741322429279 | [-0.02  0.13] | -0.2208184153530114
-0.9669924147893459 | [-0.02  0.12] | -0.19849227920257267
-0.9954299852531876 | [-0.02  0.11] | -0.17610372774115715
-0.997908189791071 | [-0.02  0.1 ] | -0.15455392263946488
-0.9751450150125607 | [-0.02  0.08] | -0.13898397304379015
-0.9283865946724879 | [-0.03  0.07] | -0.13921445849051317
-0.8592790885098286 | [-0.02  0.08] | -0.141397348003453
-0.7699279885626983 | [-0.02  0.08] | -0.14204808781130082
-0.6629827688108301 | [-0.02  0.08] | -0.14129295700277938
-0.5415280963960257 | [-0.02  0.08] | -0.13946808885810302
-0.40893778899363403 | [-0.01  0.08] | -0.1369357214797193
-0.2687248849168912 | [-0.01  0.08] | -0.13406937592388152
-0.12439421304583885 | [-0.01  0.08] | -0.13123200461555626
0.02068570956072653 | [-0.01  0.07] | -0.12875562363992696
0.16338120424362024 | [-0.01  0.07] | -0.1265979370637321
0.30085890554868006 | [-0.01  0.07] | -0.12426132499282519
0.43060918374610274 | [-0.01  0.07] | -0.12153942277105219
0.5504374948618662 | [-0.01  0.07] | -0.11888933240640706
0.6584720501475765 | [-0.01  0.07] | -0.1164420546181348
0.7531901166138972 | [-0.01  0.07] | -0.11424121011589942
0.8334244980289757 | [-0.01  0.06] | -0.11231505073333897
0.8983449888755675 | [-0.01  0.06] | -0.11068505160078636
0.9474330184460947 | [-0.01  0.06] | -0.10936767164942167
0.9804531703447643 | [-0.01  0.06] | -0.10837801981323641
0.9974236156174972 | [-0.02  0.06] | -0.10772751557601944
Total reward: -11.194088058355666
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6, 0.0, 0.0, -0.6, 0.0, 0.0
parameter ends

state | action | reward
[1.] | [-0.22 -0.  ] | -0.42484231234640235
0.9976025433323307 | [-0.22 -0.  ] | -0.4249040187813886
0.9990835644437247 | [-0.22  0.  ] | -0.42486315997776064
0.9999996146334342 | [-0.22  0.01] | -0.4244807406066945
0.9981108806261619 | [-0.22  0.01] | -0.4234327676343604
0.9904074027354335 | [-0.22  0.02] | -0.4213274391592293
0.9732294701828063 | [-0.22  0.03] | -0.4177277252111546
0.9424665184501334 | [-0.22  0.05] | -0.41218015401004665
0.8938652655327354 | [-0.21  0.06] | -0.4042496573142707
