0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, -0.1, -0.1
parameter ends

state | action | reward
[1.] | [ 0.36 -0.56] | -0.7596504562901047
0.9972718378175055 | [ 0.2 -0.4] | -0.5130715809053239
0.9938984232157437 | [ 0.04 -0.24] | -0.36871680123523437
0.9878218741134087 | [-0.12 -0.08] | -0.3281347554905653
0.9804609015872532 | [-0.28  0.08] | -0.3958452868883156
0.9752426753711895 | [-0.45  0.25] | -0.5757938165999581
0.9762524683637824 | [-0.62  0.42] | -0.8676617366750046
0.9853134334299504 | [-0.78  0.58] | -1.2668045577362474
0.9975200530371209 | [-0.94  0.74] | -1.7698861970003772
0.9953052996048479 | [-1.11  0.91] | -2.385384771084863
0.9434547368263873 | [-1.19  0.99] | -2.7558333889784747
0.7941264413758495 | [-1.23  1.03] | -2.9007885058855694
0.5049551541085281 | [-1.27  1.07] | -3.100639012020115
0.06956352881791654 | [-1.33  1.13] | -3.35769956805599
-0.4440977610451492 | [-1.39  1.19] | -3.587563944189938
-0.871707058259023 | [-1.41  1.21] | -3.6539250143717075
-0.9881983751594059 | [-1.39  1.19] | -3.4679901051418884
-0.6326874888736611 | [-1.32  1.12] | -3.139237683608801
0.11150163409136352 | [-2.63  2.43] | -13.011684681754435
0.8259755841538873 | [-9.57  9.37] | -179.3985044413909
0.9481284555534301 | [-10.94  10.74] | -235.03402170463693
0.2609439688470051 | [-11.38  11.18] | -254.71927801956886
-0.7025775988138082 | [-11.72  11.52] | -270.3402116151404
-0.9524053789495589 | [-11.92  11.72] | -279.6753287113599
-0.10193034279697591 | [-12.07  11.87] | -286.57438552192764
0.8970542779084529 | [-12.48  12.28] | -306.4902831599226
0.6876448444367901 | [-13.27  13.07] | -346.93361880010127
-0.5363375833932098 | [-14.06  13.86] | -389.992608222244
-0.9313856623391813 | [-14.42  14.22] | -410.53783735789096
0.22896913977078764 | [-14.58  14.38] | -419.727649495558
0.9901694200965135 | [-15.15  14.95] | -453.2551400689392
-0.0993681831272975 | [-16.03  15.83] | -507.77890963176947
-0.9942136717489921 | [-16.48  16.28] | -536.7627160852206
0.16292323667280814 | [-16.55  16.35] | -541.347306540218
0.9646571301296735 | [-17.1  16.9] | -578.0177114245072
-0.403841060406524 | [-17.96  17.76] | -637.8590489318136
-0.8197028096688771 | [-18.2  18. ] | -655.1027782422245
0.7501849882388687 | [-18.3  18.1] | -662.7263774318044
0.42652584837251584 | [-19.1  18.9] | -722.2801059283111
-0.9932411096053019 | [-19.65  19.45] | -764.8738268603793
0.2470685461855748 | [-19.61  19.41] | -761.0525972264819
0.7921435787577681 | [-20.21  20.01] | -808.8512417122531
-0.8927209172560541 | [-20.91  20.71] | -866.4673850181468
0.018657853126808576 | [-20.83  20.63] | -859.9759139679619
0.8560423500582567 | [-21.34  21.14] | -902.6860242791793
-0.8936932081832978 | [-22.05  21.85] | -964.184321338238
0.13354952719475208 | [-21.93  21.73] | -953.508835142802
0.7183198377951969 | [-22.5  22.3] | -1003.9853292495003
-0.9915083113804534 | [-23.09  22.89] | -1057.0835768791471
0.5441412574923873 | [-22.93  22.73] | -1043.0200386029323
Total reward: -18708.449223475483
0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, -0.1, -0.1
parameter ends

state | action | reward
[1.] | [ 0.34 -0.54] | -0.7928774298210428
0.9996865690013733 | [ 0.18 -0.38] | -0.5638003557990621
0.9999632067763513 | [ 0.02 -0.22] | -0.43640515347889675
0.9987852877922926 | [-0.14 -0.06] | -0.4108751724832106
0.9964541542966325 | [-0.31  0.11] | -0.4904506953813737
0.9949397082491531 | [-0.47  0.27] | -0.6782606556361235
0.9963163828980068 | [-0.64  0.44] | -0.974395656744143
0.9996244133789206 | [-0.8  0.6] | -1.3764949216483493
0.996224448313674 | [-0.97  0.77] | -1.8854500590165966
0.9640084137055246 | [-1.14  0.94] | -2.515691989931461
0.8650326823251954 | [-1.21  1.01] | -2.788824609627332
0.6553708921060875 | [-1.24  1.04] | -2.9087749122092865
0.30651000560841335 | [-1.29  1.09] | -3.0890837290279385
-0.16208806198445105 | [-1.34  1.14] | -3.2895794762181327
-0.6495047024294814 | [-1.38  1.18] | -3.4189867523197224
-0.9685927659144433 | [-1.38  1.18] | -3.397779579193379
-0.9096260054307744 | [-1.34  1.14] | -3.2127125613042637
-0.3865326554789683 | [-1.26  1.06] | -2.9173942564091035
0.4014763426214204 | [-6.8  6.6] | -89.9435071762162
0.9598035751054806 | [-9.82  9.62] | -189.1536465497624
0.7957307689699075 | [-10.66  10.46] | -223.3672977966399
-0.07546578122786124 | [-11.21  11.01] | -246.94628008477912
-0.9047356348988645 | [-11.62  11.42] | -265.678365441931
-0.7816577141011329 | [-11.84  11.64] | -275.93871979897057
0.26994496917983246 | [-12.07  11.87] | -286.66248068463545
0.9974950418455798 | [-12.62  12.42] | -313.794332341695
0.352298281774485 | [-13.48  13.28] | -358.1865194341515
-0.8279010801280765 | [-14.17  13.97] | -396.12816337207346
-0.701932788338254 | [-14.42  14.22] | -410.094380965001
0.614480735931725 | [-14.65  14.45] | -423.45705047028775
0.8356682420784598 | [-15.37  15.17] | -466.2783584415818
-0.523408797291574 | [-16.19  15.99] | -517.9442921210573
-0.8424724887591486 | [-16.46  16.26] | -535.7707132693777
0.5929877541463416 | [-16.6  16.4] | -544.4495725509298
0.7334759640523846 | [-17.32  17.12] | -593.3238808992498
-0.786946521757185 | [-18.07  17.87] | -645.9208653310454
-0.44531846455722285 | [-18.15  17.95] | -651.7722155957553
0.97717948938934 | [-18.43  18.23] | -672.408069577413
-0.07655277551632418 | [-19.31  19.11] | -738.1364724652576
-0.9172657598154839 | [-19.62  19.42] | -762.6028379126549
0.7062175944576409 | [-19.65  19.45] | -764.4832668816454
0.36298968539225507 | [-20.44  20.24] | -827.6381887892821
-0.9965095547679528 | [-20.91  20.71] | -866.3128487634976
0.5461047083117923 | [-20.84  20.64] | -860.4665680819273
0.4445311210926094 | [-21.58  21.38] | -922.7684083873462
-0.994028736596783 | [-22.04  21.84] | -963.1410768983669
0.6564693721242132 | [-21.95  21.75] | -954.9672274581998
0.21021821265383164 | [-22.73  22.53] | -1024.7863406113959
-0.8931776845920054 | [-23.03  22.83] | -1051.531329392799
0.9243499805550971 | [-23.02  22.82] | -1050.7071378691855
Total reward: -18929.90825338036
0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, 0.2, -0.2, -0.1, -0.1
parameter ends

state | action | reward
[1.] | [ 0.36 -0.56] | -0.5519663234112909
0.9953286598960479 | [ 0.2 -0.4] | -0.3073052757152632
0.9911512645757699 | [ 0.04 -0.24] | -0.16433325275102867
0.9841295904155845 | [-0.12 -0.08] | -0.12441855492261604
0.9760143193341092 | [-0.29  0.09] | -0.19142492648516574
0.9705266045399356 | [-0.46  0.26] | -0.36838697545015275
0.9719645115111295 | [-0.62  0.42] | -0.6544005104395502
0.9822383501936783 | [-0.79  0.59] | -1.045612181191386
0.9963561889586805 | [-0.95  0.75] | -1.5421014863763773
0.996428722849708 | [-1.11  0.91] | -2.1582037700091883
0.9466291787820293 | [-1.19  0.99] | -2.5260531748122004
0.7984069201261651 | [-1.23  1.03] | -2.694681773621882
0.5088291243599645 | [-1.27  1.07] | -2.9319772753821454
0.0715226483133515 | [-1.33  1.13] | -3.2380306424164487
-0.4445596244491752 | [-1.38  1.18] | -3.5230107835151943
-0.8731468469681489 | [-1.41  1.21] | -3.6396237265807874
-0.987368129155684 | [-1.38  1.18] | -3.4735909032303107
-0.626733307805486 | [-1.31  1.11] | -3.079654425307238
0.1213893844178475 | [-2.63  2.43] | -12.949222295521784
0.8327918051854131 | [-9.59  9.39] | -180.1483273509628
