0.1, -0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5, -0.5
parameter ends

state | action | reward
[1.] | [-0.4 -0.6] | -0.713549352769392
0.9980122140699046 | [-0.4 -0.6] | -0.7021607098199334
0.9939230950653043 | [-0.4 -0.6] | -0.6825413029386418
0.982330752461976 | [-0.4 -0.6] | -0.6541418411619007
0.9563918276674089 | [-0.4 -0.6] | -0.6175737664929062
0.9071685145086478 | [-0.41 -0.59] | -0.5789597927306191
0.8244128630985234 | [-0.42 -0.58] | -0.5681369973930379
0.6978623777568141 | [-0.43 -0.57] | -0.6025304505919143
0.5192464615647936 | [-0.45 -0.55] | -0.6446832822783648
0.2851834890221264 | [-0.47 -0.53] | -0.6746422156222508
0.0010382213984053662 | [-0.5 -0.5] | -0.6806467438829885
-0.31451968194992264 | [-0.53 -0.47] | -0.655613907692575
-0.6252717178689219 | [-0.56 -0.44] | -0.6436218700029939
-0.8758964921932402 | [-0.59 -0.41] | -0.652803237058256
-0.9972691906649488 | [-0.6 -0.4] | -0.6575222230311446
-0.9233147765452372 | [-0.59 -0.41] | -0.6500927886948997
-0.621458368468075 | [-0.56 -0.44] | -0.6339312713364461
-0.12853748590644937 | [-0.51 -0.49] | -0.6219317098509576
0.4301385350186876 | [-0.46 -0.54] | -0.62673323817804
0.865036726269335 | [-0.41 -0.59] | -0.6458892295252638
0.9952434133425891 | [-0.4 -0.6] | -0.6618183407753844
0.7380566925081471 | [-0.43 -0.57] | -0.6626114921591756
0.1663685408136785 | [-0.48 -0.52] | -0.6567794483641658
-0.49582770340945015 | [-0.55 -0.45] | -0.6582612624787098
-0.9431712680727997 | [-0.59 -0.41] | -0.661066640032689
-0.9188313568704184 | [-0.59 -0.41] | -0.646767112293719
-0.3787505609309978 | [-0.54 -0.46] | -0.6241093785216134
0.4055358034790327 | [-0.46 -0.54] | -0.6280616342352878
0.948064864252689 | [-0.41 -0.59] | -0.6561617747654791
0.8660073659801611 | [-0.41 -0.59] | -0.6665274100549381
0.18314930070638621 | [-0.48 -0.52] | -0.6569120197984958
-0.6420333363223544 | [-0.56 -0.44] | -0.6572780009695496
-0.9994988447195047 | [-0.6 -0.4] | -0.6534804544443443
-0.5692979031526549 | [-0.56 -0.44] | -0.6280073589625823
0.3477319774310268 | [-0.47 -0.53] | -0.6283036666446407
0.9728844079778535 | [-0.4 -0.6] | -0.6613051081172429
0.7222505715046572 | [-0.43 -0.57] | -0.6654464486589929
-0.20184811867509692 | [-0.52 -0.48] | -0.6541656198128298
-0.9428505724417813 | [-0.59 -0.41] | -0.6557286094413244
-0.7571127382345896 | [-0.58 -0.42] | -0.6338729805631009
0.21651824296883593 | [-0.48 -0.52] | -0.6265451110008796
0.9676572478637149 | [-0.4 -0.6] | -0.6626467928926675
0.6557136185480934 | [-0.43 -0.57] | -0.6645782792438921
-0.3956240089937428 | [-0.54 -0.46] | -0.6529344842506823
-0.9996670212940684 | [-0.6 -0.4] | -0.6506272321455089
-0.42210779253360703 | [-0.54 -0.46] | -0.6246135956679885
