0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1
parameter ends

state | action | reward
[1.] | [-0.1 -0.1] | -0.34549624707765203
0.9962767066058216 | [-0.1 -0.1] | -0.3459254058052617
0.995184902260183 | [-0.1 -0.1] | -0.34656422903635165
0.9930813995936557 | [-0.1 -0.1] | -0.34730699154671796
0.9895422245400662 | [-0.1 -0.1] | -0.34801201235383167
0.9839917881225363 | [-0.1 -0.1] | -0.34850389588831393
0.9757179002641485 | [-0.1 -0.1] | -0.34857607392330286
0.9638890505681575 | [-0.1 -0.1] | -0.3479939290224503
0.9475749323743425 | [-0.1 -0.1] | -0.34649879252751253
0.925771204807334 | [-0.1 -0.1] | -0.34381310711503793
0.8974294250563843 | [-0.1 -0.1] | -0.3396470239513757
0.8614929338187736 | [-0.1 -0.1] | -0.333706665420191
0.816939233938749 | [-0.1 -0.1] | -0.32570422452882947
0.7628290598607836 | [-0.1 -0.1] | -0.3153699908079784
0.698361890414896 | [-0.1 -0.1] | -0.30246629176195844
0.6229371113084435 | [-0.1 -0.1] | -0.2868032259544234
0.5362193951326294 | [-0.1 -0.1] | -0.268255957233156
0.4382061533932158 | [-0.1 -0.1] | -0.24678328496154361
0.32929415566830894 | [-0.1 -0.1] | -0.22244732050732668
0.2103416464466009 | [-0.1 -0.1] | -0.19543472775604626
0.08272157448934314 | [-0.1 -0.1] | -0.16608227426126243
-0.051639050672404395 | [-0.1 -0.1] | -0.13491804124742665
-0.19023906767869975 | [-0.1 -0.1] | -0.10276866690489846
-0.33000785934628724 | [-0.1 -0.1] | -0.07123068676236312
-0.4673401210435409 | [-0.1 -0.1] | -0.04630120403329965
-0.5981653030885166 | [-0.1 -0.1] | -0.05128060421207802
-0.7180551306477276 | [-0.1 -0.1] | -0.0761120527209301
-0.8223708506162525 | [-0.1 -0.1] | -0.10133071515588368
-0.9064495418304392 | [-0.1 -0.1] | -0.12292623716417579
-0.9658259992427064 | [-0.1 -0.1] | -0.13919785935492263
-0.9964834708253018 | [-0.1 -0.1] | -0.14610759707177295
-0.9951234961545526 | [-0.1 -0.1] | -0.1480743181240362
-0.9594417098440119 | [-0.1 -0.1] | -0.150177824923232
-0.8883848300493925 | [-0.1 -0.1] | -0.15245243820365117
-0.7823819857750933 | [-0.1 -0.1] | -0.15449357597592783
-0.6435259553011148 | [-0.1 -0.1] | -0.15604281727899083
-0.4756818599462124 | [-0.1 -0.1] | -0.1569704163788036
