1.5, -0.5, -1.1, -3.6, -1.3, 2.8, 2.0, -4.8, 2.0, -1.0, 0.4, -1.8, -1.6, -3.8, 1.4, -6.5, -1.3, -6.1, -3.6, -1.5, 3.3, -4.7
parameter ends

state | action | reward
[1.] | [  2.67 -10.33] | -114.13396294911732
0.9996089566279814 | [-9.35  0.68] | -88.12149834342655
0.9999420549196673 | [ 0.86 -1.74] | -4.075204391802425
0.9990546797521079 | [-10.26  11.33] | -234.04102260086475
0.9975638992469723 | [1.73 0.64] | -3.7009477822415224
0.9954086959071325 | [ -1.12 -30.9 ] | -956.4722168425303
0.9926718667378194 | [-0.34 10.41] | -108.83970416512109
0.995680288091062 | [  7.46 -10.6 ] | -168.21330926504336
0.9958021278241768 | [-4.54  0.21] | -20.936295610800187
0.995942531782377 | [ 3.02 10.02] | -109.7501608725796
0.9960561779199846 | [  2.22 -31.15] | -975.5310373418404
0.9861357218406697 | [ -9.83 -19.84] | -490.5026419310417
0.9706663274645002 | [-9.06 21.77] | -556.3786771418427
0.9717445572853605 | [ 2.97 10.9 ] | -127.91104408386313
0.9727281316560665 | [  2.17 -30.29] | -922.34190129652
0.9526143352429547 | [ -9.89 -18.99] | -458.7198473837515
0.9277867601513128 | [-9.12 22.62] | -595.0881274610382
0.9304813705461942 | [ 2.93 11.74] | -146.70817911787967
0.9329905299500425 | [  2.13 -29.47] | -873.1044830149135
0.9045347939776639 | [ -9.94 -18.18] | -429.70196825473136
0.8721625957989693 | [-9.16 23.41] | -632.408902062964
0.8769334046266245 | [ 2.91 12.52] | -165.55885009197036
0.8814164410141888 | [  2.11 -28.7 ] | -828.478140466253
0.8462743072028045 | [ -9.97 -17.44] | -403.6255268294834
0.8079534140588075 | [-9.17 24.15] | -667.550088611575
0.8150778552209355 | [ 2.91 13.24] | -183.97431084032874
0.8218091601342613 | [  2.1 -28. ] | -788.6618893662131
0.7814198733022855 | [ -9.98 -16.75] | -380.4409715204913
0.7385191958625756 | [-9.17 24.81] | -699.9996905449775
0.7481293009129101 | [ 2.92 13.88] | -201.57712216642662
0.7572443448873324 | [  2.11 -27.36] | -753.5593514537502
0.7128318934145956 | [ -9.97 -16.13] | -359.9700381389718
0.6665018075885746 | [-9.15 25.4 ] | -729.4758630212473
0.678618833524853 | [ 2.95 14.46] | -218.10101415223926
0.6901468666088263 | [  2.14 -26.8 ] | -722.898157121532
0.6427336356210546 | [ -9.95 -15.58] | -341.97164846162707
0.5939243980659586 | [-9.11 25.93] | -755.87760592816
0.6084890467808289 | [ 3.   14.97] | -233.37978408320228
0.6223816437531272 | [  2.18 -26.29] | -696.312484234116
0.5728085982647084 | [ -9.91 -15.09] | -326.1837561664225
0.5222933724359222 | [-9.06 26.4 ] | -779.2389232754269
0.5391908797818127 | [ 3.05 15.42] | -247.33071292955356
0.5553456754178444 | [  2.23 -25.85] | -673.3977248474221
0.5042950867506482 | [ -9.86 -14.66] | -312.34810455130764
0.4526941835923442 | [-9.  26.8] | -799.688887163972
0.4717743431587622 | [ 3.12 15.81] | -259.93644778921106
0.49005402442697377 | [  2.3  -25.46] | -653.7450827545099
0.4380722627339302 | [ -9.79 -14.28] | -300.2235390541408
0.38587655995800596 | [-8.93 27.15] | -817.4186431478036
0.40696916369129615 | [ 3.2  16.15] | -271.22781492602587
Total reward: -22588.833305552278
