2.9, -4.9, 1.1, 0.9, -2.8, -0.3, 1.6, 1.3, 0.2, -5.4, 0.9, 1.6, 0.1, 0.2, 2.9, 3.5, -1.0, -0.9, -4.7, -3.0, 3.7, -1.0
parameter ends

state | action | reward
[1.] | [ 7.79 -4.73] | -83.21457531690821
0.9999997106521996 | [ -3.49 -17.87] | -331.95482164908674
0.9992221503643817 | [-15.42 -32.41] | -1288.2790922038337
0.9999985186066315 | [-26.93 -46.68] | -2904.5137261990194
0.9926683530126057 | [-38.07 -60.68] | -5131.34853426313
0.9500612642196774 | [-48.98 -74.29] | -7918.593053363386
0.8315845339163954 | [-59.9  -87.34] | -11216.638068374345
0.594482597184169 | [-71.07 -99.6 ] | -14971.08655567515
0.21709098806947608 | [ -82.52 -110.79] | -19085.301431499982
-0.26672391361104314 | [ -93.87 -120.71] | -23382.740093229782
-0.7368220039978961 | [-2.76 -6.41] | -48.761509626872225
-0.9932844978334455 | [10.03 12.67] | -261.04301351393593
-0.8786083166019579 | [20.14 26.2 ] | -1092.2583667942542
-0.5230873020269088 | [31.24 38.26] | -2439.8248363072926
-0.11726775166672491 | [42.93 49.87] | -4330.185242427484
0.2256660191466556 | [54.8  61.68] | -6806.886107197648
0.4677812568723129 | [66.62 73.94] | -9905.565942567579
0.6144258297740599 | [78.31 86.71] | -13651.276798316158
0.6845471629865911 | [89.81 99.87] | -18040.946382724313
0.6928390923556443 | [100.94 113.21] | -23005.771925333785
0.6423365563514813 | [111.37 126.42] | -28384.769354551318
0.5242379342850727 | [120.74 139.19] | -33951.641971170204
0.3237176838241914 | [128.81 151.39] | -39510.97460482684
0.03252290092700433 | [111.55 133.94] | -30381.64016057564
-0.33152415642211425 | [-4.16 -2.35] | -22.927432182505814
-0.644793545713576 | [-22.8  -23.18] | -1056.9873244488335
-0.8289444301431269 | [-33.82 -36.07] | -2445.513890576588
-0.9203680878744409 | [-44.23 -48.98] | -4356.034784324986
-0.9573953227598274 | [-54.25 -61.74] | -6754.863453936621
-0.964976033945157 | [-64.1  -74.32] | -9632.505119403104
-0.9499894026969659 | [-74.09 -86.92] | -13044.24926589144
-0.9014160059244807 | [-84.6 -99.9] | -17137.12527140255
-0.7934253400494534 | [ -95.81 -113.67] | -22098.928319751765
-0.5930527971282156 | [-107.35 -128.26] | -27974.93878937841
-0.2760377535408863 | [-118.11 -143.17] | -34449.138977569564
0.14729915637877822 | [-126.94 -157.52] | -40926.72886263587
0.6022616374238274 | [-133.71 -170.74] | -47028.976949098425
0.9371049587584935 | [ -7.84 -23.46] | -611.8814794188349
0.9612544520274533 | [16.54  3.6 ] | -286.75334024748076
0.6198387642490998 | [28.48 19.74] | -1200.9000261619208
0.13665172507020398 | [38.84 36.13] | -2813.5728322284363
-0.2999674203560636 | [48.38 51.91] | -5035.605232219982
-0.6118965737059817 | [57.81 66.86] | -7812.355308976023
-0.7992636658015135 | [67.62 81.17] | -11160.28215283441
-0.8953603116618234 | [78.08 95.17] | -15154.690519980966
-0.9355063852722488 | [ 89.24 109.1 ] | -19868.500617188372
-0.9421843186944026 | [100.82 122.87] | -25262.21718542576
-0.9203681053557253 | [112.15 135.97] | -31065.9710498924
-0.8577877834565609 | [122.39 147.71] | -36798.87270509257
-0.7286087916038564 | [131.24 157.75] | -42108.70835826187
Total reward: -724234.4454162376
