-3.7, -1.7, -0.8, 0.2, -5.3, 0.1, 2.7, 0.2, -0.8, -2.6, -1.2, 0.8, -3.0, 3.1, -0.2, -0.3, -2.3, -2.8, 4.2, -2.8, 2.4, -2.7
parameter ends

state | action | reward
[1.] | [-1.81 -5.26] | -31.214307662398415
0.9966112782008592 | [ 10.91 -16.3 ] | -384.84421325073623
0.9926889925619878 | [-0.59 -2.58] | -7.252533409261584
0.9898208685952304 | [ 6.74 -8.61] | -119.87659677064156
0.989113310419818 | [-5.08  4.96] | -50.65160785121298
0.9883548219146904 | [ 5.68 -8.65] | -107.37132756842689
0.9876260874781243 | [-5.71  4.91] | -56.917885846368975
0.9868451694806247 | [ 5.5  -8.72] | -106.3386013946776
0.9860982110073104 | [-5.48  4.83] | -53.44876107689849
0.9852983822714484 | [ 6.11 -8.82] | -115.20733883072906
0.9845370089658746 | [-4.54  4.71] | -42.95858380368856
0.9837226278688693 | [ 7.29 -8.95] | -133.35581958525233
0.9829513864867352 | [-3.21  4.57] | -31.273597394828425
0.9821273638731703 | [ 8.7  -9.11] | -158.79281740868902
0.9813511519202266 | [-2.35  3.59] | -18.542631606507893
0.9805238557973952 | [  7.55 -12.24] | -206.97416781765443
0.9797494184757612 | [-4.73 -0.09] | -22.534408526402128
0.9789219438101003 | [  7.23 -12.35] | -204.9512993161596
0.9781496896317968 | [-4.62  0.37] | -21.60803293790564
0.9773236035497858 | [  7.01 -12.45] | -204.07781413180632
0.976555769696048 | [-4.19  1.16] | -19.026290269095163
0.9757331370866 | [  7.01 -12.42] | -203.47737741622225
0.9749718913385474 | [-4.18  1.19] | -19.04044034227996
0.9741548856480229 | [  7.02 -12.39] | -202.9011013526338
0.9734019724071902 | [-4.18  1.22] | -19.054664980446702
0.9725922983854987 | [  7.02 -12.37] | -202.34812855423664
0.9718492364317994 | [-4.17  1.24] | -19.068942531992946
0.9710483808938869 | [  7.03 -12.34] | -201.81749309951854
0.9703164845333182 | [-4.17  1.27] | -19.083250343323375
0.9695257367249838 | [  7.03 -12.32] | -201.30827073776112
0.968806135161563 | [-4.16  1.29] | -19.097565299167957
0.9680266054163315 | [  7.04 -12.29] | -200.81957697861867
0.9673202604872704 | [-4.16  1.31] | -19.111864265366137
0.9665528973082804 | [  7.04 -12.27] | -200.3505652780355
0.9658606197115206 | [-4.15  1.33] | -19.126124447544296
0.9651062254028148 | [  7.05 -12.25] | -199.90042531467685
0.96442868953672 | [-4.15  1.35] | -19.140323677533615
0.96368793449929 | [  7.05 -12.23] | -199.46838135155204
0.9630256920255055 | [-4.14  1.37] | -19.154440637951623
0.9622991278249523 | [  7.06 -12.21] | -199.05369067794777
0.9616526200571928 | [-4.14  1.39] | -19.16845503409674
0.9609406913618939 | [  7.06 -12.19] | -198.65564212716382
0.9603102605756988 | [-4.13  1.41] | -19.182347721163993
0.9596133160569187 | [  7.07 -12.17] | -198.2735546658841
0.9589992158081941 | [-4.13  1.43] | -19.19610079377373
0.9583175180866143 | [  7.07 -12.16] | -197.90677605130438
0.957719922620047 | [-4.12  1.45] | -19.209697643902512
0.9570536573366987 | [  7.08 -12.14] | -197.55468155240595
0.9564726701588602 | [-4.12  1.46] | -19.22312299250252
0.9558219542424079 | [  7.08 -12.12] | -197.2166727319948
Total reward: -5366.128315060342
