1.0, -1.6, 3.0, -0.2, -1.7, 4.6, -2.6, -0.6, 4.8, -2.8, -0.2, 5.7, 1.7, -2.5, -1.1, -0.7, 5.4, 5.4, -1.8, -0.8, 4.7, -2.1
parameter ends

state | action | reward
[1.] | [ 9.89 -2.35] | -103.6002214673465
0.9972460152349553 | [21.   -9.26] | -527.1912766011225
0.9815657551192783 | [ 31.91 -15.63] | -1262.2849272570572
0.9259720707748019 | [ 42.48 -21.44] | -2264.3551231833817
0.7915979477261419 | [ 52.54 -26.78] | -3477.62418041174
0.5391449799475173 | [ 61.87 -31.85] | -4842.498856868547
0.15245346813558552 | [ 70.33 -37.06] | -6320.2261175907415
-0.3280943112944124 | [ 78.02 -42.99] | -7935.136957378776
-0.7778272577711232 | [ 85.41 -50.22] | -9816.762432492871
-0.9985164808880864 | [ 86.91 -63.06] | -11530.665783333843
-0.8035957993450787 | [ 63.13 -93.96] | -12814.596878478498
-0.17494811579437905 | [  66.11 -107.37] | -15898.870263812934
0.6018354495608982 | [  73.31 -114.96] | -18589.494785510728
0.9991827714860111 | [  79.29 -118.94] | -20434.760112582033
0.6170496834093873 | [  83.73 -121.5 ] | -21773.207948012896
-0.3350922538845217 | [  88.13 -126.39] | -23742.617740606078
-0.9867210958090874 | [  93.97 -136.17] | -27372.264288803795
-0.5727964859813824 | [ 100.94 -148.57] | -32263.585692352604
0.5405150823838399 | [ 106.9  -157.52] | -36239.37141774872
0.972041617938407 | [ 110.32 -160.07] | -37792.288407531145
0.04229174271750247 | [ 112.79 -161.73] | -38878.941789844626
-0.9642993052659106 | [ 117.5  -170.16] | -42760.482797336605
-0.42699057429725656 | [ 124.32 -183.02] | -48953.87155812847
0.8457668044460129 | [ 129.31 -189.74] | -52723.73054918649
0.5923175733759015 | [ 131.17 -189.3 ] | -53038.39406978261
-0.7926995727786413 | [ 134.29 -194.08] | -55699.659070486356
-0.5880886781099299 | [ 140.85 -207.07] | -62714.10761122025
0.8502908368551884 | [ 145.8  -213.98] | -67046.44805105915
0.4197848378755562 | [ 147.01 -212.32] | -66691.74287485893
-0.9647077352767699 | [ 150.53 -218.73] | -70502.930700224
-0.05490624097805112 | [ 157.21 -231.68] | -78390.88024866725
0.9799673404468023 | [ 160.   -233.19] | -79977.7477939524
-0.4785161753373853 | [ 161.1  -232.95] | -80218.97054201801
-0.6677533326590168 | [ 167.07 -245.46] | -88164.81535757122
0.9396483475632187 | [ 171.48 -251.32] | -92568.79152435705
-0.07325733559298961 | [ 171.75 -248.4 ] | -91202.05361041409
-0.8599798852357207 | [ 176.74 -259.1 ] | -98369.66918069437
0.8607531790163745 | [ 181.7  -266.73] | -104158.30314003704
-0.005300074018071411 | [ 181.64 -262.96] | -102142.38373334636
-0.8353313985647273 | [ 186.46 -273.5 ] | -109569.50058642022
0.9303965655129873 | [ 190.98 -280.07] | -114911.9476708611
-0.27065613217190626 | [ 190.7  -276.32] | -112718.85706836381
-0.5745959324218091 | [ 196.22 -288.53] | -121754.39739839107
0.994276966083558 | [ 199.18 -291.03] | -124375.09287777766
-0.7578671933881613 | [ 199.44 -289.8 ] | -123760.89073620885
0.07535276709766167 | [ 205.69 -303.  ] | -134120.90727711536
0.626195276340362 | [ 206.12 -299.6 ] | -132246.12613170364
-0.9849128832983497 | [ 208.76 -305.37] | -136832.82350662336
0.8702783444469202 | [ 213.71 -313.78] | -144128.81330070746
-0.3870622905789215 | [ 212.79 -308.88] | -140686.088561162
Total reward: -3064310.772730544
