-1.2, -2.0, 4.7, 4.7, 3.0, 3.9, -1.3, -0.2, -2.8, -6.1, 2.4, -1.0, -0.8, 0.2, 1.2, 5.1, 3.9, 5.6, 3.8, -4.4, -2.6, 2.4
parameter ends

state | action | reward
[1.] | [2.22 5.87] | -39.70474516622548
0.9948682558111758 | [ 3.9  26.91] | -739.772894323625
0.9760465556168466 | [ 5.66 47.62] | -2299.8100239903283
0.9155042367267638 | [ 7.33 67.85] | -4658.3767368465815
0.7750427666014561 | [ 8.62 87.46] | -7723.562241848257
0.5167111170210538 | [  9.18 106.32] | -11389.417487495293
0.12649101981891261 | [  8.89 124.47] | -15572.525961469863
-0.35262575652006833 | [  8.06 141.93] | -20208.849018281948
-0.7939380050013745 | [  7.43 158.47] | -25168.114670503848
-0.9995975023825293 | [-6.89e-02  1.41e+02] | -20007.819316621957
-0.813215057152431 | [-36.03 -10.03] | -1399.0925270840814
-0.34801542766199745 | [-40.17 -38.66] | -3108.5416445849282
0.14726091545991982 | [-42.04 -60.1 ] | -5379.742067847969
0.5327909542006521 | [-42.89 -79.91] | -8224.981484778815
0.7761897855268854 | [-42.8  -98.25] | -11485.216749098669
0.9042645249762956 | [ -41.82 -115.28] | -15037.942367968213
0.9599392457130114 | [ -40.06 -131.21] | -18820.340943348972
0.9782199762076628 | [ -38.   -146.56] | -22923.195173372314
0.9770378785168072 | [ -36.64 -162.34] | -27697.392681780035
0.95554786836751 | [ -37.27 -179.91] | -33755.78498118844
0.8954595944133992 | [ -40.62 -200.13] | -41701.83785223643
0.7651813070410368 | [ -45.81 -222.1 ] | -51428.787119182816
0.5299241675244423 | [ -50.21 -242.57] | -61359.90121188056
0.17177052155803066 | [  2.31 -30.13] | -913.4311173265847
-0.203896525567444 | [ 8.89 12.28] | -229.9866668493008
-0.4764642149122615 | [10.87 33.79] | -1259.7709848438542
-0.6464829283870404 | [13.   54.84] | -3177.1003220533894
-0.7352466217793843 | [15.33 75.52] | -5938.755880400409
-0.7627050241018068 | [17.91 96.01] | -9538.204426398544
-0.7372411769475331 | [ 20.68 116.48] | -13995.861871805999
-0.6534573757356544 | [ 23.39 136.97] | -19309.10977113191
-0.49565291129733224 | [ 25.54 157.17] | -25354.636973317894
-0.24725601829389815 | [ 26.61 176.23] | -31765.399633776982
0.09251531241939207 | [ 26.23 192.97] | -37923.97647385482
0.4860767661737888 | [ 24.53 206.84] | -43386.6478287169
0.8380702341571035 | [ 22.67 219.69] | -48776.684167385174
0.9997774840282004 | [ 13.66 194.57] | -38042.653547092246
0.8235838110448573 | [-32.9    2.08] | -1086.7248903657187
0.3486640225251692 | [-33.66 -22.11] | -1622.2284687769136
-0.16338190975903555 | [-34.14 -41.54] | -2891.230898064968
-0.5604182313736146 | [-35.33 -61.4 ] | -5018.835026322902
-0.8063426137287686 | [-36.62 -81.04] | -7909.048340914994
-0.930220673606937 | [-37.41 -99.87] | -11372.803554649154
-0.9794732314426481 | [ -37.27 -117.59] | -15217.606784670672
-0.9936573188697158 | [ -36.16 -134.37] | -19364.088437974246
-0.9946723860524175 | [ -34.49 -150.83] | -23940.081824732533
-0.9850578649276517 | [ -33.2  -167.84] | -29272.9610634797
-0.94903969516323 | [ -33.49 -186.01] | -35722.76586432284
-0.8554031681837488 | [ -36.11 -205.19] | -43406.38595272621
-0.6650390980214745 | [ -40.46 -224.36] | -51974.12047409548
Total reward: -938541.8111469502
