2.3, 0.4, 0.3, 2.6, -5.3, 3.1, -1.9, -2.3, 1.8, -1.1, -0.3, -2.1, -2.2, 0.3, -3.7, -2.7, 9.3, 1.6, -0.7, -0.6, -4.2, -1.5
parameter ends

state | action | reward
[1.] | [0.29 2.31] | -5.69394742250587
0.994085437575758 | [-17.02  -8.11] | -355.80084585244197
0.9958021548180694 | [6.68 1.45] | -46.97369983012848
0.9971807523247477 | [-16.78  -8.19] | -349.02953577120195
0.99828236927346 | [6.91 1.36] | -49.89607771479848
0.9990875925460828 | [-16.56  -8.29] | -343.03269438257007
0.9996389110295905 | [7.13 1.26] | -52.7280836748716
0.9999326712867047 | [-16.34  -8.39] | -337.7037178132233
0.999993423737875 | [7.34 1.15] | -55.48337567077108
0.9998326930438538 | [-16.14  -8.5 ] | -332.9503808365882
0.9994577990416088 | [7.54 1.04] | -58.17374603836376
0.9988948744815732 | [-15.95  -8.61] | -328.6927313381909
0.9981347080170189 | [7.72 0.93] | -60.80900070765921
0.9972175583848221 | [-14.76  -7.98] | -281.94866251440413
0.9961184067028862 | [8.9  1.56] | -81.87610238813012
0.9948908703729031 | [-14.6   -8.09] | -278.9703428751302
0.9934947233349256 | [9.05 1.45] | -84.34984772362301
0.9919966200939193 | [-14.45  -8.19] | -276.2594314319353
0.9903418224528532 | [9.2  1.35] | -86.76477754105814
0.9886094430709164 | [-14.31  -8.3 ] | -273.7845685057034
0.9867308676085279 | [9.34 1.25] | -89.12357547574445
0.9847971666154713 | [-14.17  -8.39] | -271.5181411729261
0.9827264652974723 | [9.48 1.15] | -91.42824863075718
0.9806213072549745 | [-14.04  -8.49] | -269.4358457637844
0.9783871517786522 | [9.61 1.06] | -93.68026209283809
0.9761375462757359 | [-13.91  -8.59] | -267.51631490312235
0.9737658569961751 | [9.73 0.96] | -95.8807025832806
0.971396294146604 | [-13.26  -8.29] | -244.83419422972503
0.9689106915171594 | [10.37  1.27] | -109.47429368598203
0.9664431396390373 | [-13.16  -8.37] | -243.38618943239277
0.9638644562901125 | [10.48  1.19] | -111.45178981833988
0.9613185308233714 | [-13.05  -8.45] | -242.0460566631298
0.9586656778207184 | [10.58  1.11] | -113.3716107870983
0.956059067492047 | [-12.96  -8.52] | -240.80290738509171
0.953348996891094 | [10.67  1.03] | -115.23461027133112
0.9506975253804838 | [-12.86  -8.6 ] | -239.64706721153843
0.9479453970684155 | [10.76  0.96] | -117.04170046580283
0.9452633295205246 | [-12.24  -8.27] | -218.35830308955283
0.942482964313803 | [11.38  1.29] | -131.55291074227844
0.9397828660118815 | [-12.16  -8.33] | -217.5435275706904
0.9369859955320141 | [11.46  1.24] | -133.07597431635116
0.9342788639067053 | [-12.09  -8.39] | -216.79021554903662
0.9314761542900185 | [11.53  1.18] | -134.54158261437155
0.9287718441558831 | [-12.02  -8.45] | -216.09280182071146
0.9259727246900836 | [11.59  1.12] | -135.95143856836336
0.923279919612687 | [-11.96  -8.5 ] | -215.4462760233989
0.9204926958932129 | [11.66  1.07] | -137.30725139901412
0.9178190164824451 | [-11.89  -8.55] | -214.84611798655916
0.9150509745393213 | [11.72  1.02] | -138.6107292973351
0.9124030779994631 | [-11.84  -8.6 ] | -214.28824937748294
Total reward: -9021.200458961332
