-3.3, 0.4, -1.1, -0.2, -3.7, 0.4, -1.0, 4.1, -4.9, 0.7, 5.6, -4.2, 0.2, -5.0, 0.6, -6.0, 2.0, 2.8, -1.3, 1.9, 1.0, 1.8
parameter ends

state | action | reward
[1.] | [-2.14  2.97] | -13.80509561375472
0.9998888276935604 | [-0.45 -0.87] | -1.3525239851865214
0.9938289109512707 | [-2.56 28.89] | -841.6635193431825
0.9656457118763513 | [-0.33 24.47] | -599.2015771131524
0.8941145314046585 | [2.6  7.26] | -59.76476423284969
0.8048548263652868 | [  6.4  -35.66] | -1312.886054135504
0.7492390915583907 | [  5.05 -30.19] | -937.4437741793961
0.7441735401865274 | [  3.38 -25.1 ] | -641.9120438668202
0.7901074239447039 | [  1.38 -20.32] | -415.2905157544795
0.872553111553178 | [ -0.97 -15.83] | -251.9997728150742
0.9348252085866022 | [-4.79 27.24] | -765.5134755877281
0.956342304677429 | [-3.38 22.42] | -514.6167933612944
0.9521538349036982 | [-1.66 17.92] | -324.43379853860097
0.9197038016064644 | [ 0.36 13.76] | -189.74307405102437
0.8679313032748718 | [  3.51 -16.9 ] | -298.23480086511427
0.8364738740240791 | [  2.11 -12.12] | -151.72425769056454
0.8473387164336855 | [ 0.38 -7.65] | -59.06042726705641
0.884366253727293 | [-2.07  8.82] | -82.38417651958207
0.9057047895072242 | [-0.68  4.66] | -22.574209566197716
0.8973333504265593 | [ 1.25 -5.59] | -33.16693062539443
0.8946939753229282 | [-0.35 -1.27] | -2.124440274002888
0.903294459876686 | [-3.09 29.45] | -876.9944772606647
0.888034328577112 | [-1.27 24.8 ] | -617.1133133035679
0.830634284248531 | [ 0.88 20.46] | -419.5570856498814
0.7612597379994284 | [  4.5  -20.77] | -452.00698253668196
0.7359300566330084 | [  3.02 -15.95] | -264.0444667360008
0.7635125913700181 | [  1.18 -11.41] | -131.9363476873289
0.835344117874801 | [-1.02 -7.11] | -51.94421982383933
0.8939882361736009 | [-4.75 36.39] | -1346.8718703841591
0.9095208627749717 | [-3.22 31.4 ] | -996.5654386621904
0.8904033971263106 | [-1.35 26.7 ] | -715.1102910036446
0.8282907825260446 | [ 0.86 22.31] | -498.80519305231616
0.7518121657704359 | [  4.5  -18.42] | -359.92711128898424
0.7183904822611601 | [  3.07 -13.65] | -196.07813916392408
0.7394778035031604 | [ 1.29 -9.15] | -85.83660991846564
