-3.1, 0.7, -1.3, 0.2, -3.5, 0.2, -1.2, 3.7, -4.8, 0.6, 5.9, -4.3, -0.5, -4.9, 0.8, -6.3, 1.7, 2.4, -1.6, 1.9, 0.9, 2.1
parameter ends

state | action | reward
[1.] | [-4.31  4.09] | -35.47156944905686
0.999935300513684 | [ 0.94 -1.34] | -2.8406573799858466
0.9986218542076872 | [-4.07  5.67] | -48.844190096190346
0.9954378666996389 | [1.21 0.19] | -1.6397035432760385
0.9905601624399281 | [ -0.18 -23.61] | -557.8213310434412
0.989305892550213 | [-3.08  5.57] | -40.61461958767767
0.9796889133368538 | [2.25 0.13] | -5.228475808187415
0.9673949092545597 | [  0.74 -22.12] | -490.1417883932218
0.9712186854847189 | [ -4.08 -10.7 ] | -131.38156863706192
0.9723075051777801 | [-5.27 33.86] | -1174.2415566863203
0.9521862319370932 | [ 0.27 27.6 ] | -762.0000250057869
0.9161046860779941 | [ 3.28 -2.81] | -18.781681455498937
0.8949659993909899 | [-1.78  3.05] | -12.589192432689737
0.8719537667300327 | [ 3.56 -2.34] | -18.301298174813184
0.847490302675732 | [-1.49  3.49] | -14.509198832813146
0.8214701243599073 | [ 3.86 -1.93] | -18.74139149542204
0.7943445154557346 | [-1.18  3.88] | -16.56138883218103
0.7659506064719855 | [ 4.17 -1.56] | -19.941663178067
0.7367637394535679 | [-0.87  4.22] | -18.682316336801943
0.7101488786379576 | [ 4.21 -3.71] | -31.58621790043887
0.6868997907170579 | [-0.88  2.11] | -5.309825849697895
0.6667947809940299 | [ 4.17 -5.66] | -49.502292139340504
0.6504357363066128 | [-0.95  0.2 ] | -1.0448307069818978
0.6353484544103003 | [ 1.66 13.91] | -196.2162554224336
0.6219709861547817 | [  2.91 -30.49] | -938.3812765821716
0.6694984385848767 | [ -2.57 -24.06] | -585.6627196186198
0.7133976214727946 | [-4.03 20.91] | -453.4136642386831
0.6995698863163906 | [ 1.26 15.02] | -227.22509615719494
0.6859334381973112 | [  2.53 -29.42] | -872.0746993370974
0.7287471691116834 | [ -2.95 -23.03] | -539.3893825671482
0.7679616822094653 | [-4.41 21.92] | -499.8178991509912
0.7542452305076195 | [ 0.89 16.02] | -257.4317705800386
0.7376522981968139 | [  2.41 -26.3 ] | -697.6131458376893
0.7706770828452737 | [ -3.01 -20.  ] | -409.3745746110331
0.8010090056866767 | [-4.43 24.88] | -638.7932438962238
0.7820454606018381 | [ 0.91 18.92] | -359.0663681032778
0.7605596693825483 | [  2.44 -23.88] | -576.4641794093211
0.787447058928485 | [ -2.95 -17.66] | -320.67598267912774
0.8122801210564647 | [-4.33 27.18] | -757.6038130483755
0.7891856938120096 | [ 1.04 21.18] | -449.7123115459009
0.7655673106997839 | [  2.41 -23.44] | -555.4288194283639
0.7921067700842243 | [ -2.98 -17.24] | -306.2531109815995
0.8166013500614827 | [-4.36 27.59] | -780.6358400068607
0.7936473264401458 | [ 1.01 21.59] | -467.39305018747217
0.7701505837689285 | [  2.38 -23.05] | -536.9665510059863
0.7963689649955871 | [ -3.   -16.87] | -293.64211091281857
0.8205513465618481 | [-4.39 27.97] | -801.5116713423413
0.7977296201841787 | [ 0.98 21.96] | -483.5312313782785
0.7738588249037771 | [  2.4  -22.32] | -503.96963312368507
0.7988906639322901 | [ -2.97 -16.17] | -270.25476511719626
[1.] | [-2.68  3.19] | -17.60977200865779
0.998951434387614 | [ 2.56 -2.24] | -11.811569505821847
0.9999743278305346 | [-2.6   3.56] | -19.662209769459
0.9995205710432054 | [ 2.66 -1.88] | -10.842563089604882
0.9976833999676644 | [-2.49  3.91] | -21.711554630169847
0.9945214338718418 | [ 2.77 -1.55] | -10.33516838464219
0.9901630433986219 | [-2.36  4.23] | -23.74388565311417
0.9846233010339732 | [ 2.91 -1.23] | -10.233451975740612
0.9780632859273167 | [-2.22  4.54] | -25.7480260637859
0.9704558555575418 | [ 3.06 -0.94] | -10.485547092490725
0.9619922833719321 | [-1.87  3.32] | -14.805221944670159
0.9526047746153594 | [ 3.4  -2.12] | -16.28607246593366
0.9425134281830444 | [-1.73  3.67] | -16.714368361824157
0.9316118001931393 | [ 3.55 -1.78] | -16.03894819827125
0.9201461156874421 | [-1.57  3.99] | -18.67352662780084
0.9079732075864164 | [ 3.71 -1.47] | -16.1966327385238
0.8953637990552886 | [-1.4   4.29] | -20.656175834340782
0.8821400954752109 | [ 3.88 -1.18] | -16.69904886089894
0.8685955777517838 | [-1.24  4.57] | -22.63983432204845
0.8545199615297385 | [ 4.05 -0.92] | -17.491692073390855
0.8402272741935981 | [-0.82  2.87] | -9.179680516465305
0.8295401401915774 | [ 4.07 -6.1 ] | -53.94436850209095
0.8230171977627346 | [-1.11 -0.23] | -1.5449421016807583
0.816373372866434 | [ 0.21 24.94] | -622.537199249037
0.7911512075641823 | [ 3.16 -4.48] | -30.321114180746537
0.795086337643752 | [-2.08  1.32] | -6.327004268758067
0.7987528590096229 | [ 3.08 -4.11] | -26.641542469185676
0.8024758142825709 | [-2.16  1.68] | -7.7398720199823465
0.8059390404418624 | [ 3.   -3.77] | -23.410885471024578
0.8094622064101403 | [-2.24  2.02] | -9.32936237697362
0.812734072136856 | [ 2.92 -3.43] | -20.580801010257893
0.8160691012210811 | [-2.31  2.34] | -11.062803373909599
0.8191608291559623 | [ 2.85 -3.12] | -18.107966623310997
0.8223186801701142 | [-2.38  2.65] | -12.911590446919247
0.8252408198064511 | [ 2.79 -2.82] | -15.953505052372257
0.8282317961236 | [-2.44  2.94] | -14.850748695358423
0.8309942614034042 | [ 2.73 -2.53] | -14.082557964757129
