-0.6, 3.8, -2.1, 4.9, -1.9, 1.0, -0.0, 3.3, 6.0, -5.3, -6.0, 1.1, 1.9, -5.2, 1.6, 5.0, 2.4, -0.3, -0.7, 0.6, 1.4, -1.5
parameter ends

state | action | reward
[1.] | [-0.51  6.23] | -39.17199369603962
0.99972878018389 | [ 2.06 36.56] | -1341.2352105329667
0.9997280984203352 | [15.87 35.53] | -1514.365488794028
0.9984470309007637 | [29.3  34.66] | -2060.267723309446
0.9775424071042474 | [42.44 33.62] | -2931.337756087442
0.9026318664959668 | [55.39 31.89] | -4084.9251623839214
0.7302264320099706 | [68.33 28.87] | -5502.815814554788
0.4243999110374298 | [81.45 24.18] | -7218.734459094969
-0.013825615134409485 | [94.8  18.03] | -9313.119191104252
-0.5109612815820351 | [ 98.5 -18.2] | -10034.053370655158
-0.9034009471032728 | [  61.29 -178.3 ] | -35548.389207909975
-0.9768396264448401 | [  60.89 -221.41] | -52731.2467442092
-0.5893192367066562 | [  61.86 -256.19] | -69461.55534092715
0.1588693594452644 | [  61.74 -287.99] | -86752.95364172113
0.8483289172856371 | [  60.19 -318.06] | -104784.07113741027
0.9367685000814899 | [  57.77 -348.69] | -124918.6624245543
0.2346452791552556 | [  55.9  -381.62] | -148759.1661809603
-0.7168342298040119 | [  55.8  -416.21] | -176345.2824637646
-0.9482720087781189 | [  57.14 -449.65] | -205447.67536239096
-0.09561359409232696 | [  58.14 -480.27] | -234039.39587626074
0.8968654322074247 | [  57.66 -510.61] | -264052.90769212286
0.6926153161691655 | [  57.22 -544.74] | -300015.6266443199
-0.5254120342410499 | [  59.05 -580.89] | -340922.85714658874
-0.938000011140403 | [ 112.05 -454.39] | -219023.74972418067
0.2053590821411162 | [ 152.62 -354.09] | -148670.45506527837
0.9938791065335331 | [ 155.84 -360.53] | -154270.43607453967
-0.06452127666290774 | [ 155.53 -389.47] | -175877.01097305177
-0.9977272739397011 | [ 159.62 -416.54] | -198982.2965317632
0.11805215832038868 | [ 163.43 -431.09] | -212545.46773050676
0.976697642281439 | [ 164.22 -441.47] | -221865.31369744547
-0.3526725160558795 | [ 167.64 -458.94] | -238725.38207747586
-0.8526374525523175 | [ 174.73 -474.48] | -255661.15663737227
0.7057508446201847 | [ 178.22 -480.41] | -262550.42644353304
0.4883106256740635 | [ 179.47 -490.95] | -273244.41851211037
-0.9819305970556514 | [ 185.63 -508.22] | -292742.21767263213
0.17029861389046352 | [ 191.03 -515.77] | -302515.80116198893
0.8399598145227397 | [ 191.63 -522.26] | -309482.2987926327
-0.850093898788203 | [ 196.46 -539.02] | -329143.7107524163
-0.07266456849556303 | [ 202.52 -547.71] | -340996.5336210053
0.9014345044962321 | [ 202.89 -552.52] | -346442.1460943629
-0.8446782696936449 | [ 207.32 -568.77] | -366479.8901050398
0.030440050779484893 | [ 213.12 -576.5 ] | -377775.59095308254
0.7887479462649979 | [ 213.07 -581.37] | -383394.5407309375
-0.9709560736238023 | [ 218.19 -597.58] | -404710.4526020801
0.4443498162866347 | [ 222.72 -602.31] | -412385.1493511534
0.3654415462708513 | [ 222.59 -609.61] | -421164.79680982605
-0.9227470220023082 | [ 228.97 -624.42] | -442332.2242341922
0.9314049401193607 | [ 230.89 -625.82] | -444965.3117749899
-0.44597553230048487 | [ 232.42 -638.09] | -461179.8102946831
-0.23980313548218257 | [ 238.73 -647.28] | -475964.4713664371
[1.] | [-0.62  7.23] | -52.810893732666734
0.9929045621355995 | [ 1.11 39.86] | -1590.2351718036534
0.991801754016759 | [14.98 38.71] | -1722.818917219876
0.9983293882077489 | [28.49 37.71] | -2233.3875761604877
0.9959325469250477 | [41.69 36.53] | -3072.75652892245
0.9509627777795449 | [54.7  34.67] | -4194.6151231910835
0.817669611527615 | [67.64 31.59] | -5573.684225897918
0.5522329373423341 | [80.67 26.92] | -7232.836211929487
0.14033734801042907 | [93.83 20.91] | -9241.93655784001
-0.36527651014940976 | [ 96.63 -17.1 ] | -9630.182855263798
-0.8178450254448485 | [  57.12 -184.02] | -37127.52919888915
-0.9992702874561368 | [  57.02 -226.65] | -54621.70646212543
-0.7276967557238149 | [  58.23 -261.71] | -71884.38417339874
-0.032353845143901494 | [  58.45 -293.59] | -89611.55322411533
0.7269641610161678 | [  57.16 -323.23] | -107745.06074907594
0.9885169486699834 | [  54.72 -352.94] | -127563.04824748282
0.4344697801118972 | [  52.48 -385.01] | -150986.98254555537
-0.5480362686063623 | [  51.98 -419.59] | -178754.90650937767
-0.9952687908733593 | [  53.37 -454.18] | -209124.2700903559
-0.3219916652665663 | [  55.06 -486.26] | -239481.0692071539
0.7671554804479511 | [  55.39 -516.85] | -270205.3711833158
0.8464861086039149 | [  55.   -549.48] | -304953.866641568
-0.2984370504277334 | [  56.07 -583.75] | -343912.89080793405
-0.9952018903647614 | [ 131.35 -388.05] | -167840.45609210106
-0.05485741093074883 | [ 150.02 -359.5 ] | -151745.25489697928
0.9877557293240105 | [ 151.3  -372.12] | -161364.7021501148
0.20680636866506022 | [ 151.73 -395.3 ] | -179285.3183300053
-0.9778507375671022 | [ 156.74 -418.84] | -199992.7404777727
-0.16452688204647042 | [ 162.04 -432.33] | -213169.2057704866
0.9973723910808374 | [ 163.6  -440.62] | -220910.4612096727
-0.06646368504727251 | [ 166.41 -456.16] | -235774.34210924894
-0.96869660727277 | [ 173.44 -472.78] | -253602.67484214573
0.4614848891174615 | [ 177.9  -479.55] | -261614.84227702086
0.7303068375290891 | [ 178.9  -488.24] | -270381.754733113
-0.8757946765064266 | [ 184.26 -505.54] | -289525.38757578813
-0.146283236653947 | [ 190.48 -515.01] | -301523.5702419365
0.9686346888750245 | [ 191.36 -520.12] | -307146.29941255524
-0.6359676851488038 | [ 195.15 -536.04] | -325426.9470724305
-0.3930786406169572 | [ 201.85 -546.94] | -339890.93318487745
0.9937105010071299 | [ 202.72 -550.61] | -344263.44592174655
-0.618064091432668 | [ 206.01 -565.8 ] | -362574.11210136535
-0.3082331552513511 | [ 212.54 -575.9 ] | -376838.34918056265
0.9510334081176856 | [ 212.85 -579.24] | -380830.1837664083
-0.8290847762013707 | [ 216.83 -594.93] | -400957.6466112156
0.10467462622879639 | [ 222.44 -601.92] | -411790.8306845525
0.6694498323989686 | [ 222.09 -606.88] | -417628.87552892196
-0.9994692275569595 | [ 227.71 -622.63] | -439515.2024996145
0.7389816951479586 | [ 230.93 -625.14] | -444132.3053404285
-0.09187875789723109 | [ 231.37 -634.95] | -456693.3002124173
-0.5776992049408196 | [ 238.01 -646.73] | -474907.0079153692
[1.] | [-0.77  6.92] | -48.757913081670594
0.9930745962972933 | [-0.15 42.63] | -1817.932394270442
0.9831338119219938 | [ 5.17 65.12] | -4267.431396334799
0.976957897950897 | [19.03 63.61] | -4408.891562327685
0.9861638557495271 | [32.58 62.12] | -4920.012451972327
0.9992062625722904 | [45.9  60.21] | -5732.687567933435
0.98666386101019 | [59.06 57.39] | -6781.226384895121
0.9038829953554406 | [72.1  53.21] | -8029.679310578209
0.7007591845415301 | [85.02 47.69] | -9502.96460730393
0.3446278370916236 | [97.69 41.59] | -11273.73283220446
-0.14308601872236515 | [  52.41 -142.63] | -23090.843128989938
-0.6505902004744033 | [  49.44 -194.44] | -40249.27698261367
-0.9737459694232118 | [  50.88 -232.35] | -56574.69906199167
-0.8916668867619193 | [  52.31 -267.69] | -74392.73715760738
-0.32997003142958 | [  52.92 -299.7 ] | -92619.25172253509
0.4727872155261677 | [  52.03 -328.9 ] | -110883.95872793953
0.9825745611501955 | [  49.66 -357.54] | -130302.53192123966
0.7208186634246078 | [  47.04 -388.61] | -153229.23101292466
-0.20644421004231983 | [  46.02 -423.56] | -181521.23393328887
-0.9579802596627747 | [  47.56 -460.53] | -214352.64529613772
-0.6682136750947711 | [  50.45 -495.57] | -248130.4744551662
0.43954956416026275 | [  52.21 -526.61] | -280044.707100483
0.9919266622206152 | [  51.85 -555.7 ] | -311486.7064606188
0.14551264729507 | [ 100.8 -430.9] | -195834.12286477647
-0.9338798087061118 | [ 142.75 -339.68] | -135759.65827515087
-0.5080177163629815 | [ 151.07 -349.28] | -144817.01212364555
0.7968839192737125 | [ 150.78 -369.52] | -159279.81625042934
0.6549323134406193 | [ 150.08 -391.15] | -175520.34811008503
-0.7450885659550915 | [ 154.07 -414.58] | -195612.5670140152
-0.6425028443299782 | [ 160.39 -430.7 ] | -211227.60731673613
0.8150712325734534 | [ 163.23 -438.42] | -218851.6737569714
0.4720545645118008 | [ 164.93 -450.78] | -230405.8332776905
-0.9493273673805452 | [ 171.06 -468.7 ] | -248946.59244806215
-0.10292691427069113 | [ 177.15 -478.39] | -260239.44510012466
0.9876554594651241 | [ 178.45 -484.43] | -266516.3714084801
-0.444506238699157 | [ 181.99 -500.2 ] | -283317.7482930738
-0.6923608872034949 | [ 189.1  -513.58] | -299522.41053327534
0.9293723654378877 | [ 191.33 -517.7 ] | -304620.9910381833
-0.048995956659103945 | [ 193.19 -530.47] | -318717.35970146686
-0.8699218209055667 | [ 200.19 -545.26] | -337385.64305458573
0.8528079969368203 | [ 202.85 -548.75] | -342278.0308928359
0.005790696388409656 | [ 204.12 -560.26] | -355558.5369745307
-0.8390821900115821 | [ 211.01 -574.6 ] | -374697.1098339131
0.9293997637043006 | [ 213.05 -577.14] | -378481.0571543051
-0.2719615617253651 | [ 214.68 -589.61] | -393730.34676487616
-0.5702155244832705 | [ 221.48 -601.56] | -410927.3205041589
0.9932463386206392 | [ 222.03 -603.57] | -413591.26076712355
-0.7663348251388151 | [ 225.3  -618.42] | -433199.84668518754
