2.7, -2.3, 3.3, -0.9, -0.1, 1.5, 1.7, 3.6, -1.8, -0.3, 2.2, -0.5, 0.2, 0.0, -0.4, -1.4, -0.7, -1.8, -0.8, 1.6, -0.2, 0.6
parameter ends

state | action | reward
[1.] | [ 5.45 -3.31] | -41.04018786428175
0.9940135153101074 | [7.73 2.17] | -64.83743123292014
0.9742289017593669 | [ 6.73 -3.35] | -56.8435994763521
0.9121305818409713 | [8.78 2.56] | -83.89086572229508
0.7696958476941452 | [ 7.39 -2.43] | -60.79929572930444
0.5094128551556275 | [8.88 4.09] | -95.8653145922426
0.11804723003055581 | [ 6.84 -0.38] | -47.13284935963243
-0.36043319919341754 | [6.89 2.88] | -55.935918306628515
-0.798778246168843 | [ 4.98 -2.04] | -29.10399995220998
-0.9997816433609612 | [6.95 3.14] | -58.23326766681889
-0.7835109881658405 | [ 6.79 -4.12] | -63.3139307816339
-0.1429673897934934 | [10.84 -0.86] | -118.53079688731826
0.6268910831263018 | [14.6   1.96] | -217.32594600478407
0.99995637335884 | [14.2  -3.54] | -214.56324975004588
0.5928538374711404 | [14.95  4.34] | -242.5345744210607
-0.36289107121918546 | [11.24  1.35] | -128.3737883647626
-0.9909996210668791 | [ 8.93 -3.79] | -94.22013292795562
-0.5495811081560201 | [12.63 -0.97] | -160.75646631653382
0.5632159871880525 | [17.47  1.22] | -306.8976547265255
0.9655097276865996 | [16.98 -3.82] | -303.29692551661725
0.016784776506371637 | [16.26  5.43] | -294.0259726202452
-0.9705331183298044 | [12.66  1.06] | -161.42107402716056
-0.40541716820529183 | [13.53 -7.92] | -246.01056762610625
0.8576929002491385 | [18.94 -5.  ] | -383.8816619175783
0.574604065339916 | [19.74  3.44] | -401.56502176855514
-0.8052423914841952 | [14.91  1.05] | -223.44674967875756
-0.5719111604856698 | [14.95 -7.45] | -279.36035382998125
0.8600457402938343 | [20.8  -5.15] | -459.38489815566976
0.40356634964455124 | [21.08  3.92] | -459.9245776432428
-0.9689902271154399 | [16.37  0.78] | -268.58593005523534
-0.03919958594039855 | [18.48 -8.13] | -407.97343879686167
0.9769466123042625 | [22.88 -3.23] | -534.1768506366429
-0.49039772288848943 | [20.64  7.24] | -478.2494429545203
-0.6583610865235553 | [19.26 -0.85] | -371.9660127577464
0.9435279490286799 | [2.49e+01 1.02e-03] | -621.1804033057741
-0.08376503250350553 | [21.88  4.67] | -500.49917290865585
-0.8550514951313701 | [18.9  -1.44] | -359.48623798336075
0.8651133977635139 | [25.27 -0.68] | -639.4658059258018
-0.01304410336742678 | [23.53  7.59] | -611.2983283694946
-0.8315000390935788 | [20.18  1.51] | -409.84652538331676
0.9326264220909847 | [23.57 -8.67] | -630.8601423225252
-0.27576928203314094 | [21.87  2.2 ] | -483.14177724252323
-0.5708994764704645 | [20.3  -5.44] | -442.1544816416481
0.9938761683673047 | [26.14 -2.74] | -690.8769235650371
-0.7597706857722204 | [22.86  8.22] | -590.4042684640546
0.07758708150613149 | [23.96 -2.37] | -580.1889178156047
0.6249337152133376 | [26.55  4.26] | -723.2358680567417
-0.9847257233535173 | [20.86  1.38] | -437.32737363615485
0.8705494027492282 | [24.69 -9.75] | -704.9136242307492
-0.3870555802585042 | [22.82  1.24] | -522.5065402615498
[1.] | [ 6.23 -3.5 ] | -51.41454484236725
0.9986365915836165 | [8.54 1.96] | -77.07491786998652
0.9978326747168591 | [ 7.6  -3.62] | -71.16066668430355
0.9662086435789979 | [9.74 2.22] | -100.08519460509108
0.8623922506367054 | [ 8.46 -2.84] | -79.90379580643052
0.6412205420704767 | [10.06  3.65] | -114.67737879494084
0.27624481549366453 | [ 8.09 -0.8 ] | -66.15723095869097
-0.20572011291665648 | [8.74 4.86] | -100.06627919323684
-0.6916446447270467 | [6.59 0.04] | -43.55426868084331
-0.9834152859952435 | [ 6.68 -0.24] | -44.84825710328017
-0.8732124759614007 | [ 8.23 -0.34] | -68.1827322606402
-0.3001869546034218 | [11.   -0.87] | -122.23015728052584
0.4935312887738408 | [14.89  1.73] | -225.0538770300871
0.9854599354880872 | [14.84 -4.2 ] | -238.09862783888914
0.7145494844501463 | [15.95  3.44] | -266.24358732257474
-0.20845661375453842 | [12.31  0.62] | -152.04788262909545
-0.9566200721503347 | [10.22 -1.93] | -108.4970271390474
-0.6766449745998078 | [13.43  1.11] | -181.93144029637583
0.42316159700380684 | [15.3  -7.79] | -295.04052806875796
0.994798804281314 | [18.64 -1.99] | -351.80076463408136
0.17720741456304367 | [18.15  7.03] | -378.7716045375244
-0.9192128600772744 | [14.13  3.08] | -209.3096934143076
-0.5470024054170614 | [14.4  -5.63] | -239.3750385284178
0.7639702424918272 | [19.89 -3.29] | -406.6367569998098
