2.4, -1.3, 3.4, -1.4, -0.4, 1.4, 2.0, 3.4, -2.7, -0.9, 3.0, -1.7, 0.0, 0.9, 0.0, -1.3, -1.1, -2.1, -0.2, 1.7, 0.0, 1.0
parameter ends

state | action | reward
[1.] | [ 4.9  -1.59] | -26.720672854587317
0.9948332266914361 | [4.79 7.05] | -72.84774333599898
0.9759547068979101 | [4.61 5.39] | -50.53407672816564
0.9153074483508622 | [4.49 4.24] | -38.376621862366754
0.7747070407210958 | [4.33 3.64] | -32.26649570981779
0.5162672248263918 | [3.98 3.58] | -29.002047177927288
0.12608361052450115 | [3.27 3.9 ] | -26.301243099235478
-0.3527913146028377 | [2.06 4.18] | -22.037242002279662
-0.7938351694914608 | [0.35 3.76] | -14.4784248056873
-0.9985113367275117 | [-1.59 -0.16] | -2.660422531367372
-0.8741496877324753 | [-3.18 -3.96] | -25.944679612286613
-0.5581541054962169 | [-3.95 -3.88] | -30.876136398057355
-0.20758705276403866 | [-3.93  8.03] | -80.15525772834648
0.08706002015402342 | [-3.29 14.43] | -219.1319777488423
0.2939864333871879 | [-2.73 11.42] | -138.07751742612678
0.41346194760636457 | [-2.4  6.9] | -53.604240133688684
0.4550206163461695 | [-2.27  2.58] | -11.969870711805205
0.4245273475718994 | [-2.31 -1.36] | -7.379411697198533
0.32022799366285576 | [-2.44  0.49] | -6.359845244184621
0.13611864823444692 | [-2.7  -5.21] | -34.601941004476956
-0.12796623658775408 | [-3.11 -2.94] | -18.38906403191593
-0.4503115780964211 | [-3.41 -0.33] | -11.846423909885551
-0.7696970692121632 | [-3.51 -0.95] | -13.36376269611335
-0.9779934546936954 | [-3.13  1.75] | -13.081580841634388
-0.9422082271672283 | [-2.2  -5.87] | -39.6152710714269
-0.5721905330780781 | [-0.54 -3.71] | -14.422551041191486
0.05936734267858595 | [ 1.89 -1.21] | -5.356425613242187
0.6413693385799718 | [4.15 5.38] | -46.34450800587822
0.9462116604130388 | [5.31 1.08] | -29.470325774907874
0.9921189426085805 | [ 5.46 -2.57] | -36.51708252286458
0.8811064421673855 | [4.95 4.66] | -46.30362227491736
0.7156809835527291 | [4.02 1.95] | -20.02840610524937
0.5659822267197384 | [ 3.14 -0.18] | -10.042623586724837
0.4694102865407395 | [2.4  4.01] | -21.93537300427893
0.4412222111866368 | [1.87 2.11] | -8.110432643693226
0.4838250256523529 | [1.78 0.31] | -3.367880269186233
0.5901450256134627 | [2.  2.1] | -8.448542682377143
0.7406702040155667 | [2.47 0.38] | -6.280465435240981
0.8965786947116415 | [3.1  2.12] | -14.140885727570392
0.9942483352398089 | [3.7 1.1] | -15.07301013366391
0.9503861346169822 | [4.13 0.85] | -18.067110229935913
0.6890333822976853 | [4.1  2.21] | -22.064884842747574
0.1952520692754766 | [3.39 3.34] | -22.998595142164103
-0.4215300449765629 | [1.91 4.18] | -21.43562257509093
-0.9059160483838539 | [-0.15  3.71] | -13.943044014806642
-0.9608055625081959 | [-2.21 -2.61] | -11.805818144553779
-0.5903342444622516 | [-3.41 -2.71] | -19.122938404027412
-0.06509927740519206 | [-3.5   1.38] | -14.375017164506737
0.39933829136184706 | [-2.68 21.14] | -454.1038791416784
0.7160455965057562 | [-1.92 20.33] | -417.0165102814854
[1.] | [ 6.01 -2.38] | -42.09297953988614
0.9996246817817112 | [5.92 6.26] | -74.54814506233389
0.9958971346646738 | [5.78 4.57] | -54.66473468433624
0.9595546027096286 | [5.7 3.4] | -44.34842044980709
0.8497020395615641 | [5.57 2.78] | -39.052489041953514
0.622298147769973 | [5.22 2.74] | -34.99695523874101
0.2528489504150687 | [4.46 3.11] | -29.71349752843841
-0.2292829761061111 | [3.13 3.47] | -21.857032809797595
-0.7088583840392731 | [1.21 3.14] | -11.479054218342478
-0.9875272946877498 | [-0.98  1.51] | -3.441121393006504
-0.8981684656137304 | [-2.81 -8.47] | -79.80967088792161
-0.558434951407781 | [-3.65 -8.8 ] | -90.99006878928975
-0.15825637345055724 | [-3.11 17.32] | -309.73345962787005
0.18578409589199923 | [-2.21 18.17] | -335.07888102166373
0.4319309459825459 | [-1.54 13.4 ] | -182.14587120585838
0.5827176084214927 | [-1.13  8.34] | -70.95080084260144
0.6555022284872162 | [-0.93  3.83] | -15.684526712463404
0.6663180841456467 | [-0.89  0.02] | -0.9478968168917845
0.6219490448263412 | [-0.97 -3.23] | -11.50800521750558
0.5147538334187648 | [-1.09 -1.3 ] | -3.055506857027863
0.3285811236706957 | [-1.19  0.78] | -2.2111674917916586
0.05375357596696592 | [-1.45 -6.2 ] | -40.788919585149756
-0.2963342737559594 | [-1.85 -3.69] | -17.27751620355834
-0.6650968288372515 | [-2.02 -0.88] | -5.055694104416054
-0.9408310179477033 | [-1.68  1.43] | -5.005019335795835
-0.975683690125882 | [-0.84 -6.18] | -38.907100531620834
-0.6605433262869277 | [ 0.7  -3.44] | -12.45524641055515
-0.10019362447587025 | [2.88 3.46] | -20.489261381173808
0.4269917727363116 | [4.68e+00 1.34e-03] | -22.206145018972947
0.7788278911467456 | [5.73 1.51] | -35.50537563569563
0.9509683607068885 | [ 6.15 -1.9 ] | -41.72576399504824
0.9993078165440938 | [6.07 5.35] | -65.83916405647284
0.9879458383373237 | [5.67 2.48] | -38.59212633467652
0.9650482524622702 | [5.28 0.17] | -28.298785344056558
0.9571946767147673 | [4.99 2.47] | -31.34924585675536
0.9707495307681344 | [4.84 0.68] | -24.224447840161464
0.9935997973924058 | [4.88 0.87] | -24.889743688243506
0.9957156097848893 | [5.01 0.42] | -25.675648176441975
0.9310837610144765 | [5.1  2.72] | -33.73884084216849
0.7466515626665664 | [5.  2.5] | -31.487864668549054
0.40463499631737543 | [4.59 2.85] | -29.38052599876245
-0.0804403400501366 | [3.73 3.45] | -25.816361327985508
-0.6027629849988227 | [2.33 3.65] | -18.845300513507105
-0.9584236477008066 | [0.54 2.73] | -7.969520906738789
-0.9234901636830147 | [-1.19 -1.22] | -3.1198741254053446
-0.5017455941345835 | [-2.12 -1.27] | -6.287477905259483
0.03388281243048848 | [-2.16 -1.45] | -6.917854379546882
0.4821889049855904 | [-1.53 18.37] | -339.8652696779675
0.773237503001879 | [-0.87 18.51] | -343.54483203165034
0.9257956723282366 | [-0.51 14.78] | -218.96357792821544
[1.] | [ 6.05 -2.87] | -45.175450825768245
0.9998280458990054 | [5.95 5.76] | -68.93624716882195
0.9950520521567476 | [5.8  4.09] | -50.59051385303297
0.9569962742711065 | [5.72 2.9 ] | -41.42487590297631
0.8449235245262302 | [5.62 2.27] | -36.92226372575889
0.6151956357005045 | [5.32 2.22] | -33.326009038611396
0.24405496965056722 | [4.63 2.6 ] | -28.287391098588802
-0.2381390224183096 | [3.41 3.  ] | -20.741993131346312
-0.7152679804068773 | [1.61 2.75] | -10.380512948708363
-0.9889256003843557 | [-0.48  1.23] | -1.9852747458325177
-0.8851781322459881 | [-2.28 -6.91] | -53.111743176072714
-0.501362799948254 | [-3.1  -7.24] | -62.153734290632556
-0.05370269163368473 | [-2.73 14.32] | -212.62282192896603
0.3232705633953342 | [-1.8  20.28] | -414.76530917955915
0.5853636381470362 | [-1.08 15.91] | -254.46430473060883
0.7422532717065711 | [-0.65 10.46] | -109.87603837373175
0.8295191644510842 | [-0.41  6.88] | -47.57439293405664
0.8797432235539054 | [-0.29  4.71] | -22.39138284954331
0.9096590562553445 | [-0.23  3.33] | -11.254474800501557
0.9274668453110329 | [-0.2   2.35] | -5.709958276091507
0.9373590217215803 | [-0.18  1.58] | -2.6760894703486557
0.9414762875947594 | [-0.17  0.91] | -0.9980450595135312
0.9407589843580394 | [-0.17  0.29] | -0.24928737506222237
0.9353133098591951 | [-0.18 -0.27] | -0.2421256080516636
0.9245571474541767 | [-0.16  0.54] | -0.4520552700185524
0.9076371125316319 | [-0.19 -2.85] | -8.267317069775528
0.8830121352197996 | [-0.18  1.72] | -3.14135166111104
0.8486237189641432 | [-0.19 -4.07] | -16.746212656191293
0.8022598352421374 | [-0.23  0.5 ] | -0.4441617848454873
0.74032811901527 | [-0.25 -2.81] | -8.108846609885333
0.6584743754756204 | [-0.26  1.65] | -2.950778586854327
0.5529253653007112 | [-0.33 -4.29] | -18.676831661749937
0.41894168716394725 | [-0.45 -0.01] | -0.3873944771791006
0.24825743004373887 | [-0.54 -1.23] | -2.0044049143018685
0.033733636767161096 | [-0.59  2.5 ] | -6.834052021423759
-0.22185841488144473 | [-0.73 -4.22] | -18.551841708224842
-0.5038936271717424 | [-0.94 -0.87] | -1.8978644621025826
-0.7785611527651418 | [-0.86  1.2 ] | -2.4243961961162857
-0.9688844563159171 | [-0.66 -6.08] | -37.60368716179489
-0.9736664667365329 | [-0.1  -2.32] | -5.5468579621189695
-0.744751706609291 | [1.18 2.8 ] | -9.280474220504939
-0.37577652130289513 | [2.61 0.71] | -7.366898113216116
-0.018469267500190827 | [ 3.73 -0.18] | -14.052166645843227
0.25890684609141956 | [4.55 3.42] | -32.55169000285775
0.4417746208183947 | [5.07 0.97] | -26.784541392744217
0.5398765078135556 | [ 5.32 -0.86] | -29.199419492440782
0.5660070844453171 | [5.39 6.99] | -78.07970844536732
0.5254798674203296 | [5.3  5.29] | -56.198516677973494
0.4139311665953561 | [5.02 4.11] | -42.23312717892176
0.22180107795678672 | [4.52 3.37] | -31.889615903146737
[1.] | [ 5.32 -2.4 ] | -34.1476817596338
0.9962726710945566 | [5.2  6.25] | -66.22028246736457
0.9791676881702703 | [5.02 4.59] | -46.333391900385244
0.9213214040488542 | [4.91 3.43] | -35.93696260125334
0.7841845500856293 | [4.78 2.81] | -30.849714227316703
0.5291114992062017 | [4.47 2.74] | -27.737239849395863
0.1409574764442705 | [3.82 3.08] | -24.39903452615786
-0.33875732718166607 | [2.69 3.41] | -19.15456847093452
-0.7846785461002674 | [1.05 3.07] | -10.830726894992942
-0.9990420588732386 | [-0.84  1.51] | -3.1773213516465018
-0.8391984154003403 | [-2.51 -7.82] | -67.5968241459712
-0.4457240599642369 | [-3.37 -7.98] | -75.21139558931442
-0.017857369562037352 | [-3.13 12.56] | -167.78274377480813
0.3318621584766851 | [-2.3  18.55] | -349.3584861515427
