2.0, -1.6, 3.0, -1.5, -0.2, 1.5, 2.0, 3.7, -2.8, -1.2, 2.8, -1.6, -0.4, 1.0, 0.0, -1.5, -1.2, -2.4, -0.3, 2.2, -0.4, 1.0
parameter ends

state | action | reward
[1.] | [ 3.71 -2.31] | -19.260325953283534
0.9903897892177708 | [2.01 7.53] | -60.94775481442038
0.9672005766135016 | [0.3  5.48] | -30.339066624075144
0.9115473241266605 | [-0.15  1.14] | -1.5643008585113667
0.8292499728688268 | [ 0.24 -4.53] | -20.88998550036814
0.7230754206521602 | [-0.07  3.41] | -11.8896089703211
0.5935122245402344 | [ 0.04 -1.9 ] | -3.9266439464571308
0.4504266603904659 | [-0.09  5.21] | -27.484348201766164
0.2996823014596259 | [-0.06 -0.25] | -0.3808856789201237
0.1501958433794794 | [-0.11  1.99] | -4.294030602848972
0.007198863864184445 | [-0.15 -3.42] | -11.998119097758009
-0.12274282734839816 | [-0.21  2.89] | -8.705331008745034
-0.23436909501552894 | [-0.24 -3.15] | -10.252594121331875
-0.32439312711657353 | [-0.27  2.57] | -6.93695280181456
-0.39166331372497365 | [-0.28 -3.95] | -15.939807350353387
-0.43611799955836794 | [-0.3   1.36] | -2.182746706995767
-0.45834895240071016 | [-0.3  -5.46] | -30.146654748540467
-0.45891936498390346 | [-0.3  -0.38] | -0.44757820456964603
-0.43824889300645814 | [-0.09  0.86] | -0.9525784138829371
-0.403671056288151 | [-0.27 -4.54] | -20.842279753531532
-0.3559607030700919 | [-0.12  0.49] | -0.4434847028421864
-0.2936939627703513 | [-0.11 -2.88] | -8.482037636383337
-0.222674404052815 | [-0.02  2.71] | -7.517315894235816
-0.14696307067414602 | [-0.06 -3.38] | -11.613188665099898
-0.06876901778320431 | [-0.02  2.35] | -5.70224588806879
0.011622942546294503 | [-0.04 -3.8 ] | -14.629396942631164
0.09277509355687155 | [-0.02  1.98] | -4.095398490680169
0.17397087561566832 | [-0.02 -4.19] | -17.759292991359096
0.2541732475765621 | [-0.02  1.6 ] | -2.7350539908973523
0.3326626705665948 | [-0.02 -4.58] | -21.18643396826154
0.40869224091618156 | [-0.01  1.21] | -1.6242781386933498
0.48168883862187994 | [-0.02 -4.99] | -25.062212254659634
0.5511353289397314 | [-0.01  0.79] | -0.788588627686718
0.6166221950533752 | [ 0.01 -4.16] | -17.485813893080966
0.6770581307504088 | [0.02 1.74] | -3.178890939844952
0.7314791385273056 | [ 3.57e-03 -4.32e+00] | -18.857639969658887
0.7801449358210717 | [0.01 1.56] | -2.585801287179302
0.8234635998541385 | [-3.45e-03 -4.54e+00] | -20.801045583811792
0.861683844161627 | [-0.    1.32] | -1.88772061922321
0.8950549277371703 | [-0.01 -4.81] | -23.323948619364682
0.9237388272983339 | [-0.01  1.03] | -1.2005778269251295
0.9478556431308884 | [-0.02 -5.13] | -26.447733898171773
0.9674590430862747 | [-0.02  0.69] | -0.6220815628799503
0.982547350445567 | [ 0.   -3.62] | -13.225165085336936
0.9929084842057273 | [0.01 2.36] | -5.705796622596681
0.9985805030083454 | [-1.63e-03 -3.62e+00] | -13.269296861676375
0.9999414267262592 | [-3.06e-04  2.34e+00] | -5.619919964922498
0.997282240445405 | [-0.01 -3.68] | -13.701539905447184
0.9907902958900646 | [-0.01  2.26] | -5.254149939528299
0.9805592102141438 | [-0.02 -3.79] | -14.521497907112984
[1.] | [ 4.81 -3.25] | -34.020314943169375
0.9993025676337971 | [3.14 6.56] | -53.23646765229999
0.9967528951923645 | [1.48 4.47] | -22.413259673299613
0.962339035401042 | [-0.07  2.94] | -8.866529652707008
0.8762010253580886 | [ 0.16 -2.3 ] | -5.4703356000075205
0.74546765137049 | [-0.09  5.42] | -29.529538541750252
0.5780594135502016 | [-0.04  0.15] | -0.1152663222491525
0.39030481203217804 | [-0.11  0.41] | -0.2495898426509017
0.1946037235610621 | [-0.17 -1.21] | -1.5739718138617285
0.0058775412584876185 | [-0.22  5.12] | -26.400257191094965
-0.1643987742326085 | [-0.24 -0.91] | -0.9909950911719829
-0.309634863755093 | [-0.27  4.29] | -18.597697853026887
-0.42733845006113713 | [-0.29 -2.2 ] | -5.061980283081461
-0.5174699138638058 | [-0.3   3.13] | -10.062871270067799
-0.5819807781946783 | [-0.3  -3.68] | -13.796123312422278
-0.62340180152526 | [-0.31  1.41] | -2.248494494843493
-0.6440416185628391 | [-0.31 -5.58] | -31.363065453961525
-0.6455001839381894 | [-0.3  -0.61] | -0.6263235544507864
-0.6285739413767573 | [-0.05  1.93] | -3.9109430948889203
-0.6008353084350336 | [-0.24 -4.16] | -17.56117419130432
-0.5635392254317004 | [-0.11  0.95] | -1.0813000376273654
-0.5141885477161086 | [-0.16 -5.14] | -26.6392818912773
-0.45489949655199735 | [-0.09  0.26] | -0.22438020741626646
-0.38563237878103734 | [-4.39e-04 -1.66e+00] | -2.9133505031907223
-0.31197791171210126 | [0.06 4.34] | -19.00504526427982
-0.24029363979885443 | [ 0.02 -1.41] | -2.1201986364100303
-0.1720720550121799 | [0.04 4.67] | -21.935019555081553
-0.1070813413938803 | [ 0.03 -1.17] | -1.5008795973712363
-0.04581550836565317 | [0.04 4.91] | -24.22451191749095
