1.7, -1.3, 1.7, -1.2, 0.4, 0.4, 1.2, 2.4, -1.0, -0.1, 1.8, -1.2, 0.5, 0.7, 0.2, -0.4, -0.4, -0.9, 0.2, 1.4, 0.1, -0.4
parameter ends

state | action | reward
[1.] | [ 3.51 -3.26] | -23.122557645489845
0.9993475300087823 | [4.67 1.02] | -22.99647040278968
0.996653272825797 | [7.41 2.1 ] | -59.50623600504518
0.962003514936967 | [10.19  3.47] | -115.85829939436415
0.8543520083949866 | [12.9   5.17] | -193.13384748056254
0.6292659921539415 | [15.41  7.26] | -290.1135632436349
0.26153056847056916 | [17.54  9.68] | -401.5016645645161
-0.22047929312542427 | [19.15 12.22] | -516.1593062526177
-0.7024194809017241 | [20.23 14.45] | -618.3031953601383
-0.9860470362565895 | [21.04 15.92] | -696.2402372073931
-0.8655735754850191 | [22.14 16.26] | -754.846370188736
-0.2848903423378991 | [22.98 17.67] | -840.6099179440225
0.5078919491664207 | [20.28 29.36] | -1272.942016706527
0.9882383996358299 | [22.26 32.79] | -1570.4950262484695
0.701933463696484 | [23.93 35.4 ] | -1825.760892014535
-0.22657173034180222 | [24.25 38.4 ] | -2062.3863486693426
-0.9620663046890321 | [24.36 40.85] | -2262.3346022127253
-0.661719791807688 | [25.99 41.94] | -2434.1930154392053
0.44200082812744845 | [29.27 42.38] | -2652.774306247533
0.992349457904387 | [32.02 43.99] | -2960.8717758512425
0.15494617367836175 | [32.3  47.29] | -3279.6896657852726
-0.9281803783169871 | [31.54 50.27] | -3521.6330677129263
-0.5264981116857965 | [33.03 51.09] | -3701.010767518511
0.7799991081563322 | [36.63 51.3 ] | -3973.432429561698
0.6796535720158665 | [38.26 53.72] | -4349.746450822412
-0.7186405915462076 | [37.08 57.2 ] | -4646.721634548759
-0.6758325781344106 | [37.77 58.25] | -4820.216857113604
0.7852607438121308 | [41.49 58.09] | -5096.181412599238
0.5198272916169236 | [42.79 60.63] | -5507.41866202368
-0.9286923524084175 | [41.25 63.86] | -5780.411115046697
-0.16761825249466297 | [43.11 63.9 ] | -5942.456264603354
0.9962178284284879 | [46.62 64.38] | -6317.718885584198
-0.37597372231648035 | [45.68 67.95] | -6703.812916005931
-0.7477861309594764 | [45.45 69.24] | -6860.36357169533
0.8948292137333994 | [49.36 68.68] | -7153.258430356584
0.04023609555921176 | [49.49 71.75] | -7597.107420448719
-0.9122801811276112 | [48.28 73.77] | -7772.850636533521
0.797502217724651 | [52.08 72.87] | -8022.441296662581
0.10810834975503915 | [52.5  75.71] | -8487.558517811067
-0.8922805759766907 | [51.13 77.69] | -8650.980645091891
0.8828241564940525 | [55.06 76.7 ] | -8915.085689448886
-0.1597201332220157 | [54.76 79.86] | -9375.947098576491
-0.6637287070423877 | [54.07 81.02] | -9488.427005222502
0.9999778224753814 | [58.06 80.4 ] | -9836.16995987461
-0.6789458358738645 | [56.34 84.01] | -10230.95305630305
-0.03829252079998127 | [57.55 83.65] | -10308.954408557263
0.7106374019058529 | [60.32 84.5 ] | -10779.94745371531
-0.9981901717484563 | [57.89 87.47] | -11002.777978202706
0.8087360099717642 | [61.53 86.05] | -11190.632478520183
-0.27987415878238575 | [61.06 89.12] | -11669.533935096626
[1.] | [ 3.54 -3.54] | -25.29057953632948
0.9980946001513371 | [4.69 0.74] | -22.700846227357385
0.9838973564166287 | [7.19 2.23] | -56.78794233649053
0.9307224339216078 | [9.91 3.56] | -110.93525523750671
0.7994854895243585 | [12.58  5.21] | -185.3923561186333
0.5503205065808301 | [15.07  7.24] | -279.5411330806741
0.16598998575608961 | [17.24  9.6 ] | -389.4634164728583
-0.3146788570034095 | [18.96 12.1 ] | -506.1938994361264
-0.7685325255258908 | [20.25 14.35] | -616.1104244200558
-0.9975805062076835 | [21.31 15.92] | -707.7962260076844
-0.8126699780285098 | [22.61 16.49] | -783.0829172102564
-0.19021631169385433 | [24.61 15.91] | -859.0932694672566
0.5893465526924998 | [21.96 26.12] | -1164.6838901535943
0.9984318160096217 | [22.2 32.7] | -1562.233819501952
0.6292579320543791 | [23.57 35.81] | -1838.1002794174995
-0.32031858531611546 | [23.93 38.69] | -2069.8095292331172
-0.9840560525785207 | [24.25 40.89] | -2259.722080190257
-0.5855856502211467 | [26.12 41.77] | -2427.155550550864
0.5272280610939322 | [29.49 42.2 ] | -2650.485132834045
0.9756167069247959 | [32.1  43.94] | -2961.380248274288
0.05803500537286398 | [32.22 47.29] | -3274.702307909667
-0.959998635781173 | [31.53 50.14] | -3508.4975456286907
-0.44123346049237977 | [33.24 50.83] | -3688.6606908458666
0.8372130778994036 | [36.84 51.13] | -3971.475784071835
0.6050179443416278 | [38.24 53.71] | -4347.147520716802
-0.7829204888887114 | [37.02 57.12] | -4633.580152804048
-0.6008735674039057 | [37.96 58.  ] | -4805.096770445323
0.8418039418118188 | [41.71 57.92] | -5093.971794849248
0.4342001333771461 | [42.75 60.63] | -5503.231709718682
-0.960381775765295 | [41.25 63.73] | -5763.450845379903
-0.07085672446816298 | [43.36 63.64] | -5930.5361918166045
0.9830286476609872 | [46.72 64.3 ] | -6317.322677091908
-0.4643875969010315 | [45.6  67.91] | -6691.363248890683
-0.6796067492206308 | [45.62 69.  ] | -6842.023727653159
0.9340331983454616 | [49.55 68.53] | -7151.782642865547
-0.05721531426391744 | [49.41 71.74] | -7587.790302846798
-0.8680814604014643 | [48.4  73.55] | -7752.087111634998
0.8524406775031259 | [52.29 72.7 ] | -8019.78348166213
0.010828269382584231 | [52.42 75.7 ] | -8478.361903147943
-0.8440979547825955 | [51.26 77.47] | -8629.312631938043
0.924351193974161 | [55.25 76.55] | -8913.277183869004
-0.25504752639907946 | [54.67 79.84] | -9363.492075974023
-0.5877733044977852 | [54.26 80.77] | -9468.032969390293
0.9958779206409069 | [58.18 80.31] | -9835.675078691684
-0.7471832853570506 | [56.28 83.93] | -10211.922042421878
0.05915097681692195 | [57.8  83.39] | -10295.284430876944
0.6387841204242349 | [60.31 84.49] | -10776.16908390813
-0.9875975444584323 | [57.95 87.29] | -10977.933842611561
0.8621437701611625 | [61.74 85.88] | -11187.622538795707
-0.37198661850397785 | [60.97 89.09] | -11654.184895865606
[1.] | [ 3.75 -3.4 ] | -25.936220720287114
0.9909194821849688 | [4.9  0.88] | -25.04641995095053
0.9681739664107066 | [7.51 2.17] | -61.34954187239304
0.9013935592515191 | [10.22  3.55] | -117.18520045971465
0.7531884970172351 | [12.85  5.27] | -192.9632619048542
0.4873646572072713 | [15.28  7.35] | -287.5113486007075
0.09280780824057125 | [17.36  9.73] | -396.14342427848874
-0.38396854327525504 | [18.97 12.19] | -508.7415703711309
-0.8138129981426727 | [20.16 14.31] | -611.4417356715053
-0.9999887456215979 | [21.17 15.7 ] | -694.6018804878952
-0.7670385891061087 | [22.5  16.03] | -763.2354015027871
-0.11644604153765976 | [24.63 15.19] | -837.7931280769119
0.6480597316099311 | [20.99 28.34] | -1243.8638669671018
0.9998216707683786 | [22.42 32.65] | -1569.2933321815126
0.5692477060841018 | [23.81 35.5 ] | -1826.9635247947447
-0.3905061511548456 | [24.05 38.42] | -2054.932333240827
-0.994639480443831 | [24.37 40.62] | -2244.161116927778
-0.5229238953839541 | [26.34 41.48] | -2415.1055218863344
0.5897597941295486 | [29.72 41.98] | -2645.990522143522
0.9562747287462056 | [32.2  43.85] | -2960.0359969068627
-0.017555003247851433 | [32.19 47.25] | -3269.1655002774646
-0.9784294147831607 | [31.56 50.01] | -3496.943989831779
-0.3719970872078033 | [33.44 50.6 ] | -3678.6546418983608
0.8762732923688918 | [37.02 50.98] | -3969.632932382125
0.5428215970953228 | [38.24 53.68] | -4344.016343085129
-0.8279431763522599 | [37.01 57.03] | -4621.987748847173
-0.5383038842480019 | [38.14 57.78] | -4792.83573930051
0.8804790640845522 | [41.89 57.77] | -5091.897299957811
0.364235417405075 | [42.73 60.6 ] | -5498.6327648004335
-0.9788554200064589 | [41.27 63.6 ] | -5748.836275398992
0.0055838478130438305 | [43.57 63.42] | -5920.976141059532
0.9661129443857639 | [46.81 64.23] | -6316.103246076663
-0.5308457796419541 | [45.56 67.86] | -6679.929295762507
-0.6213745651109953 | [45.79 68.78] | -6826.980440084629
0.9586861729153017 | [49.71 68.4 ] | -7150.035486201409
