2.3, -2.0, 2.1, -1.6, 0.2, 0.8, 1.5, 2.9, -1.8, -0.8, 2.3, -1.3, -0.2, 0.7, 0.0, -0.4, -0.3, -2.0, -0.2, 0.9, -0.5, 0.0
parameter ends

state | action | reward
[1.] | [ 3.88 -3.69] | -28.9072816556222
0.9957268576673435 | [3.04 0.58] | -9.75090805789723
0.977932832645718 | [2.16 2.33] | -10.285714150789671
0.9190169861870969 | [1.31 3.75] | -15.944727843495105
0.7805849970836978 | [0.42 5.63] | -32.06380527028961
0.5437775548584439 | [-0.15  6.38] | -40.96516854619184
0.24755711993735327 | [-0.44  5.9 ] | -35.27003119524895
-0.044820756878800355 | [-0.68  4.79] | -23.585474425171128
-0.2858772764534893 | [-0.98  2.9 ] | -9.565351614420258
-0.4480771653120106 | [-1.37 -0.24] | -2.073342367299691
-0.5291200608088645 | [-1.92 -2.22] | -8.705856413724241
-0.539259423586662 | [-2.23 -3.7 ] | -18.682330767886114
-0.4813132730185759 | [-2.06 -5.52] | -34.7870637627546
-0.34936654602108697 | [-1.34 -4.34] | -20.623157788778173
-0.1349066052377904 | [-0.07 -5.22] | -27.347212459749002
0.123803552969317 | [ 0.68 -3.93] | -15.968896240311597
0.3467864830594714 | [ 0.91 -0.37] | -1.0609588973120874
0.4937899059971425 | [0.95 2.93] | -9.597547446143182
0.5659946055810239 | [0.78 4.09] | -17.470407391420817
0.5782331388792019 | [0.44 4.73] | -22.66231017924253
0.5505147073823771 | [0.09 4.42] | -19.623015565675058
0.5048239516012321 | [-0.22  3.12] | -9.862127689882813
0.4630890087147792 | [-0.46  0.86] | -1.0346605895335117
0.44547372739862956 | [-0.62 -2.09] | -4.792459797043194
0.4663436321130714 | [-0.5  -2.64] | -7.29353412458293
0.5247233421058671 | [-0.2  -2.68] | -7.271019866769462
0.602007875170343 | [ 0.08 -1.57] | -2.5134479634772773
0.6761086537321342 | [0.27 0.29] | -0.22345551951734638
0.7331861592134719 | [0.34 0.69] | -0.6594561930842537
0.7693611910113314 | [0.24 0.56] | -0.43888457331221875
0.7888941528126728 | [0.08 0.28] | -0.15160760284982375
0.7998395496845871 | [-0.03 -0.03] | -0.06267112516938525
0.8091942262787871 | [-0.08 -0.18] | -0.09713258747510485
0.8206345259285146 | [-0.06 -0.2 ] | -0.09936184196935509
0.8345067625647924 | [-0.02 -0.12] | -0.07015380359880412
0.8493296137987467 | [ 0.01 -0.03] | -0.057143565919999466
0.8634610558476362 | [0.03 0.02] | -0.05721088947070224
0.8759651652352284 | [0.03 0.04] | -0.057926158199127234
0.8866813053309264 | [0.02 0.03] | -0.056493927311468684
0.8959121970836887 | [0.01 0.01] | -0.05495455431463389
0.9040871662747878 | [ 0.   -0.01] | -0.05431045392911078
0.9115517738108461 | [ 0.   -0.01] | -0.05402393060161188
0.9185004358894108 | [ 0.   -0.01] | -0.05369035535348334
0.9250026173802532 | [ 0.   -0.01] | -0.05333937745358188
0.9310630251201482 | [ 0.   -0.01] | -0.05304909158118077
0.936673138132435 | [ 0. -0.] | -0.05282035561511286
0.9418381200271494 | [ 0. -0.] | -0.05261794675833184
0.9465818610061297 | [ 0. -0.] | -0.05242625139947933
0.9509404487014665 | [ 0. -0.] | -0.052245124321332784
0.9549532001096814 | [ 0. -0.] | -0.0520766742083249
Total reward: -440.32486397412623
2.3, -2.0, 2.1, -1.6, 0.2, 0.8, 1.5, 2.9, -1.8, -0.8, 2.3, -1.3, -0.2, 0.7, 0.0, -0.4, -0.3, -2.0, -0.2, 0.9, -0.5, 0.0
parameter ends

state | action | reward
[1.] | [ 3.83 -3.9 ] | -30.115182857252282
0.9937462485651843 | [2.98 0.39] | -9.284943218504743
0.9737010982324014 | [2.07 2.43] | -10.49992488060102
0.9112200396196547 | [1.19 3.8 ] | -16.152618061832936
0.7683709327417362 | [0.28 5.62] | -31.980279730304904
0.5321480521321189 | [-0.16  5.91] | -35.17412465757262
0.24511400004227157 | [-0.36  5.31] | -28.53681235413893
-0.038727881625054424 | [-0.54  4.35] | -19.391073013370875
-0.27992190566568537 | [-0.8   2.91] | -9.2165005326527
-0.4537628858828799 | [-1.19  0.46] | -1.6931566162744287
-0.5509029355316072 | [-1.72 -2.35] | -8.503183802845273
-0.5766181723205888 | [-2.18 -3.64] | -18.027350115695338
-0.5362230485752738 | [-2.18 -5.43] | -34.24446276171121
-0.42513396163220196 | [-1.64 -4.53] | -23.291453314271468
-0.23340658872997821 | [-0.46 -4.81] | -23.437966126255457
0.021615274811727998 | [ 0.57 -4.62] | -21.738705796197824
0.26600915796389424 | [ 0.9  -1.42] | -2.894641375417708
0.43839260048847356 | [1.01 2.86] | -9.275127401509303
0.5307480758762416 | [0.92 4.17] | -18.381152805164806
0.5538794985045893 | [0.57 5.2 ] | -27.49506574271979
0.5269523696905174 | [0.2  5.27] | -27.86542937672775
0.47345187354819485 | [-0.13  4.31] | -18.68137307899085
0.4168322842499075 | [-0.41  2.38] | -5.90101733879004
0.3794755528316448 | [-0.61 -0.48] | -0.6535047968849765
0.37966099182317836 | [-0.58 -1.74] | -3.398498558264904
0.42299099936573 | [-0.32 -2.12] | -4.632906169165475
0.49576117797571917 | [-0.03 -1.65] | -2.7721292620799773
0.5750440964534528 | [ 0.2 -0.2] | -0.13601233428542286
0.6427031929984903 | [0.31 0.71] | -0.6652232987608756
0.6900813885801363 | [0.25 0.46] | -0.3437351420489829
0.7184317293435277 | [0.11 0.39] | -0.22734610332686425
0.7354551542457763 | [-0.01 -0.02] | -0.06172405040386672
0.7491950286051098 | [-0.07 -0.14] | -0.08347073442607342
0.7644509555611975 | [-0.06 -0.22] | -0.11041153308464947
0.7822211533242848 | [-0.02 -0.12] | -0.07402935540896542
0.8010650975525936 | [ 0.01 -0.05] | -0.06178384378795184
0.8190870078700855 | [0.03 0.02] | -0.06130862283654947
0.8350994129136081 | [0.03 0.04] | -0.0626298803700786
0.8488500262705156 | [0.02 0.03] | -0.061986266616761
0.8606880410110505 | [0.01 0.01] | -0.06057604805722722
0.8711526407977055 | [ 0.01 -0.01] | -0.06030988166126174
0.8806902502148188 | [ 0.   -0.02] | -0.06046606218460918
0.8895567980301481 | [ 0.   -0.02] | -0.06048876479387202
0.897844379621607 | [ 0.   -0.01] | -0.060501109376138985
0.9055593657939336 | [ 0.01 -0.01] | -0.060561196762253904
0.9126906815562583 | [ 0.01 -0.  ] | -0.06068805430126033
0.9192462719446894 | [ 0.01 -0.  ] | -0.06082365125570146
0.9252595540953887 | [ 0.01 -0.  ] | -0.06095188592655826
0.9307802444396278 | [ 0. -0.] | -0.06107570245900332
0.9358618273180352 | [ 0. -0.] | -0.061201934366458384
Total reward: -445.85588920169914
2.3, -2.0, 2.1, -1.6, 0.2, 0.8, 1.5, 2.9, -1.8, -0.8, 2.3, -1.3, -0.2, 0.7, 0.0, -0.4, -0.3, -2.0, -0.2, 0.9, -0.5, 0.0
parameter ends

state | action | reward
[1.] | [ 3.57 -3.34] | -24.146942557645954
0.9927550623783035 | [2.72 0.94] | -8.51841283409286
0.9716930133778305 | [1.86 2.18] | -8.448957885091101
0.9075826063039396 | [1.04 3.7 ] | -15.060905789052416
0.7626851922562777 | [0.15 5.7 ] | -32.887366368233245
0.5288822808323186 | [-0.21  5.82] | -34.23688530198264
0.25286531408351515 | [-0.47  5.24] | -27.94891558181338
-0.013019340280042235 | [-0.76  4.03] | -17.11236726746802
-0.22591980394821648 | [-1.12  1.84] | -4.8761239663624725
-0.36075763238003344 | [-1.63 -1.58] | -5.355298532175407
-0.41540661489878244 | [-2.16 -2.68] | -11.982357941583324
-0.39621334831131994 | [-2.27 -4.37] | -24.369231614641144
-0.30279987011443055 | [-1.88 -5.56] | -34.56902219188963
-0.13027904007091035 | [-0.85 -4.28] | -19.18562397424763
0.11571644781121565 | [ 0.42 -5.25] | -27.894895957776487
0.3656998041839949 | [ 0.82 -2.53] | -7.246507869883592
0.5466704422108332 | [0.94 1.49] | -3.283859890694946
0.6508731455519579 | [0.84 2.62] | -7.761152818169344
0.6933992627245777 | [0.52 3.4 ] | -12.03369425706374
0.6951729880709936 | [0.19 3.28] | -11.001353492225743
0.6765799183303861 | [-0.12  2.2 ] | -5.032783811140475
0.6559605969053176 | [-0.37  0.17] | -0.3415864373204597
0.6501732065464713 | [-0.48 -1.39] | -2.3364653110437708
0.6698952663413832 | [-0.34 -1.44] | -2.341240700709122
0.7120453483032212 | [-0.1  -0.99] | -1.1545488568067181
0.7623737101919865 | [0.12 0.3 ] | -0.27018518227151844
0.8069091435656455 | [0.21 0.2 ] | -0.25606592293251057
0.8393664308511287 | [0.17 0.47] | -0.4242128175041291
0.8610258431073146 | [0.08 0.15] | -0.19944946321744175
0.8761792005783443 | [0.   0.07] | -0.17316115556965062
0.8887630328257381 | [-0.04 -0.12] | -0.18128174337079395
0.9010905698858078 | [-0.04 -0.11] | -0.1770188180539609
0.9137137594492297 | [-0.02 -0.1 ] | -0.17489490597263585
0.9261609497046911 | [-0.   -0.03] | -0.16527432250408924
0.9377301143444694 | [ 0.01 -0.01] | -0.16455977396754648
0.9479854564177596 | [0.02 0.02] | -0.16511159807637416
0.9568391287632051 | [0.01 0.01] | -0.1649081657908832
0.9644337900141249 | [0.01 0.01] | -0.16459553001851482
0.9709843956968698 | [ 0. -0.] | -0.16437617514052222
0.9766788265798864 | [ 4.77e-05 -8.02e-03] | -0.1643416419202322
0.9816415308139687 | [-0.   -0.01] | -0.1643772469208514
0.985941721376031 | [-0.   -0.01] | -0.16439819090498767
0.9896163225776005 | [-0.   -0.01] | -0.16446801637906566
0.9926907001392354 | [-0.   -0.01] | -0.16457298450186178
0.9951895479543257 | [-0. -0.] | -0.16471397984695998
0.9971394972143711 | [-0. -0.] | -0.16487263887444914
0.9985672618825059 | [-0. -0.] | -0.1650452082891293
0.9994969875368023 | [-0. -0.] | -0.1652275488050353
0.999948516186542 | [-0. -0.] | -0.1654193673041522
0.9999368952267438 | [-0. -0.] | -0.16561887597935387
Total reward: -353.78465248323045
