2.4, -1.6, 2.0, -1.6, 0.7, 0.5, 0.9, 2.7, -1.4, -0.6, 2.0, -0.9, -0.3, 0.4, 0.0, -0.6, -0.2, -1.7, -0.2, 1.0, -0.7, 0.1
parameter ends

state | action | reward
[1.] | [ 3.35 -2.76] | -18.999132537967995
0.9947995187160649 | [2.15 1.12] | -6.048449093892499
0.9758819622147609 | [0.99 0.25] | -1.2564355936022964
0.9153727353803607 | [-0.15  1.44] | -2.3469411721998905
0.8034138953134795 | [ 0.01 -0.71] | -0.8002865175710125
0.659074238933831 | [-0.13  1.58] | -2.8427449983112063
0.49270485650042967 | [-0.19 -0.39] | -0.5263508906293276
0.32149565775095035 | [-0.23  0.96] | -1.3211705027738512
0.15883389753727553 | [-0.25 -0.95] | -1.326502877465399
0.014002746197931208 | [-0.26  1.62] | -3.050311405907374
-0.10800683610509955 | [-0.26 -0.57] | -0.7614473282144911
-0.20590421706576437 | [-0.26  1.01] | -1.4566429490979909
-0.28029563590288653 | [-0.27 -1.19] | -1.8450491639852937
-0.3320420768710934 | [-0.26  1.31] | -2.12834386396196
-0.3626436671999838 | [-0.24 -1.04] | -1.4799129450219994
-0.3740806782203747 | [-0.23  1.35] | -2.1800945741158584
-0.3680797414571485 | [-0.21 -1.11] | -1.5904673250737769
-0.3461496633427707 | [-0.19  1.18] | -1.7316756736592849
-0.3097041425109534 | [-0.16 -1.36] | -2.1525662223042366
-0.2601879246267377 | [-0.14  0.87] | -1.0445780890475085
-0.1992221285866253 | [-0.11 -1.42] | -2.295120734990936
-0.12910226122930157 | [-0.07  0.76] | -0.8456454621287002
-0.05264309480016282 | [-0.04 -1.28] | -1.8971419990330143
0.027155110700516332 | [-0.01  0.92] | -1.0907402200067022
0.10734387441470412 | [-0.01 -1.47] | -2.385445074561304
0.18605777629858308 | [0.   0.75] | -0.787179397681868
0.2622424111992547 | [ 0.02 -1.22] | -1.7170496046966868
0.33460462316481016 | [0.03 1.03] | -1.283374639194593
0.40194137508535427 | [ 0.02 -1.5 ] | -2.4480496665910625
0.46418585033277615 | [0.02 0.76] | -0.7800405807243393
0.5218520153041079 | [ 0.02 -1.2 ] | -1.6356203892914265
0.5748495487843694 | [0.03 1.1 ] | -1.4103751667364572
0.6228978797026468 | [ 0.02 -1.39] | -2.127588902845111
0.6663898366687362 | [0.01 0.91] | -1.017899666516092
0.705982947251311 | [ 0.01 -0.86] | -0.9307499447503279
0.7420323025618236 | [0.03 1.27] | -1.8173041301850734
