2.5, -2.3, 2.1, -2.1, 0.5, 0.8, 1.7, 2.9, -1.9, -0.5, 2.7, -1.5, -0.3, 0.9, -0.5, 0.0, -0.6, -2.3, -0.3, 1.6, -0.5, 0.1
parameter ends

state | action | reward
[1.] | [ 4.   -4.51] | -36.4490059326975
0.9999803266536532 | [ 4.75 -1.03] | -23.778465780913
0.9937615360365207 | [5.36 2.26] | -33.981270346208575
0.9533744787154199 | [1.93 5.68] | -36.082618362260035
0.8383145050882223 | [-1.45  9.53] | -93.01666718115324
0.6667040221590477 | [-2.38  6.51] | -48.224434738275086
0.5224733685232292 | [-3.11  3.64] | -23.093330976860678
0.4371503348251342 | [-3.63  0.9 ] | -14.179987344654606
0.42247331774630814 | [-3.81 -1.68] | -17.536462648517904
0.47885339086850026 | [-0.26 -4.41] | -19.66013389699586
0.5737908831070035 | [ 2.28 -4.9 ] | -29.403610171773384
0.6375850366703406 | [ 3.18 -1.11] | -11.536042241347381
0.6371931082490486 | [3.98 2.54] | -22.48974757431997
0.5738689875648163 | [0.68 6.34] | -40.80778065371102
0.4500173121412939 | [-2.38  9.38] | -93.76901594135101
0.3317152669896155 | [-3.51  6.56] | -55.51777809211871
0.2870485523096711 | [-4.67  3.7 ] | -35.642432318885064
0.3185887441593476 | [-5.94  0.61] | -35.812350598969
0.4221644173046662 | [-6.55 -2.96] | -51.75686820456118
0.5845930772194182 | [-3.82 -7.13] | -65.51058624742241
0.7760487242071661 | [ -0.85 -11.58] | -134.9471209279664
0.9391925413549856 | [  2.02 -15.41] | -241.6100650525656
0.9995044021156644 | [  4.14 -12.09] | -163.25636339482307
0.9796553232062875 | [ 4.75 -8.31] | -91.77084493266082
0.938754731133144 | [ 5.51 -4.32] | -49.02712857088066
0.9133385512848148 | [ 6.53 -0.27] | -42.738278436899755
0.9185289004126413 | [6.37 3.61] | -53.67283038020183
0.9509219972709507 | [3.76 7.22] | -66.34792745164096
0.9894499439485283 | [ 1.06 10.73] | -116.33516533158124
0.9950409164365781 | [-1.83 14.34] | -209.12203044554866
0.9429110436417341 | [-2.64 10.91] | -126.19034933697895
0.8797237074931589 | [-3.72  7.47] | -69.79324930458536
0.8423065562181953 | [-4.97  3.84] | -39.55691727890544
0.8460027744195322 | [-6.31 -0.16] | -39.95900527601741
0.8886428284414551 | [-4.15 -4.56] | -38.0928410761311
0.9514161684162332 | [ 3.02 -8.53] | -82.04848109460329
0.9883090299764575 | [ 3.87 -4.87] | -38.802978028772905
0.9971529830120648 | [ 4.8  -0.96] | -24.086183899992836
0.9969117076528988 | [5.86 3.07] | -43.928727411979104
0.9870886244324713 | [3.08 6.99] | -58.51662654694375
0.9490230474823765 | [ 0.14 10.8 ] | -116.81117330874427
0.8667089097078868 | [-2.02 11.5 ] | -136.51410905652506
0.7741034480404115 | [-3.04  8.04] | -74.04286812028514
0.7204386163389037 | [-4.19  4.37] | -36.74149583164605
0.7203775857055941 | [-5.39  0.36] | -29.285031272374894
0.772925581558477 | [-3.94 -4.03] | -31.856270335526986
0.8624848248548019 | [ 3.33 -7.99] | -74.94921099366414
0.9296709095195927 | [ 4.26 -4.31] | -36.888881676016716
0.9535049729361414 | [ 5.28 -0.37] | -28.09709009502511
0.9506140138801636 | [5.15 3.68] | -40.10757644306421
[1.] | [ 4.09 -4.45] | -36.73215338049821
0.9998483833012931 | [ 4.84 -0.97] | -24.58472752864204
0.9908357962240963 | [5.4  2.31] | -34.71230273875164
0.945933113674171 | [1.96 5.75] | -37.055923242742075
0.8250995186601361 | [-1.42  9.61] | -94.59131220739262
0.6487450814059373 | [-2.36  6.62] | -49.529709835113714
0.501964218265038 | [-3.1   3.76] | -23.97307130950269
0.4155157950643089 | [-3.64  1.04] | -14.509795757614958
0.40064332277662307 | [-4.04 -1.5 ] | -18.755091307017896
0.45765952731684184 | [-0.51 -4.19] | -18.01284835748217
0.5622269093479529 | [ 2.32 -5.58] | -36.737885484132015
0.6418827160664692 | [ 3.23 -1.8 ] | -13.86378350014791
0.6561425030869888 | [4.05 1.84] | -19.956599131923955
0.6091092402077276 | [0.77 5.63] | -32.47596886628128
0.5016823116751513 | [-2.39  8.96] | -86.23757327795359
0.3969546332845005 | [-3.54  6.11] | -50.02701363329347
0.36377244723479385 | [-4.74  3.17] | -32.71758827194488
0.4043687944986005 | [-6.07 -0.04] | -36.94768614169885
0.5128876339863417 | [-5.36 -3.79] | -43.10761515772696
0.6724779333413131 | [-2.55 -8.02] | -70.8391855442789
0.8477906053691546 | [  0.46 -12.4 ] | -154.04601027005145
0.9640172678081268 | [  1.74 -11.32] | -131.21199407117533
0.9990812229267777 | [ 2.6  -7.93] | -69.76360960254935
0.9950364834014572 | [ 3.32 -4.24] | -28.974490408041184
0.9871925980874413 | [ 4.21 -0.35] | -17.90231676290024
0.9901632353906984 | [4.   3.58] | -28.860094335980364
0.9991287095455178 | [1.15 7.37] | -55.67345527385719
0.9910206632773408 | [-1.83 11.06] | -125.64379376903454
0.9534787618266777 | [-2.64  7.5 ] | -63.31239628318355
0.9227063094993159 | [-3.66  3.78] | -27.798285450376273
0.9193643773009706 | [-4.8  -0.22] | -23.157869973267402
0.9448816897523928 | [-0.21 -4.37] | -19.20257911406733
0.976715318411264 | [ 2.91 -5.22] | -35.824482162205236
0.9912382272672097 | [ 3.79 -1.42] | -16.45394669991358
0.9916179856196812 | [4.84 2.57] | -30.072653363289337
0.9788770525992663 | [1.95 6.51] | -46.20874428249521
0.9359292383157437 | [-1.1  10.32] | -107.77651676059301
0.872450248635156 | [-1.95  6.84] | -50.65896641807146
0.8369359467054408 | [-2.96  3.15] | -18.75784057569877
0.843443897271014 | [-4.05 -0.83] | -17.151900271543965
0.8887493121427414 | [ 0.38 -4.93] | -24.472216781429374
0.9350147651319934 | [ 2.35 -3.7 ] | -19.229905264017873
0.953666713930782 | [3.26 0.07] | -10.668827761047986
0.9463615488880964 | [2.09 3.96] | -20.079691854317087
0.9084861263885222 | [-1.02  7.78] | -61.57270242095514
0.8623004070169227 | [-1.89  4.23] | -21.49785292587267
0.8526829335821113 | [-2.86  0.41] | -8.410582227562863
0.8828784050494836 | [ 0.07 -3.59] | -12.966160470455982
0.9238901163834486 | [ 2.39 -3.42] | -17.44263088634731
0.9424010289809379 | [3.3  0.36] | -11.10213461432853
[1.] | [ 3.42 -4.08] | -28.68252748940976
0.9979367865403843 | [ 4.16 -0.6 ] | -17.970194180092726
0.9834148823496419 | [3.97 2.77] | -23.731913389951767
0.9296689663133832 | [0.57 6.31] | -40.54351707274095
0.8077678762372368 | [-2.24  8.72] | -81.37403946782064
0.6513510863863029 | [-3.08  5.75] | -42.90362191762716
0.532954062883726 | [-3.72  2.92] | -22.754573696489913
0.4766763686773283 | [-4.17  0.25] | -17.86257267684769
0.48998429617496586 | [-3.08 -2.35] | -15.403860127911036
0.5696465880964748 | [ 0.41 -5.22] | -27.78521342430011
0.6603299878334896 | [ 2.08 -3.38] | -16.117897780820254
0.7019877896365387 | [2.94 0.38] | -9.142741135557985
0.6851769280445458 | [0.93 4.19] | -18.78667092928331
0.6095964824963658 | [-2.35  8.06] | -70.89834552406464
0.5321852255947145 | [-3.43  5.18] | -38.97303431188837
0.5208266948347333 | [-4.58  2.23] | -26.316294662950675
0.5760362054271535 | [-5.88 -0.98] | -35.80198665351113
0.6873029556418109 | [-3.22 -4.69] | -32.604629456471
0.8293761480408267 | [-0.34 -8.73] | -76.66567648424821
0.9479840418417944 | [  1.84 -10.42] | -112.19463710781083
0.9962435962679976 | [ 2.42 -7.05] | -55.81894760585373
0.9977782265685673 | [ 3.12 -3.44] | -21.81372705603288
0.9905163280810914 | [4.01 0.31] | -16.44502752601795
0.9917680733686051 | [2.44 4.03] | -22.486746344953666
0.9992010130260449 | [-0.55  7.67] | -59.446724844214195
0.9979215411813686 | [-1.85  5.71] | -36.24124686087254
0.9944253097917974 | [-2.83  2.01] | -12.305183428537486
0.9977694981331999 | [-4.   -1.87] | -19.721466142179608
0.9987278501633489 | [-1.2  -5.84] | -35.732485815202494
0.9702432318994725 | [ 1.64 -9.59] | -94.77967415879978
0.9070482788130597 | [ 2.12 -5.85] | -38.872798809828396
0.8568605107412333 | [ 2.81 -1.95] | -11.930179170458247
0.8432926034855748 | [3.8 2. ] | -18.7035531888484
0.8710353300032568 | [0.98 5.76] | -34.4167049548708
0.927858719601577 | [-1.83  9.24] | -89.03371949824364
0.9678099187699939 | [-2.46  5.53] | -36.92549123490491
0.978368215721551 | [-3.39  1.77] | -14.828965915311997
0.9707591917931258 | [-4.54 -2.15] | -25.49764683061505
0.9376535965577218 | [-1.34 -6.09] | -39.05233584648302
0.8553868189955631 | [ 2.71 -9.55] | -98.81141643652496
0.7451698066210438 | [ 3.18 -5.51] | -40.674915791086036
0.6729108236565041 | [ 3.94 -1.4 ] | -17.740038767774998
0.656900460852388 | [5.07 2.61] | -32.73150939508767
0.6996252978623088 | [2.43 6.31] | -45.948913361945145
0.7901600642721879 | [-0.18  9.74] | -95.09758762961759
0.8803915447969001 | [-1.52  8.87] | -81.2746851882196
