2.5, -1.9, 1.7, -1.0, -0.2, 0.7, 1.3, 2.7, -1.6, -0.5, 2.3, -1.6, -0.5, 0.2, 0.1, -0.5, 0.5, -2.2, 0.0, 1.6, -0.6, 0.6
parameter ends

state | action | reward
[1.] | [ 3.25 -2.38] | -16.413307920241703
0.9905700833956131 | [0.8  0.33] | -0.9404968878322928
0.9695309062661964 | [-0.78  0.23] | -0.8593874373764179
0.9372881997175075 | [ 0.76 -0.83] | -1.4696506298229932
0.8952204844625417 | [-1.26  1.41] | -3.7892271147907346
0.8494920190311676 | [ 0.96 -1.39] | -3.0807978362990167
0.7982488748215231 | [-1.55  1.39] | -4.555889082904086
0.7429446574588856 | [ 0.64 -1.39] | -2.5692105012318813
0.6934583940872726 | [-1.24  1.13] | -3.038721521466555
0.6525621310505467 | [ 0.98 -1.69] | -4.034326871369291
0.6109452174246522 | [-1.56  1.09] | -3.8658692118490365
0.5692947371589063 | [ 0.65 -1.71] | -3.589188817141183
0.538442360992763 | [-1.21  0.78] | -2.317006833509299
0.5194599708293598 | [ 0.95 -1.65] | -3.8566886914361365
0.5021798064171517 | [-1.51  1.02] | -3.5579294222893614
0.48709110337559736 | [ 0.73 -1.85] | -4.16417623990107
0.4813759845246485 | [-1.27  0.65] | -2.2378534459809583
0.4853470312803031 | [ 0.85 -1.57] | -3.378246983843201
0.49414307119344797 | [-1.41  0.99] | -3.1545586232816905
0.5080111392340653 | [ 0.85 -1.9 ] | -4.520766892544911
0.5263993066257177 | [-1.37  0.68] | -2.509744453511145
0.5494320995620524 | [ 0.76 -1.57] | -3.1893853359196447
0.5790579097773388 | [-1.29  0.97] | -2.7503237413133865
0.6149526320646659 | [ 0.99 -1.82] | -4.423028523887494
0.6491514752397692 | [-1.48  0.95] | -3.191098621259171
0.6820320808719226 | [ 0.81 -1.73] | -3.7353797552283896
0.7179531958380577 | [-1.27  0.96] | -2.625720291472037
0.7563952646582199 | [ 1.07 -1.7 ] | -4.105382139033801
0.7915400711678368 | [-1.35  1.19] | -3.2932904228928463
0.8237733692888565 | [ 1.04 -1.49] | -3.3262723230809406
0.8528407796212526 | [-1.35  1.46] | -3.9988763372396607
0.8791043849357753 | [ 1.06 -1.18] | -2.5776636530447155
0.9023778894850198 | [-1.3   1.79] | -4.954934387860967
0.9229917367092418 | [ 1.14 -0.83] | -2.0570262524823812
0.94082250390557 | [-1.13  1.8 ] | -4.589215081355731
0.9561626998554098 | [ 1.33 -0.85] | -2.5613547396064567
0.9689470011261212 | [-0.95  1.79] | -4.186685148790007
0.9790280267993267 | [ 1.41 -0.85] | -2.802669258127691
0.9866539163883654 | [-0.88  1.76] | -3.9596337033118028
0.9918854876075835 | [ 1.32 -0.85] | -2.5733506984362786
0.9952693865058493 | [-0.88  1.29] | -2.5488505857011186
0.9974015095345422 | [ 1.31 -1.49] | -4.036297326988918
0.9986340513209577 | [-0.83 -0.12] | -0.8078785381500663
0.9992236114948584 | [ 0.8  -0.66] | -1.189353106277165
0.9996650554994784 | [-0.8  -0.05] | -0.7445650635434954
0.9999212073194239 | [ 0.8  -0.73] | -1.2804771002984454
0.9999999835014147 | [-0.81 -0.07] | -0.765499341769116
0.999912829564553 | [ 0.81 -0.75] | -1.3215911206761524
0.9996685606202207 | [-0.82 -0.08] | -0.782668629331478
0.9992543059154987 | [ 0.82 -0.77] | -1.3619647381237143
[1.] | [ 3.33 -2.65] | -18.17554385434197
