-3.1, -0.2, -1.4, -0.2, -3.2, 0.4, -1.3, 4.0, -4.9, 0.9, 5.9, -4.3, -0.3, -5.0, 0.5, -6.0, 2.0, 2.5, -1.7, 2.0, 0.9, 1.9
parameter ends

state | action | reward
[1.] | [-3.85  1.9 ] | -18.552963605065564
0.9998201849000898 | [-0.6  -1.94] | -4.255006673745506
0.9965395967218618 | [-1.61 33.83] | -1147.4063564871208
0.9697171474797713 | [ 2.12 29.25] | -860.3659597631931
0.9184029859461924 | [  3.37 -14.44] | -220.1364945890304
0.884891882653481 | [ 0.33 -9.72] | -94.79826187254261
0.8735986583376716 | [-2.01  7.89] | -66.36056613793058
0.8482018920329419 | [1.36 3.9 ] | -17.191788301066783
0.8213856362955888 | [  2.25 -39.25] | -1545.713564960875
0.8388557589768546 | [ -1.19 -34.01] | -1158.4303985129543
0.855059568291474 | [-2.15 10.37] | -112.35099029467521
0.828502106971495 | [1.25 6.33] | -41.679825718097156
0.8006623364076407 | [  2.18 -36.94] | -1369.5682452532426
0.8194502161477801 | [ -1.21 -31.83] | -1014.9095075671182
0.8369199325557818 | [-2.15 12.49] | -160.8080993294354
0.8093619560501305 | [1.25 8.39] | -72.05163361421752
0.7806463137594266 | [  2.24 -35.  ] | -1230.2267263721183
0.8006662301025945 | [ -1.11 -30.02] | -902.6660943313742
0.8193209899849384 | [-2.05 14.25] | -207.43149637705434
0.7909000720115307 | [ 1.36 10.1 ] | -104.00285143098036
0.7614346351220399 | [  2.38 -33.41] | -1121.836025932932
0.7826030068967396 | [ -0.94 -28.55] | -816.0783904394692
0.8038530827907464 | [-1.96 14.44] | -212.42638558452325
0.7778899569070171 | [ 1.43 10.28] | -107.80929848721503
0.751243663320677 | [  2.46 -33.31] | -1115.9010309032824
0.776162187183453 | [ -0.86 -28.54] | -815.389439398988
0.8026139099989755 | [-2.01 12.94] | -171.67449651087415
0.7834764109476119 | [1.33 8.82] | -79.5384597187976
0.7641286356130316 | [  2.33 -34.82] | -1218.0795131749412
0.7949347781036156 | [ -1.02 -30.09] | -906.6685021603881
0.8231208248847572 | [-2.02 14.17] | -204.7986929794661
0.8044579521270652 | [ 1.32 10.01] | -101.99456444128674
0.7855160283811141 | [  2.34 -33.72] | -1142.503482520439
0.8146223537285439 | [ -0.99 -29.08] | -846.6116831096473
0.8412876564753874 | [-2.01 15.03] | -230.06291702592654
0.8234059485739756 | [ 1.33 10.86] | -119.79488909995322
0.8051981130507672 | [  2.36 -32.94] | -1090.8167466791115
0.832951634502826 | [ -0.96 -28.37] | -806.0088862771561
0.8588579362572104 | [-2.02 15.14] | -233.44757779018857
0.8430508670418682 | [ 1.31 10.97] | -122.17085716634355
0.8269609244967936 | [  2.33 -32.88] | -1086.5909170660916
0.8542893966901637 | [ -1.   -28.36] | -805.1691969578333
0.8788391862710698 | [-2.02 15.87] | -255.97820276206878
0.8636760392404946 | [ 1.31 11.69] | -138.40743935471977
0.8481508303911809 | [  2.33 -32.22] | -1043.4891872039213
0.8734396777936465 | [ -0.99 -27.74] | -770.7259715802397
0.8961924180956811 | [-2.02 16.28] | -269.0653045810556
0.8820771510000203 | [ 1.3  12.09] | -147.98058581460566
0.8675569157638163 | [  2.32 -31.85] | -1020.1274860959393
0.8912328923504536 | [ -1.   -27.41] | -752.5633443718815
[1.] | [-2.82  1.35] | -9.988378179736412
0.9996863833120536 | [ 0.43 -2.49] | -6.603427868306254
0.9993411440889952 | [-1.95 12.97] | -172.35844578034911
0.9929011112743487 | [1.47 8.86] | -80.9389320350491
0.9800118634046574 | [  2.39 -34.38] | -1188.1105810402435
0.979946405136662 | [ -0.97 -29.23] | -855.6498291115314
0.9800682170797185 | [-1.85 14.46] | -212.7725478606986
0.9617839978082783 | [ 1.61 10.31] | -109.1934858896873
0.9383581294864282 | [  2.6  -33.01] | -1096.527244334163
0.9400825084284204 | [ -0.72 -27.95] | -781.7970908221575
0.9453598427770521 | [-1.94 10.75] | -119.4628881000726
0.9269293918480758 | [1.46 6.68] | -46.87133504815211
0.9064795803239535 | [  2.41 -36.64] | -1348.152158090808
0.9182905165194329 | [ -0.95 -31.57] | -998.0397803800851
0.9296976920060117 | [-1.94 11.84] | -144.07184418493756
0.9109154040591483 | [1.46 7.73] | -62.08349538615
0.8905695192252253 | [  2.44 -35.68] | -1279.5015106783796
0.9051615872407306 | [ -0.9  -30.73] | -945.5737521712189
0.9199879423331129 | [-1.97 11.53] | -137.09627521930912
0.9037626038060951 | [1.4  7.43] | -57.28194995644807
0.8865981803889124 | [  2.39 -36.07] | -1306.7423033528405
0.904967681716046 | [ -0.95 -31.2 ] | -974.4823907280908
0.9220694427307787 | [-1.98 12.18] | -152.47120939885593
0.9074948126471406 | [1.38 8.06] | -66.9260741788629
0.8921722614865976 | [  2.38 -35.54] | -1268.6099544163246
0.9114645460511621 | [ -0.95 -30.76] | -947.4196820426803
0.9292473602796169 | [-2.   12.51] | -160.59135108156585
0.9167305540702074 | [1.35 8.37] | -72.04548118480147
0.9036266587624412 | [  2.35 -35.3 ] | -1251.7741208721106
0.9231872709784509 | [ -0.97 -30.61] | -937.8520054888094
0.940605386914779 | [-2.   13.05] | -174.40099731196352
0.9297002858901016 | [1.33 8.9 ] | -81.1147746353224
0.9182555341787648 | [  2.34 -34.85] | -1220.01886422542
