1.8, -1.7, 1.9, -1.1, -0.2, 0.8, 1.4, 2.2, -1.2, -0.1, 1.6, -0.4, 0.2, 0.3, -0.3, -0.2, -0.3, -1.8, -0.2, 1.2, -0.7, -0.4
parameter ends

state | action | reward
[1.] | [ 2.92 -3.48] | -20.84491931465985
0.9996461902799966 | [ 4.84 -1.55] | -25.998575620965248
0.9895603421300727 | [6.55 0.27] | -43.19770489382071
0.9429425791101156 | [6.57 1.15] | -44.6952088451478
0.8199376453613116 | [5.64 1.78] | -35.13932693233735
0.5789964837058621 | [4.66 2.79] | -29.753400524392642
0.2000489652140106 | [3.63 4.17] | -30.836007710268472
-0.2816669928193688 | [2.61 5.76] | -40.17171155749242
-0.7459212688464548 | [1.77 7.19] | -55.0896749930219
-0.9945546819349615 | [1.34 8.04] | -66.64343108574286
-0.8326885095811525 | [1.42 8.07] | -67.24242679687023
-0.22520118456310603 | [1.81 7.6 ] | -61.11946435091262
0.5596730321332657 | [1.89 7.4 ] | -58.47444547886789
0.9957244401555388 | [0.82 7.89] | -63.025973357996115
0.6625427484250597 | [-1.85  8.37] | -73.4979452446189
-0.18791054949739752 | [ 4.87 14.28] | -227.63170754600253
-0.8840452721463982 | [ 6.11 17.25] | -334.89306396891305
-0.891331238969722 | [ 6.74 17.43] | -349.3851690969045
-0.08306234743477033 | [ 8.55 16.35] | -340.5465838827737
0.8376718098858951 | [10.47 15.92] | -363.16989849318423
0.8492383234234147 | [10.72 17.57] | -423.6672944080386
-0.17532793713462283 | [ 9.29 20.46] | -504.79103945388687
-0.9890435189844081 | [ 8.51 21.94] | -553.781319239537
-0.4059877890952533 | [10.3 20.9] | -542.9662359871119
0.8053555786405071 | [12.94 19.94] | -564.9129169904912
0.7163862460382755 | [13.04 21.92] | -650.4503788954071
-0.6126719993788029 | [11.14 24.97] | -747.4820153491751
-0.8270214971243305 | [11.52 24.97] | -755.9778156485852
0.5512846930072227 | [14.54 23.18] | -748.719233155287
0.8143736228890451 | [15.21 24.62] | -837.447168057228
-0.6455800752557804 | [13.02 27.9 ] | -948.0339506395959
-0.6742327001472976 | [13.72 27.41] | -939.7193870654967
0.8444262250617174 | [16.86 25.72] | -946.2042957987298
0.3391836704510836 | [16.11 28.43] | -1068.0915356703597
-0.9965536485175622 | [14.31 30.61] | -1141.6016544406841
0.2209995271586355 | [17.13 28.35] | -1097.305518934196
0.84149155434391 | [18.37 29.18] | -1188.905356125008
-0.8191220707029662 | [15.78 32.59] | -1310.905948219363
-0.18041760548050773 | [17.63 30.85] | -1262.6683047139893
0.9589041663901375 | [19.83 30.58] | -1328.0265760164698
-0.7142679460146545 | [17.12 34.28] | -1468.1514558276303
-0.22728468617992265 | [18.7  32.67] | -1416.6914474410312
0.93802013847071 | [20.91 32.36] | -1484.091636731833
-0.8269598910210892 | [18.05 36.02] | -1622.9806098130387
0.05842522626539353 | [20.3 33.8] | -1554.5257341318068
0.7322711192215493 | [21.54 34.57] | -1658.806368894135
-0.9953428638018144 | [18.88 37.48] | -1761.2920814915085
0.6149240861945285 | [22.28 34.58] | -1692.153103365729
0.1163380063447177 | [21.37 37.35] | -1851.8772262529942
-0.7598494347944119 | [20.43 37.95] | -1857.8378240311652
[1.] | [ 3.22 -4.09] | -27.463485581858873
0.9999701931036573 | [ 5.13 -2.16] | -31.379428292696257
0.9920957294211769 | [ 6.84 -0.34] | -47.29493325803466
0.9490118600042925 | [7.53 0.99] | -57.99245418775416
0.8304620735263883 | [6.49 1.53] | -44.84296282054105
0.5940120581574427 | [5.4  2.46] | -35.543223674903565
0.21808144630111279 | [4.27 3.73] | -32.36382837786634
-0.26402437476252943 | [3.18 5.18] | -37.03458984941181
-0.7336470620547334 | [2.32 6.49] | -47.629218407235705
-0.9924969260188785 | [1.98 7.24] | -56.59371088006683
-0.8425980862270512 | [2.3  7.19] | -57.27999109305547
-0.2428843018297098 | [3.08 6.67] | -54.281017740088416
0.5444033792390841 | [3.62 6.6 ] | -56.97324223971488
0.9938463315764815 | [2.91 7.68] | -67.59874849678128
0.6711244799216725 | [0.41 9.32] | -87.29969157051319
-0.24499183803964905 | [-1.62 10.7 ] | -117.29382404709703
-0.9275102955825527 | [ 4.91 15.39] | -261.0477171994793
-0.8583636260939563 | [ 7.05 16.41] | -319.13434610929437
-0.049289669855396845 | [ 8.95 15.47] | -319.69819150542037
0.8377680352206603 | [10.69 15.05] | -341.03048322382796
0.8661118720935367 | [10.89 16.6 ] | -394.3156402532137
-0.11082889077077375 | [ 9.49 19.42] | -467.2079416050485
-0.9701228663513829 | [ 8.59 21.04] | -516.5974346977322
-0.5193050792285401 | [10.13 20.2 ] | -510.75273850170373
0.7017336160013227 | [12.83 19.07] | -528.522923233958
0.8343330968823527 | [13.34 20.67] | -605.3526797395459
-0.42761204611991865 | [11.51 23.83] | -700.5714273292017
-0.939123837801616 | [11.34 24.42] | -724.9599929740592
0.30457635894831675 | [14.19 22.59] | -711.7447060617775
0.9501226452964321 | [15.59 23.27] | -784.799356143906
-0.3642043303104241 | [13.58 26.68] | -896.3579055620057
-0.8891200833769441 | [13.37 27.12] | -914.2435799486469
0.5843138754177791 | [16.54 25.06] | -901.7803642242764
0.6838007253209412 | [16.87 26.82] | -1004.2109754815474
-0.8703403790839807 | [14.56 29.87] | -1104.57873560366
-0.2313559366593324 | [16.42 28.26] | -1068.2999093679239
0.9959096065746302 | [18.84 27.71] | -1123.2881054425984
