1.7, -1.5, 2.0, -1.2, -0.1, 0.5, 1.3, 1.7, -1.3, -0.7, 2.1, -0.8, -0.4, -0.0, -0.1, -0.7, -0.5, -2.2, -0.2, 0.8, -0.9, 0.8
parameter ends

state | action | reward
[1.] | [ 3.01 -2.83] | -17.333385847533393
0.9987749630541977 | [ 1.76 -0.1 ] | -3.409443972426601
0.9976468923698424 | [0.1  0.07] | -0.29391087399180027
0.9742045650299376 | [-0.23 -0.16] | -0.34329638845942323
0.9293416634590355 | [0.   0.29] | -0.33341143636470805
0.8693762724940003 | [-0.33 -0.47] | -0.5744412251432786
0.8022905469962053 | [0.13 0.89] | -1.0353912994737777
0.7302014257179593 | [-0.67 -1.52] | -2.9664917445191032
0.666461300854403 | [0.56 1.33] | -2.305331484619238
0.601956284128607 | [-0.97 -1.41] | -3.127944646957245
0.5484584362026803 | [0.76 1.43] | -2.8222876414116653
0.5009461346719026 | [-1.07 -1.33] | -3.1152286704575367
0.46160944168114904 | [0.73 1.49] | -2.9325874948423856
0.43176178151234545 | [-1.02 -1.3 ] | -2.9324225267870636
0.4121647138984874 | [0.8  1.49] | -3.0682867539595566
0.3997938871140149 | [-1.04 -1.31] | -3.0037235673296654
0.39507573839379184 | [0.81 1.47] | -3.0050303537479066
0.3971231627369727 | [-1.02 -1.36] | -3.078973792546684
0.4062196953679528 | [0.86 1.41] | -2.9325269972302546
0.4200071005106444 | [-1.02 -1.42] | -3.272722461342141
0.4387316597400516 | [0.88 1.34] | -2.7806785595757786
0.461058306829731 | [-1.01 -1.49] | -3.476572528229231
0.48718677651384473 | [0.91 1.27] | -2.643243371712042
0.515372063844448 | [-1.01 -1.57] | -3.722121388275315
0.5458149531302142 | [0.92 1.19] | -2.4960662853949547
0.5772960252036449 | [-1.01 -1.64] | -3.9542252111536937
0.6100009531037144 | [0.94 1.12] | -2.378916745801951
0.6427013509644259 | [-1.01 -1.71] | -4.173831650867501
0.6755945030450325 | [0.95 1.06] | -2.2801263980093416
0.707768418665586 | [-1.01 -1.76] | -4.3514071712074545
0.7394196913968211 | [0.96 1.02] | -2.213184988153084
0.7697496784691722 | [-1.  -1.8] | -4.4831014495112065
0.7989617675840534 | [0.97 0.99] | -2.170875313959786
0.8264602237204375 | [-1.   -1.79] | -4.466176614147259
0.8524416705525685 | [0.97 1.  ] | -2.2091261497562473
0.876389654291799 | [-1.01 -1.79] | -4.4861372387042575
0.8985009143895174 | [0.97 1.01] | -2.2143963765061563
0.9185102640964289 | [-1.   -1.78] | -4.43371091665021
0.936564326377067 | [0.98 1.03] | -2.2609019612417534
0.9523473956368563 | [-1.   -1.76] | -4.342169205582688
0.9659936653776764 | [0.97 1.06] | -2.322426801611599
0.9773406415819643 | [-1.   -1.72] | -4.2006017921607715
0.9864712778909401 | [0.97 1.11] | -2.4153449225917467
0.9932533286001282 | [-1.01 -1.67] | -4.026565104417881
0.9977288834295143 | [0.97 1.16] | -2.5310249656101496
0.999826666677683 | [-1.01 -1.6 ] | -3.8207533040626513
0.9995299406039202 | [0.97 1.23] | -2.6769831062858884
0.9967983031993695 | [-1.01 -1.53] | -3.5932555026686894
0.9915570386848684 | [0.96 1.31] | -2.8524017303052474
0.9837848214346252 | [-1.01 -1.45] | -3.3472426142157636
[1.] | [ 2.17 -2.03] | -9.04957172030335
0.9936870888967752 | [0.92 0.71] | -1.5622468983239566
0.9743029258814226 | [-0.91 -1.28] | -2.706275682286372
0.9429087371636565 | [0.82 1.51] | -3.195252768406368
0.9021221701417929 | [-1.04 -1.28] | -2.9658528698537743
0.8560598401860602 | [0.8  1.54] | -3.264633475327515
0.8076355747854322 | [-1.05 -1.24] | -2.902770399164549
0.7595024936984661 | [0.78 1.58] | -3.369911236790042
0.713967047734893 | [-1.04 -1.2 ] | -2.7956754081590214
0.672955599059782 | [0.79 1.6 ] | -3.476869389624706
0.6368822845650011 | [-1.04 -1.19] | -2.7731071470364483
0.6069270857387262 | [0.8 1.6] | -3.474935456211476
0.5828881748396987 | [-1.03 -1.22] | -2.811581080073765
0.5654908912111473 | [0.83 1.56] | -3.3801066505110366
0.5537302826884489 | [-1.03 -1.27] | -2.9405172808614344
0.5480637295030335 | [0.85 1.49] | -3.1889102367049493
0.5473857433087093 | [-1.02 -1.36] | -3.140128809901213
0.5520115527780858 | [0.87 1.39] | -2.9423983462080883
0.5606572345451256 | [-1.02 -1.46] | -3.4138861581421818
0.5735615490770956 | [0.89 1.28] | -2.663593766031692
0.5895212038850957 | [-1.02 -1.58] | -3.745351236049668
0.6087268619589706 | [0.9  1.16] | -2.3840482502275973
0.6300112285624445 | [-1.01 -1.7 ] | -4.124587631424533
0.6535338032084811 | [0.92 1.04] | -2.1203005052039976
0.6782537892337479 | [-1.01 -1.82] | -4.531762321695415
0.7043046399818883 | [0.93 0.92] | -1.8863798884639604
0.7307513343003181 | [-0.99 -1.71] | -4.063219533625276
0.7573179946739479 | [0.92 1.04] | -2.087528440705042
