1.7, -1.3, 1.9, -0.7, -0.3, 0.4, 0.6, 1.7, -1.1, -0.4, 1.8, -0.7, 0.0, 0.5, 0.1, -0.6, 0.1, -1.7, 0.0, 0.9, -0.5, 0.1
parameter ends

state | action | reward
[1.] | [ 3.44 -2.72] | -19.568896954667057
0.9967456417230826 | [3.  1.6] | -11.894046009634202
0.9803353467219145 | [3.31 1.14] | -12.569239406200117
0.9236350680024441 | [3.58 0.94] | -14.01541320184139
0.7879858564774095 | [3.72 1.2 ] | -15.521504065801793
0.5344483680164225 | [3.67 1.67] | -16.40089679223852
0.1473402076529553 | [3.31 2.48] | -17.1277078015331
-0.3325447686595498 | [2.64 3.38] | -18.542192315130585
-0.7804838690917572 | [1.79 3.96] | -19.162838764647002
-0.9987173623738015 | [1.08 3.78] | -15.721228253878989
-0.8014766453884195 | [0.88 2.65] | -8.003476651192962
-0.1762691011002391 | [1.46 0.47] | -2.530876022834253
0.593141038100294 | [-0.61 19.16] | -367.72059415294746
0.9922758946498753 | [-0.67 20.68] | -428.4474071800532
0.8134894165085423 | [-1.07 19.21] | -370.4462621258557
0.2819830221776445 | [-1.93 17.05] | -294.69418599734183
-0.2821855048616653 | [-2.79 15.03] | -234.03267122615458
-0.6943356351493501 | [-3.37 12.98] | -179.9318412782154
-0.9168853505951915 | [-3.62 10.81] | -130.2383924702904
-0.9945093591643076 | [-3.65  8.58] | -87.20817430971232
-0.9933172673738568 | [-3.58  6.36] | -53.412091958951265
-0.9682567383095839 | [-3.5   4.19] | -29.966272011071514
-0.9530316154344075 | [-3.45  2.12] | -16.59871672885048
-0.9603628072122871 | [-3.47  0.15] | -12.274389661829064
-0.9840930887191103 | [-3.55 -1.69] | -15.644250233076404
-0.9999970671494953 | [-3.99 -1.07] | -17.250097768581597
-0.9666343902550016 | [-4.27 -0.37] | -18.595258859264444
-0.8310682424204845 | [-4.05 -1.22] | -18.03980211282464
-0.5460869022171198 | [-3.69 -0.7 ] | -14.195981715909872
-0.10301283029209418 | [-2.72 -1.19] | -8.906081637863046
